"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Current receipts","W005RC1","191,052.0","194,176.0","191,988.0","193,404.0","187,384.0","188,236.0","184,812.0","183,924.0","188,652.0","191,576.0","192,044.0","195,296.0","214,344.0","217,744.0","220,692.0","228,420.0","243,940.0","247,984.0","251,236.0","260,060.0","267,628.0","278,040.0","288,816.0","285,364.0","278,744.0","245,584.0","288,968.0","297,232.0","312,512.0","319,396.0","327,136.0","332,924.0","347,468.0","361,356.0","367,976.0","379,020.0","389,244.0","417,640.0","435,240.0","453,976.0","469,772.0","480,896.0","493,076.0","503,880.0","518,024.0","515,048.0","534,324.0","563,944.0","607,120.0","616,556.0","632,388.0","623,668.0","617,100.0","623,452.0","612,744.0","616,104.0","622,988.0","648,624.0","642,032.0","659,360.0","693,496.0","706,220.0","712,732.0","727,500.0","780,748.0","744,604.0","782,260.0","790,008.0","800,500.0","803,704.0","817,620.0","842,372.0","845,308.0","914,328.0","905,812.0","920,668.0","938,680.0","947,280.0","963,544.0","984,592.0","1,028,412.0","1,028,832.0","1,041,740.0","1,053,152.0","1,060,216.0","1,076,336.0","1,092,004.0","1,102,480.0","1,093,380.0","1,095,632.0","1,104,544.0","1,114,080.0","1,125,012.0","1,139,104.0","1,146,544.0","1,181,380.0","1,172,244.0","1,218,632.0","1,226,148.0","1,279,316.0","1,276,607.0","1,323,227.0","1,332,115.0","1,356,535.0","1,379,002.0","1,407,186.0","1,413,978.0","1,431,170.0","1,467,645.0","1,521,877.0","1,533,789.0","1,582,433.0","1,605,597.0","1,641,157.0","1,677,457.0","1,700,397.0","1,734,014.0","1,760,230.0","1,795,682.0","1,821,534.0","1,852,311.0","1,872,403.0","1,903,379.0","1,951,763.0","2,032,939.0","2,047,183.0","2,064,655.0","2,083,791.0","2,101,887.0","2,086,971.0","1,894,883.0","1,997,331.0","1,859,952.0","1,858,348.0","1,855,880.0","1,863,136.0","1,886,288.0","1,902,776.0","1,827,372.0","1,923,892.0","1,944,352.0","1,988,984.0","2,044,152.0","2,078,268.0","2,230,692.0","2,257,308.0","2,305,388.0","2,366,928.0","2,473,832.0","2,501,828.0","2,547,388.0","2,575,084.0","2,642,815.0","2,658,543.0","2,651,474.0","2,666,089.0","2,640,132.0","2,409,760.0","2,501,352.0","2,457,708.0","2,225,900.0","2,213,976.0","2,221,580.0","2,268,484.0","2,364,800.0","2,407,848.0","2,475,364.0","2,470,532.0","2,527,936.0","2,554,056.0","2,572,472.0"
"21","2","Current tax receipts","W006RC1","145,780.0","148,024.0","144,724.0","145,352.0","139,140.0","140,368.0","136,380.0","135,808.0","136,688.0","138,124.0","138,640.0","141,020.0","153,860.0","156,280.0","158,284.0","164,568.0","167,436.0","170,628.0","173,268.0","180,740.0","182,184.0","190,048.0","199,644.0","196,408.0","189,424.0","155,924.0","197,800.0","204,200.0","209,796.0","215,192.0","220,976.0","225,632.0","234,456.0","245,512.0","249,972.0","258,932.0","258,676.0","281,808.0","295,456.0","310,376.0","313,048.0","322,056.0","330,536.0","337,936.0","345,340.0","340,792.0","356,900.0","379,140.0","401,504.0","406,028.0","418,624.0","404,632.0","387,996.0","392,772.0","381,296.0","383,288.0","379,400.0","401,388.0","391,056.0","400,792.0","415,944.0","422,432.0","425,616.0","436,932.0","476,236.0","429,100.0","466,872.0","468,732.0","468,944.0","469,680.0","478,808.0","499,564.0","497,000.0","562,460.0","552,032.0","563,012.0","554,608.0","558,324.0","569,456.0","582,296.0","617,756.0","614,988.0","621,268.0","630,592.0","627,800.0","641,588.0","650,860.0","648,596.0","632,636.0","631,436.0","634,936.0","643,464.0","642,952.0","653,040.0","656,764.0","686,952.0","671,128.0","708,312.0","712,668.0","760,024.0","743,567.0","783,963.0","788,639.0","809,291.0","821,418.0","846,190.0","849,402.0","861,302.0","890,797.0","936,445.0","938,817.0","961,593.0","992,381.0","1,019,189.0","1,047,693.0","1,061,061.0","1,083,962.0","1,102,070.0","1,129,542.0","1,147,730.0","1,162,067.0","1,178,011.0","1,202,907.0","1,238,443.0","1,292,443.0","1,304,855.0","1,312,999.0","1,328,015.0","1,326,267.0","1,314,667.0","1,126,199.0","1,230,551.0","1,078,356.0","1,073,272.0","1,067,008.0","1,075,212.0","1,084,676.0","1,091,300.0","1,008,972.0","1,095,988.0","1,098,376.0","1,134,980.0","1,178,500.0","1,203,372.0","1,336,920.0","1,357,044.0","1,392,908.0","1,448,020.0","1,517,608.0","1,541,580.0","1,581,296.0","1,592,824.0","1,637,167.0","1,648,631.0","1,632,594.0","1,631,965.0","1,586,168.0","1,358,428.0","1,450,220.0","1,396,088.0","1,169,712.0","1,137,088.0","1,168,700.0","1,205,432.0","1,290,292.0","1,322,012.0","1,377,828.0","1,372,800.0","1,513,280.0","1,532,716.0","1,547,284.0"
