"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Wage and salary disbursements","A576RC1","4,988,117.0","4,961,425.0","4,932,431.0","4,926,837.0","4,963,557.0","5,002,990.0","5,006,293.0","5,016,386.0","5,049,563.0","5,109,864.0","5,159,579.0","5,239,391.0","5,279,397.0","5,385,092.0","5,493,902.0","5,544,377.0","5,584,179.0","5,651,665.0","5,758,339.0","5,809,745.0","5,978,894.0","6,018,598.0","6,075,433.0","6,202,646.0","6,353,128.0","6,382,797.0","6,427,563.0","6,523,411.0","6,600,492.0","6,554,927.0","6,550,605.0","6,497,411.0","6,280,455.0","6,278,161.0","6,251,289.0","6,271,368.0","6,301,559.0","6,399,844.0","6,454,538.0","6,477,025.0","6,578,151.0","6,617,052.0","6,641,568.0"
"21","2","Private industries","A132RC1","4,183,713.0","4,146,001.0","4,103,999.0","4,087,561.0","4,101,981.0","4,132,618.0","4,128,481.0","4,133,694.0","4,146,142.0","4,196,045.0","4,243,959.0","4,318,951.0","4,338,969.0","4,432,872.0","4,538,062.0","4,581,633.0","4,601,739.0","4,664,053.0","4,763,883.0","4,808,297.0","4,959,878.0","4,990,282.0","5,034,453.0","5,150,354.0","5,276,752.0","5,300,145.0","5,334,983.0","5,418,907.0","5,472,908.0","5,417,063.0","5,399,601.0","5,337,443.0","5,111,539.0","5,102,241.0","5,074,185.0","5,092,164.0","5,112,951.0","5,203,508.0","5,264,678.0","5,288,445.0","5,387,051.0","5,425,172.0","5,452,632.0"
"22","3","  Goods-producing industries","N231RC1","1,072,461.0","1,053,924.0","1,031,640.0","1,017,243.0","1,016,248.0","1,017,750.0","1,008,457.0","1,003,655.0","1,002,778.0","1,003,452.0","1,004,980.0","1,033,040.0","1,021,011.0","1,047,306.0","1,074,491.0","1,074,799.0","1,081,917.0","1,094,002.0","1,118,604.0","1,119,106.0","1,171,534.0","1,170,085.0","1,169,780.0","1,192,452.0","1,206,681.0","1,210,985.0","1,210,245.0","1,225,789.0","1,232,550.0","1,218,492.0","1,201,949.0","1,177,917.0","1,104,303.0","1,063,895.0","1,044,339.0","1,040,980.0","1,036,933.0","1,058,571.0","1,070,482.0","1,070,829.0","1,092,329.0","1,096,908.0","1,100,823.0"
"23","4","    Manufacturing","N552RC1","737,839.0","722,522.0","701,967.0","688,936.0","682,156.0","687,075.0","677,168.0","672,124.0","670,462.0","669,041.0","667,702.0","687,673.0","673,539.0","688,223.0","705,733.0","704,857.0","703,321.0","707,355.0","716,574.0","714,259.0","738,797.0","735,359.0","734,057.0","746,482.0","753,175.0","751,590.0","748,271.0","755,756.0","755,745.0","747,553.0","738,421.0","721,835.0","679,113.0","659,984.0","648,544.0","656,149.0","655,256.0","673,621.0","682,220.0","685,534.0","700,448.0","700,361.0","701,907.0"
"24","5","  Services-producing industries","N233RC1","3,111,252.0","3,092,077.0","3,072,359.0","3,070,318.0","3,085,733.0","3,114,868.0","3,120,024.0","3,130,039.0","3,143,364.0","3,192,593.0","3,238,979.0","3,285,911.0","3,317,958.0","3,385,566.0","3,463,571.0","3,506,834.0","3,519,822.0","3,570,051.0","3,645,279.0","3,689,191.0","3,788,344.0","3,820,197.0","3,864,673.0","3,957,902.0","4,070,071.0","4,089,160.0","4,124,738.0","4,193,118.0","4,240,358.0","4,198,571.0","4,197,652.0","4,159,526.0","4,007,236.0","4,038,346.0","4,029,846.0","4,051,184.0","4,076,018.0","4,144,937.0","4,194,196.0","4,217,616.0","4,294,722.0","4,328,264.0","4,351,809.0"
"25","6","    Trade, transportation, and utilities","N234RC1","853,173.0","848,938.0","842,918.0","839,428.0","842,474.0","847,885.0","848,512.0","847,269.0","853,874.0","857,197.0","864,001.0","878,059.0","879,927.0","898,581.0","917,893.0","924,968.0","928,687.0","938,943.0","953,112.0","957,713.0","982,536.0","989,375.0","997,772.0","1,014,272.0","1,032,735.0","1,046,631.0","1,043,702.0","1,057,588.0","1,063,734.0","1,053,296.0","1,047,590.0","1,034,241.0","1,002,046.0","989,490.0","983,122.0","983,815.0","987,364.0","1,004,509.0","1,015,922.0","1,016,090.0","1,034,426.0","1,043,126.0","1,043,137.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,258,079.0","2,243,139.0","2,229,441.0","2,230,890.0","2,243,259.0","2,266,983.0","2,271,512.0","2,282,770.0","2,289,490.0","2,335,396.0","2,374,978.0","2,407,852.0","2,438,031.0","2,486,985.0","2,545,678.0","2,581,866.0","2,591,135.0","2,631,108.0","2,692,167.0","2,731,478.0","2,805,808.0","2,830,822.0","2,866,901.0","2,943,630.0","3,037,336.0","3,042,529.0","3,081,036.0","3,135,530.0","3,176,624.0","3,145,275.0","3,150,062.0","3,125,285.0","3,005,190.0","3,048,856.0","3,046,724.0","3,067,369.0","3,088,654.0","3,140,428.0","3,178,274.0","3,201,526.0","3,260,296.0","3,285,138.0","3,308,672.0"
"27","8","Government","B202RC1","804,404.0","815,424.0","828,432.0","839,276.0","861,576.0","870,372.0","877,812.0","882,692.0","903,421.0","913,819.0","915,620.0","920,440.0","940,428.0","952,220.0","955,840.0","962,744.0","982,440.0","987,612.0","994,456.0","1,001,448.0","1,019,016.0","1,028,316.0","1,040,980.0","1,052,292.0","1,076,376.0","1,082,652.0","1,092,580.0","1,104,504.0","1,127,584.0","1,137,864.0","1,151,004.0","1,159,968.0","1,168,916.0","1,175,920.0","1,177,104.0","1,179,204.0","1,188,608.0","1,196,336.0","1,189,860.0","1,188,580.0","1,191,100.0","1,191,880.0","1,188,936.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
