"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","Personal income","A065RC1","380,921.0","383,145.0","386,111.0","389,391.0","392,069.0","394,448.0","394,864.0","393,170.0","394,397.0","396,157.0","399,507.0","403,915.0","405,599.0","406,291.0","407,176.0","410,016.0","411,332.0","411,572.0","412,687.0","413,017.0","413,856.0","415,628.0","415,028.0","412,872.0","416,882.0","418,849.0","420,213.0","420,931.0","424,248.0","428,684.0","430,905.0","431,393.0","432,541.0","436,739.0","440,869.0","443,461.0","443,701.0","446,948.0","450,636.0","453,408.0","454,296.0","455,692.0","457,472.0","458,763.0","461,183.0","462,769.0","465,139.0","466,963.0","471,060.0","468,830.0","470,391.0","471,914.0","474,486.0","478,141.0","479,204.0","481,697.0","484,750.0","488,639.0","490,162.0","494,742.0","497,937.0","500,600.0","503,279.0","506,732.0","509,921.0","512,664.0","515,430.0","519,531.0","522,430.0","523,233.0","527,007.0","533,088.0","537,138.0","537,436.0","540,524.0","543,897.0","547,893.0","550,918.0","554,984.0","557,358.0","572,186.0","569,355.0","574,652.0","579,662.0","582,111.0","586,944.0","591,067.0","593,009.0","595,710.0","600,275.0","604,110.0","609,458.0","614,808.0","619,250.0","623,848.0","624,771.0","630,867.0","632,147.0","636,434.0","637,032.0","639,446.0","644,104.0","649,820.0","654,706.0","656,937.0","658,450.0","664,693.0","672,210.0","676,371.0","684,292.0","692,382.0","698,059.0","704,073.0","709,291.0","715,945.0","721,835.0","727,271.0","731,784.0","737,323.0","741,581.0","745,348.0","750,550.0","757,228.0","763,137.0","769,006.0","775,034.0","782,876.0","790,113.0","795,096.0","799,779.0","803,492.0","808,283.0"
"21","2","   Compensation of employees, received","W209RC1","272,484.0","274,121.0","276,860.0","279,386.0","281,849.0","283,680.0","283,517.0","281,589.0","281,755.0","282,682.0","284,935.0","289,012.0","293,432.0","294,062.0","294,621.0","296,366.0","297,222.0","297,070.0","297,685.0","297,513.0","297,691.0","298,822.0","297,481.0","294,953.0","297,604.0","297,695.0","298,767.0","300,091.0","301,837.0","304,686.0","306,033.0","307,485.0","308,076.0","310,966.0","314,356.0","316,039.0","317,607.0","320,371.0","323,356.0","325,653.0","326,113.0","327,334.0","328,194.0","328,578.0","330,694.0","330,713.0","333,008.0","334,107.0","335,927.0","337,459.0","339,118.0","340,068.0","341,966.0","345,139.0","345,415.0","347,316.0","349,524.0","351,981.0","352,890.0","355,794.0","356,527.0","360,836.0","362,624.0","365,084.0","367,464.0","369,539.0","371,458.0","375,168.0","377,044.0","377,319.0","380,374.0","384,604.0","385,259.0","387,355.0","389,329.0","391,300.0","394,722.0","396,353.0","399,314.0","402,014.0","405,604.0","410,672.0","414,291.0","417,853.0","423,106.0","426,934.0","430,089.0","434,276.0","437,310.0","441,780.0","446,104.0","449,256.0","451,545.0","455,187.0","457,353.0","458,916.0","462,531.0","462,560.0","464,664.0","466,823.0","468,077.0","472,075.0","475,527.0","479,190.0","481,243.0","482,682.0","488,516.0","497,814.0","498,676.0","505,522.0","509,249.0","512,796.0","517,910.0","522,099.0","527,191.0","531,185.0","535,787.0","539,499.0","544,254.0","547,597.0","551,917.0","555,042.0","560,717.0","565,137.0","569,698.0","574,486.0","581,521.0","587,086.0","591,098.0","595,134.0","598,259.0","601,227.0"
"22","3","     Wage and salary disbursements","A576RC1","252,231.0","253,665.0","256,137.0","258,499.0","260,805.0","262,366.0","262,115.0","260,260.0","260,321.0","261,189.0","263,323.0","267,194.0","270,229.0","270,773.0","271,250.0","272,934.0","273,751.0","273,512.0","274,045.0","273,868.0","273,980.0","275,044.0","273,726.0","271,158.0","273,468.0","273,448.0","274,452.0","275,619.0","277,299.0","279,981.0","281,189.0","282,545.0","283,022.0","285,785.0","288,965.0","290,458.0","290,653.0","293,226.0","295,949.0","298,159.0","298,520.0","299,561.0","300,377.0","300,625.0","302,522.0","302,481.0","304,636.0","305,585.0","306,495.0","307,934.0","309,458.0","310,207.0","311,992.0","314,868.0","315,044.0","316,754.0","318,738.0","320,889.0","321,628.0","324,204.0","325,066.0","329,013.0","330,586.0","332,803.0","334,908.0","336,788.0","338,498.0","341,864.0","343,516.0","343,649.0","346,451.0","350,309.0","351,005.0","352,860.0","354,580.0","356,307.0","359,451.0","360,878.0","363,525.0","365,927.0","369,195.0","373,819.0","377,182.0","380,364.0","382,485.0","385,999.0","388,804.0","392,700.0","395,463.0","399,546.0","403,511.0","406,415.0","408,471.0","411,774.0","413,663.0","415,018.0","418,304.0","418,185.0","420,030.0","421,806.0","422,713.0","426,290.0","429,317.0","432,525.0","434,181.0","435,289.0","440,477.0","448,980.0","449,001.0","455,186.0","458,441.0","461,605.0","466,188.0","469,972.0","474,568.0","478,123.0","482,304.0","485,626.0","489,848.0","492,796.0","495,596.0","498,217.0","503,387.0","507,273.0","511,310.0","515,566.0","521,930.0","526,925.0","530,430.0","533,952.0","536,432.0","538,970.0"
"23","4","       Private industries","A132RC1","206,835.0","208,185.0","210,645.0","212,851.0","214,953.0","216,334.0","216,023.0","213,976.0","213,989.0","214,713.0","216,595.0","220,358.0","222,781.0","223,109.0","223,226.0","224,562.0","225,043.0","224,684.0","224,641.0","223,912.0","223,724.0","224,632.0","223,206.0","220,566.0","222,612.0","222,304.0","223,140.0","223,995.0","225,627.0","227,877.0","228,821.0","229,841.0","229,718.0","232,145.0","234,665.0","235,834.0","235,753.0","237,822.0","240,353.0","242,431.0","242,708.0","243,173.0","244,001.0","244,165.0","245,894.0","245,433.0","246,868.0","247,529.0","248,163.0","249,290.0","250,574.0","251,107.0","252,784.0","255,036.0","255,284.0","256,502.0","258,210.0","259,281.0","259,720.0","261,948.0","262,258.0","265,857.0","267,178.0","269,131.0","270,768.0","272,120.0","273,818.0","276,080.0","277,348.0","276,893.0","279,695.0","283,205.0","283,781.0","285,396.0","286,912.0","288,087.0","290,943.0","291,962.0","293,853.0","295,667.0","297,663.0","301,483.0","303,982.0","306,444.0","307,953.0","311,035.0","313,516.0","316,596.0","318,615.0","321,870.0","324,383.0","326,567.0","328,047.0","330,474.0","331,691.0","332,434.0","335,240.0","334,761.0","336,162.0","337,350.0","337,789.0","340,682.0","342,857.0","345,453.0","346,509.0","347,005.0","351,533.0","354,960.0","357,165.0","362,414.0","364,769.0","367,153.0","370,992.0","374,008.0","376,384.0","379,303.0","383,088.0","386,026.0","389,816.0","392,272.0","394,736.0","396,925.0","401,687.0","404,817.0","408,206.0","411,790.0","414,818.0","418,589.0","421,386.0","424,524.0","426,620.0","428,690.0"
"24","5","       Government","B202RC1","45,396.0","45,480.0","45,492.0","45,648.0","45,852.0","46,032.0","46,092.0","46,284.0","46,332.0","46,476.0","46,728.0","46,836.0","47,448.0","47,664.0","48,024.0","48,372.0","48,708.0","48,828.0","49,404.0","49,956.0","50,256.0","50,412.0","50,520.0","50,592.0","50,856.0","51,144.0","51,312.0","51,624.0","51,672.0","52,104.0","52,368.0","52,704.0","53,304.0","53,640.0","54,300.0","54,624.0","54,900.0","55,404.0","55,596.0","55,728.0","55,812.0","56,388.0","56,376.0","56,460.0","56,628.0","57,048.0","57,768.0","58,056.0","58,332.0","58,644.0","58,884.0","59,100.0","59,208.0","59,832.0","59,760.0","60,252.0","60,528.0","61,608.0","61,908.0","62,256.0","62,808.0","63,156.0","63,408.0","63,672.0","64,140.0","64,668.0","64,680.0","65,784.0","66,168.0","66,756.0","66,756.0","67,104.0","67,224.0","67,464.0","67,668.0","68,220.0","68,508.0","68,916.0","69,672.0","70,260.0","71,532.0","72,336.0","73,200.0","73,920.0","74,532.0","74,964.0","75,288.0","76,104.0","76,848.0","77,676.0","79,128.0","79,848.0","80,424.0","81,300.0","81,972.0","82,584.0","83,064.0","83,424.0","83,868.0","84,456.0","84,924.0","85,608.0","86,460.0","87,072.0","87,672.0","88,284.0","88,944.0","94,020.0","91,836.0","92,772.0","93,672.0","94,452.0","95,196.0","95,964.0","98,184.0","98,820.0","99,216.0","99,600.0","100,032.0","100,524.0","100,860.0","101,292.0","101,700.0","102,456.0","103,104.0","103,776.0","107,112.0","108,336.0","109,044.0","109,428.0","109,812.0","110,280.0"
"25","6","     Supplements to wages and salaries","A038RC1","20,253.0","20,456.0","20,723.0","20,887.0","21,044.0","21,314.0","21,402.0","21,329.0","21,434.0","21,493.0","21,612.0","21,818.0","23,203.0","23,289.0","23,371.0","23,432.0","23,471.0","23,558.0","23,640.0","23,645.0","23,711.0","23,778.0","23,755.0","23,795.0","24,136.0","24,247.0","24,315.0","24,472.0","24,538.0","24,705.0","24,844.0","24,940.0","25,054.0","25,181.0","25,391.0","25,581.0","26,954.0","27,145.0","27,407.0","27,494.0","27,593.0","27,773.0","27,817.0","27,953.0","28,172.0","28,232.0","28,372.0","28,522.0","29,432.0","29,525.0","29,660.0","29,861.0","29,974.0","30,271.0","30,371.0","30,562.0","30,786.0","31,092.0","31,262.0","31,590.0","31,461.0","31,823.0","32,038.0","32,281.0","32,556.0","32,751.0","32,960.0","33,304.0","33,528.0","33,670.0","33,923.0","34,295.0","34,254.0","34,495.0","34,749.0","34,993.0","35,271.0","35,475.0","35,789.0","36,087.0","36,409.0","36,853.0","37,109.0","37,489.0","40,621.0","40,935.0","41,285.0","41,576.0","41,847.0","42,234.0","42,593.0","42,841.0","43,074.0","43,413.0","43,690.0","43,898.0","44,227.0","44,375.0","44,634.0","45,017.0","45,364.0","45,785.0","46,210.0","46,665.0","47,062.0","47,393.0","48,039.0","48,834.0","49,675.0","50,336.0","50,808.0","51,191.0","51,722.0","52,127.0","52,623.0","53,062.0","53,483.0","53,873.0","54,406.0","54,801.0","56,321.0","56,825.0","57,330.0","57,864.0","58,388.0","58,920.0","59,591.0","60,161.0","60,668.0","61,182.0","61,827.0","62,257.0"
