"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","Gross domestic product","A191RC1","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,212.0","11,853,254.0","12,622,959.0","13,377,215.0","14,028,675.0","14,291,543.0","13,938,950.0","14,526,547.0"
"20","2","Plus: Income receipts from the rest of the world","B645RC1","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,441.0","110,997.0","122,814.0","151,622.0","177,170.0","188,510.0","168,141.0","151,797.0","155,214.0","184,096.0","229,267.0","245,831.0","279,502.0","286,226.0","319,467.0","380,501.0","323,025.0","313,506.0","353,317.0","448,568.0","573,037.0","721,052.0","870,952.0","856,097.0","639,782.0","702,851.0"
"21","3","Less: Income payments to the rest of the world","A655RC1","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","85,895.0","93,385.0","105,159.0","128,260.0","151,246.0","154,087.0","138,231.0","122,657.0","124,032.0","160,020.0","199,611.0","214,161.0","256,052.0","268,909.0","291,665.0","342,756.0","271,116.0","264,396.0","284,627.0","357,359.0","475,889.0","648,636.0","747,681.0","686,933.0","487,520.0","513,495.0"
"22","4","Equals: Gross national product","A001RC1","990,546.0","1,044,719.0","1,134,411.0","1,246,443.0","1,394,888.0","1,514,972.0","1,650,704.0","1,841,430.0","2,050,422.0","2,315,343.0","2,594,159.0","2,822,328.0","3,159,772.0","3,289,704.0","3,571,691.0","3,967,185.0","4,244,016.0","4,477,679.0","4,754,009.0","5,123,784.0","5,508,070.0","5,834,950.0","6,022,004.0","6,371,446.0","6,698,532.0","7,109,236.0","7,444,311.0","7,870,126.0","8,355,812.0","8,810,812.0","9,381,286.0","9,989,227.0","10,338,076.0","10,691,426.0","11,210,902.0","11,944,463.0","12,720,107.0","13,449,631.0","14,151,946.0","14,460,707.0","14,091,212.0","14,715,903.0"
"23","5","Less: Consumption of fixed capital","A262RC1","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,767,511.0","1,854,077.0","1,866,172.0","1,874,940.0"
"24","6","        Private","A024RC1","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,476,195.0","1,542,915.0","1,542,437.0","1,540,905.0"
"25","7","          Domestic business","W276RC1","61,937.0","68,155.0","74,601.0","81,168.0","90,611.0","106,096.0","125,750.0","138,454.0","155,455.0","176,416.0","203,511.0","235,390.0","271,191.0","300,679.0","311,393.0","325,951.0","347,978.0","369,884.0","390,338.0","417,610.0","444,396.0","469,817.0","490,593.0","500,927.0","521,165.0","549,420.0","585,954.0","619,158.0","658,470.0","702,082.0","756,841.0","824,313.0","876,541.0","908,506.0","935,434.0","978,714.0","1,045,725.0","1,123,284.0","1,190,718.0","1,248,295.0","1,249,926.0","1,245,668.0"
"26","8","            Capital consumption allowances","Y0000C1","68,787.0","73,816.0","79,418.0","88,299.0","96,788.0","107,563.0","118,439.0","128,474.0","146,107.0","165,472.0","189,711.0","216,911.0","269,334.0","309,381.0","347,860.0","393,455.0","445,556.0","458,469.0","475,283.0","501,278.0","521,312.0","521,222.0","530,101.0","541,304.0","567,395.0","605,105.0","651,080.0","697,350.0","757,197.0","810,562.0","883,767.0","945,292.0","1,018,826.0","1,110,877.0","1,125,305.0","1,138,823.0","965,636.0","1,027,654.0","1,087,153.0","1,325,216.0","1,289,466.0","1,442,145.0"
"27","9","            Less: Capital consumption adjustment","Y0004C1","6,850.0","5,661.0","4,817.0","7,131.0","6,177.0","1,467.0","-7,311.0","-9,980.0","-9,348.0","-10,944.0","-13,800.0","-18,479.0","-1,857.0","8,702.0","36,467.0","67,504.0","97,578.0","88,585.0","84,945.0","83,668.0","76,916.0","51,405.0","39,508.0","40,377.0","46,230.0","55,685.0","65,126.0","78,192.0","98,727.0","108,480.0","126,926.0","120,979.0","142,285.0","202,371.0","189,871.0","160,109.0","-80,089.0","-95,630.0","-103,565.0","76,921.0","39,540.0","196,477.0"
"28","10","          Households and institutions","W279RC1","12,553.0","13,547.0","14,927.0","16,545.0","18,848.0","21,739.0","24,699.0","27,090.0","30,693.0","35,546.0","40,951.0","46,900.0","52,058.0","55,759.0","58,126.0","61,515.0","64,796.0","69,179.0","74,147.0","79,504.0","85,208.0","90,599.0","94,840.0","98,973.0","105,218.0","111,533.0","118,665.0","124,194.0","131,240.0","139,485.0","150,396.0","162,515.0","175,052.0","185,527.0","200,499.0","222,160.0","245,085.0","268,104.0","285,477.0","294,620.0","292,511.0","295,237.0"
"29","11","        Government","A264RC1","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","291,316.0","311,162.0","323,735.0","334,035.0"
"30","12","          General government","A265RC1","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","243,219.0","259,620.0","270,497.0","278,605.0"
"31","13","          Government enterprises","A266RC1","2,200.0","2,471.0","2,786.0","3,115.0","3,505.0","4,261.0","5,069.0","5,523.0","6,007.0","6,657.0","7,579.0","8,786.0","9,977.0","10,868.0","11,503.0","12,168.0","12,930.0","13,770.0","14,619.0","15,622.0","16,724.0","17,869.0","18,833.0","19,786.0","21,120.0","22,387.0","23,618.0","24,641.0","25,955.0","27,096.0","28,647.0","30,677.0","32,131.0","33,652.0","35,363.0","38,471.0","41,875.0","44,610.0","48,097.0","51,542.0","53,238.0","55,430.0"
"32","14","Equals: Net national product","A027RC1","891,355.0","936,406.0","1,016,638.0","1,119,292.0","1,254,106.0","1,351,286.0","1,460,325.0","1,633,260.0","1,818,646.0","2,053,929.0","2,295,258.0","2,478,243.0","2,766,430.0","2,856,162.0","3,120,586.0","3,492,838.0","3,738,573.0","3,939,204.0","4,182,915.0","4,512,770.0","4,856,618.0","5,143,748.0","5,297,644.0","5,627,095.0","5,920,517.0","6,290,069.0","6,574,851.0","6,957,609.0","7,392,007.0","7,790,265.0","8,286,896.0","8,804,903.0","9,081,855.0","9,386,447.0","9,856,850.0","10,511,698.0","11,178,732.0","11,788,954.0","12,384,435.0","12,606,630.0","12,225,040.0","12,840,963.0"
"33","15","Less: Statistical discrepancy","A030RC1","2,871.0","6,877.0","11,014.0","8,946.0","8,019.0","9,814.0","16,306.0","23,470.0","21,213.0","26,055.0","46,973.0","45,292.0","36,581.0","4,750.0","49,695.0","31,539.0","42,301.0","67,744.0","32,873.0","-9,533.0","56,105.0","84,200.0","79,737.0","109,992.0","135,795.0","108,809.0","52,522.0","25,920.0","-13,974.0","-85,321.0","-71,067.0","-133,986.0","-103,354.0","-22,072.0","16,680.0","-22,348.0","-95,082.0","-242,274.0","-11,989.0","-2,435.0","77,437.0","820.0"
"34","16","Equals: National income","A032RC1","888,484.0","929,529.0","1,005,624.0","1,110,346.0","1,246,087.0","1,341,472.0","1,444,019.0","1,609,790.0","1,797,433.0","2,027,874.0","2,248,285.0","2,432,951.0","2,729,849.0","2,851,412.0","3,070,891.0","3,461,299.0","3,696,272.0","3,871,460.0","4,150,042.0","4,522,303.0","4,800,513.0","5,059,548.0","5,217,907.0","5,517,103.0","5,784,722.0","6,181,260.0","6,522,329.0","6,931,689.0","7,405,981.0","7,875,586.0","8,357,963.0","8,938,889.0","9,185,209.0","9,408,519.0","9,840,170.0","10,534,046.0","11,273,814.0","12,031,228.0","12,396,424.0","12,609,065.0","12,147,603.0","12,840,143.0"
"35","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0","784,166.0","872,192.0","977,784.0","1,246,931.0","1,456,085.0","1,608,312.0","1,510,640.0","1,248,385.0","1,361,988.0","1,800,123.0"
"36","18","      Taxes on production and imports less subsidies \1\","W254RC1","79,322.0","86,636.0","95,818.0","101,292.0","111,990.0","121,595.0","130,798.0","141,263.0","152,564.0","161,962.0","171,570.0","190,530.0","224,171.0","225,916.0","241,977.0","268,708.0","286,773.0","298,478.0","317,263.0","344,962.0","371,439.0","397,997.0","429,603.0","453,288.0","466,444.0","512,725.0","523,091.0","545,520.0","577,805.0","603,105.0","628,376.0","662,716.0","668,968.0","721,401.0","757,745.0","817,016.0","869,263.0","935,457.0","972,613.0","985,711.0","958,197.0","996,678.0"
"37","19","      Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,453.0","778,917.0","827,308.0","872,717.0","921,829.0","959,483.0","987,291.0","964,113.0","986,816.0"
"38","20","      Net interest and miscellaneous payments on assets","W255RC1","32,715.0","39,131.0","43,873.0","47,905.0","55,235.0","70,767.0","81,624.0","85,537.0","101,069.0","115,027.0","138,872.0","181,826.0","232,335.0","271,123.0","285,313.0","327,060.0","341,484.0","367,082.0","366,650.0","385,303.0","434,096.0","444,218.0","418,227.0","387,714.0","364,601.0","362,230.0","358,315.0","371,068.0","407,550.0","479,326.0","481,372.0","539,262.0","544,355.0","506,370.0","504,128.0","461,624.0","543,046.0","652,238.0","731,615.0","870,141.0","656,738.0","564,277.0"
"39","21","      Business current transfer payments (net)","B029RC1","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","103,326.0","122,993.0","132,031.0","136,736.0"
"40","22","      Current surplus of government enterprises \1\","A108RC1","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-11,776.0","-15,980.0","-14,892.0","-15,665.0"
"41","23","      Wage accruals less disbursements","A062RC1","0.0","0.0","582.0","4.0","-56.0","-480.0","100.0","100.0","100.0","271.0","-181.0","-40.0","59.0","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","-15,756.0","6,447.0","17,619.0","16,369.0","3,648.0","-2,933.0","-705.0","5,150.0","0.0","0.0","0.0","15,000.0","-15,000.0","5,000.0","1,250.0","-6,250.0","-5,000.0","5,000.0","0.0"
"42","24","Plus: Personal income receipts on assets","W210RC1","84,135.0","93,506.0","100,972.0","109,610.0","124,663.0","146,371.0","162,173.0","178,448.0","205,306.0","234,776.0","274,740.0","338,660.0","421,928.0","488,350.0","529,587.0","607,881.0","653,227.0","694,453.0","715,798.0","767,040.0","874,793.0","920,769.0","928,573.0","909,722.0","900,453.0","947,667.0","1,005,363.0","1,080,741.0","1,165,451.0","1,269,164.0","1,246,789.0","1,360,679.0","1,345,968.0","1,309,562.0","1,312,896.0","1,408,483.0","1,541,986.0","1,829,676.0","2,057,026.0","2,165,398.0","1,707,660.0","1,721,172.0"
"43","25","      Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,212.0","209,638.0","235,312.0","279,471.0","318,369.0","354,832.0","383,741.0","400,132.0","424,898.0","450,966.0","467,612.0","496,459.0","542,602.0","594,907.0","665,867.0","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,012.0","1,188,105.0","1,282,143.0","1,341,748.0","1,415,516.0","1,508,578.0","1,605,003.0","1,718,459.0","1,879,235.0","2,138,102.0","2,281,190.0"
"44","26","Equals: Personal income","A065RC1","778,327.0","838,579.0","903,097.0","992,638.0","1,110,545.0","1,222,744.0","1,334,861.0","1,474,655.0","1,632,503.0","1,836,727.0","2,059,527.0","2,301,516.0","2,582,276.0","2,766,817.0","2,952,169.0","3,268,868.0","3,496,687.0","3,696,026.0","3,924,366.0","4,231,243.0","4,557,472.0","4,846,723.0","5,031,501.0","5,347,262.0","5,568,148.0","5,874,816.0","6,200,911.0","6,591,578.0","7,000,742.0","7,525,376.0","7,910,833.0","8,559,433.0","8,883,292.0","9,060,097.0","9,378,125.0","9,937,237.0","10,485,882.0","11,268,077.0","11,912,258.0","12,460,157.0","11,930,190.0","12,373,540.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","  Gross domestic income","A261RC1","981,560.0","1,031,449.0","1,115,803.0","1,228,939.0","1,374,250.0","1,489,638.0","1,621,394.0","1,801,113.0","2,008,917.0","2,267,707.0","2,515,255.0","2,742,851.0","3,090,256.0","3,248,444.0","3,484,911.0","3,899,356.0","4,175,169.0","4,392,323.0","4,703,481.0","5,109,955.0","5,426,041.0","5,716,327.0","5,912,357.0","6,232,314.0","6,531,555.0","6,976,351.0","7,362,133.0","7,812,536.0","8,346,336.0","8,878,816.0","9,424,551.0","10,085,468.0","10,389,521.0","10,664,388.0","11,125,532.0","11,875,602.0","12,718,041.0","13,619,489.0","14,040,664.0","14,293,978.0","13,861,513.0","14,525,727.0"
"47","28","  Gross national income","A023RC1","987,675.0","1,037,842.0","1,123,397.0","1,237,497.0","1,386,869.0","1,505,158.0","1,634,398.0","1,817,960.0","2,029,209.0","2,289,288.0","2,547,186.0","2,777,036.0","3,123,191.0","3,284,954.0","3,521,996.0","3,935,646.0","4,201,715.0","4,409,935.0","4,721,136.0","5,133,317.0","5,451,965.0","5,750,750.0","5,942,267.0","6,261,454.0","6,562,737.0","7,000,427.0","7,391,789.0","7,844,206.0","8,369,786.0","8,896,133.0","9,452,353.0","10,123,213.0","10,441,430.0","10,713,498.0","11,194,222.0","11,966,811.0","12,815,189.0","13,691,905.0","14,163,935.0","14,463,142.0","14,013,775.0","14,715,083.0"
"48","29","  Gross national factor income \2\","X023RC1","902,392.0","946,719.0","1,023,495.0","1,130,798.0","1,269,276.0","1,377,359.0","1,497,433.0","1,668,979.0","1,870,867.0","2,118,712.0","2,365,170.0","2,576,867.0","2,886,684.0","3,042,906.0","3,260,598.0","3,638,559.0","3,879,174.0","4,073,728.0","4,369,655.0","4,752,161.0","5,036,418.0","5,311,074.0","5,467,055.0","5,759,261.0","6,047,120.0","6,436,176.0","6,809,730.0","7,230,573.0","7,726,591.0","8,214,535.0","8,740,930.0","9,364,390.0","9,667,157.0","9,903,386.0","10,353,362.0","11,066,866.0","11,853,541.0","12,677,704.0","13,099,772.0","13,370,418.0","12,938,439.0","13,597,334.0"
"49","30","  Net domestic product","A362RC1","885,240.0","930,013.0","1,009,044.0","1,110,734.0","1,241,487.0","1,335,766.0","1,447,321.0","1,616,413.0","1,798,354.0","2,032,348.0","2,263,327.0","2,444,058.0","2,733,495.0","2,819,652.0","3,083,501.0","3,456,548.0","3,712,027.0","3,921,592.0","4,165,260.0","4,489,408.0","4,830,694.0","5,109,325.0","5,267,734.0","5,597,955.0","5,889,335.0","6,265,993.0","6,545,195.0","6,925,939.0","7,368,557.0","7,772,948.0","8,259,094.0","8,767,158.0","9,029,946.0","9,337,337.0","9,788,160.0","10,420,489.0","11,081,584.0","11,716,538.0","12,261,164.0","12,437,466.0","12,072,778.0","12,651,607.0"
"50","31","  Net domestic income","W256RC1","882,369.0","923,136.0","998,030.0","1,101,788.0","1,233,468.0","1,325,952.0","1,431,015.0","1,592,943.0","1,777,141.0","2,006,293.0","2,216,354.0","2,398,766.0","2,696,914.0","2,814,902.0","3,033,806.0","3,425,009.0","3,669,726.0","3,853,848.0","4,132,387.0","4,498,941.0","4,774,589.0","5,025,125.0","5,187,997.0","5,487,963.0","5,753,540.0","6,157,184.0","6,492,673.0","6,900,019.0","7,382,531.0","7,858,269.0","8,330,161.0","8,901,144.0","9,133,300.0","9,359,409.0","9,771,480.0","10,442,837.0","11,176,666.0","11,958,812.0","12,273,153.0","12,439,901.0","11,995,341.0","12,650,787.0"
"51","32","  Net national factor income \3\","X032RC1","803,201.0","838,406.0","905,722.0","1,003,647.0","1,128,494.0","1,213,673.0","1,307,054.0","1,460,809.0","1,639,091.0","1,857,298.0","2,066,269.0","2,232,782.0","2,493,342.0","2,609,364.0","2,809,493.0","3,164,212.0","3,373,731.0","3,535,253.0","3,798,561.0","4,141,147.0","4,384,966.0","4,619,872.0","4,742,695.0","5,014,910.0","5,269,105.0","5,617,009.0","5,940,270.0","6,318,056.0","6,762,786.0","7,193,988.0","7,646,540.0","8,180,066.0","8,410,936.0","8,598,407.0","8,999,310.0","9,634,101.0","10,312,166.0","11,017,027.0","11,332,261.0","11,516,341.0","11,072,267.0","11,722,394.0"
"52","33","  Net domestic purchases","W367RC1","883,808.0","926,063.0","1,008,423.0","1,114,106.0","1,237,377.0","1,336,581.0","1,431,344.0","1,618,044.0","1,821,447.0","2,057,714.0","2,285,873.0","2,457,114.0","2,746,022.0","2,839,632.0","3,135,151.0","3,559,279.0","3,827,236.0","4,054,125.0","4,310,210.0","4,599,516.0","4,918,583.0","5,186,931.0","5,294,694.0","5,630,787.0","5,953,723.0","6,358,718.0","6,635,885.0","7,022,240.0","7,469,912.0","7,934,775.0","8,521,172.0","9,149,208.0","9,400,934.0","9,764,512.0","10,292,274.0","11,039,184.0","11,804,315.0","12,485,853.0","12,974,235.0","13,147,178.0","12,464,293.0","13,168,504.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
