"","Table 6#19C# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2014 1:20:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Corporate profits after tax","A055RC0",200350,246726,243336,258627,290726,313873,334910,408563,467413,507271,551466,479711,507363,481994
"9","2","Domestic industries","A3202C0",152340,189742,176205,182540,214255,240782,257980,330597,374466,405301,443911,376950,385360,335816
"10","3","  Agriculture, forestry, and fishing","A3203C0",1342,1237,1040,1022,606,1405,1251,880,1414,2437,2546,2430,3969,3948
"11","4","    Farms","B3204C0",500,576,740,625,329,840,760,130,318,1084,1311,107,1022,962
"12","5","    Agricultural services, forestry, and fishing","B3205C0",842,661,299,397,277,565,491,750,1096,1354,1235,2323,2947,2985
"13","6","  Mining","A3206C0",-2651,-545,-310,711,-213,760,505,2479,3330,6913,9331,118,1421,8753
"14","7","    Metal mining","B3207C0",-689,217,-206,-327,-254,-220,-621,303,102,-999,-486,-1116,-1351,-1301
"15","8","    Coal mining","B3208C0",182,556,520,334,185,56,-202,274,59,333,-6,-266,-123,-244
"16","9","    Oil and gas extraction","B3209C0",-2762,-1964,-1113,350,-421,605,1289,1255,2474,6981,8912,456,4362,10619
"17","10","    Nonmetallic minerals, except fuels","B3210C0",618,646,488,354,277,318,40,647,696,599,911,1043,-1466,-322
"18","11","  Construction","B3211C0",5738,5051,4493,1972,2228,876,4496,7947,11420,14429,14794,20617,24443,29829
"19","12","  Manufacturing","A3212C0",62962,87224,75506,73197,59855,63944,70846,102400,135499,138741,159618,140857,141799,131184
"20","13","    Durable goods","A3213C0",35044,42170,38188,26183,20404,28080,34437,55924,65869,68863,85980,80543,72024,58346
"21","14","      Lumber and wood products","B3214C0",3579,2946,2965,1635,930,2442,3361,3538,4321,2518,2714,3121,4681,2531
"22","15","      Furniture and fixtures","B3215C0",1041,853,622,578,711,1062,1478,1423,1544,2364,2523,2363,2656,2148
"23","16","      Stone, clay, and glass products","B3216C0",1821,901,594,556,-149,668,760,2451,3251,2728,4925,4723,5561,4662
"24","17","      Primary metal industries","B3217C0",2347,4808,3283,899,-1071,-3263,-2197,365,4821,2348,2680,2189,-764,-1126
"25","18","      Fabricated metal products","B3218C0",3527,5025,4315,3765,3137,3744,4884,8148,9430,10612,12833,12409,12080,11889
"26","19","      Industrial machinery and equipment","B3219C0",2984,8533,10078,8470,2908,3395,1902,3226,9540,9772,11704,11191,4620,9205
"27","20","      Electronic and other electric equipment","B3220C0",7593,8588,8345,6908,8423,8062,9710,15940,18309,18764,27185,18709,16666,14280
"28","21","      Motor vehicles and equipment","B3221C0",3114,3601,2299,-2982,-1906,4484,10170,16853,8183,8321,6435,10934,7867,-890
"29","22","      Other transportation equipment","B3222C0",7380,4032,2934,2335,3251,3145,1611,978,1356,4095,5654,6494,10469,7848
"30","23","      Instruments and related products","B3223C0",1333,2339,2402,3490,3697,3684,2394,2091,3928,6331,6903,5659,4692,5054
"31","24","      Miscellaneous manufacturing industries","B3224C0",326,544,352,530,474,657,363,912,1187,1009,2424,2751,3497,2745
"32","25","    Nondurable goods","A3225C0",27918,45053,37318,47014,39450,35864,36409,46476,69631,69878,73638,60314,69775,72838
"33","26","      Food and kindred products","B3226C0",5653,4558,3863,7356,10889,10998,10241,12218,20525,14465,15615,12977,15981,16600
"34","27","      Tobacco products","B3227C0",1069,3852,1164,2053,985,1117,713,357,659,826,938,336,2051,593
"35","28","      Textile mill products","B3228C0",1430,828,740,721,903,2226,1876,1714,1358,1537,1674,1796,1311,535
"36","29","      Apparel and other textile products","B3229C0",1304,1217,1377,1200,1530,2071,1932,2010,1719,1676,1693,1444,1034,1520
"37","30","      Paper and allied products","B3230C0",4054,6444,5905,4499,2700,1703,2045,3659,10452,6956,3631,3522,5547,7469
"38","31","      Printing and publishing","B3231C0",6141,5609,5826,5608,7182,8581,8330,10069,8429,11688,12019,12619,15556,10174
"39","32","      Chemicals and allied products","B3232C0",10686,15301,14411,13244,13128,12376,12748,16852,21578,20150,23818,21867,21464,16046
"40","33","      Petroleum and coal products","B3233C0",-3887,5615,2069,10636,303,-5450,-3563,-3288,1729,8561,9990,1370,2706,18452
"41","34","      Rubber and miscellaneous plastics products","B3234C0",1087,1230,1566,1239,1295,1822,1878,2945,2824,3844,3963,4089,3852,1231
"42","35","      Leather and leather products","B3235C0",381,400,396,458,535,420,209,-59,358,175,295,295,273,219
"43","36","  Transportation and public utilities","A3236C0",24071,26290,22818,24990,32903,36157,45552,55363,58375,60141,50015,37927,13281,3358
