"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2014 12:53:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross domestic product","B191RG3",21.692,22.835,23.996,25.038,26.399,28.763,31.435,33.161,35.213,37.685,40.795,44.485,48.663,51.63,53.664,55.57,57.347,58.51,59.941,62.042,64.455,66.848,69.063,70.639,72.322,73.859,75.402,76.776,78.097,78.944,80.071,81.894,83.767,85.055,86.754,89.13,91.989,94.816,97.338,99.208,100,101.215,103.203,105.008,106.487
"9","2","Business \1\","B195RG3",25.075,26.151,27.256,28.205,29.675,32.572,35.743,37.62,39.853,42.634,46.231,50.375,55.027,58.156,60.151,61.894,63.63,64.503,65.699,67.779,70.247,72.574,74.638,75.834,77.585,78.953,80.348,81.598,82.793,83.227,83.74,85.292,86.797,87.424,88.645,90.668,93.484,96.048,98.247,99.71,100,101.153,103.29,105.154,106.581
"10","3","  Nonfarm \2\","B358RG3",24.52,25.598,26.698,27.526,28.511,31.46,34.833,36.741,39.033,41.616,45.122,49.444,54.187,57.525,59.375,61.07,63.089,63.996,65.175,67.157,69.578,71.948,74.152,75.384,77.136,78.557,79.933,81.023,82.417,82.916,83.565,85.212,86.643,87.352,88.474,90.328,93.369,96.013,97.937,99.396,100,100.995,102.751,104.602,105.948
