"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:45:06 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2
"9","1","    Exports of goods and services","B020RG3",29.196,29.157,29.126,29.288,29.501,30.109,29.745,29.959,30.414,30.466
"10","2","Exports of goods \1\","B253RG3",34.025,33.865,33.72,33.849,34.01,34.87,34.231,34.445,35.042,34.942
"11","3","  Foods, feeds, and beverages","B638RG3",24.457,24.459,24.157,23.65,23.913,24.116,23.341,23.125,23.816,23.759
"12","4","  Industrial supplies and materials","B639RG3",19.094,18.971,18.787,18.68,18.765,18.426,18.073,18.085,18.283,18.294
"13","5","    Durable goods","B686RG3",18.508,18.382,18.192,18.119,18.164,17.854,17.496,17.511,17.716,17.73
"14","6","    Nondurable goods","B687RG3",19.19,19.071,18.892,18.768,18.876,18.524,18.178,18.188,18.378,18.388
"15","7","  Capital goods, except automotive","B640RG3",70.576,69.963,70.207,71.943,72.185,79.06,77.081,78.48,80.202,79.382
"16","8","    Civilian aircraft, engines, and parts","B688RG3",12.938,13.022,13.103,13.187,13.315,13.439,13.522,13.648,13.773,13.901
"17","9","    Computers, peripherals, and parts","B850RG3",10982.793,11091.411,11068.042,10986.862,10884.411,11016.94,11011.171,11178.392,11109.826,10926.014
"18","10","    Other","B689RG3",45.705,45.207,45.368,46.68,46.836,52.107,50.459,51.456,52.788,52.14
"19","11","  Automotive vehicles, engines, and parts","B641RG3",18.376,18.529,18.529,18.682,18.682,18.759,18.377,18.765,19.078,19.312
