"","Table 7#14# Chain-Type Quantity and Price Indexes for Gross Dome","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2003 2:26:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8",NA,"Chain-type quantity indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Gross domestic product","B191RA",10.52,9.62,9.01,7.83,7.72,8.55,9.32,10.53,11.08,10.7,11.56,12.55,14.7,17.41,20.27,21.94,21.67,19.27,19.14,19.97,19.85,21.59,23.23,24.16,25.26,25.09,26.87,27.4,27.95,27.68,29.68,30.42,31.13,33.01,34.43,36.43,38.76,41.31,42.34,44.36,45.71,45.8,47.33,49.9,52.78,52.46,52.28,55.19,57.75,60.93,62.87,62.73,64.26,62.96,65.69,70.46,73.17,75.67,78.24,81.51,84.37,85.85,85.45,88.06,90.39,94.04,96.55,100,104.43,108.91,113.39,117.64,117.94,120.82
"10","2","Business \1\","B195RA",9.36,8.47,7.88,6.77,6.63,7.34,8.03,9.05,9.63,9.19,10.01,10.91,12.77,14.73,16.31,17.25,16.97,16.82,17.28,18.21,18.09,19.85,21.14,21.89,22.98,22.79,24.6,25.07,25.56,25.21,27.27,27.88,28.5,30.33,31.71,33.69,36.03,38.44,39.24,41.18,42.46,42.54,44.2,47.07,50.27,49.74,49.35,52.57,55.37,58.81,60.89,60.54,62.2,60.56,63.58,68.92,71.7,74.21,76.81,80.1,82.98,84.25,83.52,86.47,89.05,93.23,96.03,100,104.97,109.96,115.05,119.69,119.56,122.53
"11","3","  Nonfarm \2\","B358RA",8.67,7.81,7.09,6.02,5.91,6.74,7.29,8.46,8.88,8.45,9.2,10.2,11.99,13.91,15.6,16.62,16.33,16.16,16.83,17.58,17.52,19.29,20.74,21.45,22.52,22.28,24.12,24.6,25.16,24.76,26.9,27.46,28.09,30,31.39,33.47,35.81,38.34,39.07,41.12,42.39,42.44,44.09,47.04,50.38,49.88,49.15,52.56,55.35,58.95,60.97,60.66,61.97,60.22,63.82,68.91,71.48,74.09,76.71,80.2,82.96,84.17,83.41,86.26,89.01,93.04,96.08,100,104.88,109.96,115.02,119.58,119.51,122.49
"12","4","    Nonfarm less housing","B498RA",8.77,7.81,7,5.78,5.69,6.59,7.2,8.48,8.94,8.43,9.24,10.32,12.25,14.28,16.09,17.16,16.82,16.58,17.26,18.01,17.87,19.71,21.18,21.84,22.91,22.53,24.43,24.85,25.32,24.75,26.93,27.37,27.9,29.8,31.17,33.3,35.67,38.27,38.89,40.97,42.19,42.12,43.75,46.75,50.18,49.38,48.55,52.11,54.99,58.62,60.53,59.83,61.01,59.04,62.92,68.2,70.78,73.5,76.16,79.72,82.49,83.66,82.57,85.5,88.55,92.64,95.76,100,105.31,110.69,115.84,120.58,120.48,123.84
"13","5","    Housing","B499RA",7.84,7.8,7.76,7.71,7.46,7.69,7.68,7.65,7.78,8.11,8.24,8.48,8.92,9.64,10.21,10.68,10.95,11.32,11.97,12.66,13.55,14.57,15.75,17.02,18.08,19.26,20.42,21.59,23.01,24.39,26.11,27.88,29.53,31.46,33.09,34.67,36.63,38.41,40.32,41.89,43.77,45.07,46.93,49.26,51.55,54.31,54.93,56.33,58.08,61.19,64.46,68.74,71.45,72.39,72.85,75.66,78.16,79.52,81.87,84.54,87.34,88.95,91.22,93.31,93.26,96.7,98.98,100,100.96,103.41,107.63,110.61,110.86,110.72
