"","Table 6#18C# Federal, State, and Local Corporate Profits Tax Lia","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2003 2:18:23 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Corporate profits tax liability","A054RC0C",127089,137158,141453,140606,133578,143148,165375,186693,210976,223645,237199,238847,247790,259369,199301
"9","2","Domestic industries","A3102C0C",127089,137158,141453,140606,133578,143148,165375,186693,210976,223645,237199,238847,247790,259369,199301
"10","3","  Agriculture, forestry, and fishing","A3103C0C",515,570,648,626,531,602,711,704,668,736,675,624,638,714,631
"11","4","    Farms","B3104C0C",367,396,494,459,382,447,510,487,440,488,499,431,459,NA,NA
"12","5","    Agricultural services, forestry, and fishing","B3105C0C",148,174,154,167,149,155,201,217,228,248,176,193,179,NA,NA
"13","6","  Mining","A3106C0C",816,1214,1192,1583,1181,1122,854,908,1314,1539,2284,1388,954,2355,2954
"14","7","    Metal mining","B3107C0C",134,346,193,374,191,187,195,280,383,124,131,155,82,NA,NA
"15","8","    Coal mining","B3108C0C",164,216,242,179,119,281,117,172,137,189,202,146,68,NA,NA
"16","9","    Oil and gas extraction","B3109C0C",148,319,495,834,717,468,380,242,522,944,1619,106,386,NA,NA
"17","10","    Nonmetallic minerals, except fuels","B3110C0C",370,333,262,196,154,186,162,214,272,282,332,981,418,NA,NA
"18","11","  Construction","B3111C0C",2859,2774,2596,2218,1970,1648,1887,2309,2700,3171,3311,4029,4465,4761,3713
"19","12","  Manufacturing","A3112C0C",43623,53271,49242,48040,39611,41124,47327,60816,65617,70608,76071,65099,70480,77711,45545
"20","13","    Durable goods","A3113C0C",18582,23684,20518,18727,15191,15873,22131,29608,30805,34309,37644,32452,32577,34354,14523
"21","14","      Lumber and wood products","B3114C0C",1391,1293,1276,775,632,844,1124,1313,1687,791,634,825,1213,NA,NA
"22","15","      Furniture and fixtures","B3115C0C",730,533,481,351,314,468,539,627,742,912,1018,1010,948,NA,NA
"23","16","      Stone, clay, and glass products","B3116C0C",1352,1030,930,877,447,596,658,1138,1382,1425,1955,1810,2060,NA,NA
"24","17","      Primary metal industries","B3117C0C",917,1645,1743,1282,608,676,814,1472,2118,1616,1944,1532,1178,NA,NA
"25","18","      Fabricated metal products","B3118C0C",2372,2227,2115,1909,1521,1760,2075,3030,3166,3671,4097,3604,3501,NA,NA
"26","19","      Industrial machinery and equipment","B3119C0C",2406,3050,2899,2546,1938,2067,2426,3773,4623,5627,5998,8892,7854,NA,NA
"27","20","      Electronic and other electric equipment","B3120C0C",3099,4350,4679,4558,3666,4145,6275,8684,8636,9817,11417,4898,5500,NA,NA
"28","21","      Motor vehicles and equipment","B3121C0C",2508,3191,1958,1568,-1,1002,2452,3317,2347,3193,3857,4375,4271,NA,NA
"29","22","      Other transportation equipment","B3122C0C",1971,3958,2600,2856,3553,1957,2577,1780,2091,3036,2614,2019,3248,NA,NA
"30","23","      Instruments and related products","B3123C0C",1052,1502,984,1176,1566,1493,1797,3207,2527,3006,2926,2373,1789,NA,NA
