"","Table 6#9C# Hours Worked by Full-Time and Part-Time Employees by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of hours]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2003 2:16:42 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Hours worked by full-time and part-time employees","B4701C0C",186340,191384,196947,198658,194379,195773,199053,204497,209918,212892,219137,225823,230421,234652,232808
"9","2","Domestic industries","B4702C0C",186477,191540,197120,198829,194550,195956,200002,205644,211074,213881,220201,226867,231577,235834,234047
"10","3","  Private industries","B4703C0C",155059,159513,164443,165629,161507,162679,166897,172560,177870,180738,187133,193490,197996,201627,199296
"11","4","    Agriculture, forestry, and fishing","B4704C0C",3297,3478,3379,3471,3455,3334,3377,3493,3630,3655,3811,3764,4137,4173,4186
"12","5","      Farms","B4705C0C",1980,2072,1895,1930,1915,1799,1767,1757,1820,1741,1832,1647,1934,1879,1837
"13","6","      Agricultural services, forestry, and fishing","B4706C0C",1317,1406,1484,1541,1540,1535,1610,1736,1810,1914,1979,2117,2203,2294,2349
"14","7","    Mining","B4707C0C",1495,1480,1471,1557,1509,1368,1336,1312,1298,1301,1336,1279,1151,1146,1219
"15","8","    Construction","B4708C0C",9709,10209,10435,10357,9446,9133,9505,10191,10587,11063,11739,12335,13212,13878,13957
"16","9","    Manufacturing","B4709C0C",36814,37749,37867,37086,35577,35270,35620,36364,36524,36436,37037,37095,36897,36437,34245
"17","10","      Durable goods","B4710C0C",21693,22394,22357,21661,20481,20115,20362,20973,21261,21462,22052,22336,22266,22108,20647
"18","11","      Nondurable goods","B4711C0C",15121,15355,15510,15425,15096,15155,15258,15391,15263,14974,14985,14759,14631,14329,13598
"19","12","    Transportation and public utilities","B4712C0C",10084,10067,10408,10680,10475,10492,10870,11405,11839,12030,12285,12587,13040,13123,13038
"20","13","      Transportation","B4713C0C",5968,6044,6317,6524,6347,6405,6730,7259,7622,7856,8003,8290,8430,8441,8284
"21","14","      Communications","B4714C0C",2357,2308,2279,2350,2297,2246,2298,2351,2430,2462,2573,2617,2903,3031,3083
"22","15","      Electric, gas, and sanitary services","B4715C0C",1759,1715,1812,1806,1831,1841,1842,1795,1787,1712,1709,1680,1707,1651,1671
"23","16","    Wholesale trade","B4716C0C",10993,11482,11823,11607,11246,11421,11052,11557,12133,12055,12423,12968,12926,13277,12700
"24","17","    Retail trade","B4717C0C",28467,29177,30282,29835,29233,29597,30290,31632,32569,32937,33825,33956,35201,35372,35468
"25","18","    Finance, insurance, and real estate","B4718C0C",11573,11541,11656,11649,11503,11506,11760,11952,11917,12066,12715,13125,13502,13367,13482
"26","19","    Services","B4719C0C",42627,44330,47122,49387,49063,50558,53087,54654,57373,59195,61962,66381,67930,70854,71001
"27","20","  Government","B4720C0C",31418,32027,32677,33200,33043,33277,33105,33084,33204,33143,33068,33377,33581,34207,34751
"28","21","    General government","B4721C0C",28128,28676,29277,29786,29658,29934,29770,29690,29765,29728,29669,29957,30153,30805,31166
"29","22","    Government enterprises","B4722C0C",3290,3351,3400,3414,3385,3343,3335,3394,3439,3415,3399,3420,3428,3402,3585
"30","23","Rest of the world \1\","B4723C0C",-137,-156,-173,-171,-171,-183,-949,-1147,-1156,-989,-1064,-1044,-1156,-1182,-1239
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32"," 1. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
