"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1968 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 16, 2002  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2003 2:09:36 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Budget receipts","M318011B",153.7,187.8,193.7,188.4,208.6,232.2,264.9,281,300,356.9,402,465.9,520.1,602.6,617.8,600.6,663.6,733.7,768.8,853.8,908.4,990.7,1031.3,1054.3,1090.5,1153.2,1257.5,1351.5,1452.8,1579,1721.4,1827.3,2025,1990.2
"10","2","Less: Coverage differences","M318021B",4.2,5.2,5.7,5.8,8,7.6,7.8,7.8,8.7,11.1,9.2,9.6,10.8,11.9,13.6,10.6,10.8,12.4,13.6,13.4,13.7,14.8,17.6,17.4,17.8,19.2,22.1,21.5,25.1,27.9,34,39,41.4,40.8
"11","3","        Geographic \1\","M318031B",0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.8,0.7,0.7,0.8,1.1,1.5,1.2,1.4,1.5,1.6,1.5,1.5,1.8,1.9,2,2.1,2.2,2.5,2.6,2.7,2.9,3.2,3.3,3.5,3.6
"12","4","        Contributions received by Federal employee retirement plans \2\","M318041B",1.4,1.5,1.8,2,2.1,2.2,2.3,2.6,2.8,3,3.2,3.5,3.7,4,4.2,4.4,4.6,4.8,4.7,4.7,4.6,4.5,4.5,4.6,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.5,4.8,4.7
"13","5","        Capital transfers received \3\","M318051B",3,3.5,3.6,3.7,5.4,4.9,5,4.6,5.2,7.3,5.2,5.3,6.3,6.7,7.8,5.9,5.8,6.3,6.8,7.3,7.3,8.6,11.3,11,11,12.3,15.1,14.5,17.1,19.7,23.9,27.6,28.8,28.2
"14","6","        Financial transactions","M318061B",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","7","        Other \4\","M318071B",-0.4,0,0,-0.2,0.2,0.1,-0.1,0,-0.1,0,0.1,0.1,-0.1,0.1,0.1,-1,-1,-0.1,0.5,-0.1,0.3,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.9,0.9,2.6,3.6,4.3,4.3
"16","8","      Netting and grossing differences","M318081B",-1.3,-2.1,-2.4,-2.4,-2.9,-3,-2.9,-3.9,-4.2,-5.3,-4.1,-4.4,-4.6,-6,-11.6,-12,-14.7,-17.3,-15.3,-15.6,-18.9,-20.9,-23.2,-27.3,-32.8,-37.5,-39.2,-37.3,-37,-41.6,-40.8,-41.6,-45.4,-49.9
"17","9","        Supplementary medical insurance premiums","M318091B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.7
"18","10","        Taxes received from the rest of the world \5\","B1068C1B",0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.7,0.9,1.1,1.5,1.6,1.4,1.3,1.3,1.7,1.8,2,2.4,2.6,2.8,2.9,2.6,2.7,3,3.7,4.7,5.1,5.2,6.2,6.7,7.2
"19","11","        Other \6\","M318111B",-1.6,-2.5,-2.8,-2.8,-3.3,-3.4,-3.3,-4.3,-4.8,-6,-5,-5.5,-6.1,-7.6,-9.1,-9,-11,-13.5,-11.4,-11,-12.5,-11.9,-14.4,-17.9,-22.1,-24.9,-24.5,-20.7,-21.7,-26.2,-25.2,-26.2,-30.2,-33.4
"20","12","Plus: Timing differences","M318121B",3.1,-1.2,-2.9,-0.3,0.3,2.5,1.3,-3.7,6.3,0.5,3.4,3.9,-4.9,-6.9,-8.2,7.5,7.4,-1.4,2.7,-0.2,-2,3.8,2.5,1.5,-1.1,2.8,1.2,3.8,3.9,6.3,2.5,-3.9,-9.6,16.8
"21","13","        Corporate profits taxes","M318131B",2.2,-2.4,-3.1,1.8,-0.9,0.8,0.2,-3.8,4.9,-0.8,1.4,1.6,-5.1,-4.2,-10.9,5.4,4.7,-0.5,2.5,2.5,-0.7,2.4,3.9,0.6,-3.1,3.7,-0.9,4.1,0.5,2.7,-3,0.1,-9.7,12.9
"22","14","        Federal and State unemployment insurance taxes","M318141B",0,0,0,-0.1,0.5,0.4,0.1,-0.1,0.6,0.3,0.4,0.1,0.1,0.1,0.4,1.7,-0.1,0,0.6,-1.1,0.6,0.9,-0.2,0.2,0.6,0.5,0.9,0.2,-0.1,-0.3,-0.1,0.5,0.4,0
"23","15","        Withheld personal income tax and social security contributions","M318151B",0.9,1.1,0.2,-1.7,0.8,1.2,1,0.2,1,0.9,1.6,2,-0.4,-3.1,2.6,0.2,4.3,0.9,1.1,0.8,0.1,0.7,0.7,0.4,0.8,1,1.3,1,1.9,1.8,1.6,2.3,1.4,3.1
"24","16","        Excise taxes","M318161B",0,0,0,-0.4,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,-0.6,0.1,-1.6,-1.8,-1.5,-2.4,-2.9,-0.7,-1.2,0.2,-0.3,-2.7,-0.5,0,1.4,1.4,3,-6.8,-1.8,0.6
"25","17","        Other","M318171B",0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0,0.3,0.2,0.3,0.2,0.3,0.2,0,0,0,0,0,0.9,0.5,-0.7,0.2,0.9,0.2,0.4,-1.6,0.2,0.7,0.9,0.1,0.1,0.2
"26","18","Equals: Federal Government current receipts, national income and product accounts","M318181B",154,183.5,187.6,184.8,203.8,230.1,261.4,273.4,301.8,351.6,400.4,464.6,508.9,589.8,607.6,609.5,675,737.2,773.2,855.9,911.6,1000.6,1039.4,1065.7,1104.4,1174.3,1275.8,1371,1468.6,1599,1730.7,1826,2019.5,2016.2
"27",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","Budget outlays","M318191B",178.8,184.5,196.6,211.4,231.9,246.5,268.4,324.6,365.6,401.9,450.8,493.2,579,660.5,728.4,796,841.8,936.9,989.9,1002.2,1062.6,1144,1251.8,1323.8,1380.8,1408.5,1460.6,1515.4,1560.2,1601.5,1651.4,1702.8,1788.3,1863.2
"29","20","Less: Coverage differences","M318201B",16.7,11.1,9.2,4.8,6.2,0.1,-0.9,7.4,10.8,12.7,20.9,23.4,28.6,23.5,28.3,19.3,29.4,43.5,36.7,25.8,31.2,38.9,73.6,94.6,17.1,-12.1,-0.6,-13.8,-0.1,-23.1,-6.3,11.4,2.6,12.3
"30","21","        Geographic \7\","M318211B",0.5,0.5,0.6,0.7,0.9,1.2,1.3,2.1,2.8,3.1,3.5,3.9,4.4,4.6,5,4.8,5.1,5.4,5.5,5.4,5.7,6.2,7.3,7.1,6.7,7.1,7.5,8,8.5,8.9,8.9,9.8,10.6,11.1
"31","22","        Federal employee retirement plan transactions \2\","M318221B",2.1,2.6,2.6,3,3.1,3.6,4.3,4.6,5.4,4.3,6,6.2,6.5,7.6,7.5,7,6.8,-24,-26.2,-26.8,-27.3,-28.6,-28.6,-30.8,-32.7,-31.7,-30.1,-29,-27,-31.8,-31.6,-32.2,-31.5,-31.8
"32","23","          Interest received","M318231B",-0.7,-0.8,-1.2,-1,-1.5,-1.6,-1.8,-2.1,-2.5,-2.8,-3.2,-3.8,-4.7,-5.7,-7.5,-9.3,-11,-14.1,-17.3,-19.3,-22.2,-25.1,-28,-30.7,-33.3,-35.6,-36.9,-39.6,-41.4,-43.1,-44.8,-46.9,-46.6,-49.1
"33","24","          Contributions received (employer)","M318241B",-1.5,-1.5,-1.9,-2.7,-3.2,-3.9,-4.8,-6.7,-7.9,-10.8,-11.2,-12.9,-15.8,-18.4,-19.8,-20.9,-21.1,-49.3,-51.2,-52.2,-53.2,-54,-54.5,-57.8,-58.9,-58.3,-57.8,-57.3,-55.9,-62,-62.1,-62.6,-64.7,-66.2
"34","25","          Benefits paid","M318251B",4.3,4.9,5.7,6.7,7.8,9,10.9,13.4,15.7,18,20.3,22.9,26.9,31.7,34.8,37.2,38.9,39.4,42.3,44.6,48.1,50.5,53.8,57.6,59.5,62.1,64.5,67.8,70.2,73.2,75.3,77.2,79.7,83.3
"35","26","          Administrative expenses","M318261B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"36","27","        Financing disbursements from credit programs \8\","M318271B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,1.3,-2.3,-4.3,-11.7,-20.7,-11,-15.2,-17.1,-23.3
"37","28","        Other differences in funds covered \9\","M318281B",-1.8,-2.2,-2.7,-3.6,-4.2,-6.2,-8.6,-15.7,-16.2,-17.2,-19.5,-22.6,-26.1,-34.5,-32.3,-28.2,-26.3,-8.6,-2.5,-1.6,-0.3,-0.3,-0.4,-0.3,0.1,-0.3,-0.4,-0.6,0.2,0.3,1.5,2.7,2.5,4.1
