"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 30, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2007 11:32:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment","A007RL1",10.1,-8.6,19.4,-4.2,-1.9,7,1.6,13,0.4,-1.1,-7.2,14,0.9,-0.3,9,7.7,9.7,10.2,5.7,-1.8,7,6.2,-2.1,7.6,12,9.1,-6.2,-10.7,9.9,14.4,12.1,5.6,-6.5,2.2,-7,7.3,16.9,5.3,1.2,0.6,3.3,3,-2.1,-6.5,5.9,8.6,9.3,6.5,9,9.2,10.2,8.3,6.5,-3,-5.2,3.4,7.3,6.9,2.4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","A008RZ2",3.45,-5.81,5.79,2.67,-1.23,5.69,-1.39,6.89,3.51,1.01,-7.5,5.25,3.54,-0.41,5.66,3.6,7.53,11.25,8.55,-0.98,3.25,5.35,-0.38,0,6.14,9.37,0.57,-7.15,3.6,7.87,10.03,6.82,-0.2,4.25,-2.93,-1.03,12.87,4.84,-2.1,-0.05,3.61,3.92,0.36,-3.95,2.38,6.25,6.54,7.41,6.77,8.69,8.11,6.69,6.31,-3.05,-6.58,0.65,3.73,4.47,4.11
"12","3","  Structures","B009RZ2",1.21,-0.74,1.66,1.6,-0.09,2.17,0.84,1.79,2.52,-0.01,-1.47,0.65,1.93,0.35,1.19,0.28,2.51,3.91,1.79,-0.68,0.39,1.38,0.08,-0.45,0.79,1.96,-0.52,-2.72,0.63,0.99,3.19,2.91,1.43,2.28,-0.53,-3.56,3.78,1.9,-2.98,-0.68,0.15,0.46,0.34,-2.67,-1.37,-0.15,0.34,1.17,1.06,1.38,1,-0.08,1.25,-0.43,-3.41,-0.73,0.22,0.08,1.43
"13","4","    Commercial and health care","W001RZ2",0.87,-0.24,0.97,-0.14,-0.85,1.14,0.93,1.4,0.71,-0.32,0.31,0.55,0.39,0.9,0.83,-0.25,0.6,1.2,-0.18,-0.27,0.65,1.11,0.1,0.78,0.82,0.4,-0.54,-1.91,-0.1,0.35,0.84,1.19,0.7,0.68,0.78,-0.31,2.16,1.64,-0.84,-0.39,0.32,-0.13,-0.41,-2.31,-0.6,0.31,0.35,0.44,0.58,0.8,0.47,0.26,0.51,-0.44,-1.3,-0.49,0.17,-0.05,0.48
"14","5","    Manufacturing","C307RZ2",-1.28,-0.92,0.24,1.7,0.29,-0.2,-0.26,0.35,1.12,0.29,-1.56,-0.39,1,-0.08,0.04,0.01,0.67,1.41,1.14,-0.67,-0.19,0.24,-0.16,-0.82,-0.48,0.72,0.49,-0.17,-0.34,0.1,1.09,0.9,-0.76,0.57,-0.16,-1.38,0.12,0.37,-0.54,-0.07,0.15,0.58,0.45,-0.31,-0.32,-0.74,0.47,0.51,0.17,-0.14,0.1,-0.64,-0.13,-0.2,-0.76,-0.08,0.05,0.18,0.09
"15","6","    Power and communication","W003RZ2",1.03,0.3,-0.03,0.02,0.06,0.63,-0.57,-0.29,0.87,0.23,-0.25,-0.28,0.05,-0.37,0.03,0.33,0.44,0.52,0.69,0.5,0.67,0,0.56,0.05,0.28,0.39,-0.4,-0.51,0.6,-0.1,0.27,0.2,0.05,0.14,-0.31,-0.78,0.1,-0.04,0.25,-0.42,-0.19,0.12,-0.23,0.58,0.24,-0.26,-0.34,0.06,-0.42,-0.09,0.34,0.41,0.38,0.09,-0.07,-0.41,-0.49,-0.07,0.16
"16","7","    Mining exploration, shafts, and wells","E318RZ2",0.59,0.03,0.57,0.16,0.38,0.36,0.41,0.31,-0.13,-0.22,-0.24,0.1,-0.21,0.06,0.15,-0.18,0.18,-0.03,-0.12,-0.09,0.01,0.08,-0.11,-0.14,0.12,0.11,0.31,0.38,0.25,0.42,0.49,0.25,1.57,1.02,-0.62,-1.31,0.69,-0.51,-1.57,-0.04,0.17,-0.19,0.28,-0.05,-0.38,0.25,-0.06,-0.25,0.09,0.26,-0.14,-0.14,0.37,0.32,-0.61,0.42,0.41,0.19,0.54
