"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Billions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2007 11:32:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Gross domestic investment","W170RX1",565.2,586.5,603.3,563.2,599.6,649.3,715.5,677.2,581.5,675.7,755.4,841.4,871.9,794.6,851,748.9,816.5,1032.1,1046.6,1057.6,1095.4,1115.1,1159.8,1141.9,1068.6,1138.7,1210.4,1340.7,1380.6,1491.3,1651.6,1797.7,1936.5,2040,1917.8,1892.9,1956.2,2116.3,2217.1,2280.5
"9","2","      Less: Consumption of fixed capital","A262RX1",273.3,285.5,302.3,314,321.6,339.7,356,373.4,384.4,396.8,415.4,438.8,461.7,479.2,494.6,514.1,531.4,561.2,595.3,612.2,639.6,662,697.6,724.1,757.4,784.6,800.3,848.5,881.1,921.4,978,1041.1,1113.1,1187.8,1275.2,1287.6,1320.4,1384.6,1494.1,1447.7
"10","3","      Equals: Net domestic investment","W171RX1",291.8,300.9,301,249.3,278,309.5,359.5,303.8,197.1,278.9,340,402.6,410.3,315.3,356.4,234.8,285.1,470.9,451.2,445.4,455.8,453.1,462.1,417.8,311.2,354.1,410.1,492.2,499.6,569.9,673.6,756.6,823.4,852.1,642.5,605,635.6,731.5,722.9,833.1
"11","4","Gross private domestic investment","A006RX1",408.1,431.9,457.1,427.1,475.7,532.1,594.4,550.6,453.1,544.7,627,702.6,725,645.3,704.9,606,662.5,857.7,849.7,843.9,870,890.5,926.2,895.1,822.2,889,968.3,1099.6,1134,1234.3,1387.7,1524.1,1642.6,1735.5,1598.4,1557.1,1613.1,1770.2,1869.3,1919.5
