"","Table 6#5D# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2007 11:38:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Full-time equivalent employees \1\","A4301C0",118823,121656,124319,124608,123307,122722,123810,126215,128332
"9","2","Domestic industries","A4302C0",119224,122097,124707,125144,123843,123314,124438,126870,129011
"10","3","  Private industries","A4303C0",100521,103248,105579,105670,104025,103396,104518,106894,108959
"11","4","    Agriculture, forestry, fishing, and hunting","N4304C0",1141,1174,1181,1366,1352,1364,1305,1279,1250
"12","5","      Farms \2\","N4305C0",663,662,664,746,746,759,707,668,644
"13","6","      Forestry, fishing, and related activities","N4306C0",478,513,517,620,607,605,597,610,606
"14","7","    Mining","N4307C0",558,510,511,530,504,496,516,557,611
"15","8","      Oil and gas extraction","N4308C0",128,113,118,123,122,119,121,126,134
"16","9","      Mining, except oil and gas","N4309C0",241,231,222,220,210,200,204,212,219
"17","10","      Support activities for mining","N4310C0",189,165,171,187,172,177,191,219,257
"18","11","    Utilities","N4311C0",595,597,593,595,586,564,560,545,545
"19","12","    Construction","N4312C0",6197,6638,6907,6853,6745,6747,7001,7315,7598
"20","13","    Manufacturing","N4313C0",17225,17045,16947,16190,15056,14306,14117,14044,13974
"21","14","      Durable goods","N4314C0",10779,10704,10713,10193,9374,8856,8809,8864,8877
"22","15","        Wood products","N4315C0",597,618,606,576,566,544,556,564,565
"23","16","        Nonmetallic mineral products","N4316C0",531,535,545,535,511,492,495,496,506
"24","17","        Primary metals","N4317C0",625,609,611,560,498,467,458,459,455
"25","18","        Fabricated metal products","N4318C0",1728,1729,1738,1645,1527,1457,1469,1504,1525
"26","19","        Machinery","N4319C0",1479,1433,1420,1348,1209,1136,1125,1148,1166
"27","20","        Computer and electronic products","N4320C0",1831,1786,1813,1728,1479,1336,1300,1296,1289
"28","21","        Electrical equipment, appliances, and components","N4321C0",565,552,568,548,491,455,440,429,429
"29","22","        Motor vehicles, bodies and trailers, and parts","N4322C0",1269,1289,1283,1198,1143,1106,1106,1093,1057
"30","23","        Other transportation equipment","N4323C0",792,769,736,714,673,642,648,669,687
"31","24","        Furniture and related products","N4324C0",637,657,664,630,593,559,561,556,549
"32","25","        Miscellaneous manufacturing","N4325C0",725,727,728,711,685,662,650,651,649
"33","26","      Nondurable goods","N4326C0",6446,6341,6235,5997,5681,5451,5309,5180,5097
"34","27","        Food and beverage and tobacco products","N4327C0",1706,1716,1719,1718,1702,1670,1648,1627,1631
"35","28","        Textile mills and textile product mills","N4328C0",666,620,584,521,474,436,405,376,346
"36","29","        Apparel and leather and allied products","N4329C0",652,596,538,486,408,359,333,301,279
"37","30","        Paper products","N4330C0",616,607,596,564,528,502,485,469,459
"38","31","        Printing and related support activities","N4331C0",774,775,767,764,705,675,663,644,635
"39","32","        Petroleum and coal products","N4332C0",129,126,120,118,116,114,109,109,109
"40","33","        Chemical products","N4333C0",966,967,968,946,913,891,872,862,853
"41","34","        Plastics and rubber products","N4334C0",938,935,942,880,835,806,793,791,786
"42","35","    Wholesale trade","N4335C0",5664,5766,5840,5577,5451,5451,5533,5652,5775
"43","36","      Durable goods","N4336C0",3378,3438,3482,3319,3202,3182,3227,3306,3397
