"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2007 11:45:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,"2006"
"8","1","Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS","B1200C1",28.2,27.2,28.5,29.6,30.3,32.8,34.9,37.1,38.9,41.1,41.9,41.5,42.6,45.4,48.3,49.4,49.1,56.8,65,70.2,74.7,67.3,55.9,49,63.5,75.2,78.2,80.7,90.2,124.3,130,140.3,146.7,184.4,209.6,231.8,248.2,287.8,311.3,335.8,369.5,393.2,401.7,414.8,443.2,512.9,634.7,"....."
"9","2","Plus: Adjustments for misreporting on income tax returns","B2636C1",9.4,10,10.9,11.9,12.5,13.7,14.3,15.5,16.4,18.1,19.1,20.4,24.1,28.9,32.5,38.5,43.2,53.2,59.6,71.8,79.5,87.6,88.2,98,106.7,132.3,143.7,146.6,143.8,147.7,157,165.4,164.9,172.4,185,196.3,211.3,220.7,227,245.9,270.5,293.3,300.1,307.9,326,356.7,402.2,"....."
"10","3","      Posttabulation amendments and revisions \1\","B1201C1",1.5,1.5,1.4,1.4,1.3,1.5,1.5,1.6,1.7,2.5,2.7,2.8,4,3.6,3.6,3,3.7,3.3,2.5,1.9,0.6,1.4,2.4,-3,-5.4,-13.1,-16.1,-15.4,1.7,2.6,1.5,8.9,9.8,2.9,-8.4,-23.3,-24.6,-44.9,-52.8,-45.1,-59.5,-60.7,-66.7,-98.9,-134.7,-144.9,-213.9,"....."
