"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 30, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2007 11:43:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Motor vehicle output","A953RX1",233.6,210,234.7,255.8,287.2,286.8,291.9,316.3,340.5,371.7,365,347.7,387.8,392.7,408.5,425.8,420.5
"9","2","        Auto output","A133RX1",140.7,128.7,136.7,140.2,153.6,143.1,139.7,141.1,146.3,150.4,151.1,142.2,148,134.9,134.6,152.1,157
"10","3","        Truck output","A716RX1",92,80.4,97.4,115,133,143.3,151.8,175.1,194.2,221.3,213.9,205.5,240,258.3,274.4,274.2,263.8
"11","4","Final sales of domestic product","AB60RX1",238.9,212.6,233.8,253.2,280.7,279.6,294,311.8,339.8,359.9,354.4,361.3,374.1,383.3,404,429.5,424.3
"12","5","  Personal consumption expenditures","AB61RX1",221.2,191.5,209.1,219.6,232,226.3,236.6,253.5,284.3,313.5,325.5,346.9,368.7,379.2,384.7,382.3,369.2
"13","6","    New motor vehicles","AB67RX1",159.9,129,141.1,150.4,157.9,150.3,152.9,161.1,179.9,202,214.2,236.1,255.2,267.4,271.1,267,252.3
"14","7","      Autos","A136RX1",102.5,79.8,84.2,86.4,88.3,82.2,80.6,81,87,97.5,103.6,103.7,103.4,100.6,101.9,107.5,109.7
"15","8","      Light trucks (including utility vehicles)","B704RX1",56.2,48.5,56.4,63.5,69.3,67.9,72.2,80,92.9,104.5,110.7,132.3,151.9,166.9,169.3,159.5,142.4
"16","9","    Net purchases of used autos and used light trucks","W240RX1",59.3,62.6,68,68.9,73.9,76,83.8,92.5,104.5,111.5,111.2,110.9,113.7,112.2,114,115.7,117
"17","10","      Used autos","A137RX1",42.4,44.8,47.8,48.4,53.5,52.8,54.8,57.4,61.3,61.7,60.7,58.7,58.1,56.3,56.1,57,56.5
"18","11","      Used light trucks (including utility vehicles)","W241RX1",16.9,17.8,20.2,20.6,20.4,23.2,28.9,35.1,43.1,49.8,50.6,52.2,55.7,55.9,58.1,58.8,60.7
"19","12","  Private fixed investment","AB62RX1",59.4,56.9,59.2,73,92.9,97.9,103,110,113.4,125.7,118.3,101.7,95.7,90,107.1,126.5,141.3
"20","13","    New motor vehicles","AB68RX1",93,93.8,100.7,115.4,137.5,142.4,156,167.4,180.9,200.2,193.4,173.5,170.1,162.2,183.4,203.4,220.7
"21","14","      Autos","B139RX1",54.9,58,58.3,62.6,72.9,70.1,72.9,73.6,72.8,77.3,76.4,71.1,69.4,64.1,65.3,69.8,73.4
"22","15","      Trucks","B705RX1",37.8,35.3,42,52.5,64.3,72,82.8,93.7,108,122.9,117,102.4,100.7,98.1,118.1,133.4,147.1
"23","16","        Light trucks (including utility vehicles)","B196RX1",20.7,20.8,23.6,28.4,37.4,42.2,56.3,68.7,76.7,87.6,86.1,79.6,77.4,77.6,89.6,99.6,109.8
"24","17","        Other","B197RX1",17.4,14.8,18.9,24.8,27.5,30.3,26.7,24.9,31.3,35.4,30.9,22.8,23.3,20.7,28.3,33.5,37
