"","Table 5#4#1B# Percent Change From Preceding Period in Real Priva","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2007 11:33:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","    Private fixed investment in structures","A349RL1",6.6,3.3,3.2,-0.7,-4.3,4,7.1,4.7,-0.6
"9","2","Nonresidential","B009RL1",5.1,-0.4,6.8,-2.3,-17.1,-4.1,1.3,0.5,8.4
"10","3","  Commercial and health care","W001RL1",5.8,3.2,6.3,-5.3,-15.7,-6.6,2.4,-0.7,7.2
"11","4","    Office \1\","W031RL1",17.1,6.3,11.6,-7.9,-30.7,-15.8,1.3,2.7,12.6
"12","5","    Health care","W032RL1",-1.6,-0.6,1.3,-4,13,4.7,2.3,0.5,8.7
"13","6","      Hospitals and special care","C311RL1",-1.5,-5.4,2.2,-1.1,15.7,0.6,-3.1,1.6,18
"14","7","        Hospitals","W033RL1",-8.3,-3.9,2.7,6.4,21.3,5.8,-0.1,4.7,16.8
"15","8","        Special care","W034RL1",18.4,-8.9,1,-19.1,-2.3,-20,-18.7,-18.4,27.5
"16","9","      Medical buildings","W035RL1",-2,15.7,-1.2,-12.4,4.2,19.6,18.3,-2.2,-15.3
"17","10","    Multimerchandise shopping","W036RL1",4.1,10.7,-5.7,5.8,-7.9,-3.7,14.8,10.1,19.1
"18","11","    Food and beverage establishments","W037RL1",1.6,-12.6,2.2,-3.9,-12.6,3,-7.4,-13.7,-11.7
"19","12","    Warehouses","W038RL1",-3.5,3.9,4.2,2,-26.6,1,-8.1,-1.8,3.6
"20","13","    Other commercial \2\","W039RL1",-2.3,0.9,10,-12.9,-1.5,-13.1,6.9,-14.4,-13.8
"21","14","  Manufacturing","C307RL1",3.4,-22.5,-6.1,-10.3,-41.6,-7.3,4.9,17.3,7.7
"22","15","  Power and communication","W003RL1",15.3,17.4,14.7,3,-2.4,-12.9,-17.8,-3.1,7.7
"23","16","    Power","W028RL1",26.4,-1.3,27.3,4.3,1,0.8,-24.9,-12,9.4
"24","17","      Electric","C571RL1",7.2,16.6,45.3,4.8,-3.9,0.4,-24.5,-11.7,5.5
"25","18","      Other power","W029RL1",69.8,-26.5,-12.7,2.4,19.7,2.2,-26,-12.8,19.2
