"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Government consumption expenditures and gross investment","A822RC1","40,061.0","40,311.0","39,769.0","39,974.0","41,180.0","43,087.0","44,831.0","46,763.0","48,789.0","50,587.0","50,591.0","50,133.0","49,194.0","49,851.0","49,954.0","53,946.0","62,256.0","70,043.0","78,298.0","83,575.0","85,250.0","89,236.0","91,157.0","93,660.0","96,017.0","98,169.0","96,866.0","97,000.0","95,121.0","92,823.0","91,426.0","91,630.0","92,165.0","92,848.0","94,406.0","93,613.0","95,164.0","98,570.0","98,629.0","101,709.0","105,698.0","106,211.0","107,792.0","110,445.0","110,212.0","114,005.0","115,491.0","118,416.0","117,626.0","118,964.0","119,906.0","119,029.0","117,430.0","118,853.0","122,940.0","124,872.0","126,794.0","127,850.0","130,566.0","134,168.0","137,767.0","139,060.0","142,698.0","144,199.0","144,392.0","144,803.0","150,597.0","151,725.0","153,292.0","155,080.0","156,814.0","156,920.0","157,820.0","160,624.0","167,625.0","173,469.0","177,929.0","182,566.0","190,424.0","194,650.0","203,602.0","204,848.0","209,446.0","214,367.0","220,884.0","224,821.0","228,649.0","232,677.0","235,048.0","238,227.0"
"21","2","      Consumption expenditures \1\","A955RC1","35,107.0","35,194.0","33,689.0","33,395.0","33,631.0","34,835.0","36,046.0","37,396.0","38,547.0","39,299.0","38,670.0","38,347.0","38,515.0","38,762.0","38,231.0","41,629.0","47,377.0","51,850.0","57,171.0","59,487.0","61,168.0","64,973.0","66,319.0","68,366.0","69,480.0","71,021.0","69,850.0","71,084.0","68,706.0","66,877.0","66,706.0","67,145.0","68,028.0","68,098.0","70,145.0","69,339.0","69,586.0","71,997.0","70,882.0","73,063.0","75,933.0","76,476.0","77,199.0","79,614.0","78,942.0","82,021.0","82,578.0","84,100.0","81,406.0","82,818.0","83,786.0","84,090.0","82,332.0","83,657.0","86,110.0","88,002.0","87,175.0","89,341.0","90,714.0","92,552.0","95,814.0","97,198.0","99,591.0","100,725.0","101,137.0","101,247.0","104,788.0","106,588.0","107,523.0","108,575.0","110,250.0","110,200.0","111,611.0","113,725.0","118,756.0","123,995.0","126,007.0","130,630.0","136,243.0","138,421.0","145,708.0","148,291.0","151,532.0","156,088.0","162,530.0","165,304.0","169,119.0","173,141.0","173,531.0","178,513.0"
"22","3","      Gross investment \2\","A782RC1","4,954.0","5,118.0","6,081.0","6,579.0","7,549.0","8,252.0","8,785.0","9,367.0","10,242.0","11,288.0","11,921.0","11,786.0","10,679.0","11,089.0","11,723.0","12,317.0","14,879.0","18,193.0","21,126.0","24,088.0","24,082.0","24,263.0","24,838.0","25,294.0","26,537.0","27,148.0","27,016.0","25,917.0","26,415.0","25,946.0","24,720.0","24,484.0","24,137.0","24,750.0","24,261.0","24,274.0","25,578.0","26,573.0","27,748.0","28,646.0","29,764.0","29,735.0","30,593.0","30,830.0","31,271.0","31,983.0","32,913.0","34,316.0","36,220.0","36,146.0","36,120.0","34,938.0","35,098.0","35,196.0","36,830.0","36,870.0","39,619.0","38,509.0","39,852.0","41,616.0","41,953.0","41,861.0","43,107.0","43,474.0","43,255.0","43,556.0","45,809.0","45,137.0","45,769.0","46,505.0","46,563.0","46,719.0","46,209.0","46,900.0","48,869.0","49,473.0","51,922.0","51,935.0","54,181.0","56,229.0","57,893.0","56,556.0","57,914.0","58,280.0","58,354.0","59,517.0","59,530.0","59,536.0","61,517.0","59,714.0"
"23","4","        Structures","A760RC1","2,462.0","2,730.0","3,226.0","3,678.0","3,918.0","4,486.0","4,982.0","5,158.0","5,550.0","6,190.0","6,706.0","6,922.0","6,540.0","6,808.0","7,036.0","7,428.0","8,238.0","9,494.0","10,042.0","10,330.0","10,747.0","10,971.0","11,259.0","11,439.0","11,829.0","11,505.0","11,525.0","11,773.0","12,200.0","12,080.0","12,148.0","12,016.0","11,959.0","12,067.0","12,003.0","12,011.0","12,603.0","13,279.0","13,783.0","13,911.0","14,656.0","14,780.0","14,936.0","15,116.0","15,772.0","15,944.0","16,760.0","17,528.0","17,750.0","17,453.0","16,687.0","15,534.0","15,738.0","16,308.0","17,054.0","17,300.0","18,449.0","17,222.0","17,502.0","18,887.0","18,376.0","18,550.0","18,583.0","19,031.0","19,390.0","19,542.0","20,800.0","19,980.0","20,461.0","21,161.0","21,294.0","21,308.0","21,290.0","22,363.0","23,618.0","24,113.0","24,606.0","24,788.0","24,927.0","26,019.0","26,807.0","26,194.0","26,015.0","26,800.0","27,601.0","28,626.0","28,737.0","29,228.0","29,267.0","29,739.0"
"24","5","        Equipment","Y054RC1","1,139.0","1,027.0","1,458.0","1,456.0","2,122.0","2,180.0","2,180.0","2,549.0","3,011.0","3,395.0","3,479.0","3,094.0","2,323.0","2,423.0","2,787.0","2,931.0","4,636.0","6,632.0","8,948.0","11,552.0","11,064.0","10,956.0","11,166.0","11,372.0","12,147.0","13,007.0","12,768.0","11,329.0","11,300.0","10,867.0","9,490.0","9,296.0","8,916.0","9,243.0","8,591.0","8,289.0","8,638.0","8,602.0","8,929.0","9,416.0","9,538.0","9,145.0","9,663.0","9,569.0","9,242.0","9,691.0","9,673.0","10,164.0","11,682.0","11,761.0","12,349.0","12,188.0","11,912.0","11,142.0","11,815.0","11,414.0","12,762.0","12,585.0","13,394.0","13,569.0","14,219.0","13,671.0","14,515.0","13,983.0","12,865.0","12,521.0","12,966.0","12,875.0","12,704.0","12,496.0","12,235.0","12,218.0","11,606.0","10,934.0","11,312.0","11,000.0","12,443.0","11,863.0","13,635.0","14,370.0","15,135.0","14,282.0","15,669.0","15,024.0","14,068.0","13,961.0","13,624.0","12,916.0","14,643.0","12,235.0"
"25","6","        Intellectual property products","Y055RC1","1,353.0","1,361.0","1,397.0","1,445.0","1,509.0","1,586.0","1,623.0","1,660.0","1,681.0","1,703.0","1,736.0","1,770.0","1,816.0","1,858.0","1,900.0","1,958.0","2,005.0","2,067.0","2,136.0","2,206.0","2,271.0","2,336.0","2,413.0","2,483.0","2,561.0","2,636.0","2,723.0","2,815.0","2,915.0","2,999.0","3,082.0","3,172.0","3,262.0","3,440.0","3,667.0","3,974.0","4,337.0","4,692.0","5,036.0","5,319.0","5,570.0","5,810.0","5,994.0","6,145.0","6,257.0","6,348.0","6,480.0","6,624.0","6,788.0","6,932.0","7,084.0","7,217.0","7,448.0","7,746.0","7,961.0","8,156.0","8,408.0","8,702.0","8,956.0","9,160.0","9,358.0","9,640.0","10,009.0","10,460.0","11,000.0","11,493.0","12,043.0","12,282.0","12,604.0","12,848.0","13,034.0","13,193.0","13,313.0","13,603.0","13,939.0","14,360.0","14,873.0","15,284.0","15,619.0","15,840.0","15,951.0","16,081.0","16,230.0","16,456.0","16,685.0","16,929.0","17,170.0","17,392.0","17,607.0","17,740.0"
"26","7","          Software","Y056RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","1.0","1.0","1.0","20.0","34.0","40.0","46.0","49.0","49.0","50.0","56.0","60.0","64.0","66.0","70.0","75.0","81.0","196.0","96.0","130.0","131.0","138.0","145.0","121.0","174.0","189.0","200.0","214.0","238.0","276.0","300.0","310.0","310.0","319.0","329.0","339.0","364.0","396.0","421.0","462.0","508.0"
"27","8","          Research and development","Y057RC1","1,353.0","1,361.0","1,397.0","1,445.0","1,509.0","1,586.0","1,623.0","1,660.0","1,681.0","1,703.0","1,736.0","1,770.0","1,816.0","1,858.0","1,900.0","1,958.0","2,005.0","2,067.0","2,136.0","2,206.0","2,271.0","2,336.0","2,413.0","2,483.0","2,561.0","2,636.0","2,723.0","2,815.0","2,915.0","2,999.0","3,082.0","3,172.0","3,262.0","3,440.0","3,667.0","3,974.0","4,337.0","4,692.0","5,036.0","5,319.0","5,570.0","5,810.0","5,994.0","6,145.0","6,257.0","6,348.0","6,480.0","6,624.0","6,787.0","6,931.0","7,083.0","7,216.0","7,428.0","7,712.0","7,921.0","8,110.0","8,359.0","8,653.0","8,906.0","9,104.0","9,298.0","9,576.0","9,943.0","10,390.0","10,925.0","11,412.0","11,847.0","12,186.0","12,474.0","12,717.0","12,896.0","13,048.0","13,192.0","13,429.0","13,750.0","14,160.0","14,659.0","15,046.0","15,343.0","15,540.0","15,641.0","15,771.0","15,911.0","16,127.0","16,346.0","16,565.0","16,774.0","16,971.0","17,145.0","17,232.0"
"28","9","Federal","A823RC1","26,636.0","26,476.0","25,316.0","24,824.0","25,516.0","26,656.0","27,504.0","28,732.0","30,220.0","31,288.0","30,536.0","29,840.0","28,608.0","28,952.0","28,444.0","31,816.0","39,596.0","46,624.0","54,340.0","59,348.0","60,920.0","64,092.0","66,168.0","68,108.0","69,652.0","71,932.0","69,964.0","69,516.0","66,764.0","63,708.0","61,336.0","61,216.0","60,712.0","60,860.0","61,928.0","60,540.0","60,984.0","63,508.0","62,796.0","65,160.0","67,884.0","67,516.0","68,356.0","70,036.0","68,708.0","71,512.0","71,860.0","73,896.0","72,348.0","73,556.0","74,492.0","73,796.0","70,948.0","71,008.0","74,132.0","75,276.0","75,264.0","76,156.0","78,092.0","79,904.0","83,316.0","84,088.0","87,000.0","87,564.0","86,168.0","85,720.0","89,816.0","89,632.0","90,048.0","90,100.0","90,828.0","89,916.0","89,440.0","90,064.0","94,440.0","98,652.0","101,176.0","103,968.0","109,896.0","111,132.0","117,892.0","117,880.0","120,916.0","123,148.0","126,348.0","127,104.0","128,516.0","129,700.0","129,576.0","129,720.0"
"29","10","    Consumption expenditures","A957RC1","24,372.0","24,088.0","22,176.0","21,444.0","21,428.0","22,340.0","23,032.0","23,932.0","24,776.0","25,368.0","24,316.0","23,776.0","23,536.0","23,600.0","22,740.0","25,836.0","31,292.0","35,556.0","40,484.0","42,444.0","44,188.0","47,180.0","48,696.0","50,340.0","50,916.0","52,496.0","50,960.0","52,056.0","49,292.0","46,972.0","46,108.0","46,264.0","46,400.0","46,220.0","47,928.0","46,648.0","46,456.0","48,320.0","46,540.0","48,124.0","50,576.0","50,396.0","50,380.0","52,140.0","50,608.0","52,840.0","52,844.0","53,936.0","50,784.0","51,824.0","52,368.0","52,136.0","49,384.0","49,764.0","51,740.0","52,908.0","51,000.0","52,148.0","53,244.0","54,436.0","57,196.0","58,084.0","60,112.0","60,568.0","60,136.0","59,428.0","62,124.0","62,968.0","62,896.0","63,016.0","63,816.0","62,704.0","62,952.0","63,840.0","67,480.0","71,532.0","71,960.0","75,108.0","79,100.0","79,652.0","85,836.0","87,012.0","88,252.0","90,980.0","95,004.0","95,824.0","97,400.0","99,016.0","97,096.0","99,468.0"
"30","11","    Gross investment","A787RC1","2,264.0","2,388.0","3,140.0","3,380.0","4,088.0","4,316.0","4,472.0","4,800.0","5,444.0","5,920.0","6,220.0","6,064.0","5,072.0","5,352.0","5,704.0","5,980.0","8,304.0","11,068.0","13,856.0","16,904.0","16,732.0","16,912.0","17,472.0","17,768.0","18,736.0","19,436.0","19,004.0","17,460.0","17,472.0","16,736.0","15,228.0","14,952.0","14,312.0","14,640.0","14,000.0","13,892.0","14,528.0","15,188.0","16,256.0","17,036.0","17,308.0","17,120.0","17,976.0","17,896.0","18,100.0","18,672.0","19,016.0","19,960.0","21,564.0","21,732.0","22,124.0","21,660.0","21,564.0","21,244.0","22,392.0","22,368.0","24,264.0","24,008.0","24,848.0","25,468.0","26,120.0","26,004.0","26,888.0","26,996.0","26,032.0","26,292.0","27,692.0","26,664.0","27,152.0","27,084.0","27,012.0","27,212.0","26,488.0","26,224.0","26,960.0","27,120.0","29,216.0","28,860.0","30,796.0","31,480.0","32,056.0","30,868.0","32,664.0","32,168.0","31,344.0","31,280.0","31,116.0","30,684.0","32,480.0","30,252.0"
"31","12","      Structures","A801RC1","112.0","356.0","656.0","864.0","948.0","1,024.0","1,144.0","1,072.0","1,208.0","1,316.0","1,536.0","1,760.0","1,468.0","1,608.0","1,560.0","1,636.0","2,280.0","2,988.0","3,392.0","3,768.0","4,060.0","4,288.0","4,568.0","4,592.0","4,740.0","4,508.0","4,232.0","4,040.0","4,044.0","3,672.0","3,480.0","3,332.0","2,972.0","2,828.0","2,632.0","2,512.0","2,540.0","2,896.0","3,320.0","3,352.0","3,356.0","3,352.0","3,532.0","3,416.0","3,768.0","3,816.0","4,068.0","4,424.0","4,308.0","4,276.0","3,948.0","3,536.0","3,568.0","3,752.0","4,032.0","4,240.0","4,528.0","4,184.0","3,976.0","4,228.0","4,088.0","4,256.0","3,944.0","4,156.0","3,892.0","4,052.0","4,508.0","3,384.0","3,804.0","3,756.0","3,808.0","3,928.0","3,692.0","3,872.0","3,948.0","4,060.0","4,256.0","4,160.0","4,068.0","3,884.0","3,584.0","3,176.0","3,460.0","3,428.0","3,392.0","3,240.0","3,264.0","3,416.0","3,340.0","3,472.0"
"32","13","      Equipment","Y058RC1","848.0","720.0","1,136.0","1,120.0","1,680.0","1,756.0","1,756.0","2,120.0","2,608.0","2,956.0","3,004.0","2,592.0","1,848.0","1,948.0","2,308.0","2,452.0","4,088.0","6,084.0","8,400.0","11,004.0","10,476.0","10,364.0","10,568.0","10,772.0","11,516.0","12,376.0","12,136.0","10,696.0","10,608.0","10,164.0","8,768.0","8,552.0","8,184.0","8,480.0","7,812.0","7,520.0","7,768.0","7,720.0","8,024.0","8,492.0","8,512.0","8,092.0","8,588.0","8,476.0","8,220.0","8,656.0","8,620.0","9,068.0","10,628.0","10,688.0","11,260.0","11,080.0","10,728.0","9,936.0","10,596.0","10,176.0","11,536.0","11,336.0","12,136.0","12,308.0","12,908.0","12,348.0","13,184.0","12,640.0","11,412.0","11,032.0","11,440.0","11,308.0","11,064.0","10,808.0","10,504.0","10,432.0","9,836.0","9,116.0","9,456.0","9,100.0","10,504.0","9,852.0","11,564.0","12,232.0","13,012.0","12,116.0","13,488.0","12,812.0","11,808.0","11,668.0","11,256.0","10,468.0","12,148.0","9,680.0"
"33","14","      Intellectual property products","Y059RC1","1,304.0","1,312.0","1,348.0","1,396.0","1,460.0","1,536.0","1,572.0","1,608.0","1,628.0","1,648.0","1,680.0","1,712.0","1,756.0","1,796.0","1,836.0","1,892.0","1,936.0","1,996.0","2,064.0","2,132.0","2,196.0","2,260.0","2,336.0","2,404.0","2,480.0","2,552.0","2,636.0","2,724.0","2,820.0","2,900.0","2,980.0","3,068.0","3,156.0","3,332.0","3,556.0","3,860.0","4,220.0","4,572.0","4,912.0","5,192.0","5,440.0","5,676.0","5,856.0","6,004.0","6,112.0","6,200.0","6,328.0","6,468.0","6,628.0","6,768.0","6,916.0","7,044.0","7,268.0","7,556.0","7,764.0","7,952.0","8,200.0","8,488.0","8,736.0","8,932.0","9,124.0","9,400.0","9,760.0","10,200.0","10,728.0","11,208.0","11,744.0","11,972.0","12,284.0","12,520.0","12,700.0","12,852.0","12,960.0","13,236.0","13,556.0","13,960.0","14,456.0","14,848.0","15,164.0","15,364.0","15,460.0","15,576.0","15,716.0","15,928.0","16,144.0","16,372.0","16,596.0","16,800.0","16,992.0","17,100.0"
