"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Domestic business","W276RC1","8,107.0","7,929.0","7,374.0","6,500.0","6,101.0","6,248.0","6,290.0","6,420.0","7,156.0","7,326.0","7,321.0","7,640.0","8,471.0","9,639.0","9,806.0","10,161.0","10,493.0","11,948.0","14,764.0","17,397.0","18,933.0","20,358.0","23,178.0","24,585.0","26,070.0","27,368.0","28,931.0","32,160.0","35,193.0","37,532.0","39,029.0","40,034.0","41,286.0","42,946.0","44,870.0","47,393.0","50,904.0","55,637.0","60,881.0","66,962.0","74,198.0"
"22","4","    Corporate business","A438RC1","5,228.0","5,080.0","4,752.0","4,240.0","4,008.0","4,104.0","4,184.0","4,248.0","4,744.0","4,820.0","4,824.0","5,040.0","5,584.0","6,388.0","6,552.0","6,748.0","6,968.0","8,000.0","9,796.0","11,488.0","12,412.0","13,288.0","15,136.0","16,116.0","17,300.0","18,340.0","19,560.0","22,088.0","24,564.0","26,396.0","27,620.0","28,488.0","29,524.0","30,836.0","32,416.0","34,412.0","37,140.0","40,860.0","45,096.0","49,992.0","55,704.0"
"23","5","      Financial","B580RC1","212.0","208.0","192.0","164.0","148.0","160.0","164.0","168.0","188.0","188.0","188.0","196.0","220.0","264.0","248.0","252.0","232.0","248.0","320.0","368.0","404.0","440.0","500.0","536.0","572.0","616.0","648.0","732.0","808.0","900.0","932.0","928.0","960.0","1,012.0","1,076.0","1,160.0","1,312.0","1,468.0","1,644.0","1,900.0","2,220.0"
"24","6","      Nonfinancial","B456RC1","5,016.0","4,872.0","4,560.0","4,076.0","3,860.0","3,944.0","4,020.0","4,080.0","4,556.0","4,632.0","4,636.0","4,844.0","5,364.0","6,124.0","6,304.0","6,496.0","6,736.0","7,752.0","9,476.0","11,120.0","12,008.0","12,848.0","14,636.0","15,580.0","16,728.0","17,724.0","18,912.0","21,356.0","23,756.0","25,496.0","26,688.0","27,560.0","28,564.0","29,824.0","31,340.0","33,252.0","35,828.0","39,392.0","43,452.0","48,092.0","53,484.0"
"25","7","    Noncorporate business","W277RC1","2,879.0","2,849.0","2,622.0","2,260.0","2,093.0","2,144.0","2,106.0","2,172.0","2,412.0","2,506.0","2,497.0","2,600.0","2,887.0","3,251.0","3,254.0","3,413.0","3,525.0","3,948.0","4,968.0","5,909.0","6,521.0","7,070.0","8,042.0","8,469.0","8,770.0","9,028.0","9,371.0","10,072.0","10,629.0","11,136.0","11,409.0","11,546.0","11,762.0","12,110.0","12,454.0","12,981.0","13,764.0","14,777.0","15,785.0","16,970.0","18,494.0"
"26","8","      Sole proprietorships and partnerships","A1615C1","2,398.0","2,374.0","2,190.0","1,910.0","1,749.0","1,761.0","1,719.0","1,757.0","1,941.0","2,014.0","1,994.0","2,067.0","2,290.0","2,600.0","2,572.0","2,684.0","2,760.0","3,116.0","3,954.0","4,788.0","5,362.0","5,863.0","6,716.0","7,090.0","7,356.0","7,581.0","7,869.0","8,486.0","8,997.0","9,467.0","9,690.0","9,674.0","9,737.0","9,906.0","10,164.0","10,558.0","11,156.0","11,928.0","12,740.0","13,690.0","14,928.0"
"27","9","        Farm","B1616C1","707.0","701.0","651.0","580.0","544.0","534.0","518.0","535.0","586.0","617.0","606.0","615.0","682.0","802.0","799.0","847.0","877.0","968.0","1,194.0","1,511.0","1,775.0","1,990.0","2,283.0","2,453.0","2,543.0","2,598.0","2,629.0","2,748.0","2,835.0","2,965.0","3,028.0","2,985.0","2,984.0","3,029.0","3,112.0","3,228.0","3,428.0","3,684.0","3,969.0","4,229.0","4,496.0"
"28","10","        Nonfarm","B1617C1","1,691.0","1,673.0","1,539.0","1,330.0","1,205.0","1,227.0","1,201.0","1,222.0","1,355.0","1,397.0","1,388.0","1,452.0","1,608.0","1,798.0","1,773.0","1,837.0","1,883.0","2,148.0","2,760.0","3,277.0","3,587.0","3,873.0","4,433.0","4,637.0","4,813.0","4,983.0","5,240.0","5,738.0","6,162.0","6,502.0","6,662.0","6,689.0","6,753.0","6,877.0","7,052.0","7,330.0","7,728.0","8,244.0","8,771.0","9,461.0","10,432.0"
"29","11","      Other private business","A1618C1","481.0","475.0","432.0","350.0","344.0","383.0","387.0","415.0","471.0","492.0","503.0","533.0","597.0","651.0","682.0","729.0","765.0","832.0","1,014.0","1,121.0","1,159.0","1,207.0","1,326.0","1,379.0","1,414.0","1,447.0","1,502.0","1,586.0","1,632.0","1,669.0","1,719.0","1,872.0","2,025.0","2,204.0","2,290.0","2,423.0","2,608.0","2,849.0","3,045.0","3,280.0","3,566.0"
"30","12","        Rental income of persons","B1620C1","481.0","475.0","432.0","350.0","344.0","383.0","382.0","400.0","445.0","459.0","464.0","487.0","540.0","581.0","616.0","659.0","694.0","749.0","905.0","986.0","1,004.0","1,038.0","1,131.0","1,172.0","1,195.0","1,217.0","1,264.0","1,324.0","1,353.0","1,372.0","1,423.0","1,583.0","1,730.0","1,902.0","1,979.0","2,105.0","2,282.0","2,512.0","2,689.0","2,900.0","3,164.0"
"31","13","          Nonfarm tenant-occupied housing","B2608C1","447.0","441.0","401.0","325.0","319.0","355.0","354.0","372.0","413.0","426.0","431.0","452.0","501.0","538.0","571.0","610.0","642.0","690.0","829.0","901.0","914.0","942.0","1,021.0","1,057.0","1,076.0","1,093.0","1,133.0","1,182.0","1,205.0","1,223.0","1,273.0","1,429.0","1,574.0","1,745.0","1,823.0","1,945.0","2,114.0","2,332.0","2,495.0","2,690.0","2,932.0"
"32","14","          Farm tenant-occupied housing","W278RC1","13.0","13.0","11.0","9.0","9.0","10.0","10.0","10.0","11.0","12.0","12.0","12.0","14.0","15.0","16.0","17.0","19.0","20.0","25.0","28.0","29.0","30.0","33.0","34.0","35.0","35.0","36.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","36.0","37.0","38.0","39.0","40.0","42.0","45.0"
"33","15","          Farms owned by nonoperator landlords","B2609C1","15.0","15.0","14.0","11.0","11.0","12.0","12.0","12.0","14.0","14.0","14.0","15.0","16.0","18.0","19.0","21.0","22.0","24.0","30.0","33.0","35.0","36.0","40.0","41.0","42.0","42.0","43.0","45.0","45.0","45.0","44.0","44.0","44.0","44.0","43.0","43.0","44.0","46.0","47.0","49.0","52.0"
"34","16","          Nonfarm nonresidential properties","B2610C1","6.0","6.0","6.0","5.0","5.0","6.0","6.0","6.0","7.0","7.0","7.0","8.0","9.0","10.0","10.0","11.0","11.0","15.0","21.0","24.0","26.0","30.0","37.0","40.0","42.0","47.0","52.0","60.0","66.0","67.0","69.0","73.0","75.0","76.0","77.0","80.0","86.0","95.0","107.0","119.0","135.0"
"35","17","        Proprietors' income","B1619C1","0.0","0.0","0.0","0.0","0.0","0.0","5.0","15.0","26.0","33.0","39.0","46.0","57.0","70.0","66.0","70.0","71.0","83.0","109.0","135.0","155.0","169.0","195.0","207.0","219.0","230.0","238.0","262.0","279.0","297.0","296.0","289.0","295.0","302.0","311.0","318.0","326.0","337.0","356.0","380.0","402.0"
"36","18","  Households and institutions","W279RC1","1,303.0","1,290.0","1,177.0","964.0","939.0","1,039.0","1,035.0","1,088.0","1,213.0","1,254.0","1,272.0","1,334.0","1,479.0","1,606.0","1,732.0","1,879.0","2,015.0","2,300.0","2,971.0","3,425.0","3,658.0","3,974.0","4,568.0","4,957.0","5,276.0","5,590.0","6,061.0","6,649.0","7,064.0","7,379.0","7,789.0","8,174.0","8,496.0","8,846.0","9,288.0","9,882.0","10,662.0","11,533.0","12,445.0","13,640.0","15,235.0"
"37","19","    Owner-occupied housing","B2607C1","1,028.0","1,015.0","923.0","743.0","726.0","808.0","804.0","844.0","938.0","971.0","983.0","1,032.0","1,148.0","1,243.0","1,345.0","1,474.0","1,592.0","1,804.0","2,334.0","2,707.0","2,914.0","3,179.0","3,637.0","3,963.0","4,225.0","4,493.0","4,885.0","5,338.0","5,630.0","5,877.0","6,194.0","6,476.0","6,697.0","6,912.0","7,207.0","7,629.0","8,197.0","8,813.0","9,470.0","10,364.0","11,576.0"
"38","20","    Nonprofit institutions serving households","B1621C1","275.0","275.0","254.0","221.0","213.0","231.0","231.0","244.0","275.0","283.0","289.0","302.0","331.0","363.0","387.0","405.0","423.0","496.0","637.0","718.0","744.0","795.0","931.0","994.0","1,051.0","1,097.0","1,176.0","1,311.0","1,434.0","1,502.0","1,595.0","1,698.0","1,799.0","1,934.0","2,081.0","2,253.0","2,465.0","2,720.0","2,975.0","3,276.0","3,659.0"
"39","21","Government","A264RC1","968.0","967.0","941.0","850.0","951.0","1,119.0","1,137.0","1,275.0","1,379.0","1,450.0","1,498.0","1,593.0","2,104.0","3,648.0","6,475.0","9,340.0","10,686.0","11,523.0","11,465.0","10,571.0","9,746.0","9,098.0","10,012.0","11,076.0","12,134.0","13,023.0","13,893.0","15,316.0","16,656.0","17,514.0","18,620.0","19,685.0","20,825.0","22,309.0","23,845.0","25,104.0","26,414.0","28,123.0","30,193.0","32,722.0","35,430.0"
"40","22","  General government","A265RC1","840.0","834.0","808.0","725.0","815.0","944.0","972.0","1,087.0","1,167.0","1,223.0","1,266.0","1,348.0","1,831.0","3,352.0","6,185.0","9,031.0","10,378.0","11,183.0","11,066.0","10,108.0","9,260.0","8,587.0","9,424.0","10,433.0","11,449.0","12,305.0","13,129.0","14,459.0","15,721.0","16,530.0","17,596.0","18,596.0","19,670.0","21,074.0","22,532.0","23,706.0","24,911.0","26,488.0","28,417.0","30,761.0","33,230.0"
"41","23","    Federal","B995RC1","213.0","204.0","206.0","198.0","211.0","251.0","284.0","334.0","379.0","415.0","436.0","484.0","856.0","2,194.0","4,938.0","7,858.0","9,232.0","9,930.0","9,566.0","8,403.0","7,538.0","6,881.0","7,345.0","8,220.0","9,177.0","9,994.0","10,659.0","11,602.0","12,617.0","13,304.0","14,153.0","15,005.0","15,867.0","16,989.0","18,146.0","18,993.0","19,774.0","20,803.0","22,176.0","23,839.0","25,467.0"
"42","24","    State and local","B986RC1","627.0","630.0","602.0","527.0","604.0","693.0","688.0","753.0","788.0","808.0","830.0","864.0","975.0","1,158.0","1,247.0","1,173.0","1,146.0","1,253.0","1,500.0","1,705.0","1,722.0","1,706.0","2,079.0","2,213.0","2,272.0","2,311.0","2,470.0","2,857.0","3,104.0","3,226.0","3,443.0","3,591.0","3,803.0","4,085.0","4,386.0","4,713.0","5,137.0","5,685.0","6,241.0","6,922.0","7,763.0"
"43","25","  Government enterprises","A266RC1","128.0","133.0","133.0","125.0","136.0","175.0","165.0","188.0","212.0","227.0","232.0","245.0","273.0","296.0","290.0","309.0","308.0","340.0","399.0","463.0","486.0","511.0","588.0","643.0","685.0","718.0","764.0","857.0","935.0","984.0","1,024.0","1,089.0","1,155.0","1,235.0","1,313.0","1,398.0","1,503.0","1,635.0","1,776.0","1,961.0","2,200.0"
"44","26","    Federal","B833RC1","1.0","1.0","1.0","2.0","3.0","4.0","4.0","4.0","5.0","6.0","6.0","7.0","10.0","12.0","14.0","18.0","18.0","22.0","25.0","30.0","32.0","39.0","46.0","60.0","65.0","72.0","77.0","87.0","95.0","98.0","116.0","133.0","144.0","159.0","170.0","181.0","196.0","215.0","242.0","274.0","309.0"
"45","27","    State and local","B846RC1","127.0","132.0","132.0","123.0","133.0","171.0","161.0","184.0","207.0","221.0","226.0","238.0","263.0","284.0","276.0","291.0","290.0","318.0","374.0","433.0","454.0","472.0","542.0","583.0","620.0","646.0","687.0","770.0","840.0","886.0","908.0","956.0","1,011.0","1,076.0","1,143.0","1,217.0","1,307.0","1,420.0","1,534.0","1,687.0","1,891.0"
"46",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","28","  Nonfarm business","B1667C1","7,513.0","7,346.0","6,842.0","6,033.0","5,682.0","5,878.0","5,926.0","6,062.0","6,770.0","6,923.0","6,934.0","7,257.0","8,047.0","9,115.0","9,280.0","9,605.0","9,905.0","11,299.0","13,943.0","16,317.0","17,606.0","18,837.0","21,435.0","22,721.0","24,153.0","25,424.0","26,995.0","30,189.0","33,203.0","35,450.0","36,914.0","38,018.0","39,329.0","41,015.0","42,923.0","45,402.0","48,801.0","53,390.0","58,466.0","64,449.0","71,632.0"
