"","Table 7#24# Transactions of State and Local Government Defined B","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2015 2:45:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Current receipts, accrual basis","Y307RC1","17,948.0","20,751.0","24,528.0","29,568.0","30,508.0","35,042.0","41,451.0","42,706.0","47,280.0","52,933.0","60,005.0","66,972.0","74,888.0","90,311.0","101,861.0","106,408.0","115,628.0","126,555.0","132,709.0","139,785.0","168,154.0","170,655.0","186,190.0","203,868.0","209,956.0","226,800.0","255,811.0","251,269.0","272,219.0","260,065.0","260,283.0","239,022.0","241,048.0","279,119.0","359,810.0","379,648.0","383,456.0","404,634.0","408,468.0","385,863.0","478,804.0","501,156.0","499,071.0","529,318.0","520,766.0"
"20","2","  Output \1\","Y327RC1","116.0","131.0","146.0","158.0","170.0","180.0","192.0","213.0","217.0","231.0","249.0","268.0","356.0","446.0","413.0","401.0","653.0","806.0","897.0","1,032.0","1,257.0","1,417.0","1,615.0","1,776.0","2,020.0","2,212.0","2,526.0","3,394.0","3,882.0","4,170.0","4,605.0","5,956.0","7,485.0","7,735.0","7,791.0","9,040.0","10,114.0","12,571.0","14,033.0","10,896.0","8,729.0","9,771.0","10,389.0","10,872.0","11,324.0"
"21","3","  Contributions","Y308RC1","13,584.0","15,480.0","18,334.0","21,881.0","22,313.0","25,334.0","29,569.0","29,977.0","33,094.0","36,886.0","41,473.0","45,576.0","50,507.0","59,198.0","66,159.0","69,553.0","75,284.0","82,166.0","86,547.0","91,586.0","110,569.0","114,361.0","124,399.0","140,118.0","145,035.0","155,734.0","172,795.0","172,275.0","185,394.0","182,585.0","185,949.0","178,556.0","182,640.0","204,905.0","250,420.0","269,463.0","272,591.0","285,530.0","290,911.0","286,137.0","337,352.0","356,557.0","355,453.0","370,501.0","366,406.0"
"22","4","    Claims to benefits accrued through service to employers","Y318RC1","9,336.0","10,340.0","12,286.0","14,352.0","14,288.0","15,806.0","17,879.0","17,461.0","19,125.0","21,070.0","23,190.0","24,448.0","26,482.0","28,531.0","30,870.0","33,099.0","35,593.0","38,583.0","41,282.0","44,419.0","54,241.0","59,484.0","64,223.0","78,144.0","82,134.0","86,880.0","92,305.0","96,675.0","102,451.0","109,275.0","116,220.0","124,046.0","131,717.0","138,426.0","148,821.0","168,318.0","171,840.0","178,997.0","187,387.0","197,307.0","204,629.0","221,729.0","222,224.0","222,556.0","223,370.0"
"23","5","      Actual employer contributions \1\","S251101","4,526.0","5,108.0","5,608.0","6,370.0","7,348.0","8,505.0","10,197.0","12,088.0","13,529.0","15,043.0","16,869.0","19,132.0","20,808.0","23,277.0","24,820.0","26,346.0","28,036.0","30,355.0","30,437.0","31,203.0","31,982.0","33,036.0","32,961.0","33,802.0","36,108.0","38,967.0","41,747.0","43,114.0","43,789.0","42,084.0","41,229.0","39,683.0","39,221.0","42,078.0","56,462.0","55,823.0","61,880.0","69,569.0","77,680.0","82,877.0","85,206.0","89,914.0","97,043.0","97,656.0","101,051.0"
"24","6","      Imputed employer contributions","Y310RC1","2,208.0","2,299.0","3,389.0","4,328.0","2,957.0","3,038.0","3,064.0","305.0","9.0","4.0","-121.0","-1,493.0","-1,814.0","-2,859.0","-2,293.0","-2,070.0","-1,753.0","-2,014.0","123.0","1,739.0","10,067.0","13,255.0","17,478.0","30,108.0","31,157.0","32,076.0","33,882.0","36,669.0","41,065.0","48,663.0","55,314.0","64,603.0","72,929.0","75,567.0","70,074.0","90,658.0","88,245.0","88,558.0","88,144.0","87,396.0","89,165.0","101,883.0","93,741.0","92,409.0","88,582.0"
"25","7","      Actual household contributions","S251201","2,718.0","3,064.0","3,435.0","3,812.0","4,153.0","4,443.0","4,810.0","5,281.0","5,804.0","6,254.0","6,691.0","7,077.0","7,844.0","8,559.0","8,756.0","9,224.0","9,963.0","11,048.0","11,619.0","12,509.0","13,449.0","14,610.0","15,399.0","16,010.0","16,889.0","18,049.0","19,202.0","20,286.0","21,479.0","22,698.0","24,282.0","25,716.0","27,052.0","28,516.0","30,076.0","30,877.0","31,829.0","33,441.0","35,596.0","37,930.0","38,987.0","39,703.0","41,829.0","43,363.0","45,061.0"
"26","8","      Less: Pension service charges \2\","Y327RC1","116.0","131.0","146.0","158.0","170.0","180.0","192.0","213.0","217.0","231.0","249.0","268.0","356.0","446.0","413.0","401.0","653.0","806.0","897.0","1,032.0","1,257.0","1,417.0","1,615.0","1,776.0","2,020.0","2,212.0","2,526.0","3,394.0","3,882.0","4,170.0","4,605.0","5,956.0","7,485.0","7,735.0","7,791.0","9,040.0","10,114.0","12,571.0","14,033.0","10,896.0","8,729.0","9,771.0","10,389.0","10,872.0","11,324.0"
"27","9","    Household pension contribution supplements \3\","Y312RC1","4,248.0","5,140.0","6,048.0","7,529.0","8,025.0","9,528.0","11,690.0","12,516.0","13,969.0","15,816.0","18,283.0","21,128.0","24,025.0","30,667.0","35,289.0","36,454.0","39,691.0","43,583.0","45,265.0","47,167.0","56,328.0","54,877.0","60,176.0","61,974.0","62,901.0","68,854.0","80,490.0","75,600.0","82,943.0","73,310.0","69,729.0","54,510.0","50,923.0","66,479.0","101,599.0","101,145.0","100,751.0","106,533.0","103,524.0","88,830.0","132,723.0","134,828.0","133,229.0","147,945.0","143,036.0"
"28","10","  Income receipts on assets (including plans' claims on employers)","Y312RC1","4,248.0","5,140.0","6,048.0","7,529.0","8,025.0","9,528.0","11,690.0","12,516.0","13,969.0","15,816.0","18,283.0","21,128.0","24,025.0","30,667.0","35,289.0","36,454.0","39,691.0","43,583.0","45,265.0","47,167.0","56,328.0","54,877.0","60,176.0","61,974.0","62,901.0","68,854.0","80,490.0","75,600.0","82,943.0","73,310.0","69,729.0","54,510.0","50,923.0","66,479.0","101,599.0","101,145.0","100,751.0","106,533.0","103,524.0","88,830.0","132,723.0","134,828.0","133,229.0","147,945.0","143,036.0"
