"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/20/2014 3:20:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2"
"20","1","    Exports of goods and services","B020RC1","43,995.0","43,540.0","42,439.0","43,892.0","45,498.0","47,358.0","49,529.0","49,238.0","43,974.0","53,915.0"
"21","2","Exports of goods \1\","A253RC1","32,889.0","32,647.0","31,954.0","32,697.0","33,966.0","35,358.0","37,106.0","36,455.0","32,063.0","40,446.0"
"22","3","  Foods, feeds, and beverages","B638RC1","5,088.0","5,040.0","4,856.0","5,012.0","5,260.0","4,652.0","4,616.0","4,696.0","3,280.0","5,300.0"
"23","4","  Industrial supplies and materials","A639RC1","10,308.0","10,132.0","9,728.0","9,824.0","10,244.0","10,876.0","12,024.0","11,040.0","8,704.0","12,596.0"
"24","5","    Durable goods","B686RC1","3,916.0","3,856.0","3,384.0","3,472.0","3,748.0","4,196.0","4,448.0","4,336.0","3,480.0","4,824.0"
"25","6","    Nondurable goods","B687RC1","6,392.0","6,276.0","6,344.0","6,352.0","6,496.0","6,680.0","7,576.0","6,704.0","5,224.0","7,772.0"
"26","7","  Capital goods, except automotive","A640RC1","9,832.0","9,932.0","9,804.0","10,168.0","10,360.0","11,076.0","11,668.0","11,340.0","10,904.0","12,584.0"
"27","8","    Civilian aircraft, engines, and parts","B688RC1","584.0","636.0","916.0","1,024.0","1,128.0","1,272.0","1,740.0","1,480.0","1,456.0","1,000.0"
"28","9","    Computers, peripherals, and parts","B850RC1","528.0","548.0","532.0","572.0","552.0","544.0","632.0","612.0","668.0","716.0"
"29","10","    Other","B689RC1","8,720.0","8,748.0","8,356.0","8,572.0","8,680.0","9,260.0","9,296.0","9,248.0","8,780.0","10,868.0"
"30","11","  Automotive vehicles, engines, and parts","B641RC1","2,676.0","2,756.0","2,884.0","2,820.0","3,116.0","3,528.0","3,396.0","3,772.0","3,544.0","3,948.0"
"31","12","  Consumer goods, except food and automotive","A642RC1","2,204.0","2,048.0","2,072.0","2,120.0","2,164.0","2,328.0","2,500.0","2,344.0","2,332.0","2,692.0"
"32","13","    Durable goods","B690RC1","940.0","868.0","860.0","892.0","924.0","988.0","1,036.0","1,012.0","1,092.0","1,228.0"
"33","14","    Nondurable goods","B691RC1","1,264.0","1,180.0","1,212.0","1,228.0","1,240.0","1,340.0","1,464.0","1,332.0","1,240.0","1,464.0"
"34","15","  Other \2\","A643RC1","2,781.0","2,739.0","2,610.0","2,753.0","2,822.0","2,898.0","2,902.0","3,263.0","3,299.0","3,326.0"
"35","16","Exports of services \1\","A646RC1","11,106.0","10,893.0","10,485.0","11,195.0","11,532.0","12,000.0","12,423.0","12,783.0","11,911.0","13,469.0"
"36","17","  Transport","Y800RC1","2,792.0","2,796.0","2,792.0","2,808.0","2,895.0","2,970.0","3,001.0","2,973.0","2,544.0","3,288.0"
"37","18","  Travel (for all purposes including education)","Y801RC1","1,648.0","1,568.0","1,656.0","1,712.0","1,732.0","1,724.0","1,804.0","1,840.0","2,008.0","2,056.0"
"38","19","  Charges for the use of intellectual property n.e.c.","B684RC1","1,744.0","1,772.0","1,736.0","1,736.0","1,760.0","1,828.0","1,928.0","1,952.0","1,940.0","2,056.0"
