"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"21","2","Current tax receipts","W070RC1","78,975.0","81,065.0","83,868.0","85,932.0","88,383.0","90,315.0","92,473.0","93,985.0","97,051.0","100,049.0","103,193.0","106,455.0","110,861.0","114,536.0","116,791.0","120,140.0","122,995.0","124,722.0","127,638.0","129,745.0","130,614.0","134,706.0","139,277.0","139,563.0","140,857.0","144,775.0","150,262.0","153,862.0","160,014.0","163,742.0","167,286.0","171,854.0","176,926.0","181,607.0","186,107.0","190,304.0","192,112.0","200,207.0","197,637.0","202,748.0","206,311.0","208,412.0","214,558.0","218,787.0","224,521.0","224,101.0","231,508.0","239,966.0","249,533.0","252,505.0","259,466.0","261,584.0","265,371.0","270,632.0","276,513.0","280,116.0","283,719.0","295,918.0","307,524.0","316,435.0","328,026.0","335,988.0","339,038.0","346,128.0","353,914.0","360,619.0","367,480.0","372,739.0","378,866.0","383,619.0","392,209.0","403,470.0","406,976.0","424,510.0","424,914.0","432,024.0","438,359.0","445,721.0","458,840.0","468,132.0","481,478.0","490,632.0","491,114.0","488,792.0","509,840.0","513,401.0","522,447.0","530,804.0","529,548.0","538,225.0","549,171.0","560,168.0","565,270.0","579,642.0","583,924.0","590,228.0","588,866.0","598,252.0","608,384.0","623,458.0","630,434.0","636,166.0","652,234.0","658,054.0","667,686.0","661,590.0","676,264.0","682,920.0","695,328.0","705,960.0","712,558.0","724,538.0","734,570.0","740,992.0","756,232.0","767,890.0","779,864.0","791,397.0","798,810.0","809,649.0","820,598.0","830,274.0","847,268.0","863,600.0","881,749.0","898,726.0","893,924.0","898,577.0","917,882.0","927,939.0","902,096.0","909,195.0","910,120.0","911,661.0","942,626.0","949,637.0","951,821.0","950,307.0","996,815.0","1,015,549.0","1,026,801.0","1,037,070.0","1,067,152.0","1,100,373.0","1,136,867.0","1,153,475.0","1,175,136.0","1,200,582.0","1,231,878.0","1,257,727.0","1,257,626.0","1,270,606.0","1,305,611.0","1,323,191.0","1,322,057.0","1,334,414.0","1,330,442.0","1,359,590.0","1,342,806.0","1,282,842.0","1,259,027.0","1,247,478.0","1,277,544.0","1,288,545.0","1,285,075.0","1,285,638.0","1,315,485.0","1,336,382.0","1,350,573.0","1,361,673.0","1,373,195.0","1,387,741.0","1,404,918.0","1,416,899.0","1,425,572.0","1,451,776.0","1,474,436.0","1,468,073.0","1,467,545.0","1,477,122.0","1,479,800.0","1,480,407.0","1,501,651.0","1,518,287.0","1,517,004.0"
"22","3","  Personal current taxes","W071RC1","11,858.0","12,324.0","13,363.0","13,679.0","14,017.0","14,148.0","14,317.0","14,386.0","14,711.0","15,606.0","16,015.0","17,276.0","19,501.0","20,966.0","21,217.0","21,848.0","21,899.0","22,317.0","23,113.0","23,975.0","23,264.0","24,082.0","25,163.0","25,583.0","25,724.0","26,456.0","27,167.0","28,161.0","29,468.0","30,598.0","31,601.0","32,629.0","33,530.0","34,719.0","35,927.0","37,288.0","38,636.0","40,140.0","40,922.0","42,102.0","42,034.0","42,063.0","45,392.0","46,639.0","46,552.0","48,001.0","49,406.0","51,605.0","52,535.0","53,673.0","55,488.0","56,764.0","57,302.0","58,066.0","60,412.0","60,808.0","61,335.0","64,271.0","68,090.0","70,724.0","73,286.0","75,848.0","76,770.0","78,188.0","79,267.0","80,942.0","81,497.0","83,734.0","84,479.0","85,012.0","87,494.0","91,835.0","92,391.0","101,458.0","94,123.0","98,428.0","99,411.0","97,227.0","104,140.0","107,598.0","113,385.0","118,249.0","114,509.0","112,413.0","119,335.0","122,553.0","123,722.0","124,626.0","121,197.0","124,526.0","126,101.0","129,420.0","127,470.0","136,898.0","136,698.0","140,154.0","136,451.0","138,310.0","143,566.0","145,941.0","146,892.0","141,914.0","151,151.0","152,003.0","156,833.0","152,354.0","160,645.0","162,604.0","165,285.0","165,897.0","169,346.0","174,164.0","177,782.0","176,887.0","184,075.0","189,248.0","195,535.0","201,439.0","201,602.0","206,308.0","208,140.0","209,393.0","216,433.0","223,978.0","232,121.0","243,253.0","236,676.0","234,782.0","250,753.0","259,807.0","232,012.0","229,500.0","221,328.0","212,140.0","227,312.0","226,620.0","218,620.0","207,716.0","238,352.0","242,524.0","239,620.0","235,444.0","250,788.0","263,932.0","270,312.0","272,444.0","277,508.0","285,476.0","295,636.0","308,660.0","299,004.0","306,700.0","318,456.0","325,620.0","322,180.0","327,672.0","335,488.0","355,388.0","334,236.0","309,036.0","284,100.0","279,044.0","293,692.0","294,248.0","291,428.0","282,152.0","300,716.0","316,220.0","316,172.0","318,432.0","327,964.0","333,704.0","339,316.0","346,244.0","359,432.0","373,648.0","383,288.0","381,736.0","365,984.0","368,824.0","371,480.0","359,060.0","366,478.0","377,747.0","376,859.0"
"23","4","    Income taxes","B245RC1","8,940.0","9,316.0","10,287.0","10,533.0","10,770.0","10,853.0","10,979.0","11,010.0","11,301.0","12,164.0","12,539.0","13,756.0","15,911.0","17,317.0","17,496.0","18,064.0","18,026.0","18,393.0","19,099.0","19,938.0","19,166.0","19,938.0","20,965.0","21,335.0","21,430.0","22,075.0","22,707.0","23,600.0","24,775.0","25,816.0","26,730.0","27,715.0","28,644.0","29,799.0","30,931.0","32,166.0","33,365.0","34,715.0","35,391.0","36,453.0","36,332.0","36,313.0","39,551.0","40,660.0","40,437.0","41,734.0","43,049.0","45,156.0","45,985.0","47,018.0","48,761.0","49,884.0","50,246.0","50,866.0","53,064.0","53,372.0","53,693.0","56,542.0","60,204.0","62,701.0","65,049.0","67,393.0","68,102.0","69,340.0","70,249.0","71,769.0","72,181.0","74,289.0","74,965.0","75,357.0","77,667.0","81,807.0","82,077.0","90,923.0","83,369.0","87,467.0","88,279.0","85,800.0","92,491.0","95,826.0","101,291.0","105,833.0","102,142.0","99,814.0","106,638.0","109,512.0","110,751.0","111,475.0","107,950.0","111,221.0","112,227.0","115,482.0","112,714.0","122,258.0","121,935.0","124,601.0","121,765.0","123,948.0","128,663.0","130,524.0","131,395.0","125,763.0","135,082.0","136,724.0","140,623.0","136,122.0","144,241.0","145,962.0","148,999.0","149,633.0","152,847.0","157,825.0","160,726.0","159,572.0","166,757.0","171,613.0","177,707.0","183,227.0","183,384.0","187,762.0","189,319.0","190,540.0","197,424.0","204,845.0","212,702.0","224,026.0","217,048.0","215,640.0","231,612.0","240,092.0","212,146.0","209,494.0","201,496.0","191,528.0","206,600.0","205,688.0","197,468.0","185,996.0","215,732.0","219,596.0","216,188.0","212,024.0","226,888.0","239,476.0","245,788.0","247,824.0","252,500.0","259,932.0","269,692.0","282,352.0","272,560.0","280,004.0","291,356.0","298,548.0","295,044.0","300,556.0","309,220.0","328,936.0","307,652.0","282,268.0","256,656.0","251,216.0","265,244.0","264,904.0","261,572.0","251,660.0","269,860.0","285,504.0","285,280.0","287,368.0","296,636.0","302,212.0","307,464.0","314,256.0","327,524.0","341,664.0","351,388.0","349,572.0","333,544.0","336,308.0","339,631.0","326,878.0","334,498.0","345,901.0","345,178.0"
"24","5","    Other","B247RC1","2,918.0","3,008.0","3,076.0","3,146.0","3,247.0","3,295.0","3,338.0","3,376.0","3,410.0","3,442.0","3,476.0","3,520.0","3,590.0","3,649.0","3,721.0","3,784.0","3,873.0","3,924.0","4,014.0","4,037.0","4,098.0","4,144.0","4,198.0","4,248.0","4,294.0","4,381.0","4,460.0","4,561.0","4,693.0","4,782.0","4,871.0","4,914.0","4,886.0","4,920.0","4,996.0","5,122.0","5,271.0","5,425.0","5,531.0","5,649.0","5,702.0","5,750.0","5,841.0","5,979.0","6,115.0","6,267.0","6,357.0","6,449.0","6,550.0","6,655.0","6,727.0","6,880.0","7,056.0","7,200.0","7,348.0","7,436.0","7,642.0","7,729.0","7,886.0","8,023.0","8,237.0","8,455.0","8,668.0","8,848.0","9,018.0","9,173.0","9,316.0","9,445.0","9,514.0","9,655.0","9,827.0","10,028.0","10,314.0","10,535.0","10,754.0","10,961.0","11,132.0","11,427.0","11,649.0","11,772.0","12,094.0","12,416.0","12,367.0","12,599.0","12,697.0","13,041.0","12,971.0","13,151.0","13,247.0","13,305.0","13,874.0","13,938.0","14,756.0","14,640.0","14,763.0","15,553.0","14,686.0","14,362.0","14,903.0","15,417.0","15,497.0","16,151.0","16,069.0","15,279.0","16,210.0","16,232.0","16,404.0","16,642.0","16,286.0","16,264.0","16,499.0","16,339.0","17,056.0","17,315.0","17,318.0","17,635.0","17,828.0","18,212.0","18,218.0","18,546.0","18,821.0","18,853.0","19,009.0","19,133.0","19,419.0","19,227.0","19,628.0","19,142.0","19,141.0","19,715.0","19,866.0","20,006.0","19,832.0","20,612.0","20,712.0","20,932.0","21,152.0","21,720.0","22,620.0","22,928.0","23,432.0","23,420.0","23,900.0","24,456.0","24,524.0","24,620.0","25,008.0","25,544.0","25,944.0","26,308.0","26,444.0","26,696.0","27,100.0","27,072.0","27,136.0","27,116.0","26,268.0","26,452.0","26,584.0","26,768.0","27,444.0","27,828.0","28,448.0","29,344.0","29,856.0","30,492.0","30,856.0","30,716.0","30,892.0","31,064.0","31,328.0","31,492.0","31,852.0","31,988.0","31,908.0","31,984.0","31,900.0","32,164.0","32,440.0","32,516.0","31,849.0","32,182.0","31,980.0","31,846.0","31,681.0"
"25","6","  Taxes on production and imports","W072RC1","63,309.0","65,073.0","66,989.0","68,805.0","70,610.0","72,431.0","74,324.0","75,963.0","78,252.0","80,227.0","82,806.0","84,719.0","86,368.0","88,526.0","90,350.0","92,544.0","95,060.0","96,333.0","98,669.0","99,622.0","101,022.0","103,992.0","106,834.0","107,504.0","109,021.0","111,683.0","114,899.0","117,257.0","120,870.0","123,516.0","126,025.0","129,645.0","132,880.0","135,500.0","138,332.0","141,052.0","142,960.0","147,695.0","144,235.0","147,590.0","150,585.0","152,557.0","155,558.0","158,968.0","161,901.0","163,344.0","168,150.0","173,273.0","180,182.0","183,668.0","188,322.0","190,688.0","193,929.0","198,298.0","201,721.0","205,960.0","209,600.0","215,983.0","222,042.0","227,967.0","234,672.0","240,280.0","244,724.0","250,216.0","254,683.0","260,049.0","265,063.0","268,529.0","273,003.0","276,559.0","282,339.0","286,799.0","291,907.0","298,533.0","305,966.0","310,014.0","315,524.0","323,271.0","327,395.0","332,358.0","340,281.0","348,136.0","353,804.0","354,283.0","369,086.0","368,737.0","375,747.0","382,742.0","384,567.0","390,279.0","399,339.0","407,119.0","412,607.0","418,002.0","424,049.0","425,666.0","427,584.0","433,188.0","439,626.0","446,670.0","456,437.0","465,531.0","469,682.0","473,398.0","478,312.0","477,949.0","483,732.0","489,407.0","498,112.0","506,536.0","509,928.0","517,024.0","523,680.0","530,547.0","536,611.0","544,274.0","549,643.0","555,414.0","561,529.0","568,514.0","576,204.0","585,419.0","595,252.0","603,737.0","612,440.0","618,924.0","623,769.0","630,087.0","637,015.0","637,747.0","641,772.0","653,094.0","660,492.0","669,364.0","683,848.0","689,484.0","698,684.0","710,860.0","724,904.0","736,844.0","749,352.0","760,832.0","772,475.0","792,121.0","811,254.0","828,055.0","844,322.0","856,917.0","876,594.0","888,751.0","896,858.0","908,666.0","927,959.0","938,135.0","943,581.0","950,154.0","944,750.0","952,582.0","955,730.0","938,734.0","927,739.0","925,586.0","938,256.0","947,545.0","949,155.0","957,878.0","964,165.0","970,214.0","982,849.0","995,133.0","994,819.0","1,003,293.0","1,014,522.0","1,017,063.0","1,013,396.0","1,022,876.0","1,035,620.0","1,032,273.0","1,046,177.0","1,052,178.0","1,052,455.0","1,064,587.0","1,077,368.0","1,081,857.0","1,079,749.0"
"26","7","    Sales taxes","B248RC1","27,095.0","28,095.0","29,125.0","29,933.0","30,587.0","31,336.0","32,099.0","32,558.0","33,557.0","34,495.0","36,139.0","37,265.0","38,075.0","39,369.0","40,312.0","41,448.0","42,951.0","43,332.0","44,925.0","45,112.0","45,708.0","47,845.0","49,733.0","49,354.0","49,534.0","50,842.0","52,608.0","53,828.0","55,915.0","57,189.0","57,966.0","59,970.0","61,844.0","63,116.0","64,675.0","66,437.0","67,291.0","70,772.0","71,973.0","73,964.0","75,393.0","76,253.0","77,906.0","79,572.0","81,164.0","80,847.0","83,457.0","85,964.0","89,554.0","89,552.0","91,754.0","92,128.0","92,949.0","95,514.0","97,041.0","99,292.0","101,492.0","106,199.0","109,851.0","113,058.0","116,787.0","119,871.0","121,993.0","125,349.0","127,272.0","130,561.0","132,827.0","133,836.0","136,075.0","137,802.0","142,044.0","143,479.0","145,133.0","148,616.0","152,891.0","154,664.0","157,811.0","162,274.0","163,723.0","165,760.0","168,673.0","172,850.0","174,553.0","173,200.0","183,732.0","181,184.0","185,337.0","186,911.0","184,795.0","187,859.0","193,068.0","196,922.0","200,641.0","201,560.0","207,369.0","207,654.0","210,945.0","214,724.0","217,447.0","222,456.0","225,725.0","230,942.0","233,128.0","235,889.0","240,359.0","239,551.0","243,727.0","247,303.0","252,409.0","255,711.0","256,763.0","259,861.0","262,845.0","266,783.0","270,497.0","274,475.0","277,533.0","281,522.0","285,534.0","290,891.0","292,846.0","298,854.0","305,208.0","309,364.0","314,093.0","316,600.0","316,599.0","319,964.0","322,287.0","320,146.0","319,478.0","325,301.0","325,168.0","328,600.0","334,964.0","335,688.0","339,336.0","345,596.0","352,404.0","358,076.0","363,376.0","367,660.0","371,488.0","381,680.0","391,208.0","399,744.0","408,280.0","410,644.0","424,416.0","431,008.0","434,212.0","437,608.0","444,012.0","448,740.0","450,396.0","452,516.0","449,544.0","447,348.0","446,944.0","435,284.0","425,164.0","417,712.0","424,724.0","428,008.0","431,784.0","443,384.0","452,172.0","456,472.0","460,080.0","469,224.0","465,792.0","471,720.0","480,024.0","482,076.0","479,868.0","486,100.0","497,212.0","494,244.0","503,512.0","509,344.0","511,786.0","520,540.0","529,720.0","536,631.0","537,952.0"
"27","8","    Property taxes","B249RC1","31,551.0","32,291.0","33,132.0","34,078.0","35,129.0","36,166.0","37,193.0","38,208.0","39,207.0","40,102.0","40,893.0","41,578.0","42,158.0","42,818.0","43,557.0","44,375.0","45,273.0","46,065.0","46,751.0","47,331.0","47,805.0","48,465.0","49,310.0","50,340.0","51,554.0","52,772.0","53,993.0","55,217.0","56,442.0","57,655.0","58,853.0","60,038.0","61,543.0","62,817.0","63,841.0","64,599.0","65,275.0","66,057.0","61,336.0","62,324.0","63,164.0","63,992.0","64,816.0","65,640.0","66,516.0","67,796.0","69,464.0","71,528.0","73,892.0","76,248.0","78,020.0","80,160.0","82,440.0","84,492.0","86,328.0","87,940.0","89,325.0","90,901.0","92,665.0","94,617.0","96,757.0","98,793.0","100,717.0","102,533.0","104,469.0","106,454.0","108,480.0","110,561.0","112,643.0","114,908.0","117,291.0","119,790.0","122,548.0","125,141.0","127,719.0","130,280.0","132,398.0","134,891.0","137,744.0","140,951.0","145,019.0","148,377.0","151,545.0","154,515.0","156,622.0","159,703.0","163,080.0","166,727.0","171,212.0","174,726.0","177,846.0","180,500.0","182,865.0","184,417.0","185,424.0","186,006.0","184,818.0","185,890.0","187,799.0","190,525.0","196,002.0","198,767.0","200,758.0","201,949.0","200,773.0","201,623.0","202,984.0","204,936.0","208,120.0","210,867.0","213,747.0","216,674.0","219,976.0","222,560.0","224,818.0","226,766.0","227,908.0","229,604.0","231,856.0","234,664.0","238,032.0","241,284.0","244,429.0","247,463.0","250,389.0","253,271.0","256,109.0","258,907.0","261,658.0","265,304.0","269,841.0","275,269.0","281,388.0","286,992.0","292,068.0","296,624.0","300,652.0","304,804.0","309,056.0","313,416.0","317,884.0","322,992.0","328,732.0","335,116.0","342,132.0","348,612.0","354,560.0","359,968.0","364,852.0","370,868.0","378,028.0","386,332.0","395,784.0","402,780.0","407,328.0","409,420.0","409,068.0","410,808.0","414,640.0","420,572.0","428,596.0","434,412.0","438,008.0","439,400.0","436,692.0","434,948.0","434,172.0","434,356.0","436,576.0","438,504.0","440,140.0","441,492.0","442,544.0","443,448.0","444,192.0","444,772.0","445,192.0","445,828.0","446,676.0","447,736.0","448,509.0","449,461.0","451,022.0","452,551.0","454,087.0"
"28","9","    Other","W073RC1","4,663.0","4,687.0","4,732.0","4,794.0","4,894.0","4,929.0","5,032.0","5,197.0","5,488.0","5,630.0","5,774.0","5,876.0","6,135.0","6,339.0","6,481.0","6,721.0","6,836.0","6,936.0","6,993.0","7,179.0","7,509.0","7,682.0","7,791.0","7,810.0","7,933.0","8,069.0","8,298.0","8,212.0","8,513.0","8,672.0","9,206.0","9,637.0","9,493.0","9,567.0","9,816.0","10,016.0","10,394.0","10,866.0","10,926.0","11,302.0","12,028.0","12,312.0","12,836.0","13,756.0","14,221.0","14,701.0","15,229.0","15,781.0","16,736.0","17,868.0","18,548.0","18,400.0","18,540.0","18,292.0","18,352.0","18,728.0","18,783.0","18,883.0","19,526.0","20,292.0","21,128.0","21,616.0","22,014.0","22,334.0","22,942.0","23,034.0","23,756.0","24,132.0","24,285.0","23,849.0","23,004.0","23,530.0","24,226.0","24,776.0","25,356.0","25,070.0","25,315.0","26,106.0","25,928.0","25,647.0","26,589.0","26,909.0","27,706.0","26,568.0","28,732.0","27,850.0","27,330.0","29,104.0","28,560.0","27,694.0","28,425.0","29,697.0","29,101.0","32,025.0","31,256.0","32,006.0","31,821.0","32,574.0","34,380.0","33,689.0","34,710.0","35,822.0","35,796.0","35,560.0","37,180.0","36,775.0","37,021.0","37,168.0","37,583.0","39,958.0","39,418.0","40,489.0","40,859.0","41,204.0","41,296.0","43,033.0","44,202.0","44,288.0","44,139.0","42,959.0","45,326.0","45,281.0","45,615.0","46,910.0","47,958.0","49,053.0","51,061.0","51,216.0","53,070.0","52,297.0","52,453.0","52,524.0","53,936.0","53,772.0","56,816.0","57,172.0","58,696.0","60,460.0","63,444.0","65,352.0","68,092.0","70,180.0","72,255.0","75,325.0","77,914.0","79,699.0","81,482.0","86,305.0","87,326.0","86,875.0","84,618.0","84,726.0","88,163.0","86,615.0","85,857.0","88,218.0","86,138.0","94,426.0","94,146.0","82,878.0","73,979.0","73,462.0","75,524.0","80,137.0","80,679.0","79,546.0","77,821.0","79,386.0","86,193.0","87,405.0","88,887.0","90,081.0","91,954.0","91,539.0","89,336.0","92,004.0","93,216.0","92,201.0","95,989.0","95,098.0","92,160.0","94,586.0","96,626.0","92,675.0","87,710.0"
"29","10","  Taxes on corporate income","B102RC1","3,808.0","3,668.0","3,516.0","3,448.0","3,756.0","3,736.0","3,832.0","3,636.0","4,088.0","4,216.0","4,372.0","4,460.0","4,992.0","5,044.0","5,224.0","5,748.0","6,036.0","6,072.0","5,856.0","6,148.0","6,328.0","6,632.0","7,280.0","6,476.0","6,112.0","6,636.0","8,196.0","8,444.0","9,676.0","9,628.0","9,660.0","9,580.0","10,516.0","11,388.0","11,848.0","11,964.0","10,516.0","12,372.0","12,480.0","13,056.0","13,692.0","13,792.0","13,608.0","13,180.0","16,068.0","12,756.0","13,952.0","15,088.0","16,816.0","15,164.0","15,656.0","14,132.0","14,140.0","14,268.0","14,380.0","13,348.0","12,784.0","15,664.0","17,392.0","17,744.0","20,068.0","19,860.0","17,544.0","17,724.0","19,964.0","19,628.0","20,920.0","20,476.0","21,384.0","22,048.0","22,376.0","24,836.0","22,679.0","24,519.0","24,825.0","23,582.0","23,424.0","25,223.0","27,305.0","28,176.0","27,812.0","24,247.0","22,801.0","22,096.0","21,420.0","22,111.0","22,978.0","23,436.0","23,784.0","23,420.0","23,731.0","23,629.0","25,193.0","24,742.0","23,177.0","24,408.0","24,832.0","26,754.0","25,192.0","30,847.0","27,106.0","28,721.0","31,401.0","32,653.0","32,540.0","31,287.0","31,887.0","30,909.0","31,931.0","33,527.0","33,284.0","33,350.0","33,109.0","33,558.0","35,546.0","34,368.0","34,686.0","34,544.0","35,679.0","34,827.0","36,254.0","35,462.0","35,583.0","35,885.0","37,188.0","36,549.0","33,479.0","33,708.0","30,114.0","30,385.0","28,312.0","26,601.0","28,300.0","30,157.0","31,466.0","33,533.0","34,516.0","31,731.0","33,559.0","36,181.0","37,828.0","40,794.0","43,889.0","44,320.0","55,301.0","52,976.0","53,306.0","58,189.0","59,648.0","60,316.0","61,764.0","55,240.0","59,196.0","59,436.0","56,296.0","56,588.0","50,204.0","51,620.0","52,840.0","35,072.0","47,188.0","42,848.0","45,596.0","46,752.0","44,492.0","45,608.0","50,604.0","49,948.0","51,552.0","48,108.0","50,412.0","50,744.0","51,080.0","53,592.0","52,744.0","55,252.0","55,528.0","54,064.0","55,384.0","56,120.0","55,865.0","56,760.0","57,805.0","58,683.0","60,396.0"
"30","11","Contributions for government social insurance","B104RC1","980.0","1,016.0","1,040.0","1,068.0","1,072.0","1,080.0","1,092.0","1,112.0","1,132.0","1,164.0","1,184.0","1,216.0","1,256.0","1,308.0","1,336.0","1,380.0","1,424.0","1,468.0","1,520.0","1,556.0","1,596.0","1,644.0","1,684.0","1,736.0","1,752.0","1,800.0","1,868.0","1,952.0","2,036.0","2,132.0","2,236.0","2,344.0","2,512.0","2,704.0","2,856.0","3,028.0","3,184.0","3,348.0","3,484.0","3,624.0","3,768.0","3,856.0","3,932.0","3,964.0","3,608.0","2,916.0","3,812.0","3,952.0","3,744.0","3,828.0","3,908.0","3,960.0","4,012.0","4,036.0","4,056.0","4,068.0","4,036.0","4,056.0","4,148.0","4,320.0","4,520.0","4,672.0","4,752.0","4,764.0","4,724.0","4,760.0","4,896.0","5,164.0","5,488.0","5,792.0","6,116.0","6,432.0","6,732.0","7,036.0","7,344.0","7,716.0","8,016.0","8,292.0","8,508.0","8,692.0","8,760.0","8,860.0","9,020.0","9,256.0","9,532.0","9,856.0","10,216.0","10,536.0","10,988.0","11,420.0","11,832.0","12,236.0","12,608.0","12,972.0","13,308.0","13,604.0","13,828.0","14,052.0","14,236.0","14,400.0","14,568.0","14,604.0","14,528.0","14,360.0","13,992.0","13,748.0","13,468.0","13,192.0","13,012.0","12,660.0","12,280.0","11,860.0","11,288.0","10,908.0","10,640.0","10,456.0","10,480.0","10,460.0","10,336.0","10,128.0","9,876.0","9,700.0","9,664.0","9,768.0","10,024.0","10,440.0","11,028.0","11,796.0","12,688.0","13,460.0","14,076.0","14,540.0","14,904.0","15,376.0","16,072.0","16,952.0","18,040.0","19,212.0","20,524.0","21,952.0","23,412.0","24,524.0","25,212.0","25,468.0","25,348.0","24,988.0","24,436.0","23,688.0","22,780.0","21,896.0","21,044.0","20,224.0","19,484.0","18,936.0","18,608.0","18,512.0","18,580.0","18,680.0","18,728.0","18,736.0","18,728.0","18,656.0","18,528.0","18,356.0","18,168.0","18,076.0","18,088.0","18,180.0","18,280.0","18,280.0","18,220.0","18,084.0","17,896.0","17,736.0","17,644.0","17,620.0","17,652.0","17,660.0","17,668.0","17,652.0","17,688.0","17,672.0","17,584.0","17,508.0","17,412.0"
"31","12","Income receipts on assets","W074RC1","3,984.0","4,225.0","4,458.0","4,681.0","4,944.0","5,113.0","5,238.0","5,317.0","5,447.0","5,480.0","5,511.0","5,542.0","5,652.0","5,768.0","5,986.0","6,306.0","6,928.0","7,444.0","8,015.0","8,653.0","9,429.0","10,021.0","10,487.0","10,823.0","11,228.0","11,284.0","11,215.0","11,013.0","10,511.0","10,351.0","10,347.0","10,523.0","10,915.0","11,355.0","11,890.0","12,500.0","13,222.0","14,079.0","15,082.0","16,249.0","18,215.0","19,531.0","20,784.0","21,982.0","24,347.0","25,563.0","26,877.0","28,293.0","29,937.0","31,358.0","32,673.0","33,884.0","35,222.0","36,270.0","37,252.0","38,140.0","39,532.0","40,693.0","42,021.0","43,526.0","44,919.0","46,687.0","48,556.0","50,535.0","53,368.0","55,006.0","56,480.0","57,593.0","58,684.0","59,030.0","59,056.0","59,066.0","58,555.0","58,505.0","58,494.0","58,585.0","59,524.0","60,434.0","61,810.0","63,012.0","65,028.0","66,279.0","67,139.0","67,789.0","67,967.0","68,188.0","69,443.0","68,274.0","68,059.0","67,592.0","67,087.0","66,242.0","65,998.0","64,340.0","63,355.0","62,499.0","61,540.0","60,994.0","60,865.0","61,062.0","61,815.0","62,847.0","63,906.0","65,440.0","67,075.0","68,455.0","69,860.0","71,066.0","72,012.0","73,081.0","74,349.0","75,349.0","76,499.0","77,705.0","78,592.0","79,576.0","80,303.0","81,028.0","81,664.0","82,021.0","82,666.0","83,769.0","85,854.0","88,672.0","92,145.0","94,206.0","94,859.0","94,494.0","92,721.0","90,532.0","88,184.0","85,207.0","81,858.0","79,307.0","77,339.0","75,853.0","74,811.0","73,751.0","73,376.0","73,343.0","73,983.0","75,324.0","77,405.0","80,556.0","82,756.0","86,250.0","90,355.0","95,005.0","100,393.0","105,242.0","109,530.0","113,537.0","117,461.0","118,792.0","119,066.0","116,448.0","112,476.0","108,125.0","103,402.0","98,831.0","93,001.0","88,591.0","85,657.0","83,967.0","83,358.0","83,023.0","82,276.0","81,742.0","80,268.0","79,300.0","78,740.0","78,556.0","78,402.0","78,639.0","78,645.0","78,862.0","79,133.0","79,462.0","79,958.0","80,276.0","80,486.0","80,914.0","81,007.0","81,307.0","81,574.0"
