"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Millions of dollars]; Quarterly totals not seasonally adjusted                                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1959 To 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 10, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/11/2014 2:50:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","Cash receipts from the public","L318011",".....",".....","21,364.0","19,419.0","25,776.0","28,518.0","23,352.0","20,641.0","24,758.0","28,491.0","23,381.0","21,289.0","26,214.0","30,981.0","26,029.0","22,982.0","28,178.0","32,550.0","27,304.0","24,542.0","30,322.0","33,362.0","27,035.0","24,312.0","30,669.0","37,683.0","29,175.0","25,850.0","33,295.0","46,160.0","34,614.0","31,066.0","38,049.0","49,866.0","35,880.0","32,505.0"
"22","2","Less: Coverage differences","L318021",".....",".....","739.0","786.0","751.0","1,185.0","743.0","862.0","996.0","1,514.0","910.0","765.0","850.0","1,097.0","1,250.0","951.0","826.0","1,150.0","1,058.0","859.0","989.0","1,298.0","1,009.0","1,225.0","1,158.0","1,296.0","1,128.0","1,047.0","1,274.0","1,684.0","1,173.0","1,384.0","1,288.0","2,124.0","1,302.0","1,052.0"
"23","3","  Contributions received by federal employee pension and insurance funds \1\","L318041",".....",".....","191.0","183.0","200.0","180.0","219.0","206.0","204.0","219.0","216.0","213.0","217.0","218.0","227.0","231.0","234.0","234.0","238.0","249.0","254.0","250.0","261.0","264.0","266.0","261.0","265.0","279.0","277.0","280.0","292.0","309.0","292.0","318.0","320.0","343.0"
"24","4","  Capital transfers received \2\","L318051",".....",".....","331.0","319.0","409.0","545.0","368.0","437.0","516.0","571.0","448.0","415.0","474.0","677.0","460.0","443.0","547.0","715.0","538.0","441.0","554.0","858.0","597.0","558.0","695.0","863.0","629.0","628.0","764.0","1,042.0","644.0","596.0","752.0","981.0","703.0","629.0"
"25","5","  Financial transactions","L318061",".....",".....","132.0","188.0","166.0","70.0","125.0","172.0","154.0","640.0","208.0","60.0","90.0","86.0","474.0","130.0","-5.0","77.0","174.0","110.0","85.0","97.0","103.0","80.0","102.0","62.0","98.0","65.0","82.0","89.0","134.0","342.0","104.0","41.0","132.0","116.0"
"26","6","  District of Columbia","L318071",".....",".....","45.0","54.0","49.0","54.0","42.0","57.0","50.0","58.0","42.0","63.0","54.0","63.0","45.0","81.0","62.0","66.0","64.0","71.0","73.0","64.0","66.0","77.0","70.0","74.0","72.0","76.0","78.0","86.0","66.0","86.0","80.0","95.0","86.0","85.0"
"27","7","  Other \3\","L318081",".....",".....","40.0","42.0","-73.0","336.0","-11.0","-10.0","72.0","26.0","-4.0","14.0","15.0","53.0","44.0","66.0","-12.0","58.0","44.0","-12.0","23.0","29.0","-18.0","246.0","25.0","36.0","64.0","-1.0","73.0","187.0","37.0","51.0","60.0","689.0","61.0","-121.0"
"28","8","Less: Netting and grossing differences","L318091",".....",".....","167.0","231.0","-48.0","42.0","-69.0","-108.0","-92.0","22.0","-67.0","-173.0","-119.0","-79.0","-47.0","72.0","-44.0","19.0","-58.0","-24.0","-28.0","-198.0","-159.0","-103.0","-267.0","-252.0","-122.0","-86.0","-13.0","75.0","92.0","-109.0","-277.0","-169.0","-341.0","-412.0"
"29","9","  Current surplus of government enterprises \4\","W700LC1",".....",".....","189.0","67.0","198.0","114.0","240.0","144.0","238.0","242.0","274.0","139.0","207.0","230.0","269.0","195.0","180.0","201.0","221.0","112.0","159.0","187.0","254.0","162.0","167.0","239.0","276.0","193.0","290.0","256.0","408.0","241.0","311.0","322.0","379.0","269.0"
"30","10","  Interest receipts \5\","W701LC1",".....",".....","0.0","0.0","-282.0","-311.0","-347.0","-393.0","-304.0","-346.0","-341.0","-428.0","-342.0","-427.0","-380.0","-457.0","-378.0","-430.0","-410.0","-483.0","-406.0","-448.0","-451.0","-442.0","-442.0","-490.0","-440.0","-461.0","-416.0","-499.0","-458.0","-578.0","-468.0","-565.0","-550.0","-671.0"
"31","11","  Other \6\","L318111",".....",".....","-22.0","164.0","36.0","239.0","38.0","141.0","-26.0","126.0","0.0","116.0","16.0","118.0","64.0","334.0","154.0","248.0","131.0","347.0","219.0","63.0","38.0","177.0","8.0","-1.0","42.0","182.0","113.0","318.0","142.0","228.0","-120.0","74.0","-170.0","-10.0"
"32","12","Plus: Timing differences","L318121",".....",".....","800.0","1,818.0","-1,412.0","-678.0","-111.0","827.0","-1,753.0","-147.0","731.0","2,204.0","-443.0","-125.0","44.0","1,480.0","-511.0","266.0","692.0","2,102.0","-1,827.0","-208.0","613.0","1,742.0","-622.0","-1,189.0","512.0","2,251.0","129.0","-4,479.0","-260.0","2,422.0","-871.0","-7,310.0","935.0","1,766.0"
"33","13","  Taxes on corporate income","L318131",".....",".....","1,275.0","1,416.0","-1,914.0","-1,050.0","547.0","752.0","-2,197.0","-665.0","1,381.0","2,000.0","-1,485.0","-488.0","1,063.0","1,516.0","-1,672.0","-44.0","1,654.0","1,918.0","-1,721.0","-564.0","1,511.0","1,628.0","-1,484.0","-1,183.0","1,404.0","2,108.0","-1,181.0","-3,397.0","1,455.0","1,860.0","-1,338.0","-7,226.0","1,395.0","2,188.0"
"34","14","  Federal and state unemployment insurance taxes","L318141",".....",".....","-158.0","-91.0","332.0","-29.0","-206.0","-124.0","420.0","-29.0","-196.0","-116.0","688.0","114.0","-206.0","-94.0","143.0","61.0","-235.0","-82.0","140.0","-41.0","-234.0","-99.0","352.0","-35.0","-267.0","-108.0","399.0","-28.0","-241.0","-111.0","289.0","-68.0","-207.0","-76.0"
"35","15","  Withheld personal income tax and social security contributions","L318151",".....",".....","-213.0","430.0","64.0","284.0","-282.0","127.0","110.0","285.0","-331.0","156.0","436.0","64.0","-642.0","-92.0","1,099.0","38.0","-536.0","50.0","-134.0","117.0","-459.0","67.0","411.0","112.0","-157.0","90.0","1,326.0","-1,389.0","-1,320.0","588.0","883.0","-18.0","-160.0","-332.0"
"36","16","  Excise taxes","L318161",".....",".....","-121.0","55.0","99.0","99.0","-175.0","61.0","-100.0","248.0","-124.0","141.0","-98.0","167.0","-178.0","131.0","-105.0","197.0","-193.0","191.0","-120.0","266.0","-206.0","134.0","75.0","-96.0","-473.0","155.0","-434.0","327.0","-155.0","70.0","-712.0","-5.0","-88.0","-11.0"
"37","17","  Other","L318171",".....",".....","17.0","8.0","7.0","18.0","5.0","11.0","14.0","14.0","1.0","23.0","16.0","18.0","7.0","19.0","24.0","14.0","2.0","25.0","8.0","14.0","1.0","12.0","24.0","13.0","5.0","6.0","19.0","8.0","1.0","15.0","7.0","7.0","-5.0","-3.0"
"38","18","Equals: Federal government current receipts, NIPAs","L318181",".....",".....","21,258.0","20,220.0","23,661.0","26,613.0","22,567.0","20,714.0","22,101.0","26,808.0","23,269.0","22,901.0","25,040.0","29,838.0","24,870.0","23,439.0","26,885.0","31,647.0","26,996.0","25,809.0","27,534.0","32,054.0","26,798.0","24,932.0","29,156.0","35,450.0","28,681.0","27,140.0","32,163.0","39,922.0","33,089.0","32,213.0","36,167.0","40,601.0","35,854.0","33,631.0"
"39",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","19","Cash payments to the public","L318191",".....",".....","24,375.0","23,917.0","21,957.0","24,079.0","24,156.0","24,539.0","23,402.0","27,445.0","26,715.0","27,173.0","25,923.0","27,851.0","28,502.0","29,599.0","26,520.0","29,130.0","30,952.0","30,620.0","28,707.0","30,053.0","30,913.0","30,598.0","28,270.0","32,614.0","33,085.0","33,951.0","34,583.0","36,198.0","41,282.0","38,803.0","36,660.0","38,396.0","45,064.0","43,451.0"
"41","20","Less: Coverage differences","L318201",".....",".....","1,065.0","1,073.0","261.0","568.0","776.0","555.0","296.0","1,441.0","2,971.0","1,669.0","875.0","953.0","1,613.0","1,226.0","-275.0","1,149.0","1,637.0","2,255.0","401.0","963.0","689.0","1,422.0","-607.0","2,657.0","-201.0","1,504.0","1,488.0","736.0","2,376.0","1,265.0","-2,808.0","-2,366.0","2,460.0","1,801.0"
"42","21","  Federal employee pension and insurance fund transactions \1\","L318221",".....",".....","-2,190.0","-2,259.0","-2,277.0","-2,303.0","-2,396.0","-2,346.0","-2,371.0","-2,435.0","-2,444.0","-2,478.0","-2,507.0","-2,616.0","-2,587.0","-2,619.0","-2,623.0","-2,686.0","-2,702.0","-2,719.0","-2,730.0","-2,781.0","-2,863.0","-2,850.0","-2,863.0","-2,962.0","-3,047.0","-3,075.0","-3,050.0","-3,206.0","-3,327.0","-3,304.0","-3,280.0","-3,448.0","-3,498.0","-3,613.0"
"43","22","    Interest accrued","L318231",".....",".....","-1,293.0","-1,380.0","-1,388.0","-1,445.0","-1,465.0","-1,492.0","-1,508.0","-1,565.0","-1,589.0","-1,623.0","-1,639.0","-1,695.0","-1,712.0","-1,755.0","-1,764.0","-1,834.0","-1,853.0","-1,900.0","-1,902.0","-1,983.0","-1,998.0","-2,047.0","-2,042.0","-2,138.0","-2,135.0","-2,231.0","-2,193.0","-2,311.0","-2,342.0","-2,365.0","-2,374.0","-2,503.0","-2,521.0","-2,535.0"
