"","Table 5#8#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RC1",".....",".....",".....","1,284,666.0","1,293,925.0","1,305,129.0","1,315,106.0","1,327,909.0","1,337,985.0","1,336,671.0","1,334,576.0","1,342,317.0","1,360,078.0","1,373,962.0","1,397,567.0","1,433,439.0","1,457,453.0","1,480,625.0","1,496,846.0","1,524,807.0","1,523,083.0","1,509,937.0","1,485,237.0","1,447,654.0","1,448,757.0","1,456,460.0","1,475,033.0","1,495,234.0","1,518,180.0","1,512,607.0","1,530,150.0","1,556,616.0","1,594,397.0","1,636,579.0","1,665,157.0","1,697,938.0","1,744,992.0","1,750,731.0","1,792,148.0","1,842,344.0","1,857,199.0","1,900,419.0","1,934,130.0","1,953,352.0","1,993,812.0","2,022,914.0","2,050,835.0","2,118,964.0","2,194,473.0","2,285,376.0","2,251,788.0","2,050,105.0","1,974,039.0","1,933,410.0","1,899,049.0","1,927,176.0","1,975,218.0","1,979,347.0","2,042,135.0","2,129,545.0","2,232,823.0","2,272,182.0","2,276,619.0","2,295,542.0","2,340,343.0","2,326,493.0","2,378,906.0","2,388,345.0","2,405,227.0","2,410,778.0","2,435,768.0","2,459,463.0"
"21","2","Farm","B372RC1",".....",".....",".....","136,551.0","138,443.0","138,104.0","138,376.0","136,896.0","134,037.0","128,049.0","121,824.0","120,512.0","123,080.0","122,428.0","121,471.0","124,306.0","126,677.0","125,239.0","121,909.0","132,119.0","136,190.0","134,366.0","130,163.0","126,172.0","128,162.0","125,603.0","128,681.0","135,918.0","136,038.0","136,775.0","149,985.0","151,018.0","156,643.0","163,831.0","156,823.0","157,170.0","160,074.0","156,727.0","160,801.0","165,263.0","157,940.0","157,404.0","165,265.0","165,190.0","177,097.0","175,191.0","183,175.0","188,480.0","199,082.0","214,526.0","207,202.0","185,566.0","181,070.0","175,980.0","171,258.0","173,411.0","182,572.0","180,735.0","190,491.0","209,050.0","233,598.0","231,541.0","234,963.0","240,058.0","244,049.0","240,984.0","242,616.0","241,300.0","241,815.0","249,206.0","250,828.0","248,212.0"
"22","3","Mining, utilities, and construction","N238RC1",".....",".....",".....","31,122.0","31,876.0","31,295.0","32,289.0","32,990.0","32,821.0","34,372.0","34,850.0","36,408.0","36,179.0","37,572.0","38,507.0","38,295.0","38,816.0","39,700.0","41,272.0","42,074.0","46,928.0","46,041.0","44,242.0","45,145.0","45,569.0","46,573.0","45,303.0","46,320.0","51,915.0","52,338.0","53,322.0","55,417.0","58,031.0","60,896.0","63,552.0","67,477.0","69,140.0","73,727.0","80,145.0","93,159.0","88,121.0","88,386.0","92,252.0","96,492.0","100,136.0","103,894.0","98,284.0","98,362.0","104,672.0","116,756.0","116,126.0","94,209.0","88,452.0","84,219.0","82,860.0","83,437.0","86,458.0","84,374.0","86,690.0","86,800.0","88,894.0","89,169.0","88,698.0","86,342.0","88,673.0","87,130.0","89,545.0","94,456.0","92,832.0","95,891.0","95,633.0","94,581.0"
"23","4","Manufacturing","N376RC1",".....",".....",".....","421,010.0","421,044.0","423,889.0","426,335.0","431,453.0","433,713.0","435,372.0","434,046.0","431,936.0","433,619.0","436,577.0","445,698.0","457,212.0","464,000.0","468,320.0","473,148.0","475,995.0","473,820.0","465,561.0","453,962.0","440,313.0","436,948.0","437,067.0","442,212.0","446,115.0","451,777.0","447,693.0","444,033.0","451,385.0","459,919.0","472,470.0","485,913.0","492,784.0","511,163.0","511,545.0","527,041.0","539,880.0","553,284.0","572,932.0","580,794.0","582,777.0","592,870.0","607,473.0","614,907.0","643,215.0","679,841.0","714,502.0","690,962.0","601,062.0","583,900.0","581,103.0","580,895.0","591,907.0","613,681.0","611,117.0","626,710.0","658,562.0","699,535.0","715,604.0","711,554.0","713,727.0","730,917.0","712,715.0","727,467.0","723,286.0","733,636.0","727,662.0","736,362.0","738,980.0"
"24","5","  Durable goods industries","N377RC1",".....",".....",".....","260,713.0","261,382.0","262,723.0","264,117.0","267,184.0","271,028.0","273,512.0","273,581.0","272,899.0","273,990.0","273,811.0","278,506.0","284,245.0","287,585.0","288,743.0","291,605.0","292,544.0","290,346.0","284,841.0","277,906.0","269,598.0","266,778.0","265,444.0","264,476.0","265,910.0","266,489.0","263,868.0","259,918.0","263,100.0","268,445.0","275,628.0","283,514.0","286,725.0","296,096.0","295,987.0","303,364.0","310,210.0","320,427.0","331,543.0","338,529.0","341,520.0","347,096.0","351,571.0","350,199.0","358,088.0","371,977.0","381,031.0","378,917.0","355,127.0","344,443.0","335,990.0","333,467.0","334,756.0","343,900.0","350,370.0","356,478.0","367,821.0","385,598.0","394,522.0","395,906.0","397,122.0","405,609.0","405,840.0","410,664.0","412,672.0","414,994.0","414,117.0","419,686.0","426,066.0"
"25","6","  Nondurable goods industries","N378RC1",".....",".....",".....","160,297.0","159,662.0","161,166.0","162,218.0","164,269.0","162,685.0","161,860.0","160,465.0","159,037.0","159,629.0","162,766.0","167,192.0","172,967.0","176,415.0","179,577.0","181,543.0","183,451.0","183,474.0","180,720.0","176,056.0","170,715.0","170,170.0","171,623.0","177,736.0","180,205.0","185,288.0","183,825.0","184,115.0","188,285.0","191,474.0","196,842.0","202,399.0","206,059.0","215,067.0","215,558.0","223,677.0","229,670.0","232,857.0","241,389.0","242,265.0","241,257.0","245,774.0","255,902.0","264,708.0","285,127.0","307,864.0","333,471.0","312,045.0","245,935.0","239,457.0","245,113.0","247,428.0","257,151.0","269,781.0","260,747.0","270,232.0","290,741.0","313,937.0","321,082.0","315,648.0","316,605.0","325,308.0","306,875.0","316,803.0","310,614.0","318,642.0","313,545.0","316,676.0","312,914.0"
"26","7","Wholesale trade","N379RC1",".....",".....",".....","285,111.0","289,445.0","294,712.0","297,442.0","302,950.0","306,918.0","306,834.0","309,233.0","312,170.0","316,181.0","318,798.0","326,225.0","334,847.0","342,203.0","348,252.0","351,243.0","357,698.0","353,881.0","350,980.0","343,449.0","335,714.0","334,816.0","337,757.0","344,234.0","343,398.0","345,671.0","342,333.0","345,060.0","355,012.0","364,637.0","372,489.0","383,702.0","393,448.0","409,266.0","414,647.0","425,977.0","437,952.0","447,275.0","463,431.0","471,729.0","480,782.0","492,090.0","498,478.0","509,256.0","532,719.0","555,491.0","582,044.0","580,423.0","534,863.0","509,462.0","494,720.0","480,938.0","491,763.0","498,391.0","501,862.0","525,962.0","554,659.0","576,434.0","596,161.0","596,846.0","606,748.0","617,623.0","613,725.0","634,707.0","635,932.0","638,131.0","635,260.0","639,917.0","653,046.0"
"27","8","  Durable goods industries","N380RC1",".....",".....",".....","178,085.0","181,453.0","186,448.0","187,106.0","190,185.0","194,178.0","194,066.0","197,138.0","198,634.0","201,341.0","203,557.0","206,056.0","211,504.0","214,265.0","219,350.0","220,702.0","222,637.0","219,053.0","213,398.0","207,059.0","201,276.0","198,939.0","199,637.0","201,723.0","199,985.0","201,175.0","200,733.0","200,018.0","204,792.0","212,222.0","219,227.0","229,269.0","235,056.0","243,709.0","247,534.0","250,800.0","259,619.0","265,477.0","277,087.0","285,081.0","289,075.0","295,520.0","295,303.0","294,781.0","299,582.0","309,687.0","319,632.0","324,487.0","309,582.0","289,463.0","274,340.0","265,881.0","263,588.0","268,215.0","269,365.0","275,269.0","282,767.0","293,448.0","305,865.0","315,324.0","320,988.0","328,234.0","332,699.0","338,461.0","343,961.0","346,477.0","345,362.0","351,982.0","357,603.0"
"28","9","  Nondurable goods industries","N381RC1",".....",".....",".....","107,026.0","107,992.0","108,264.0","110,336.0","112,765.0","112,740.0","112,768.0","112,095.0","113,536.0","114,840.0","115,241.0","120,169.0","123,343.0","127,938.0","128,902.0","130,541.0","135,061.0","134,828.0","137,582.0","136,390.0","134,438.0","135,877.0","138,120.0","142,511.0","143,413.0","144,496.0","141,600.0","145,042.0","150,220.0","152,415.0","153,262.0","154,433.0","158,392.0","165,557.0","167,113.0","175,177.0","178,333.0","181,798.0","186,344.0","186,648.0","191,707.0","196,570.0","203,175.0","214,475.0","233,137.0","245,804.0","262,412.0","255,936.0","225,281.0","219,999.0","220,380.0","215,057.0","228,175.0","230,176.0","232,497.0","250,693.0","271,892.0","282,986.0","290,296.0","281,522.0","285,760.0","289,389.0","281,026.0","296,246.0","291,971.0","291,654.0","289,898.0","287,935.0","295,443.0"
"29","10","Retail trade","N382RC1",".....",".....",".....","328,746.0","329,293.0","332,460.0","335,020.0","336,519.0","343,014.0","343,541.0","344,856.0","349,918.0","358,232.0","363,161.0","367,726.0","378,611.0","381,762.0","391,353.0","396,413.0","401,620.0","396,139.0","396,942.0","398,456.0","386,748.0","391,197.0","397,067.0","402,358.0","410,737.0","418,894.0","419,227.0","423,234.0","428,779.0","439,021.0","449,015.0","455,364.0","464,892.0","471,347.0","468,729.0","471,177.0","477,222.0","480,839.0","485,579.0","489,459.0","492,212.0","493,768.0","498,526.0","505,782.0","513,406.0","509,063.0","508,930.0","505,999.0","486,796.0","468,748.0","457,339.0","443,542.0","445,849.0","452,212.0","459,509.0","470,133.0","475,806.0","485,166.0","487,735.0","491,920.0","494,130.0","503,675.0","513,071.0","522,791.0","528,963.0","534,167.0","538,945.0","547,356.0","558,123.0"
"30","11","  Motor vehicle and parts dealers","N864RC1",".....",".....",".....","101,866.0","101,646.0","102,387.0","102,988.0","104,186.0","106,714.0","105,353.0","104,568.0","106,772.0","112,103.0","112,817.0","114,347.0","119,945.0","120,253.0","126,691.0","130,633.0","133,204.0","126,628.0","128,212.0","130,079.0","122,348.0","126,458.0","130,579.0","131,081.0","137,293.0","142,376.0","144,296.0","144,242.0","146,457.0","150,509.0","154,235.0","156,388.0","158,263.0","159,072.0","154,658.0","153,491.0","155,341.0","155,983.0","156,375.0","155,932.0","154,420.0","151,337.0","152,766.0","158,201.0","158,447.0","155,874.0","153,325.0","149,533.0","145,197.0","132,944.0","124,776.0","115,108.0","115,425.0","119,383.0","124,899.0","131,857.0","129,901.0","131,203.0","131,757.0","132,211.0","132,479.0","139,893.0","147,773.0","153,057.0","155,638.0","157,003.0","160,311.0","164,006.0","171,516.0"
"31","12","  Food and beverage stores","N239RC1",".....",".....",".....","27,523.0","27,676.0","27,627.0","28,066.0","27,832.0","28,121.0","28,602.0","28,713.0","29,228.0","29,611.0","30,106.0","30,866.0","30,925.0","31,016.0","30,763.0","30,881.0","30,999.0","31,719.0","31,909.0","32,105.0","32,104.0","32,496.0","31,988.0","32,639.0","32,797.0","32,966.0","32,531.0","33,655.0","33,772.0","33,909.0","34,560.0","34,810.0","35,095.0","35,416.0","35,240.0","34,889.0","35,828.0","35,544.0","36,002.0","37,107.0","37,449.0","38,609.0","38,616.0","39,798.0","41,569.0","42,219.0","43,098.0","43,319.0","42,384.0","42,343.0","42,150.0","41,939.0","42,653.0","43,892.0","42,890.0","43,220.0","44,711.0","45,752.0","45,952.0","46,817.0","47,002.0","47,415.0","47,489.0","48,325.0","48,955.0","49,298.0","49,921.0","50,047.0","50,424.0"
"32","13","  General merchandise stores","N240RC1",".....",".....",".....","57,980.0","57,874.0","58,684.0","58,429.0","58,252.0","58,528.0","58,686.0","59,451.0","59,404.0","60,106.0","60,726.0","61,443.0","62,433.0","62,659.0","63,352.0","63,146.0","63,730.0","65,353.0","65,635.0","65,615.0","64,166.0","63,589.0","63,541.0","64,691.0","66,115.0","66,483.0","67,024.0","67,950.0","68,562.0","70,441.0","71,775.0","71,955.0","74,201.0","76,213.0","76,514.0","77,352.0","78,037.0","77,524.0","77,274.0","78,892.0","80,222.0","81,191.0","81,701.0","81,455.0","82,431.0","81,781.0","82,182.0","82,838.0","80,879.0","79,773.0","79,268.0","77,846.0","78,282.0","78,745.0","79,691.0","81,055.0","82,197.0","85,053.0","85,637.0","86,856.0","87,455.0","87,512.0","87,816.0","88,073.0","89,771.0","91,270.0","91,788.0","92,720.0","93,498.0"
"33","14","  Other retail stores","N865RC1",".....",".....",".....","141,377.0","142,097.0","143,762.0","145,537.0","146,249.0","149,651.0","150,900.0","152,124.0","154,514.0","156,412.0","159,512.0","161,070.0","165,308.0","167,834.0","170,547.0","171,753.0","173,687.0","172,439.0","171,186.0","170,657.0","168,130.0","168,654.0","170,959.0","173,947.0","174,532.0","177,069.0","175,376.0","177,387.0","179,988.0","184,162.0","188,445.0","192,211.0","197,333.0","200,646.0","202,317.0","205,445.0","208,016.0","211,788.0","215,928.0","217,528.0","220,121.0","222,631.0","225,443.0","226,328.0","230,959.0","229,189.0","230,325.0","230,309.0","218,336.0","213,688.0","211,145.0","208,649.0","209,489.0","210,192.0","212,029.0","214,001.0","218,997.0","223,158.0","224,389.0","226,036.0","227,194.0","228,855.0","229,993.0","233,336.0","234,599.0","236,596.0","236,925.0","240,583.0","242,685.0"
"34","15","Other industries","N385RC1",".....",".....",".....","82,126.0","83,824.0","84,669.0","85,644.0","87,101.0","87,482.0","88,503.0","89,767.0","91,373.0","92,787.0","95,426.0","97,940.0","100,168.0","103,995.0","107,761.0","112,861.0","115,301.0","116,125.0","116,047.0","114,965.0","113,562.0","112,065.0","112,393.0","112,245.0","112,746.0","113,885.0","114,241.0","114,516.0","115,005.0","116,146.0","117,878.0","119,803.0","122,167.0","124,002.0","125,356.0","127,007.0","128,868.0","129,740.0","132,687.0","134,631.0","135,899.0","137,851.0","139,352.0","139,431.0","142,782.0","146,324.0","148,618.0","151,076.0","147,609.0","142,407.0","140,049.0","139,556.0","140,809.0","141,904.0","141,750.0","142,149.0","144,668.0","149,196.0","151,972.0","152,638.0","154,537.0","155,406.0","158,868.0","161,780.0","164,408.0","164,646.0","163,814.0","165,672.0","166,521.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","  Private inventories","A371RC1",".....",".....",".....","1,284,666.0","1,293,925.0","1,305,129.0","1,315,106.0","1,327,909.0","1,337,985.0","1,336,671.0","1,334,576.0","1,342,317.0","1,360,078.0","1,373,962.0","1,397,567.0","1,433,439.0","1,457,453.0","1,480,625.0","1,496,846.0","1,524,807.0","1,523,083.0","1,509,937.0","1,485,237.0","1,447,654.0","1,448,757.0","1,456,460.0","1,475,033.0","1,495,234.0","1,518,180.0","1,512,607.0","1,530,150.0","1,556,616.0","1,594,397.0","1,636,579.0","1,665,157.0","1,697,938.0","1,744,992.0","1,750,731.0","1,792,148.0","1,842,344.0","1,857,199.0","1,900,419.0","1,934,130.0","1,953,352.0","1,993,812.0","2,022,914.0","2,050,835.0","2,118,964.0","2,194,473.0","2,285,376.0","2,251,788.0","2,050,105.0","1,974,039.0","1,933,410.0","1,899,049.0","1,927,176.0","1,975,218.0","1,979,347.0","2,042,135.0","2,129,545.0","2,232,823.0","2,272,182.0","2,276,619.0","2,295,542.0","2,340,343.0","2,326,493.0","2,378,906.0","2,388,345.0","2,405,227.0","2,410,778.0","2,435,768.0","2,459,463.0"
"37","17","    Durable goods industries","N241RC1",".....",".....",".....","603,417.0","607,677.0","614,955.0","617,762.0","625,059.0","635,827.0","637,174.0","639,720.0","643,207.0","653,377.0","657,011.0","666,414.0","684,758.0","692,713.0","705,945.0","714,518.0","720,501.0","708,220.0","698,372.0","686,840.0","664,937.0","665,625.0","669,811.0","672,597.0","679,939.0","687,721.0","687,348.0","684,075.0","695,686.0","715,374.0","737,435.0","759,676.0","773,593.0","794,889.0","796,118.0","806,737.0","828,000.0","847,072.0","872,174.0","889,344.0","894,928.0","904,229.0","911,043.0","911,988.0","924,698.0","943,824.0","960,276.0","958,996.0","908,179.0","860,266.0","825,407.0","803,102.0","799,718.0","816,523.0","829,657.0","847,827.0","865,539.0","895,518.0","917,124.0","927,912.0","933,961.0","957,549.0","972,907.0","990,234.0","1,001,816.0","1,007,553.0","1,008,673.0","1,026,380.0","1,047,059.0"
"38","18","    Nondurable goods industries","N242RC1",".....",".....",".....","681,249.0","686,248.0","690,174.0","697,344.0","702,850.0","702,158.0","699,497.0","694,856.0","699,110.0","706,701.0","716,951.0","731,153.0","748,681.0","764,740.0","774,680.0","782,328.0","804,306.0","814,863.0","811,565.0","798,397.0","782,717.0","783,132.0","786,649.0","802,436.0","815,295.0","830,459.0","825,259.0","846,075.0","860,930.0","879,023.0","899,144.0","905,481.0","924,345.0","950,103.0","954,613.0","985,411.0","1,014,344.0","1,010,127.0","1,028,245.0","1,044,786.0","1,058,424.0","1,089,583.0","1,111,871.0","1,138,847.0","1,194,266.0","1,250,649.0","1,325,100.0","1,292,792.0","1,141,926.0","1,113,773.0","1,108,003.0","1,095,947.0","1,127,458.0","1,158,695.0","1,149,690.0","1,194,308.0","1,264,006.0","1,337,305.0","1,355,058.0","1,348,707.0","1,361,581.0","1,382,794.0","1,353,586.0","1,388,672.0","1,386,529.0","1,397,674.0","1,402,105.0","1,409,388.0","1,412,404.0"
