"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Current receipts from the rest of the world","A120RC1","63,702.0","72,543.0","76,974.0","87,122.0","118,810.0","156,470.0","166,730.0","181,878.0","196,550.0","233,137.0","298,450.0","359,865.0","397,256.0","384,196.0","378,870.0","424,241.0","415,862.0","432,314.0","487,218.0","596,703.0","681,973.0","740,700.0","763,272.0","785,079.0","810,372.0","905,454.0","1,042,614.0","1,113,958.0","1,233,840.0","1,239,725.0","1,310,573.0","1,477,023.0","1,354,102.0","1,320,504.0","1,399,503.0","1,634,571.0","1,886,143.0","2,202,719.0","2,541,280.0","2,699,886.0","2,227,496.0","2,563,538.0","2,903,969.0","3,014,505.0","....."
"20","2","Exports of goods and services","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","303,200.0","320,990.0","363,932.0","444,587.0","504,274.0","551,853.0","594,909.0","633,027.0","654,772.0","720,911.0","812,781.0","867,554.0","953,769.0","952,946.0","989,153.0","1,094,333.0","1,028,794.0","1,004,699.0","1,043,388.0","1,183,123.0","1,310,354.0","1,478,530.0","1,665,738.0","1,843,135.0","1,583,803.0","1,843,516.0","2,101,151.0","2,195,930.0","2,262,151.0"
"21","3","  Goods \1\","A253RC1","38,262.0","44,546.0","45,557.0","51,795.0","73,924.0","100,981.0","109,629.0","117,770.0","123,653.0","145,401.0","184,041.0","225,781.0","239,097.0","215,001.0","207,293.0","225,627.0","222,241.0","226,002.0","257,547.0","325,785.0","369,354.0","396,637.0","423,565.0","447,952.0","459,934.0","510,064.0","583,279.0","618,330.0","687,694.0","680,860.0","711,447.0","797,132.0","743,703.0","712,578.0","740,799.0","832,807.0","925,287.0","1,048,104.0","1,165,325.0","1,297,632.0","1,064,688.0","1,278,434.0","1,473,600.0","1,535,998.0","1,569,990.0"
"22","4","    Durable","A332RC1","23,686.0","27,119.0","27,548.0","31,041.0","41,362.0","56,461.0","63,806.0","69,044.0","72,042.0","85,262.0","108,017.0","133,327.0","140,115.0","124,675.0","120,385.0","132,378.0","137,246.0","142,618.0","162,937.0","208,780.0","239,805.0","261,973.0","282,280.0","300,514.0","313,971.0","349,617.0","394,021.0","421,141.0","482,320.0","486,554.0","508,731.0","573,407.0","525,296.0","492,785.0","501,824.0","565,725.0","629,820.0","715,048.0","783,195.0","829,441.0","671,913.0","801,220.0","897,429.0","946,088.0","964,751.0"
"23","5","    Nondurable","A339RC1","14,576.0","17,427.0","18,009.0","20,754.0","32,562.0","44,520.0","45,823.0","48,726.0","51,611.0","60,139.0","76,024.0","92,454.0","98,982.0","90,326.0","86,908.0","93,249.0","84,995.0","83,384.0","94,610.0","117,005.0","129,549.0","134,664.0","141,285.0","147,438.0","145,963.0","160,447.0","189,258.0","197,189.0","205,374.0","194,306.0","202,716.0","223,725.0","218,407.0","219,793.0","238,975.0","267,082.0","295,467.0","333,056.0","382,130.0","468,191.0","392,775.0","477,214.0","576,171.0","589,910.0","605,239.0"
"24","6","  Services \1\","A646RC1","13,661.0","15,164.0","17,406.0","19,049.0","21,345.0","25,669.0","29,077.0","31,745.0","35,697.0","41,484.0","46,088.0","54,992.0","66,135.0","68,202.0","69,695.0","76,749.0","80,959.0","94,988.0","106,385.0","118,802.0","134,920.0","155,216.0","171,344.0","185,075.0","194,838.0","210,847.0","229,502.0","249,224.0","266,075.0","272,086.0","277,706.0","297,201.0","285,091.0","292,121.0","302,589.0","350,316.0","385,067.0","430,426.0","500,413.0","545,503.0","519,115.0","565,082.0","627,551.0","659,932.0","692,161.0"
"25","7","Income receipts","B645RC1","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,662.0","111,324.0","123,286.0","152,116.0","177,699.0","188,847.0","168,363.0","152,052.0","155,600.0","184,543.0","229,833.0","246,404.0","280,071.0","286,779.0","321,420.0","382,690.0","325,308.0","315,805.0","356,115.0","451,448.0","575,789.0","724,189.0","875,542.0","856,751.0","643,693.0","720,022.0","802,818.0","818,575.0","....."
"26","8","  Wage and salary receipts","B4188C1","237.0","251.0","268.0","282.0","295.0","330.0","357.0","385.0","402.0","404.0","430.0","465.0","511.0","540.0","574.0","619.0","646.0","908.0","994.0","995.0","1,017.0","1,172.0","1,290.0","1,796.0","1,820.0","1,943.0","2,179.0","2,181.0","2,270.0","2,437.0","4,246.0","4,395.0","4,513.0","4,570.0","4,672.0","4,734.0","4,795.0","5,013.0","5,101.0","5,181.0","5,478.0","5,930.0","6,104.0","6,285.0","....."
"27","9","  Income receipts on assets","W160RC1","11,544.0","12,582.0","13,744.0","15,999.0","23,246.0","29,490.0","27,668.0","31,978.0","36,798.0","45,848.0","67,897.0","78,627.0","91,513.0","100,453.0","101,308.0","121,246.0","112,010.0","110,415.0","122,291.0","151,121.0","176,682.0","187,674.0","167,076.0","150,254.0","153,779.0","182,600.0","227,652.0","244,222.0","277,801.0","284,341.0","317,174.0","378,295.0","320,795.0","311,235.0","351,442.0","446,712.0","570,994.0","719,176.0","870,442.0","851,570.0","638,214.0","714,091.0","796,713.0","812,293.0","....."
"28","10","    Interest","A2067C1","3,497.0","3,926.0","3,963.0","4,248.0","5,671.0","9,092.0","9,762.0","11,040.0","13,008.0","16,847.0","25,337.0","34,782.0","53,435.0","63,783.0","60,205.0","75,142.0","65,211.0","61,698.0","63,369.0","79,541.0","101,172.0","106,756.0","91,584.0","71,926.0","64,831.0","78,075.0","100,288.0","104,864.0","122,306.0","137,555.0","139,881.0","175,259.0","137,509.0","105,954.0","101,399.0","118,535.0","187,304.0","285,406.0","360,013.0","269,582.0","144,517.0","129,483.0","142,991.0","146,344.0","....."
"29","11","    Dividends","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,989.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,488.0","86,157.0","87,206.0","92,651.0","101,013.0","135,643.0","363,340.0","186,016.0","248,982.0","316,366.0","230,891.0","247,994.0","292,594.0","297,892.0","....."
"30","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1","3,198.0","3,610.0","3,716.0","5,220.0","9,019.0","8,780.0","9,284.0","9,262.0","9,641.0","14,280.0","22,652.0","22,353.0","17,346.0","12,817.0","21,577.0","26,454.0","25,810.0","20,844.0","31,010.0","26,452.0","27,632.0","37,260.0","34,046.0","33,645.0","49,481.0","44,873.0","68,805.0","70,284.0","75,505.0","63,539.0","84,805.0","116,879.0","96,080.0","112,630.0","149,030.0","192,534.0","20,350.0","247,754.0","261,447.0","265,622.0","262,806.0","336,614.0","361,128.0","368,057.0","....."
"31","13","    Current payments to the rest of the world","W163RC1","62,097.0","68,818.0","76,663.0","91,163.0","109,949.0","150,500.0","146,891.0","174,784.0","207,463.0","245,764.0","299,617.0","351,354.0","393,887.0","387,502.0","413,931.0","514,325.0","530,176.0","574,998.0","641,323.0","712,441.0","774,342.0","815,619.0","755,416.0","830,680.0","888,931.0","1,020,181.0","1,147,696.0","1,228,101.0","1,363,169.0","1,444,268.0","1,602,504.0","1,886,137.0","1,743,881.0","1,770,444.0","1,913,047.0","2,256,231.0","2,623,266.0","2,998,428.0","3,250,340.0","3,378,435.0","2,608,657.0","3,018,055.0","3,360,919.0","3,453,487.0","....."
"32","14","Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,250,585.0","1,474,393.0","1,397,809.0","1,429,734.0","1,544,303.0","1,797,923.0","2,026,071.0","2,240,939.0","2,375,542.0","2,556,383.0","1,976,006.0","2,361,973.0","2,669,890.0","2,743,130.0","2,755,921.0"
"33","15","  Goods \1\","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,050,294.0","1,250,386.0","1,175,537.0","1,198,090.0","1,294,502.0","1,508,879.0","1,716,157.0","1,896,482.0","2,000,277.0","2,146,392.0","1,587,316.0","1,951,210.0","2,234,614.0","2,295,394.0","2,295,032.0"
"34","16","    Durable","A333RC1","20,757.0","22,775.0","26,602.0","33,290.0","40,803.0","50,321.0","45,639.0","56,814.0","69,194.0","89,025.0","100,447.0","111,933.0","126,049.0","125,129.0","147,323.0","192,439.0","204,165.0","238,794.0","264,183.0","294,777.0","310,284.0","314,526.0","315,526.0","346,702.0","386,398.0","454,045.0","510,757.0","533,395.0","588,528.0","637,724.0","715,529.0","822,399.0","757,130.0","773,653.0","805,569.0","935,276.0","1,024,179.0","1,129,705.0","1,174,620.0","1,161,981.0","893,068.0","1,108,325.0","1,234,540.0","1,324,923.0","1,357,244.0"
"35","17","    Nondurable","A340RC1","16,056.0","18,080.0","19,948.0","23,644.0","31,040.0","54,199.0","53,361.0","67,818.0","83,436.0","88,385.0","112,341.0","136,638.0","141,766.0","125,412.0","125,354.0","143,877.0","139,129.0","131,212.0","150,586.0","157,347.0","174,509.0","193,546.0","185,197.0","198,227.0","206,364.0","222,768.0","246,691.0","274,053.0","297,128.0","293,027.0","334,765.0","427,987.0","418,407.0","424,437.0","488,933.0","573,603.0","691,978.0","766,777.0","825,657.0","984,411.0","694,248.0","842,885.0","1,000,074.0","970,471.0","937,788.0"
"36","18","  Services \1\","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","200,291.0","224,007.0","222,272.0","231,644.0","249,801.0","289,044.0","309,914.0","344,457.0","375,265.0","409,991.0","388,690.0","410,763.0","435,276.0","447,736.0","460,889.0"
"37","19","Income payments","A655RC1","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","87,297.0","94,367.0","105,798.0","129,459.0","152,910.0","154,155.0","136,777.0","120,975.0","123,602.0","160,678.0","201,075.0","214,622.0","255,969.0","268,545.0","294,289.0","345,683.0","273,505.0","267,206.0","288,070.0","361,361.0","482,261.0","655,743.0","749,081.0","683,798.0","496,514.0","514,054.0","542,051.0","565,726.0","....."
"38","20","  Wage and salary payments","B4189C1","215.0","228.0","247.0","283.0","308.0","352.0","400.0","422.0","464.0","503.0","501.0","563.0","667.0","732.0","747.0","830.0","861.0","2,690.0","2,350.0","1,862.0","2,302.0","3,479.0","4,041.0","4,761.0","5,140.0","5,958.0","6,269.0","6,306.0","6,672.0","7,000.0","11,416.0","10,960.0","11,718.0","12,369.0","11,984.0","13,026.0","14,953.0","15,532.0","14,731.0","15,940.0","13,319.0","13,968.0","14,190.0","14,628.0","....."
"39","21","  Income payments on assets","W161RC1","5,451.0","6,212.0","6,171.0","7,436.0","10,614.0","13,947.0","14,620.0","15,094.0","16,444.0","24,168.0","35,889.0","44,344.0","58,422.0","63,783.0","64,047.0","84,735.0","86,437.0","91,676.0","103,450.0","127,596.0","150,606.0","150,676.0","132,737.0","116,214.0","118,460.0","154,719.0","194,806.0","208,317.0","249,298.0","261,546.0","282,873.0","334,722.0","261,786.0","254,837.0","276,087.0","348,334.0","467,308.0","640,210.0","734,350.0","667,856.0","483,195.0","500,089.0","527,862.0","551,098.0","....."
"40","22","    Interest","B1869C1","3,999.0","4,656.0","4,245.0","5,219.0","7,937.0","11,018.0","11,345.0","10,704.0","11,767.0","18,036.0","27,940.0","35,970.0","50,023.0","59,700.0","58,000.0","75,200.0","77,736.0","82,433.0","92,537.0","113,001.0","142,227.0","145,845.0","133,716.0","110,976.0","106,443.0","128,160.0","160,389.0","170,929.0","201,357.0","217,521.0","227,583.0","277,865.0","248,900.0","208,314.0","192,672.0","225,189.0","322,695.0","462,604.0","577,305.0","492,563.0","342,299.0","310,664.0","310,690.0","304,089.0","....."
"41","23","    Dividends","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,919.0","73,325.0","102,479.0","108,114.0","108,552.0","135,853.0","119,019.0","126,579.0","136,163.0","141,111.0","....."
"42","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1","439.0","446.0","551.0","580.0","921.0","1,076.0","1,209.0","1,673.0","1,607.0","2,595.0","4,082.0","3,630.0","3,112.0","-3,385.0","-1,334.0","2,177.0","-451.0","-747.0","-294.0","1,361.0","-7,899.0","-13,853.0","-18,098.0","-11,411.0","-6,868.0","5,073.0","8,630.0","8,705.0","15,161.0","3,048.0","4,328.0","-60.0","-33,653.0","1,773.0","14,496.0","49,820.0","42,134.0","69,492.0","48,493.0","39,440.0","21,877.0","62,846.0","81,009.0","105,898.0","....."
"43","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1","5,942.0","6,618.0","7,904.0","9,227.0","7,868.0","8,735.0","9,142.0","8,122.0","8,112.0","8,842.0","10,552.0","12,618.0","17,039.0","19,836.0","20,496.0","23,643.0","25,651.0","27,764.0","26,811.0","28,990.0","30,400.0","31,735.0","-4,908.0","41,912.0","45,355.0","46,078.0","44,050.0","49,513.0","51,424.0","60,033.0","57,630.0","66,061.0","72,567.0","73,504.0","80,674.0","96,947.0","114,934.0","101,746.0","125,717.0","138,254.0","136,137.0","142,028.0","148,978.0","144,631.0","152,491.0"
"44","26","  From persons (net)","B070RC1","1,115.0","1,286.0","1,351.0","1,380.0","1,554.0","1,363.0","1,338.0","1,376.0","1,375.0","1,575.0","1,714.0","1,952.0","5,578.0","6,738.0","6,998.0","7,899.0","8,327.0","9,144.0","10,028.0","10,790.0","11,552.0","12,220.0","14,082.0","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,631.0","41,190.0","43,599.0","48,355.0","51,593.0","59,327.0","66,164.0","66,069.0","73,010.0","74,073.0","71,921.0","75,130.0"
"45","27","  From government (net)","B088RC1","4,524.0","4,931.0","6,128.0","7,365.0","5,629.0","6,381.0","7,064.0","5,671.0","5,340.0","5,915.0","6,818.0","8,261.0","8,265.0","9,680.0","10,090.0","12,249.0","14,431.0","15,431.0","13,430.0","13,726.0","14,233.0","14,696.0","-24,005.0","22,001.0","22,930.0","21,144.0","15,553.0","20,009.0","16,696.0","17,393.0","18,041.0","20,029.0","16,218.0","21,619.0","25,826.0","27,035.0","35,297.0","28,220.0","35,605.0","36,896.0","48,885.0","46,444.0","52,847.0","45,430.0","42,059.0"
"46","28","  From business (net)","W164RC1","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,408.0","3,495.0","2,893.0","3,189.0","3,353.0","4,474.0","4,615.0","4,819.0","5,015.0","5,419.0","5,355.0","6,004.0","8,242.0","6,869.0","9,065.0","12,974.0","7,412.0","11,383.0","18,268.0","11,254.0","13,658.0","26,313.0","31,282.0","21,933.0","30,785.0","35,194.0","21,183.0","22,574.0","22,058.0","27,280.0","35,302.0"
"47","29","    Balance on current account, NIPAs","A124RC1","1,605.0","3,725.0","311.0","-4,041.0","8,861.0","5,970.0","19,839.0","7,094.0","-10,913.0","-12,627.0","-1,167.0","8,511.0","3,369.0","-3,306.0","-35,061.0","-90,084.0","-114,314.0","-142,684.0","-154,105.0","-115,738.0","-92,369.0","-74,919.0","7,856.0","-45,601.0","-78,559.0","-114,727.0","-105,082.0","-114,143.0","-129,329.0","-204,543.0","-291,931.0","-409,114.0","-389,779.0","-449,940.0","-513,544.0","-621,660.0","-737,123.0","-795,709.0","-709,060.0","-678,549.0","-381,161.0","-454,517.0","-456,950.0","-438,982.0","....."
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Net lending or net borrowing (-), NIPAs","W162RC1","1,603.0","3,720.0","295.0","-4,071.0","8,824.0","5,934.0","19,782.0","7,043.0","-10,977.0","-12,714.0","-1,275.0","8,383.0","3,247.0","-3,419.0","-35,162.0","-90,182.0","-114,457.0","-142,795.0","-154,243.0","-115,872.0","-92,717.0","-82,292.0","2,557.0","-44,324.0","-79,434.0","-115,997.0","-105,501.0","-114,352.0","-129,805.0","-204,773.0","-296,398.0","-409,457.0","-376,839.0","-450,440.0","-515,670.0","-618,872.0","-724,269.0","-797,775.0","-708,969.0","-673,139.0","-381,725.0","-455,200.0","-458,609.0","-432,428.0","....."
"50","31","    Balance on current account, NIPAs","A124RC1","1,605.0","3,725.0","311.0","-4,041.0","8,861.0","5,970.0","19,839.0","7,094.0","-10,913.0","-12,627.0","-1,167.0","8,511.0","3,369.0","-3,306.0","-35,061.0","-90,084.0","-114,314.0","-142,684.0","-154,105.0","-115,738.0","-92,369.0","-74,919.0","7,856.0","-45,601.0","-78,559.0","-114,727.0","-105,082.0","-114,143.0","-129,329.0","-204,543.0","-291,931.0","-409,114.0","-389,779.0","-449,940.0","-513,544.0","-621,660.0","-737,123.0","-795,709.0","-709,060.0","-678,549.0","-381,161.0","-454,517.0","-456,950.0","-438,982.0","....."
"51","32","    Less: Capital account transactions (net) \2\","W167RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,126.0","-2,788.0","-12,854.0","2,066.0","-91.0","-5,410.0","564.0","683.0","1,659.0","-6,554.0","....."
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
