"","Table 7#23# Transactions of State and Local Government Defined B","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/11/2014 2:52:49 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,"1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Current receipts, accrual basis","Y307RC1",423,466,491,492,482,478,533,596,675,771,813,869,925,985,"1,067.0","1,144.0","1,254.0","1,429.0","1,712.0","2,037.0","2,343.0","2,616.0","2,952.0","3,307.0","3,608.0","3,964.0","4,319.0","4,801.0","5,365.0","6,010.0","6,519.0","7,239.0","8,125.0","8,323.0","9,093.0","10,053.0","10,976.0","12,408.0","13,704.0","15,846.0","17,948.0"
"20","2","  Output \1\","Y327RC1",1,1,1,1,2,2,2,2,2,3,3,3,3,3,"3.0","3.0","3.0","3.0","3.0","5.0","7.0","8.0","8.0","7.0","8.0","8.0","7.0","8.0","11.0","25.0","33.0","20.0","32.0","15.0","40.0","43.0","49.0","56.0","64.0","101.0","116.0"
"21","3","  Contributions","Y308RC1",329,360,378,373,359,359,412,465,526,605,633,673,713,758,"821.0","886.0","979.0","1,134.0","1,372.0","1,638.0","1,877.0","2,085.0","2,352.0","2,650.0","2,894.0","3,180.0","3,455.0","3,835.0","4,267.0","4,758.0","5,033.0","5,609.0","6,268.0","6,333.0","6,894.0","7,601.0","8,325.0","9,362.0","10,276.0","11,921.0","13,584.0"
"22","4","    Claims to benefits accrued through service to employers","Y318RC1",236,255,266,255,238,242,293,336,379,442,456,480,504,534,"578.0","631.0","707.0","842.0","1,035.0","1,244.0","1,418.0","1,562.0","1,760.0","2,000.0","2,188.0","2,404.0","2,598.0","2,877.0","3,180.0","3,531.0","3,580.0","3,999.0","4,443.0","4,358.0","4,735.0","5,192.0","5,723.0","6,372.0","6,912.0","8,097.0","9,336.0"
"23","5","      Actual employer contributions","S251101",72,78,84,96,107,118,127,131,141,147,152,155,165,185,"202.0","212.0","225.0","250.0","290.0","360.0","420.0","510.0","625.0","715.0","790.0","940.0","985.0","1,110.0","1,270.0","1,370.0","1,563.0","1,780.0","1,910.0","1,976.0","2,195.0","2,424.0","2,533.0","2,989.0","3,584.0","3,850.0","4,526.0"
"24","6","      Imputed employer contributions","Y310RC1",118,127,128,103,70,61,98,131,154,202,202,216,227,232,"251.0","283.0","330.0","405.0","518.0","609.0","675.0","665.0","653.0","732.0","781.0","782.0","865.0","940.0","1,006.0","1,161.0","936.0","1,038.0","1,285.0","1,056.0","1,179.0","1,220.0","1,510.0","1,537.0","1,188.0","1,915.0","2,208.0"
"25","7","      Actual household contributions","S251201",47,51,55,57,63,65,70,76,86,96,105,112,115,120,"128.0","139.0","155.0","190.0","230.0","280.0","330.0","395.0","490.0","560.0","625.0","690.0","755.0","835.0","915.0","1,025.0","1,114.0","1,201.0","1,280.0","1,341.0","1,401.0","1,591.0","1,729.0","1,902.0","2,204.0","2,433.0","2,718.0"
"26","8","      Less: Pension service charges \1\","Y327RC1",1,1,1,1,2,2,2,2,2,3,3,3,3,3,"3.0","3.0","3.0","3.0","3.0","5.0","7.0","8.0","8.0","7.0","8.0","8.0","7.0","8.0","11.0","25.0","33.0","20.0","32.0","15.0","40.0","43.0","49.0","56.0","64.0","101.0","116.0"
"27","9","    Household pension contribution supplements \2\","Y312RC1",93,105,112,118,121,117,119,129,147,163,177,193,209,224,"243.0","255.0","272.0","292.0","337.0","394.0","459.0","523.0","592.0","650.0","706.0","776.0","857.0","958.0","1,087.0","1,227.0","1,453.0","1,610.0","1,825.0","1,975.0","2,159.0","2,409.0","2,602.0","2,990.0","3,364.0","3,824.0","4,248.0"
"28","10","  Income receipts on assets (including plans' claims on employers)","Y312RC1",93,105,112,118,121,117,119,129,147,163,177,193,209,224,"243.0","255.0","272.0","292.0","337.0","394.0","459.0","523.0","592.0","650.0","706.0","776.0","857.0","958.0","1,087.0","1,227.0","1,453.0","1,610.0","1,825.0","1,975.0","2,159.0","2,409.0","2,602.0","2,990.0","3,364.0","3,824.0","4,248.0"
"29","11","    Interest","Y313RC1",93,105,112,118,121,117,119,129,147,163,177,193,209,224,"243.0","255.0","272.0","292.0","337.0","394.0","459.0","523.0","592.0","650.0","706.0","776.0","857.0","958.0","1,087.0","1,227.0","1,453.0","1,610.0","1,825.0","1,975.0","2,159.0","2,409.0","2,602.0","2,990.0","3,364.0","3,727.0","4,097.0"
"30","12","      Monetary interest","Y314RC1",16,19,21,24,28,31,35,39,43,48,53,59,66,69,"74.0","78.0","82.0","83.0","88.0","97.0","117.0","137.0","163.0","192.0","204.0","243.0","280.0","323.0","374.0","450.0","575.0","682.0","796.0","904.0","1,014.0","1,182.0","1,276.0","1,530.0","1,828.0","1,872.0","1,919.0"
"31","13","      Imputed interest on plans' claims on employers \3\","Y315RC1",77,86,91,94,93,86,84,90,104,115,124,134,143,155,"169.0","177.0","190.0","209.0","249.0","297.0","342.0","386.0","429.0","458.0","502.0","533.0","577.0","635.0","713.0","777.0","878.0","928.0","1,029.0","1,071.0","1,145.0","1,227.0","1,326.0","1,460.0","1,536.0","1,855.0","2,178.0"
"32","14","    Dividends","Y316RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","97.0","151.0"
"33","15","Current expenditures, accrual basis","Y317RC1",423,466,491,492,482,478,533,596,675,771,813,869,925,985,"1,067.0","1,144.0","1,254.0","1,429.0","1,712.0","2,037.0","2,343.0","2,616.0","2,952.0","3,307.0","3,608.0","3,964.0","4,319.0","4,801.0","5,365.0","6,010.0","6,519.0","7,239.0","8,125.0","8,323.0","9,093.0","10,053.0","10,976.0","12,408.0","13,704.0","15,846.0","17,948.0"
"34","16","  Administrative expenses","Y327RC1",1,1,1,1,2,2,2,2,2,3,3,3,3,3,"3.0","3.0","3.0","3.0","3.0","5.0","7.0","8.0","8.0","7.0","8.0","8.0","7.0","8.0","11.0","25.0","33.0","20.0","32.0","15.0","40.0","43.0","49.0","56.0","64.0","101.0","116.0"
"35","17","  Imputed income payments on assets to persons","Y319RC1",93,105,112,118,121,117,119,129,147,163,177,193,209,224,"243.0","255.0","272.0","292.0","337.0","394.0","459.0","523.0","592.0","650.0","706.0","776.0","857.0","958.0","1,087.0","1,227.0","1,453.0","1,610.0","1,825.0","1,975.0","2,159.0","2,409.0","2,602.0","2,990.0","3,364.0","3,824.0","4,248.0"
