"","Table 3#23# State and Local Government Current Receipts and Expe","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W023RU1","3,266.0","3,482.0","3,674.0","3,766.0","3,858.0","4,044.0","4,128.0","4,308.0","4,385.0","4,481.0","4,605.0","4,700.0","4,774.0","4,876.0","5,064.0","5,106.0","5,379.0","5,405.0","5,400.0","5,593.0","5,700.0","5,824.0","5,917.0","6,099.0","6,001.0","6,491.0","6,348.0","6,475.0","6,494.0","6,702.0","6,711.0","6,839.0","6,892.0","7,310.0","7,393.0","7,607.0","7,716.0","8,047.0","8,136.0","8,262.0","8,399.0","8,771.0","8,771.0","8,854.0","8,775.0","9,228.0","9,209.0","9,631.0","9,316.0","10,701.0","8,985.0","11,428.0","10,255.0","11,809.0","9,672.0","12,451.0","11,042.0","12,634.0","10,458.0","13,596.0","12,010.0","13,583.0","11,337.0","14,668.0","12,870.0","14,469.0","12,241.0","15,942.0","14,438.0","15,584.0","13,523.0","17,102.0","14,953.0","17,152.0","14,658.0","19,026.0","17,085.0","19,507.0","16,689.0","20,799.0","18,738.0","20,446.0","18,946.0","23,472.0","21,158.0","24,308.0","20,824.0","26,183.0","23,740.0","26,470.0","24,640.0","29,497.0"
"21","2","Current tax receipts","W070RU1","2,858.0","2,967.0","3,027.0","3,191.0","3,321.0","3,426.0","3,429.0","3,533.0","3,644.0","3,757.0","3,748.0","3,847.0","3,969.0","4,044.0","4,223.0","4,230.0","4,495.0","4,501.0","4,506.0","4,617.0","4,803.0","4,897.0","4,910.0","5,054.0","5,114.0","5,387.0","5,282.0","5,356.0","5,415.0","5,633.0","5,547.0","5,652.0","5,787.0","6,155.0","6,121.0","6,333.0","6,524.0","6,824.0","6,764.0","6,882.0","7,045.0","7,439.0","7,247.0","7,297.0","7,404.0","7,768.0","7,602.0","7,815.0","7,769.0","9,170.0","7,132.0","9,755.0","8,537.0","9,979.0","7,775.0","10,664.0","9,081.0","10,657.0","8,362.0","11,554.0","9,831.0","11,470.0","9,022.0","12,456.0","10,491.0","12,147.0","9,680.0","13,449.0","11,732.0","12,909.0","10,708.0","14,424.0","12,162.0","14,018.0","11,636.0","16,040.0","13,515.0","15,545.0","12,760.0","16,949.0","14,570.0","16,178.0","14,297.0","18,928.0","16,700.0","19,019.0","16,204.0","21,475.0","18,818.0","20,821.0","19,116.0","23,704.0"
"22","3","  Personal current taxes","W071RU1","334.0","272.0","204.0","188.0","385.0","321.0","227.0","207.0","446.0","387.0","283.0","241.0","504.0","367.0","342.0","269.0","551.0","457.0","367.0","307.0","604.0","487.0","383.0","363.0","553.0","613.0","385.0","385.0","607.0","611.0","453.0","420.0","663.0","728.0","506.0","491.0","755.0","784.0","607.0","533.0","823.0","914.0","602.0","554.0","880.0","955.0","627.0","603.0","1,037.0","1,275.0","678.0","833.0","1,144.0","1,412.0","749.0","926.0","1,217.0","1,510.0","816.0","1,012.0","1,346.0","1,667.0","903.0","1,111.0","1,459.0","1,779.0","977.0","1,200.0","1,780.0","1,913.0","1,080.0","1,311.0","1,711.0","2,073.0","1,302.0","1,512.0","1,983.0","2,495.0","1,564.0","1,735.0","2,196.0","2,573.0","1,766.0","2,039.0","2,675.0","3,362.0","2,164.0","2,351.0","3,130.0","3,896.0","2,655.0","3,126.0"
"23","4","  Taxes on production and imports","W072RU1","2,378.0","2,553.0","2,677.0","2,834.0","2,782.0","2,939.0","3,028.0","3,149.0","3,046.0","3,227.0","3,312.0","3,449.0","3,330.0","3,503.0","3,660.0","3,723.0","3,703.0","3,819.0","3,941.0","4,092.0","3,994.0","4,204.0","4,327.0","4,475.0","4,352.0","4,554.0","4,685.0","4,803.0","4,627.0","4,830.0","4,903.0","5,022.0","4,902.0","5,182.0","5,372.0","5,584.0","5,510.0","5,769.0","5,912.0","6,081.0","5,960.0","6,262.0","6,393.0","6,502.0","6,309.0","6,584.0","6,716.0","6,913.0","6,460.0","7,569.0","6,172.0","8,640.0","7,067.0","8,240.0","6,725.0","9,443.0","7,593.0","8,822.0","7,219.0","10,174.0","8,134.0","9,417.0","7,745.0","10,955.0","8,670.0","9,936.0","8,288.0","11,806.0","9,523.0","10,515.0","9,166.0","12,641.0","10,007.0","11,440.0","9,846.0","13,989.0","10,996.0","12,463.0","10,648.0","14,655.0","11,758.0","12,932.0","11,898.0","16,186.0","13,270.0","14,794.0","13,227.0","18,245.0","14,795.0","15,961.0","15,601.0","19,688.0"
"24","5","  Taxes on corporate income","B102RU1","146.0","143.0","146.0","169.0","154.0","166.0","174.0","177.0","152.0","143.0","153.0","157.0","135.0","175.0","222.0","238.0","241.0","225.0","198.0","219.0","204.0","206.0","200.0","216.0","209.0","220.0","212.0","168.0","181.0","192.0","191.0","209.0","222.0","245.0","243.0","258.0","259.0","271.0","246.0","268.0","262.0","263.0","253.0","241.0","216.0","230.0","259.0","299.0","272.0","326.0","282.0","282.0","326.0","327.0","301.0","295.0","271.0","324.0","327.0","368.0","351.0","386.0","374.0","391.0","362.0","433.0","416.0","442.0","429.0","481.0","462.0","472.0","445.0","505.0","488.0","539.0","536.0","587.0","548.0","559.0","616.0","673.0","633.0","703.0","755.0","863.0","813.0","879.0","894.0","964.0","861.0","891.0"
"25","6","Contributions for government social insurance","B104RU1","44.0","45.0","43.0","43.0","51.0","51.0","50.0","49.0","50.0","48.0","49.0","47.0","54.0","55.0","56.0","58.0","59.0","59.0","62.0","62.0","67.0","68.0","69.0","74.0","74.0","75.0","78.0","79.0","79.0","81.0","82.0","82.0","83.0","84.0","84.0","86.0","89.0","91.0","94.0","96.0","98.0","98.0","100.0","101.0","98.0","99.0","98.0","100.0","101.0","102.0","104.0","106.0","112.0","111.0","119.0","119.0","121.0","117.0","124.0","130.0","131.0","135.0","139.0","143.0","149.0","156.0","160.0","164.0","166.0","168.0","172.0","176.0","181.0","188.0","191.0","198.0","200.0","204.0","207.0","210.0","213.0","217.0","222.0","225.0","229.0","231.0","238.0","244.0","245.0","254.0","260.0","267.0"
"26","7","Income receipts on assets","W074RU1","106.0","110.0","112.0","112.0","116.0","115.0","114.0","114.0","120.0","121.0","122.0","122.0","131.0","133.0","136.0","139.0","148.0","152.0","154.0","157.0","161.0","163.0","165.0","168.0","177.0","181.0","183.0","185.0","198.0","200.0","202.0","205.0","208.0","212.0","217.0","223.0","235.0","242.0","248.0","254.0","267.0","271.0","274.0","274.0","281.0","282.0","286.0","292.0","277.0","278.0","284.0","294.0","332.0","352.0","322.0","317.0","345.0","355.0","357.0","360.0","369.0","386.0","397.0","386.0","385.0","404.0","419.0","429.0","457.0","489.0","477.0","489.0","523.0","559.0","547.0","571.0","624.0","639.0","673.0","684.0","699.0","700.0","779.0","830.0","838.0","849.0","876.0","920.0","996.0","1,056.0","1,115.0","1,170.0"
"27","8","Current transfer receipts","W075RU1","174.0","271.0","407.0","340.0","295.0","381.0","470.0","547.0","494.0","475.0","603.0","598.0","532.0","553.0","562.0","589.0","582.0","593.0","575.0","653.0","562.0","593.0","675.0","705.0","530.0","738.0","689.0","731.0","668.0","646.0","734.0","748.0","644.0","675.0","779.0","769.0","675.0","698.0","837.0","840.0","801.0","774.0","952.0","987.0","802.0","891.0","1,035.0","1,229.0","928.0","902.0","1,195.0","988.0","997.0","1,076.0","1,164.0","1,054.0","1,195.0","1,193.0","1,313.0","1,241.0","1,384.0","1,281.0","1,451.0","1,337.0","1,479.0","1,384.0","1,595.0","1,515.0","1,701.0","1,639.0","1,786.0","1,630.0","1,699.0","1,995.0","1,895.0","1,833.0","2,372.0","2,753.0","2,685.0","2,594.0","2,894.0","2,991.0","3,291.0","3,138.0","3,049.0","3,875.0","3,174.0","3,221.0","3,364.0","4,023.0","3,833.0","4,037.0"
"28","9","  Federal grants-in-aid","B089RU1","120.0","213.0","345.0","273.0","221.0","303.0","387.0","460.0","404.0","383.0","509.0","502.0","435.0","455.0","462.0","487.0","478.0","488.0","468.0","544.0","452.0","481.0","561.0","589.0","412.0","617.0","565.0","603.0","534.0","510.0","596.0","609.0","508.0","539.0","641.0","628.0","529.0","547.0","680.0","676.0","630.0","598.0","770.0","801.0","607.0","698.0","849.0","1,055.0","829.0","807.0","1,101.0","893.0","889.0","962.0","1,043.0","926.0","1,041.0","1,030.0","1,144.0","1,067.0","1,206.0","1,102.0","1,271.0","1,157.0","1,299.0","1,203.0","1,413.0","1,330.0","1,503.0","1,438.0","1,584.0","1,428.0","1,488.0","1,783.0","1,679.0","1,610.0","2,131.0","2,501.0","2,419.0","2,315.0","2,564.0","2,649.0","2,940.0","2,781.0","2,684.0","3,506.0","2,802.0","2,846.0","2,972.0","3,627.0","3,432.0","3,629.0"
"29","10","  From business (net)","W076RU1","14.0","15.0","16.0","17.0","19.0","20.0","20.0","21.0","21.0","22.0","23.0","24.0","27.0","28.0","29.0","30.0","30.0","30.0","31.0","32.0","33.0","34.0","35.0","35.0","34.0","35.0","37.0","38.0","42.0","43.0","44.0","44.0","42.0","42.0","43.0","43.0","45.0","46.0","47.0","47.0","46.0","47.0","49.0","52.0","60.0","60.0","55.0","47.0","26.0","26.0","27.0","28.0","41.0","42.0","43.0","44.0","58.0","58.0","57.0","56.0","57.0","56.0","57.0","57.0","64.0","64.0","64.0","63.0","64.0","64.0","65.0","66.0","85.0","85.0","84.0","81.0","80.0","77.0","76.0","76.0","113.0","114.0","115.0","115.0","121.0","121.0","121.0","121.0","133.0","133.0","132.0","132.0"
"30","11","  From persons","B246RU1","41.0","43.0","46.0","50.0","55.0","59.0","63.0","66.0","69.0","71.0","72.0","72.0","70.0","70.0","71.0","72.0","74.0","75.0","77.0","77.0","77.0","78.0","80.0","81.0","84.0","86.0","88.0","90.0","92.0","93.0","94.0","95.0","93.0","94.0","95.0","98.0","101.0","105.0","111.0","117.0","125.0","130.0","133.0","134.0","135.0","134.0","131.0","128.0","73.0","69.0","67.0","67.0","67.0","72.0","78.0","84.0","97.0","105.0","112.0","118.0","121.0","124.0","124.0","123.0","117.0","117.0","118.0","122.0","134.0","137.0","137.0","137.0","126.0","127.0","132.0","142.0","161.0","175.0","190.0","204.0","217.0","228.0","236.0","242.0","244.0","248.0","251.0","255.0","259.0","264.0","269.0","276.0"
"31","12","Current surplus of government enterprises","B115RU1","84.0","90.0","85.0","81.0","76.0","71.0","66.0","65.0","78.0","80.0","84.0","86.0","88.0","91.0","88.0","91.0","96.0","100.0","103.0","105.0","108.0","103.0","98.0","98.0","106.0","111.0","116.0","124.0","135.0","142.0","146.0","153.0","171.0","185.0","192.0","197.0","193.0","193.0","193.0","191.0","189.0","189.0","198.0","195.0","191.0","188.0","189.0","194.0","241.0","249.0","270.0","285.0","278.0","291.0","293.0","298.0","300.0","313.0","303.0","311.0","295.0","311.0","328.0","346.0","365.0","378.0","386.0","385.0","382.0","380.0","381.0","383.0","389.0","392.0","390.0","385.0","374.0","367.0","364.0","362.0","362.0","361.0","357.0","351.0","342.0","336.0","332.0","324.0","317.0","315.0","316.0","319.0"
"32","13","    Current expenditures","W024RU1","3,279.0","3,437.0","3,658.0","3,743.0","3,952.0","4,026.0","4,140.0","4,165.0","4,269.0","4,337.0","4,487.0","4,591.0","4,771.0","4,950.0","4,873.0","4,912.0","4,966.0","4,997.0","5,086.0","5,182.0","5,232.0","5,481.0","5,419.0","5,541.0","5,674.0","5,698.0","5,818.0","5,820.0","5,947.0","6,093.0","6,290.0","6,386.0","6,600.0","6,700.0","6,788.0","6,917.0","7,045.0","7,191.0","7,378.0","7,572.0","7,715.0","7,929.0","8,153.0","8,350.0","8,630.0","8,869.0","9,020.0","9,185.0","9,386.0","9,480.0","9,599.0","9,781.0","10,100.0","10,366.0","10,476.0","10,676.0","11,028.0","11,341.0","11,451.0","11,669.0","11,850.0","11,982.0","12,077.0","12,279.0","12,560.0","12,814.0","13,053.0","13,376.0","13,688.0","13,996.0","14,164.0","14,492.0","14,862.0","15,262.0","15,617.0","15,965.0","16,470.0","16,991.0","17,461.0","17,984.0","18,275.0","18,806.0","19,521.0","20,276.0","20,997.0","21,726.0","22,346.0","23,144.0","23,850.0","24,616.0","25,426.0","26,350.0"
"33","14","Consumption expenditures","A991RU1","2,684.0","2,776.0","2,878.0","2,988.0","3,051.0","3,124.0","3,254.0","3,366.0","3,443.0","3,483.0","3,588.0","3,643.0","3,745.0","3,791.0","3,873.0","3,948.0","4,021.0","4,074.0","4,172.0","4,261.0","4,245.0","4,448.0","4,406.0","4,506.0","4,641.0","4,631.0","4,722.0","4,757.0","4,853.0","4,976.0","5,150.0","5,220.0","5,407.0","5,469.0","5,554.0","5,673.0","5,782.0","5,919.0","6,085.0","6,235.0","6,339.0","6,520.0","6,705.0","6,869.0","7,083.0","7,295.0","7,434.0","7,541.0","7,655.0","7,748.0","7,855.0","7,989.0","8,237.0","8,473.0","8,592.0","8,774.0","9,044.0","9,298.0","9,367.0","9,529.0","9,655.0","9,779.0","9,870.0","10,039.0","10,250.0","10,455.0","10,666.0","10,905.0","11,157.0","11,390.0","11,609.0","11,874.0","12,165.0","12,471.0","12,819.0","13,116.0","13,512.0","13,881.0","14,286.0","14,692.0","14,968.0","15,320.0","15,820.0","16,277.0","16,881.0","17,370.0","17,930.0","18,531.0","19,109.0","19,761.0","20,442.0","21,125.0"
"34","15","Government social benefit payments to persons","B109RU1","410.0","475.0","593.0","567.0","709.0","707.0","686.0","593.0","616.0","640.0","678.0","723.0","795.0","923.0","757.0","715.0","689.0","662.0","646.0","647.0","708.0","749.0","722.0","734.0","724.0","750.0","770.0","728.0","749.0","761.0","772.0","785.0","800.0","825.0","815.0","812.0","817.0","812.0","817.0","846.0","869.0","887.0","912.0","933.0","993.0","1,005.0","1,001.0","1,036.0","1,092.0","1,086.0","1,069.0","1,092.0","1,120.0","1,127.0","1,143.0","1,171.0","1,232.0","1,234.0","1,240.0","1,276.0","1,318.0","1,340.0","1,323.0","1,359.0","1,403.0","1,424.0","1,419.0","1,451.0","1,507.0","1,538.0","1,534.0","1,575.0","1,618.0","1,667.0","1,668.0","1,698.0","1,766.0","1,896.0","1,918.0","2,041.0","2,102.0","2,260.0","2,348.0","2,522.0","2,671.0","2,864.0","2,882.0","3,029.0","3,172.0","3,238.0","3,312.0","3,495.0"
"35","16","Interest payments \1\","B111RU1","186.0","186.0","186.0","189.0","192.0","195.0","200.0","206.0","210.0","215.0","221.0","225.0","231.0","237.0","243.0","249.0","256.0","262.0","269.0","275.0","279.0","284.0","292.0","300.0","309.0","317.0","325.0","335.0","344.0","356.0","368.0","381.0","393.0","406.0","418.0","432.0","446.0","460.0","475.0","491.0","506.0","522.0","536.0","549.0","553.0","568.0","585.0","608.0","639.0","646.0","675.0","700.0","743.0","766.0","740.0","731.0","752.0","809.0","843.0","864.0","877.0","863.0","884.0","881.0","905.0","932.0","965.0","1,016.0","1,022.0","1,065.0","1,020.0","1,041.0","1,077.0","1,120.0","1,125.0","1,144.0","1,185.0","1,208.0","1,251.0","1,246.0","1,199.0","1,220.0","1,346.0","1,470.0","1,437.0","1,485.0","1,527.0","1,578.0","1,563.0","1,611.0","1,666.0","1,723.0"
