"","Table 1#1#6D# Real Gross Domestic Product, Chained (1992) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"33","14","  Change in private inventories","A014DX1","-25,287.0","-4,967.0","5,522.0","-48,226.0","-44,937.0","-7,068.0","-2,444.0","25,532.0","81,308.0","76,439.0","79,804.0","50,251.0","15,531.0","22,766.0","19,139.0","35,205.0","31,229.0","15,194.0","-8,726.0","-7,391.0","33,667.0","18,878.0","-1,627.0","70,920.0","15,591.0","21,631.0","17,998.0","24,724.0","48,868.0","37,426.0","10,342.0","15,009.0","13,769.0","34,488.0","22,579.0","-10,611.0","-16,765.0","-19,890.0","839.0","29,224.0","2,212.0","21,251.0","19,490.0","22,358.0","38,595.0","26,041.0","1,725.0","14,480.0","45,885.0","82,836.0","51,721.0","72,682.0","60,783.0","34,683.0","7,888.0","12,686.0","1,709.0","24,887.0","54,967.0","32,038.0","43,150.0","94,756.0","67,899.0","78,939.0","107,350.0","41,670.0","56,548.0","59,644.0","81,853.0","38,001.0","43,232.0","90,244.0","19,823.0","91,255.0","57,671.0","53,611.0","-31,807.0","-10,748.0","-30,969.0","-81,752.0","-3,228.0","22,225.0","27,215.0","29,463.0"
"34","15","Net exports of goods and services","A019DX1","-12,646.0","-5,470.0","-34,152.0","-34,772.0","-37,496.0","-61,832.0","-84,950.0","-97,658.0","-123,459.0","-133,875.0","-138,539.0","-145,503.0","-134,182.0","-157,697.0","-157,783.0","-166,972.0","-156,012.0","-173,597.0","-180,086.0","-170,917.0","-167,408.0","-165,610.0","-159,626.0","-157,555.0","-131,689.0","-112,775.0","-117,209.0","-120,766.0","-109,349.0","-90,761.0","-84,729.0","-87,798.0","-84,444.0","-76,591.0","-69,829.0","-48,079.0","-37,638.0","-27,736.0","-31,141.0","-31,579.0","-25,165.0","-35,572.0","-32,731.0","-45,595.0","-59,045.0","-65,855.0","-77,044.0","-85,292.0","-96,332.0","-102,295.0","-98,693.0","-105,153.0","-109,461.0","-107,067.0","-76,854.0","-76,636.0","-95,739.0","-102,900.0","-126,561.0","-93,156.0","-118,330.0","-116,435.0","-133,718.0","-158,913.0","-196,749.0","-234,293.0","-254,822.0","-258,445.0","-294,346.0","-324,052.0","-346,265.0","-349,462.0","-390,467.0","-401,999.0","-427,672.0","-440,411.0","-427,598.0","-419,901.0","-438,237.0","-449,628.0","-469,818.0","-490,729.0","-507,378.0","-546,545.0"
"35","16","  Exports","A020DX1","311,564.0","313,442.0","299,556.0","285,838.0","290,454.0","291,330.0","295,720.0","301,685.0","307,990.0","315,648.0","322,617.0","329,165.0","330,014.0","329,304.0","324,518.0","334,231.0","344,734.0","348,476.0","356,453.0","369,753.0","370,029.0","385,230.0","401,927.0","416,907.0","440,088.0","452,429.0","461,337.0","475,406.0","489,590.0","511,015.0","516,228.0","524,033.0","546,793.0","553,590.0","557,810.0","562,730.0","566,213.0","586,846.0","600,738.0","614,261.0","625,370.0","625,660.0","638,930.0","642,139.0","643,581.0","651,290.0","649,544.0","670,489.0","677,060.0","699,911.0","726,078.0","742,827.0","757,114.0","767,748.0","800,966.0","812,400.0","822,197.0","835,582.0","842,355.0","894,876.0","911,908.0","948,386.0","970,332.0","968,943.0","973,377.0","962,658.0","958,316.0","994,036.0","989,653.0","1,000,230.0","1,024,838.0","1,052,732.0","1,069,475.0","1,098,546.0","1,124,435.0","1,115,506.0","1,101,100.0","1,065,116.0","1,010,264.0","982,364.0","997,951.0","1,025,748.0","1,033,494.0","1,024,154.0"
"36","17","    Goods","A253DX1","219,670.0","222,190.0","211,053.0","199,210.0","202,164.0","203,504.0","206,968.0","214,974.0","213,961.0","219,049.0","226,374.0","233,655.0","231,678.0","231,046.0","228,215.0","235,034.0","235,625.0","240,128.0","243,926.0","253,858.0","251,152.0","261,805.0","277,536.0","290,969.0","308,713.0","317,258.0","322,167.0","337,103.0","342,884.0","362,482.0","363,731.0","369,294.0","386,027.0","389,384.0","391,299.0","392,720.0","403,342.0","412,541.0","422,268.0","428,894.0","439,025.0","440,389.0","453,352.0","459,035.0","454,481.0","460,261.0","456,967.0","478,473.0","478,581.0","495,680.0","520,992.0","534,911.0","547,375.0","556,553.0","577,911.0","585,894.0","598,200.0","604,567.0","615,791.0","649,183.0","671,653.0","702,919.0","723,466.0","724,488.0","726,410.0","709,268.0","710,628.0","739,191.0","740,306.0","750,572.0","770,013.0","794,835.0","810,504.0","835,085.0","865,819.0","853,985.0","841,304.0","807,691.0","763,124.0","746,109.0","744,558.0","770,613.0","775,562.0","757,737.0"
"37","18","    Services","A646DX1","91,770.0","90,706.0","88,401.0","87,160.0","88,898.0","88,229.0","89,031.0","85,925.0","94,743.0","97,369.0","96,354.0","95,021.0","98,432.0","98,417.0","96,397.0","99,308.0","110,045.0","109,105.0","113,482.0","116,829.0","120,110.0","124,678.0","125,215.0","126,409.0","131,615.0","135,400.0","139,614.0","137,879.0","147,007.0","148,126.0","152,467.0","154,716.0","160,678.0","164,272.0","166,679.0","170,323.0","162,722.0","174,425.0","178,568.0","185,505.0","186,381.0","185,256.0","185,548.0","183,115.0","189,050.0","191,002.0","192,510.0","192,141.0","198,461.0","204,227.0","205,266.0","208,145.0","210,013.0","211,500.0","223,314.0","226,764.0","224,471.0","231,320.0","227,232.0","245,959.0","241,388.0","247,020.0","248,864.0","246,680.0","249,091.0","254,443.0","249,309.0","256,789.0","251,853.0","252,497.0","257,856.0","261,553.0","263,129.0","268,118.0","265,078.0","267,169.0","265,119.0","261,617.0","250,648.0","240,324.0","255,319.0","258,005.0","260,677.0","267,342.0"
"38","19","  Imports","A021DX1","324,210.0","318,913.0","333,709.0","320,610.0","327,950.0","353,162.0","380,670.0","399,343.0","431,449.0","449,523.0","461,156.0","474,668.0","464,196.0","487,000.0","482,301.0","501,203.0","500,747.0","522,073.0","536,539.0","540,671.0","537,437.0","550,840.0","561,553.0","574,462.0","571,777.0","565,203.0","578,546.0","596,172.0","598,939.0","601,775.0","600,957.0","611,832.0","631,237.0","630,181.0","627,639.0","610,809.0","603,851.0","614,582.0","631,879.0","645,840.0","650,536.0","661,232.0","671,661.0","687,734.0","702,626.0","717,145.0","726,588.0","755,781.0","773,392.0","802,206.0","824,771.0","847,980.0","866,575.0","874,815.0","877,821.0","889,036.0","917,936.0","938,482.0","968,916.0","988,032.0","1,030,239.0","1,064,822.0","1,104,049.0","1,127,856.0","1,170,126.0","1,196,951.0","1,213,138.0","1,252,481.0","1,283,999.0","1,324,282.0","1,371,103.0","1,402,195.0","1,459,942.0","1,500,545.0","1,552,107.0","1,555,917.0","1,528,699.0","1,485,016.0","1,448,501.0","1,431,992.0","1,467,769.0","1,516,477.0","1,540,871.0","1,570,699.0"
"39","20","    Goods","A255DX1","258,393.0","251,168.0","265,626.0","251,571.0","259,102.0","280,667.0","304,706.0","321,749.0","345,353.0","359,478.0","367,011.0","376,529.0","364,748.0","386,226.0","384,861.0","403,148.0","400,022.0","425,349.0","434,257.0","437,105.0","430,140.0","438,750.0","449,285.0","457,217.0","455,794.0","451,258.0","462,459.0","477,786.0","479,233.0","481,223.0","478,241.0","488,152.0","502,661.0","500,790.0","497,187.0","482,315.0","479,343.0","487,294.0","506,578.0","518,714.0","526,134.0","539,135.0","550,100.0","564,338.0","579,617.0","592,761.0","600,292.0","625,165.0","640,566.0","668,915.0","692,081.0","716,473.0","730,287.0","740,360.0","741,945.0","750,290.0","776,985.0","796,529.0","823,533.0","843,566.0","879,900.0","913,361.0","946,575.0","967,800.0","1,003,464.0","1,027,018.0","1,038,932.0","1,077,501.0","1,110,053.0","1,148,534.0","1,193,245.0","1,222,128.0","1,270,538.0","1,306,833.0","1,351,764.0","1,356,604.0","1,331,996.0","1,280,515.0","1,256,212.0","1,245,864.0","1,269,379.0","1,323,193.0","1,346,927.0","1,366,105.0"
"40","21","    Services","B656DX1","65,913.0","68,652.0","68,289.0","70,181.0","69,538.0","72,820.0","75,788.0","76,938.0","85,938.0","89,962.0","94,459.0","98,713.0","100,803.0","101,295.0","97,472.0","97,578.0","100,659.0","96,086.0","101,779.0","103,102.0","107,172.0","112,206.0","112,155.0","117,425.0","116,080.0","113,955.0","116,021.0","118,156.0","119,552.0","120,430.0","122,964.0","123,765.0","128,813.0","129,742.0","130,915.0","129,051.0","124,829.0","127,605.0","125,413.0","127,207.0","124,420.0","122,075.0","121,553.0","123,407.0","123,058.0","124,458.0","126,365.0","130,698.0","132,917.0","133,501.0","133,025.0","132,026.0","136,792.0","135,043.0","136,424.0","139,229.0","141,548.0","142,683.0","146,216.0","145,673.0","151,631.0","153,257.0","159,290.0","162,022.0","168,636.0","172,027.0","175,994.0","177,634.0","177,612.0","180,179.0","183,196.0","185,844.0","195,092.0","199,692.0","206,512.0","205,687.0","202,806.0","208,306.0","197,209.0","191,715.0","202,543.0","199,949.0","201,240.0","210,634.0"
"41","22","Government consumption expenditures and gross investment","A822DX1","974,314.0","980,676.0","986,847.0","1,002,612.0","1,012,213.0","1,022,424.0","1,039,200.0","1,021,799.0","1,033,756.0","1,056,916.0","1,065,656.0","1,086,005.0","1,099,064.0","1,124,644.0","1,151,081.0","1,154,857.0","1,164,491.0","1,188,204.0","1,215,306.0","1,208,220.0","1,215,861.0","1,226,910.0","1,229,752.0","1,244,679.0","1,236,269.0","1,240,686.0","1,241,565.0","1,264,901.0","1,259,170.0","1,279,772.0","1,290,492.0","1,297,439.0","1,317,837.0","1,321,035.0","1,320,265.0","1,332,383.0","1,338,901.0","1,343,633.0","1,338,686.0","1,333,595.0","1,343,937.0","1,342,205.0","1,349,124.0","1,346,218.0","1,330,953.0","1,332,440.0","1,335,266.0","1,338,153.0","1,321,609.0","1,329,347.0","1,351,680.0","1,339,490.0","1,342,236.0","1,349,270.0","1,345,578.0","1,333,482.0","1,336,265.0","1,357,672.0","1,359,104.0","1,369,054.0","1,368,713.0","1,382,939.0","1,385,188.0","1,387,233.0","1,379,193.0","1,407,202.0","1,420,000.0","1,432,988.0","1,438,186.0","1,446,219.0","1,463,229.0","1,484,927.0","1,472,727.0","1,490,671.0","1,487,593.0","1,492,201.0","1,514,388.0","1,544,205.0","1,543,123.0","1,565,594.0","1,588,732.0","1,603,960.0","1,616,380.0","1,627,909.0"
"42","23","  Federal","A823DX1","436,328.0","440,600.0","446,350.0","457,475.0","464,692.0","475,164.0","486,702.0","470,189.0","475,276.0","490,407.0","490,112.0","504,029.0","509,792.0","524,388.0","540,820.0","540,214.0","539,127.0","556,112.0","576,631.0","567,851.0","572,136.0","581,433.0","582,116.0","588,373.0","573,448.0","569,824.0","567,682.0","582,669.0","571,797.0","584,661.0","588,742.0","586,380.0","595,876.0","597,674.0","592,014.0","595,801.0","601,152.0","602,834.0","593,579.0","583,375.0","584,277.0","583,699.0","590,382.0","588,061.0","570,387.0","565,739.0","564,600.0","563,839.0","544,159.0","543,056.0","556,216.0","540,957.0","537,434.0","538,175.0","533,766.0","517,575.0","521,888.0","531,543.0","525,533.0","522,926.0","514,046.0","524,910.0","523,727.0","522,345.0","507,549.0","520,012.0","516,834.0","522,814.0","517,904.0","520,506.0","529,674.0","540,135.0","520,109.0","538,349.0","529,355.0","526,543.0","538,005.0","548,595.0","553,240.0","557,570.0","571,406.0","584,835.0","594,065.0","604,832.0"
"43","24","    National defense","A824DX1","300,132.0","308,649.0","313,615.0","320,615.0","323,361.0","332,637.0","335,129.0","342,118.0","344,031.0","349,082.0","348,713.0","361,354.0","364,498.0","376,994.0","391,583.0","393,465.0","391,432.0","406,927.0","423,225.0","410,808.0","417,888.0","429,071.0","435,095.0","433,117.0","427,964.0","426,887.0","423,881.0","432,159.0","419,059.0","428,429.0","431,956.0","427,271.0","430,650.0","430,064.0","422,116.0","428,268.0","431,964.0","432,001.0","422,210.0","408,094.0","403,886.0","403,430.0","408,945.0","402,612.0","387,355.0","383,963.0","383,020.0","382,765.0","362,978.0","364,926.0","376,702.0","357,858.0","354,505.0","356,283.0","351,153.0","342,266.0","343,231.0","350,733.0","345,774.0","342,676.0","330,140.0","339,206.0","336,794.0","338,714.0","319,348.0","330,740.0","334,546.0","332,061.0","325,622.0","329,031.0","337,900.0","344,503.0","323,917.0","338,043.0","331,453.0","331,499.0","335,979.0","341,651.0","345,393.0","347,778.0","355,548.0","363,938.0","370,111.0","377,705.0"
"44","25","    Nondefense","A825DX1","136,790.0","132,418.0","133,193.0","137,356.0","141,901.0","143,053.0","152,268.0","128,156.0","131,374.0","141,672.0","141,735.0","142,912.0","145,551.0","147,612.0","149,412.0","146,876.0","147,845.0","149,307.0","153,532.0","157,192.0","154,379.0","152,451.0","147,069.0","155,349.0","145,551.0","143,002.0","143,867.0","150,591.0","152,821.0","156,310.0","156,861.0","159,172.0","165,293.0","167,686.0","169,993.0","167,623.0","169,287.0","170,926.0","171,429.0","175,301.0","180,405.0","180,276.0","181,436.0","185,432.0","182,971.0","181,710.0","181,512.0","181,016.0","180,972.0","177,993.0","179,443.0","182,819.0","182,612.0","181,601.0","182,265.0","175,036.0","178,312.0","180,497.0","179,420.0","179,868.0","183,318.0","185,163.0","186,335.0","183,138.0","187,378.0","188,556.0","181,779.0","190,026.0","191,445.0","190,687.0","191,076.0","194,924.0","195,234.0","199,412.0","196,995.0","194,209.0","201,074.0","205,940.0","206,861.0","208,786.0","214,795.0","219,814.0","222,876.0","226,058.0"
"45","26","  State and local","A829DX1","540,208.0","542,088.0","542,070.0","546,127.0","548,090.0","546,993.0","551,707.0","552,008.0","558,945.0","566,352.0","575,987.0","581,811.0","589,136.0","599,767.0","609,286.0","613,914.0","625,203.0","631,326.0","637,162.0","639,322.0","642,643.0","644,168.0","646,363.0","655,057.0","662,105.0","670,438.0","673,584.0","681,741.0","687,187.0","694,802.0","701,463.0","710,887.0","721,791.0","723,193.0","728,138.0","736,485.0","737,633.0","740,688.0","745,065.0","750,229.0","759,664.0","758,497.0","758,737.0","758,166.0","760,551.0","766,671.0","770,633.0","774,273.0","777,366.0","786,188.0","795,366.0","798,378.0","804,651.0","810,952.0","811,668.0","815,790.0","814,251.0","826,006.0","833,399.0","845,887.0","854,346.0","857,764.0","861,179.0","864,582.0","871,168.0","886,734.0","902,537.0","909,552.0","919,462.0","924,869.0","932,804.0","944,140.0","951,351.0","951,579.0","957,107.0","964,282.0","975,175.0","994,369.0","988,974.0","1,006,882.0","1,016,505.0","1,018,717.0","1,022,180.0","1,023,313.0"
"46","27","Residual","A960DX1","-10,600.0","-6,500.0","-18,600.0","-28,900.0","-27,500.0","-28,000.0","-27,600.0","-14,800.0","-10,700.0","-6,400.0","-5,900.0","-4,800.0","-6,900.0","-11,500.0","-10,800.0","-10,500.0","-9,100.0","-11,700.0","-8,000.0","-14,900.0","-16,800.0","-13,600.0","-7,300.0","-11,100.0","-5,300.0","-4,500.0","-1,900.0","-3,100.0","200.0","2,400.0","2,600.0","1,100.0","1,900.0","600.0","-100.0","1,000.0","1,500.0","1,600.0","-1,800.0","-200.0","-2,000.0","1,800.0","600.0","-700.0","200.0","200.0","1,200.0","1,200.0","-700.0","-2,000.0","-1,300.0","-2,500.0","-3,700.0","-2,900.0","-700.0","-900.0","-1,600.0","-4,200.0","-4,800.0","-5,500.0","-12,300.0","-15,100.0","-16,000.0","-14,500.0","-17,600.0","-9,000.0","-11,400.0","-22,000.0","-23,900.0","-21,200.0","-25,000.0","-27,200.0","-26,700.0","-35,000.0","-29,400.0","-23,900.0","-12,300.0","-4,400.0","8,600.0","-2,300.0","100.0","3,700.0","-1,200.0","18,400.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Chained (1992) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","index rebased with the reference year 1992 equal to 100 and of the 1992 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
