"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Exports of goods and services","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,670.0","220,907.0","234,279.0","253,666.0","268,508.0","277,389.0","284,672.0","292,517.0","305,461.0","308,448.0","302,331.0","304,687.0","293,195.0","294,722.0","279,628.0","265,268.0","270,695.0","272,509.0","278,174.0","286,583.0","292,965.0","302,192.0","305,736.0","308,598.0","305,999.0","304,117.0","297,264.0","305,425.0","313,395.0","315,109.0","320,463.0","334,990.0","336,440.0","355,350.0","371,843.0","392,095.0","418,714.0","439,458.0","453,571.0","466,604.0","485,172.0","507,212.0","509,334.0","515,368.0","538,213.0","545,905.0","555,128.0","568,163.0","573,156.0","590,709.0","600,571.0","615,190.0","625,258.0","626,136.0","639,338.0","641,369.0","643,576.0","653,065.0","650,868.0","671,571.0","681,203.0","706,959.0","736,854.0","758,618.0","781,542.0","798,821.0","831,367.0","839,388.0","847,907.0","859,009.0","859,541.0","903,760.0","918,338.0","954,414.0","974,020.0","968,296.0","962,986.0","947,259.0","935,229.0","966,303.0","959,216.0","970,868.0","997,194.0","1,029,330.0","1,052,971.0","1,090,187.0","1,120,849.0","1,113,317.0","1,097,923.0","1,057,380.0","998,503.0","961,360.0","973,697.0","1,006,995.0","1,022,819.0","1,015,283.0","1,015,362.0","1,013,800.0","1,044,139.0","1,100,249.0","1,141,097.0","1,173,585.0","1,188,410.0","1,229,403.0","1,266,361.0","1,302,915.0","1,313,886.0","1,358,246.0","1,420,437.0","1,466,857.0","1,482,904.0","1,543,922.0","1,578,843.0","1,624,417.0","1,693,083.0","1,766,601.0","1,816,112.0","1,918,876.0","1,930,057.0","1,707,492.0","1,519,309.0","1,521,511.0","1,591,142.0","1,703,243.0","1,746,380.0","1,807,013.0","1,860,275.0","1,960,393.0","2,029,475.0","2,095,473.0","2,143,419.0","2,136,230.0","2,173,412.0","2,197,399.0","2,199,172.0","2,213,728.0","2,214,202.0","2,238,936.0","2,265,796.0","2,329,658.0"
"21","2","Exports of goods \1\","A253RC1","31,640.0","39,948.0","39,484.0","41,972.0","43,024.0","45,028.0","44,764.0","45,364.0","45,868.0","45,724.0","48,448.0","42,188.0","49,696.0","48,868.0","51,824.0","56,788.0","64,360.0","70,936.0","75,616.0","84,784.0","93,052.0","100,612.0","101,248.0","109,012.0","112,036.0","105,944.0","107,148.0","113,388.0","113,516.0","116,268.0","118,984.0","122,312.0","121,328.0","126,176.0","126,132.0","120,972.0","125,027.0","146,103.0","149,271.0","161,194.0","166,992.0","175,724.0","188,039.0","205,414.0","217,823.0","224,192.0","226,896.0","234,207.0","242,192.0","242,001.0","234,176.0","238,017.0","224,851.0","225,952.0","211,598.0","197,604.0","200,709.0","202,794.0","207,397.0","218,280.0","218,267.0","224,630.0","228,365.0","231,235.0","225,665.0","223,501.0","217,395.0","222,408.0","220,524.0","223,040.0","224,503.0","235,937.0","234,320.0","248,650.0","264,168.0","283,049.0","304,585.0","321,435.0","331,647.0","345,472.0","354,804.0","374,778.0","372,371.0","375,455.0","390,704.0","394,585.0","398,173.0","403,082.0","414,480.0","421,289.0","425,922.0","432,562.0","440,930.0","441,565.0","452,738.0","456,567.0","452,190.0","458,460.0","454,363.0","474,716.0","477,592.0","496,429.0","524,037.0","542,189.0","562,222.0","575,619.0","595,591.0","599,678.0","608,166.0","611,943.0","615,444.0","637,769.0","658,267.0","687,046.0","704,663.0","700,792.0","694,450.0","672,834.0","666,751.0","689,398.0","687,787.0","696,999.0","716,839.0","744,161.0","762,027.0","791,191.0","822,682.0","812,620.0","799,254.0","763,886.0","717,699.0","693,963.0","690,037.0","717,704.0","729,184.0","713,385.0","722,330.0","724,118.0","739,014.0","777,732.0","801,911.0","827,559.0","838,880.0","862,877.0","888,878.0","923,708.0","927,811.0","960,743.0","1,008,600.0","1,039,135.0","1,055,482.0","1,089,198.0","1,110,370.0","1,141,128.0","1,181,769.0","1,228,030.0","1,279,101.0","1,363,785.0","1,374,737.0","1,172,902.0","1,012,079.0","1,010,560.0","1,073,631.0","1,162,477.0","1,205,439.0","1,255,588.0","1,286,312.0","1,366,395.0","1,423,145.0","1,469,264.0","1,496,984.0","1,505,001.0","1,520,670.0","1,539,457.0","1,545,600.0","1,538,255.0","1,531,633.0","1,548,777.0","1,572,102.0","1,627,438.0"
"22","3","  Foods, feeds, and beverages","B638RC1","3,280.0","5,300.0","4,804.0","5,412.0","5,392.0","5,568.0","6,220.0","6,316.0","6,168.0","5,856.0","6,648.0","5,768.0","6,292.0","7,056.0","7,660.0","9,012.0","12,128.0","14,220.0","15,592.0","18,856.0","19,264.0","18,752.0","17,124.0","19,412.0","21,936.0","16,596.0","18,144.0","20,260.0","19,184.0","19,852.0","20,076.0","20,204.0","20,164.0","21,308.0","18,744.0","18,680.0","21,230.0","28,594.0","27,134.0","25,764.0","24,815.0","28,237.0","33,144.0","35,806.0","32,714.0","34,200.0","38,802.0","39,397.0","42,644.0","38,512.0","37,005.0","37,198.0","34,100.0","36,328.0","30,363.0","27,988.0","31,040.0","30,440.0","33,566.0","33,317.0","33,072.0","32,364.0","31,818.0","31,530.0","26,900.0","24,397.0","22,718.0","24,249.0","24,531.0","22,058.0","23,252.0","24,247.0","21,638.0","23,838.0","28,703.0","26,737.0","30,211.0","33,116.0","36,644.0","35,110.0","37,533.0","38,074.0","34,585.0","34,964.0","36,970.0","36,943.0","34,935.0","31,592.0","34,361.0","34,084.0","36,522.0","37,945.0","39,388.0","39,373.0","41,648.0","40,642.0","40,940.0","41,204.0","39,063.0","40,939.0","40,395.0","39,707.0","42,092.0","47,227.0","47,692.0","49,632.0","54,283.0","51,638.0","56,219.0","58,160.0","55,760.0","53,676.0","52,279.0","51,739.0","50,788.0","53,008.0","50,320.0","46,576.0","43,310.0","47,125.0","43,814.0","45,837.0","47,898.0","46,355.0","46,442.0","47,922.0","49,739.0","47,384.0","49,648.0","49,659.0","49,346.0","48,973.0","48,926.0","49,223.0","50,684.0","49,626.0","52,595.0","53,043.0","55,498.0","58,968.0","56,935.0","56,008.0","55,001.0","58,336.0","57,320.0","60,508.0","58,070.0","59,920.0","61,882.0","64,458.0","67,796.0","69,714.0","74,468.0","77,107.0","87,890.0","97,592.0","108,886.0","116,530.0","115,348.0","92,633.0","86,023.0","95,558.0","93,460.0","100,594.0","103,976.0","96,841.0","106,423.0","123,632.0","127,984.0","126,773.0","125,237.0","124,830.0","120,361.0","131,128.0","146,696.0","133,055.0","132,432.0","119,527.0","129,209.0","146,796.0"
"23","4","  Industrial supplies and materials","A639RC1","8,704.0","12,596.0","12,420.0","12,996.0","13,604.0","14,092.0","13,356.0","13,996.0","13,072.0","12,952.0","13,956.0","10,608.0","14,056.0","12,564.0","13,568.0","15,400.0","16,960.0","18,468.0","20,436.0","23,096.0","26,504.0","30,624.0","31,036.0","31,248.0","31,064.0","28,656.0","28,376.0","29,224.0","30,192.0","30,992.0","32,004.0","33,368.0","32,652.0","34,068.0","34,836.0","31,320.0","32,345.0","36,919.0","40,963.0","43,431.0","46,628.0","50,396.0","55,584.0","60,553.0","66,624.0","71,293.0","68,197.0","65,689.0","68,185.0","63,704.0","63,530.0","67,467.0","66,326.0","63,878.0","59,608.0","57,386.0","55,141.0","56,259.0","57,868.0","59,247.0","58,797.0","62,615.0","63,438.0","62,854.0","60,788.0","58,360.0","58,680.0","59,733.0","58,524.0","56,786.0","58,787.0","62,021.0","61,388.0","66,287.0","68,640.0","73,390.0","79,112.0","83,063.0","86,334.0","88,324.0","90,051.0","99,117.0","97,412.0","94,960.0","98,726.0","98,192.0","101,099.0","109,748.0","110,081.0","106,852.0","103,446.0","104,487.0","103,927.0","105,759.0","106,183.0","104,803.0","103,395.0","102,992.0","101,545.0","103,746.0","103,354.0","110,960.0","120,481.0","126,794.0","137,015.0","141,471.0","143,886.0","141,591.0","140,848.0","138,129.0","140,265.0","146,047.0","147,792.0","153,908.0","156,440.0","153,880.0","150,225.0","144,297.0","139,366.0","139,117.0","137,314.0","141,507.0","146,606.0","157,466.0","164,708.0","168,054.0","176,103.0","175,566.0","169,676.0","162,043.0","155,846.0","150,313.0","148,668.0","158,441.0","160,412.0","161,609.0","171,755.0","170,249.0","171,805.0","179,280.0","193,619.0","202,891.0","207,979.0","220,613.0","228,565.0","239,881.0","237,524.0","241,281.0","261,810.0","280,059.0","283,786.0","290,829.0","294,090.0","310,435.0","319,778.0","340,833.0","371,050.0","418,092.0","430,819.0","327,711.0","262,846.0","272,408.0","308,177.0","330,731.0","355,050.0","385,490.0","388,613.0","425,093.0","461,960.0","487,572.0","495,794.0","493,478.0","487,671.0","489,293.0","474,829.0","477,505.0","479,397.0","478,448.0","498,508.0","515,083.0"
"24","5","    Durable goods","B686RC1","3,480.0","4,824.0","5,100.0","5,312.0","5,660.0","5,912.0","5,488.0","5,320.0","4,608.0","4,436.0","4,180.0","3,912.0","4,556.0","4,352.0","4,736.0","5,212.0","6,188.0","6,984.0","7,796.0","8,480.0","9,420.0","10,992.0","10,292.0","10,488.0","10,072.0","9,712.0","9,456.0","9,560.0","9,652.0","9,992.0","10,604.0","10,876.0","10,232.0","10,696.0","10,492.0","9,900.0","11,134.0","12,847.0","13,552.0","14,691.0","16,340.0","17,532.0","18,999.0","21,434.0","25,938.0","27,122.0","23,881.0","22,258.0","22,175.0","21,609.0","19,472.0","19,940.0","18,684.0","18,342.0","17,144.0","16,278.0","15,938.0","16,830.0","17,372.0","17,682.0","17,444.0","18,044.0","17,432.0","17,937.0","16,852.0","17,237.0","16,856.0","16,535.0","17,558.0","17,268.0","17,302.0","18,702.0","18,807.0","20,519.0","21,574.0","23,203.0","25,805.0","28,966.0","29,250.0","31,083.0","31,865.0","33,986.0","33,944.0","33,607.0","35,623.0","34,900.0","35,315.0","37,231.0","36,900.0","38,053.0","37,326.0","36,361.0","36,298.0","36,061.0","37,574.0","37,590.0","37,487.0","37,500.0","37,675.0","37,968.0","38,044.0","39,672.0","42,881.0","44,897.0","48,429.0","49,693.0","51,907.0","49,752.0","49,878.0","51,070.0","51,410.0","52,091.0","53,466.0","55,698.0","56,181.0","55,860.0","56,816.0","53,799.0","52,099.0","52,942.0","51,937.0","52,961.0","54,197.0","57,942.0","62,182.0","63,580.0","64,201.0","64,507.0","61,472.0","57,823.0","55,377.0","53,645.0","50,866.0","54,300.0","54,445.0","54,386.0","55,870.0","57,290.0","56,890.0","59,168.0","66,390.0","69,221.0","70,873.0","73,775.0","76,984.0","80,393.0","83,217.0","88,165.0","94,670.0","99,931.0","101,967.0","108,769.0","108,872.0","112,986.0","114,445.0","119,418.0","125,146.0","139,177.0","139,768.0","110,490.0","88,384.0","88,068.0","98,210.0","109,217.0","115,238.0","126,335.0","123,918.0","135,060.0","139,046.0","145,454.0","146,549.0","141,955.0","144,315.0","143,356.0","137,599.0","135,898.0","138,433.0","134,315.0","135,640.0","141,458.0"
"25","6","    Nondurable goods","B687RC1","5,224.0","7,772.0","7,320.0","7,684.0","7,944.0","8,180.0","7,868.0","8,676.0","8,464.0","8,516.0","9,776.0","6,696.0","9,500.0","8,212.0","8,832.0","10,188.0","10,772.0","11,484.0","12,640.0","14,616.0","17,084.0","19,632.0","20,744.0","20,760.0","20,992.0","18,944.0","18,920.0","19,664.0","20,540.0","21,000.0","21,400.0","22,492.0","22,420.0","23,372.0","24,344.0","21,420.0","21,211.0","24,072.0","27,411.0","28,740.0","30,288.0","32,864.0","36,585.0","39,119.0","40,686.0","44,171.0","44,316.0","43,431.0","46,010.0","42,095.0","44,058.0","47,527.0","47,642.0","45,536.0","42,464.0","41,108.0","39,203.0","39,429.0","40,496.0","41,565.0","41,353.0","44,571.0","46,006.0","44,917.0","43,936.0","41,123.0","41,824.0","43,198.0","40,966.0","39,518.0","41,485.0","43,319.0","42,581.0","45,768.0","47,066.0","50,187.0","53,307.0","54,097.0","57,084.0","57,241.0","58,186.0","65,131.0","63,468.0","61,353.0","63,103.0","63,292.0","65,784.0","72,517.0","73,181.0","68,799.0","66,120.0","68,126.0","67,629.0","69,698.0","68,609.0","67,213.0","65,908.0","65,492.0","63,870.0","65,778.0","65,310.0","71,288.0","77,600.0","81,897.0","88,586.0","91,778.0","91,979.0","91,839.0","90,970.0","87,059.0","88,855.0","93,956.0","94,326.0","98,210.0","100,259.0","98,020.0","93,409.0","90,498.0","87,267.0","86,175.0","85,377.0","88,546.0","92,409.0","99,524.0","102,526.0","104,474.0","111,902.0","111,059.0","108,204.0","104,220.0","100,469.0","96,668.0","97,802.0","104,141.0","105,967.0","107,223.0","115,885.0","112,959.0","114,915.0","120,112.0","127,229.0","133,670.0","137,106.0","146,838.0","151,581.0","159,488.0","154,307.0","153,116.0","167,140.0","180,128.0","181,819.0","182,060.0","185,218.0","197,449.0","205,333.0","221,415.0","245,904.0","278,915.0","291,051.0","217,221.0","174,462.0","184,340.0","209,967.0","221,514.0","239,812.0","259,155.0","264,695.0","290,033.0","322,914.0","342,118.0","349,245.0","351,523.0","343,356.0","345,937.0","337,230.0","341,607.0","340,964.0","344,133.0","362,868.0","373,625.0"
"26","7","  Capital goods, except automotive","A640RC1","10,904.0","12,584.0","12,772.0","13,432.0","13,912.0","14,856.0","14,700.0","15,168.0","15,488.0","15,364.0","15,788.0","14,848.0","16,680.0","16,368.0","16,808.0","17,800.0","19,620.0","21,360.0","22,576.0","24,440.0","27,244.0","29,944.0","31,476.0","34,848.0","35,824.0","36,864.0","36,368.0","37,500.0","37,724.0","39,216.0","39,116.0","40,396.0","38,952.0","39,864.0","40,368.0","39,880.0","41,263.0","46,041.0","48,342.0","54,343.0","56,321.0","58,069.0","60,689.0","65,646.0","69,844.0","76,443.0","76,896.0","81,949.0","82,860.0","87,150.0","82,504.0","84,185.0","80,242.0","79,999.0","75,623.0","70,139.0","71,381.0","71,224.0","69,819.0","74,224.0","73,804.0","76,189.0","77,096.0","80,938.0","80,195.0","81,218.0","76,638.0","79,235.0","80,081.0","82,869.0","82,431.0","85,884.0","83,754.0","88,080.0","95,469.0","103,526.0","112,332.0","117,579.0","118,804.0","127,696.0","128,196.0","137,840.0","142,967.0","138,760.0","151,441.0","152,260.0","155,218.0","153,039.0","156,773.0","167,049.0","169,596.0","173,001.0","177,007.0","171,941.0","176,839.0","179,716.0","178,962.0","180,620.0","180,890.0","190,367.0","197,126.0","201,107.0","211,872.0","212,727.0","219,824.0","230,670.0","239,534.0","247,640.0","250,267.0","251,284.0","249,285.0","264,994.0","278,657.0","295,102.0","306,706.0","302,860.0","302,210.0","292,949.0","296,578.0","307,552.0","301,978.0","301,176.0","315,378.0","326,460.0","329,469.0","356,398.0","374,197.0","367,933.0","364,227.0","331,797.0","302,059.0","288,813.0","285,153.0","293,489.0","297,155.0","285,943.0","282,842.0","283,195.0","293,135.0","315,519.0","320,857.0","326,166.0","330,207.0","332,935.0","342,123.0","358,092.0","357,349.0","376,137.0","391,574.0","403,182.0","403,792.0","417,557.0","420,448.0","424,340.0","439,520.0","447,766.0","454,368.0","470,834.0","473,251.0","432,171.0","394,254.0","377,323.0","383,718.0","410,692.0","423,757.0","443,085.0","455,537.0","468,980.0","473,160.0","490,746.0","500,109.0","508,991.0","525,636.0","526,604.0","531,987.0","526,394.0","523,742.0","540,016.0","537,053.0","542,449.0"
"27","8","    Civilian aircraft, engines, and parts","B688RC1","1,456.0","1,000.0","1,168.0","1,440.0","1,520.0","1,788.0","1,344.0","1,460.0","1,956.0","1,956.0","1,824.0","1,936.0","1,836.0","1,580.0","1,620.0","1,664.0","2,020.0","2,320.0","2,484.0","2,436.0","3,128.0","3,472.0","2,884.0","4,096.0","3,644.0","3,196.0","3,304.0","2,612.0","2,668.0","3,532.0","3,416.0","3,240.0","2,236.0","3,176.0","2,540.0","3,048.0","5,084.0","6,365.0","7,792.0","9,825.0","10,009.0","9,595.0","11,342.0","11,310.0","12,558.0","14,059.0","13,736.0","16,130.0","13,656.0","16,203.0","12,667.0","13,056.0","11,838.0","10,863.0","8,909.0","8,669.0","12,905.0","12,504.0","8,438.0","10,738.0","9,658.0","10,390.0","9,083.0","11,515.0","12,878.0","14,067.0","12,468.0","14,696.0","14,770.0","15,067.0","15,691.0","16,269.0","15,812.0","14,170.0","17,685.0","17,880.0","19,378.0","23,195.0","19,573.0","22,688.0","23,613.0","26,645.0","32,226.0","25,256.0","32,208.0","32,464.0","33,968.0","30,136.0","31,081.0","35,832.0","38,914.0","40,613.0","42,652.0","34,372.0","37,115.0","36,763.0","33,470.0","33,192.0","30,352.0","34,134.0","34,496.0","30,003.0","32,274.0","29,125.0","24,742.0","28,252.0","26,510.0","25,010.0","26,157.0","30,368.0","30,119.0","36,525.0","39,483.0","41,953.0","42,888.0","41,110.0","48,295.0","47,819.0","56,229.0","61,849.0","56,673.0","49,919.0","52,483.0","52,607.0","43,990.0","51,708.0","48,693.0","47,972.0","56,334.0","54,860.0","50,944.0","48,336.0","49,471.0","50,454.0","53,662.0","48,113.0","45,981.0","43,566.0","45,663.0","51,683.0","46,703.0","44,367.0","46,590.0","46,639.0","51,809.0","59,934.0","53,567.0","58,244.0","62,475.0","63,971.0","62,950.0","68,616.0","68,645.0","68,824.0","76,215.0","78,393.0","75,699.0","77,700.0","79,067.0","63,530.0","78,640.0","75,143.0","70,600.0","74,638.0","70,613.0","70,806.0","73,005.0","73,263.0","72,785.0","78,638.0","83,030.0","86,299.0","93,273.0","88,500.0","97,664.0","98,029.0","95,700.0","107,526.0","113,224.0","107,969.0"
"28","9","    Computers, peripherals, and parts","B850RC1","668.0","716.0","840.0","920.0","1,056.0","1,196.0","1,312.0","1,384.0","1,312.0","1,256.0","1,212.0","1,268.0","1,344.0","1,304.0","1,328.0","1,388.0","1,516.0","1,676.0","1,780.0","1,896.0","2,060.0","2,240.0","2,172.0","2,320.0","2,240.0","2,192.0","2,220.0","2,260.0","2,360.0","2,560.0","2,668.0","2,764.0","3,080.0","3,096.0","3,388.0","3,492.0","3,644.0","4,084.0","4,504.0","4,920.0","5,324.0","5,392.0","5,748.0","6,444.0","7,032.0","7,456.0","8,188.0","8,556.0","8,764.0","8,788.0","8,992.0","9,112.0","8,823.0","9,530.0","9,376.0","9,683.0","10,224.0","10,736.0","11,352.0","11,918.0","12,500.0","13,717.0","15,186.0","15,490.0","15,409.0","15,151.0","14,276.0","13,978.0","14,366.0","15,049.0","16,114.0","17,070.0","16,545.0","18,013.0","19,404.0","21,308.0","23,120.0","23,368.0","24,040.0","25,333.0","22,486.0","24,426.0","24,825.0","24,775.0","25,730.0","25,233.0","26,605.0","25,988.0","27,420.0","27,535.0","26,911.0","27,314.0","27,518.0","29,111.0","28,984.0","29,441.0","28,912.0","28,577.0","29,462.0","30,311.0","31,346.0","32,459.0","33,907.0","35,568.0","36,480.0","37,690.0","40,778.0","43,666.0","45,304.0","43,459.0","42,729.0","43,385.0","47,192.0","50,028.0","51,347.0","48,873.0","45,906.0","45,152.0","44,202.0","45,730.0","44,671.0","46,381.0","47,484.0","48,360.0","50,836.0","55,315.0","58,910.0","57,103.0","55,309.0","48,907.0","44,612.0","41,392.0","38,571.0","39,328.0","37,870.0","38,440.0","38,489.0","37,914.0","40,521.0","42,775.0","42,167.0","42,389.0","43,156.0","43,509.0","44,305.0","46,228.0","46,074.0","45,539.0","47,577.0","48,112.0","46,504.0","48,128.0","47,857.0","44,659.0","45,121.0","44,546.0","44,272.0","46,744.0","45,809.0","38,767.0","37,107.0","35,778.0","37,665.0","40,317.0","42,266.0","43,203.0","43,796.0","45,990.0","47,760.0","48,048.0","49,067.0","48,704.0","52,449.0","49,348.0","48,023.0","47,253.0","48,433.0","48,369.0","47,663.0","47,706.0"
