"","Table 2#8#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"21","2","Goods","DGDSRX1","2,369,201.0","2,399,548.0","2,412,047.0","2,427,792.0","2,453,985.0","2,467,724.0","2,459,916.0","2,480,677.0","2,495,732.0","2,490,095.0","2,503,677.0","2,570,088.0","2,528,971.0","2,566,911.0","2,581,423.0","2,566,064.0","2,579,480.0","2,572,203.0","2,571,646.0","2,594,638.0","2,631,878.0","2,623,213.0","2,612,685.0","2,629,894.0","2,624,110.0","2,640,699.0","2,619,326.0","2,620,534.0","2,641,765.0","2,642,915.0","2,651,446.0","2,679,263.0","2,631,050.0","2,785,258.0","2,750,567.0","2,712,794.0","2,731,686.0","2,751,104.0","2,744,998.0","2,768,177.0","2,728,201.0","2,764,362.0","2,793,172.0","2,809,415.0","2,762,357.0","2,768,228.0","2,789,782.0","2,830,641.0","2,820,264.0","2,790,180.0","2,824,719.0","2,853,924.0","2,860,546.0","2,902,217.0","2,921,941.0","2,982,866.0","2,955,578.0","2,956,983.0","2,998,474.0","2,985,721.0","2,998,652.0","2,998,327.0","3,041,439.0","3,021,715.0","3,059,029.0","3,007,607.0","3,048,403.0","3,054,728.0","3,094,987.0","3,088,651.0","3,086,427.0","3,123,087.0","3,127,815.0","3,143,156.0","3,138,635.0","3,196,919.0","3,134,746.0","3,201,847.0","3,242,415.0","3,194,072.0","3,149,992.0","3,174,542.0","3,199,826.0","3,221,957.0","3,265,021.0","3,262,105.0","3,259,515.0","3,272,576.0","3,259,374.0","3,271,583.0","3,298,403.0","3,275,815.0","3,309,217.0","3,328,299.0","3,334,828.0","3,373,609.0","3,366,502.0","3,357,200.0","3,366,741.0","3,367,738.0","3,388,349.0","3,372,856.0","3,385,700.0","3,387,472.0","3,403,822.0","3,394,492.0","3,399,089.0","3,391,195.0","3,367,450.0","3,324,681.0","3,354,042.0","3,360,111.0","3,367,240.0","3,353,809.0","3,315,532.0","3,325,801.0","3,248,352.0","3,205,289.0","3,191,107.0","3,160,097.0","3,205,496.0","3,193,396.0","3,167,502.0","3,155,866.0","3,176,485.0","3,168,314.0","3,197,943.0","3,285,658.0","3,185,068.0","3,198,321.0","3,215,146.0","3,232,136.0","3,221,965.0","3,234,702.0","3,284,267.0","3,280,939.0","3,285,169.0","3,297,996.0","3,296,706.0","3,326,101.0","3,334,582.0","3,371,228.0","3,385,158.0","3,385,000.0","3,395,367.0","3,400,581.0","3,412,586.0","3,416,754.0","3,395,130.0","3,401,987.0","3,415,263.0","3,403,987.0","3,426,367.0","3,461,035.0","3,459,679.0","3,450,323.0","3,473,891.0","3,503,470.0","3,510,162.0","3,518,503.0","3,514,516.0","3,511,219.0","3,532,702.0","3,541,050.0","3,566,314.0","3,558,546.0","3,583,928.0","3,595,054.0","3,601,057.0","3,614,563.0","3,620,208.0","3,623,163.0","3,642,005.0","3,653,638.0","3,669,121.0","3,679,227.0","3,691,760.0","3,695,869.0","3,735,383.0","3,742,105.0"
"22","3","  Durable goods","DDURRX1","652,136.0","667,397.0","672,542.0","683,048.0","696,223.0","708,063.0","706,477.0","713,106.0","717,779.0","712,188.0","716,470.0","734,309.0","750,167.0","770,528.0","762,972.0","745,330.0","750,525.0","745,607.0","746,182.0","756,897.0","776,453.0","768,985.0","762,792.0","763,541.0","766,484.0","787,856.0","778,730.0","765,680.0","775,155.0","790,205.0","782,020.0","800,710.0","775,070.0","883,465.0","852,501.0","818,309.0","832,465.0","847,389.0","843,049.0","866,468.0","832,442.0","848,748.0","875,313.0","893,013.0","854,027.0","846,183.0","854,640.0","885,309.0","872,515.0","850,219.0","871,323.0","894,406.0","902,457.0","916,248.0","929,156.0","962,725.0","942,204.0","944,719.0","965,506.0","960,197.0","959,188.0","972,866.0","985,983.0","976,205.0","1,003,355.0","966,941.0","995,519.0","991,204.0","1,017,312.0","1,007,943.0","1,007,346.0","1,031,230.0","1,017,577.0","1,024,756.0","1,036,424.0","1,068,753.0","1,022,937.0","1,074,405.0","1,114,046.0","1,057,632.0","1,030,313.0","1,020,980.0","1,039,806.0","1,055,726.0","1,088,159.0","1,074,275.0","1,081,611.0","1,083,180.0","1,071,430.0","1,085,845.0","1,100,524.0","1,082,333.0","1,102,369.0","1,102,976.0","1,105,431.0","1,120,410.0","1,122,935.0","1,120,423.0","1,122,752.0","1,129,165.0","1,149,478.0","1,136,113.0","1,136,559.0","1,151,167.0","1,164,971.0","1,162,431.0","1,157,406.0","1,146,544.0","1,134,878.0","1,117,176.0","1,115,413.0","1,117,316.0","1,124,644.0","1,115,023.0","1,087,315.0","1,105,086.0","1,061,708.0","1,015,289.0","1,010,609.0","994,364.0","1,025,200.0","1,006,324.0","994,305.0","986,129.0","1,006,815.0","1,014,754.0","1,034,005.0","1,110,451.0","1,007,209.0","1,015,754.0","1,037,807.0","1,041,066.0","1,028,349.0","1,030,803.0","1,076,336.0","1,072,172.0","1,075,582.0","1,081,146.0","1,088,500.0","1,094,575.0","1,098,209.0","1,127,157.0","1,126,191.0","1,128,880.0","1,134,875.0","1,138,573.0","1,153,566.0","1,150,519.0","1,137,991.0","1,131,479.0","1,149,177.0","1,146,118.0","1,167,972.0","1,190,367.0","1,190,455.0","1,194,244.0","1,207,240.0","1,223,470.0","1,228,523.0","1,227,332.0","1,226,144.0","1,232,314.0","1,239,850.0","1,249,997.0","1,270,349.0","1,263,368.0","1,290,498.0","1,301,732.0","1,300,343.0","1,304,612.0","1,305,529.0","1,314,877.0","1,320,635.0","1,334,222.0","1,338,665.0","1,361,704.0","1,345,360.0","1,355,686.0","1,384,202.0","1,364,348.0"
"23","4","  Nondurable goods","DNDGRX1","1,770,183.0","1,781,910.0","1,788,561.0","1,790,631.0","1,800,935.0","1,798,731.0","1,792,125.0","1,806,307.0","1,816,809.0","1,818,784.0","1,828,179.0","1,878,538.0","1,807,265.0","1,820,944.0","1,848,894.0","1,857,208.0","1,865,054.0","1,863,885.0","1,862,358.0","1,873,117.0","1,887,440.0","1,888,285.0","1,885,130.0","1,903,602.0","1,892,673.0","1,880,935.0","1,869,510.0","1,889,302.0","1,899,958.0","1,880,206.0","1,901,488.0","1,906,552.0","1,887,682.0","1,910,033.0","1,914,161.0","1,919,782.0","1,921,277.0","1,922,337.0","1,921,595.0","1,915,274.0","1,917,342.0","1,935,504.0","1,931,319.0","1,925,236.0","1,925,736.0","1,942,860.0","1,955,374.0","1,959,435.0","1,965,083.0","1,961,242.0","1,971,576.0","1,973,303.0","1,969,881.0","1,997,705.0","2,002,554.0","2,025,910.0","2,022,444.0","2,020,793.0","2,039,559.0","2,032,453.0","2,047,827.0","2,030,334.0","2,060,706.0","2,051,687.0","2,058,263.0","2,047,902.0","2,056,649.0","2,068,790.0","2,080,126.0","2,084,784.0","2,083,165.0","2,093,566.0","2,115,176.0","2,122,887.0","2,103,987.0","2,127,341.0","2,116,059.0","2,126,206.0","2,122,733.0","2,137,906.0","2,123,087.0","2,159,219.0","2,164,212.0","2,169,160.0","2,177,193.0","2,190,068.0","2,178,996.0","2,190,822.0","2,190,256.0","2,186,833.0","2,198,369.0","2,195,018.0","2,207,436.0","2,226,525.0","2,230,499.0","2,253,993.0","2,243,753.0","2,236,847.0","2,244,104.0","2,238,141.0","2,237,395.0","2,235,861.0","2,248,542.0","2,234,902.0","2,237,124.0","2,230,539.0","2,240,648.0","2,244,052.0","2,232,257.0","2,207,413.0","2,238,798.0","2,243,065.0","2,243,001.0","2,239,183.0","2,228,140.0","2,221,451.0","2,186,907.0","2,189,502.0","2,180,293.0","2,165,903.0","2,179,904.0","2,187,177.0","2,173,394.0","2,169,997.0","2,169,632.0","2,153,500.0","2,164,038.0","2,176,088.0","2,177,366.0","2,182,174.0","2,177,294.0","2,190,945.0","2,193,176.0","2,203,368.0","2,208,339.0","2,209,059.0","2,209,931.0","2,217,236.0","2,208,887.0","2,232,078.0","2,236,995.0","2,245,609.0","2,260,205.0","2,257,543.0","2,262,093.0","2,263,785.0","2,261,839.0","2,268,709.0","2,259,113.0","2,271,588.0","2,268,529.0","2,260,360.0","2,262,530.0","2,276,078.0","2,274,678.0","2,262,347.0","2,273,530.0","2,287,667.0","2,289,667.0","2,298,662.0","2,295,871.0","2,287,314.0","2,301,297.0","2,300,474.0","2,307,102.0","2,305,632.0","2,306,669.0","2,307,655.0","2,314,555.0","2,323,753.0","2,328,332.0","2,323,167.0","2,336,180.0","2,335,645.0","2,346,573.0","2,336,756.0","2,362,329.0","2,357,571.0","2,371,004.0","2,393,994.0"
"24","5","Services","DSERRX1","5,241,110.0","5,246,293.0","5,271,598.0","5,299,965.0","5,306,161.0","5,326,790.0","5,355,073.0","5,374,824.0","5,395,146.0","5,415,579.0","5,438,890.0","5,465,665.0","5,488,462.0","5,525,758.0","5,557,620.0","5,563,209.0","5,586,618.0","5,614,029.0","5,622,910.0","5,639,411.0","5,663,372.0","5,670,989.0","5,690,530.0","5,715,790.0","5,718,986.0","5,707,916.0","5,722,069.0","5,725,056.0","5,736,223.0","5,734,284.0","5,739,951.0","5,755,429.0","5,722,270.0","5,750,899.0","5,746,233.0","5,775,707.0","5,784,544.0","5,797,320.0","5,802,084.0","5,820,446.0","5,832,293.0","5,836,161.0","5,855,452.0","5,848,110.0","5,857,050.0","5,877,476.0","5,877,835.0","5,891,132.0","5,915,918.0","5,904,015.0","5,907,667.0","5,932,659.0","5,943,957.0","5,952,484.0","5,975,919.0","5,991,833.0","5,989,552.0","6,007,679.0","6,021,962.0","6,043,754.0","6,074,735.0","6,091,959.0","6,085,515.0","6,110,383.0","6,121,748.0","6,139,117.0","6,156,833.0","6,168,085.0","6,195,403.0","6,217,972.0","6,233,577.0","6,253,965.0","6,251,607.0","6,267,763.0","6,296,461.0","6,308,277.0","6,324,701.0","6,351,797.0","6,368,937.0","6,384,462.0","6,393,001.0","6,392,066.0","6,418,013.0","6,436,168.0","6,427,566.0","6,461,627.0","6,484,280.0","6,489,159.0","6,514,091.0","6,510,155.0","6,530,862.0","6,531,894.0","6,546,806.0","6,571,232.0","6,579,818.0","6,589,670.0","6,610,300.0","6,626,425.0","6,624,222.0","6,642,173.0","6,634,010.0","6,645,964.0","6,649,398.0","6,680,901.0","6,662,706.0","6,661,863.0","6,682,654.0","6,684,292.0","6,698,409.0","6,711,671.0","6,700,714.0","6,711,357.0","6,709,343.0","6,711,010.0","6,702,168.0","6,686,856.0","6,700,839.0","6,703,162.0","6,697,234.0","6,674,815.0","6,672,400.0","6,645,993.0","6,647,495.0","6,642,850.0","6,630,671.0","6,630,434.0","6,632,990.0","6,644,475.0","6,641,110.0","6,649,489.0","6,631,567.0","6,664,461.0","6,659,092.0","6,673,599.0","6,672,340.0","6,689,086.0","6,712,060.0","6,720,558.0","6,731,170.0","6,749,624.0","6,753,031.0","6,768,495.0","6,794,113.0","6,802,960.0","6,802,278.0","6,814,291.0","6,838,115.0","6,837,819.0","6,857,570.0","6,867,008.0","6,886,475.0","6,898,110.0","6,905,313.0","6,910,469.0","6,914,692.0","6,921,372.0","6,935,023.0","6,962,317.0","6,956,274.0","6,979,758.0","6,982,622.0","6,981,700.0","6,999,689.0","6,981,345.0","6,999,297.0","6,999,121.0","7,008,525.0","7,006,395.0","7,012,319.0","7,027,967.0","7,053,012.0","7,054,520.0","7,046,579.0","7,053,317.0","7,049,286.0","7,065,628.0","7,075,986.0","7,085,057.0","7,113,715.0","7,125,728.0"
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6","  PCE excluding food and energy","DPCCRX1","6,457,542.0","6,499,854.0","6,526,282.0","6,564,708.0","6,597,466.0","6,626,948.0","6,637,629.0","6,682,673.0","6,715,711.0","6,729,541.0","6,780,322.0","6,840,489.0","6,854,308.0","6,926,268.0","6,972,531.0","6,946,362.0","6,975,683.0","6,985,219.0","7,002,075.0","7,035,433.0","7,097,143.0","7,096,101.0","7,096,927.0","7,108,829.0","7,131,318.0","7,145,329.0","7,131,629.0","7,142,797.0","7,175,380.0","7,188,449.0","7,189,332.0","7,241,579.0","7,152,114.0","7,343,479.0","7,314,411.0","7,290,555.0","7,329,177.0","7,356,563.0","7,348,368.0","7,396,216.0","7,348,049.0","7,393,114.0","7,438,470.0","7,450,996.0","7,412,259.0","7,424,830.0","7,444,343.0","7,502,477.0","7,506,187.0","7,467,213.0","7,521,241.0","7,556,032.0","7,587,221.0","7,644,627.0","7,676,239.0","7,742,580.0","7,721,916.0","7,735,764.0","7,786,549.0","7,797,947.0","7,825,793.0","7,847,987.0","7,895,158.0","7,886,384.0","7,938,313.0","7,906,800.0","7,968,180.0","7,983,659.0","8,038,898.0","8,052,801.0","8,063,783.0","8,118,922.0","8,105,047.0","8,148,808.0","8,158,388.0","8,238,741.0","8,188,582.0","8,279,873.0","8,336,075.0","8,293,781.0","8,270,108.0","8,283,127.0","8,331,210.0","8,364,886.0","8,444,825.0","8,439,317.0","8,461,102.0","8,479,645.0","8,474,477.0","8,495,438.0","8,520,181.0","8,516,210.0","8,561,928.0","8,585,025.0","8,610,555.0","8,666,054.0","8,662,041.0","8,656,668.0","8,693,996.0","8,682,170.0","8,728,531.0","8,724,620.0","8,731,776.0","8,762,562.0","8,762,001.0","8,773,791.0","8,785,610.0","8,773,757.0","8,773,415.0","8,752,225.0","8,744,924.0","8,770,778.0","8,786,850.0","8,782,452.0","8,752,637.0","8,756,263.0","8,699,733.0","8,643,810.0","8,624,122.0","8,583,308.0","8,610,780.0","8,584,515.0","8,534,755.0","8,526,526.0","8,537,358.0","8,537,877.0","8,574,003.0","8,656,804.0","8,551,490.0","8,567,768.0","8,591,278.0","8,607,018.0","8,596,067.0","8,611,691.0","8,680,377.0","8,703,446.0","8,709,739.0","8,730,768.0","8,746,013.0","8,779,112.0","8,794,008.0","8,849,296.0","8,873,497.0","8,873,536.0","8,892,338.0","8,924,878.0","8,958,177.0","8,966,787.0","8,966,748.0","8,981,614.0","9,001,386.0","9,016,455.0","9,050,143.0","9,081,817.0","9,094,188.0","9,114,395.0","9,147,285.0","9,195,299.0","9,201,441.0","9,202,992.0","9,204,922.0","9,201,744.0","9,227,860.0","9,232,470.0","9,270,906.0","9,267,872.0","9,310,482.0","9,339,235.0","9,329,604.0","9,332,747.0","9,345,675.0","9,372,110.0","9,389,597.0","9,404,747.0","9,426,062.0","9,459,682.0","9,455,083.0","9,491,648.0","9,533,285.0","9,547,819.0"
"27","7","  Food \1\","DFXARX1","654,415.0","657,963.0","659,725.0","663,509.0","665,482.0","663,489.0","666,269.0","669,486.0","674,689.0","669,808.0","673,466.0","699,180.0","665,947.0","674,106.0","683,163.0","683,957.0","681,326.0","688,943.0","685,348.0","684,856.0","687,843.0","692,778.0","691,940.0","694,375.0","695,263.0","689,985.0","687,482.0","695,728.0","698,163.0","693,635.0","692,293.0","692,801.0","696,288.0","693,913.0","693,126.0","699,018.0","691,983.0","692,444.0","694,558.0","689,485.0","696,202.0","697,641.0","699,919.0","697,066.0","694,957.0","699,753.0","705,116.0","705,251.0","708,977.0","709,066.0","708,722.0","710,009.0","704,624.0","709,150.0","716,251.0","720,065.0","719,890.0","718,451.0","719,394.0","714,480.0","726,371.0","721,097.0","726,061.0","726,891.0","724,619.0","723,853.0","725,842.0","729,222.0","737,406.0","736,119.0","737,473.0","742,240.0","747,528.0","751,599.0","750,818.0","751,826.0","750,061.0","756,552.0","754,690.0","759,981.0","763,340.0","768,756.0","767,249.0","768,952.0","766,794.0","775,931.0","772,185.0","777,110.0","781,547.0","778,650.0","780,529.0","782,743.0","779,148.0","788,362.0","788,506.0","798,347.0","795,725.0","792,733.0","790,996.0","788,104.0","789,258.0","790,003.0","793,353.0","787,181.0","788,830.0","788,844.0","792,842.0","797,505.0","789,846.0","786,050.0","791,941.0","790,214.0","791,483.0","796,373.0","787,652.0","782,776.0","776,291.0","768,404.0","763,668.0","757,699.0","760,385.0","761,258.0","762,701.0","764,033.0","769,049.0","768,486.0","769,836.0","770,043.0","775,808.0","776,441.0","777,065.0","784,394.0","781,452.0","791,799.0","785,138.0","780,280.0","781,341.0","780,086.0","775,953.0","787,834.0","787,705.0","789,569.0","796,737.0","799,755.0","799,179.0","799,298.0","794,825.0","802,286.0","798,310.0","801,443.0","800,218.0","800,486.0","795,690.0","799,661.0","802,872.0","791,703.0","802,750.0","803,803.0","804,894.0","809,379.0","809,113.0","806,833.0","811,331.0","809,456.0","814,426.0","816,300.0","812,069.0","812,224.0","815,201.0","818,804.0","818,713.0","810,394.0","817,535.0","818,015.0","820,366.0","818,137.0","823,971.0","822,513.0","825,619.0","836,213.0"
"28","8","  Energy goods and services \2\","DNRGRX1","495,854.0","484,063.0","498,281.0","500,255.0","500,629.0","510,405.0","515,854.0","505,356.0","501,638.0","506,113.0","480,244.0","501,196.0","489,613.0","485,299.0","472,998.0","490,888.0","503,911.0","504,261.0","496,419.0","506,759.0","505,570.0","497,696.0","505,516.0","541,384.0","507,439.0","506,202.0","513,092.0","494,309.0","493,065.0","481,687.0","500,705.0","490,016.0","492,914.0","500,563.0","482,928.0","490,121.0","484,828.0","492,085.0","498,035.0","496,427.0","510,258.0","504,441.0","506,251.0","507,119.0","505,555.0","517,072.0","515,352.0","511,998.0","518,505.0","512,877.0","496,816.0","520,064.0","509,202.0","495,877.0","502,089.0","513,808.0","501,383.0","509,144.0","515,817.0","516,699.0","521,444.0","520,062.0","504,450.0","517,941.0","518,098.0","512,175.0","508,090.0","506,624.0","512,672.0","515,417.0","515,888.0","514,261.0","527,123.0","509,255.0","524,798.0","515,002.0","518,225.0","516,502.0","521,158.0","522,953.0","506,596.0","512,680.0","517,544.0","522,984.0","483,973.0","509,394.0","510,640.0","506,092.0","516,652.0","508,014.0","527,380.0","509,266.0","515,652.0","527,180.0","516,699.0","501,546.0","520,508.0","534,708.0","508,010.0","538,578.0","507,508.0","506,642.0","512,158.0","519,572.0","517,524.0","497,998.0","506,358.0","506,987.0","504,637.0","499,432.0","516,353.0","510,388.0","500,835.0","491,118.0","483,348.0","481,269.0","478,619.0","495,791.0","500,192.0","493,826.0","506,604.0","492,626.0","518,270.0","508,436.0","500,428.0","492,093.0","487,233.0","503,502.0","498,692.0","503,204.0","479,734.0","504,770.0","503,260.0","504,677.0","492,204.0","487,553.0","506,200.0","507,607.0","505,908.0","508,797.0","506,210.0","501,875.0","509,465.0","514,355.0","506,929.0","493,880.0","499,967.0","490,233.0","491,619.0","490,425.0","502,083.0","489,917.0","491,088.0","495,137.0","484,867.0","475,469.0","470,335.0","477,414.0","472,353.0","493,273.0","491,010.0","492,027.0","499,750.0","489,098.0","489,407.0","483,906.0","481,549.0","465,427.0","480,646.0","498,954.0","513,555.0","502,908.0","491,357.0","493,907.0","483,683.0","479,815.0","497,592.0","479,683.0","499,548.0","494,267.0"
"29","9","  Market-based PCE \3\","DPCMRX1","6,733,321.0","6,770,165.0","6,800,796.0","6,837,373.0","6,871,336.0","6,901,998.0","6,913,492.0","6,951,518.0","6,986,194.0","6,998,001.0","7,027,342.0","7,119,197.0","7,083,674.0","7,149,451.0","7,183,072.0","7,185,584.0","7,213,875.0","7,229,823.0","7,227,723.0","7,263,583.0","7,326,965.0","7,320,135.0","7,328,018.0","7,377,470.0","7,371,207.0","7,383,039.0","7,371,075.0","7,360,944.0","7,393,403.0","7,401,157.0","7,416,126.0","7,460,846.0","7,375,186.0","7,571,710.0","7,528,081.0","7,511,144.0","7,538,242.0","7,571,142.0","7,572,228.0","7,610,663.0","7,579,367.0","7,623,676.0","7,670,572.0","7,685,950.0","7,632,985.0","7,659,328.0","7,681,612.0","7,727,007.0","7,725,317.0","7,695,340.0","7,738,149.0","7,792,342.0","7,810,453.0","7,855,266.0","7,890,161.0","7,972,130.0","7,946,307.0","7,958,630.0","8,016,202.0","8,021,333.0","8,056,602.0","8,063,889.0","8,102,397.0","8,105,201.0","8,146,906.0","8,107,752.0","8,168,694.0","8,182,780.0","8,240,752.0","8,257,639.0","8,267,226.0","8,324,549.0","8,321,236.0","8,359,878.0","8,369,810.0","8,438,777.0","8,400,915.0","8,486,000.0","8,549,023.0","8,508,904.0","8,471,135.0","8,487,049.0","8,527,967.0","8,566,904.0","8,592,585.0","8,615,902.0","8,628,849.0","8,648,989.0","8,657,935.0","8,665,612.0","8,712,544.0","8,684,205.0","8,738,861.0","8,777,834.0","8,786,593.0","8,837,253.0","8,847,021.0","8,851,292.0","8,860,330.0","8,876,378.0","8,887,585.0","8,881,577.0","8,897,460.0","8,936,653.0","8,932,745.0","8,918,815.0","8,946,570.0","8,937,824.0","8,924,216.0","8,884,991.0","8,913,658.0","8,923,942.0","8,935,719.0","8,918,408.0","8,874,567.0","8,864,877.0","8,791,484.0","8,744,833.0","8,718,708.0","8,682,761.0","8,722,578.0","8,692,611.0","8,668,087.0","8,663,776.0","8,676,874.0","8,666,627.0","8,699,416.0","8,793,118.0","8,697,412.0","8,716,039.0","8,708,261.0","8,761,230.0","8,745,446.0","8,767,823.0","8,811,083.0","8,815,160.0","8,840,335.0","8,862,573.0","8,868,323.0","8,912,247.0","8,924,055.0","8,972,941.0","9,014,572.0","9,026,232.0","9,032,251.0","9,043,407.0","9,080,840.0","9,087,686.0","9,084,647.0","9,096,354.0","9,122,118.0","9,119,840.0","9,146,554.0","9,193,653.0","9,199,535.0","9,183,209.0","9,215,879.0","9,274,396.0","9,283,481.0","9,311,391.0","9,310,912.0","9,306,031.0","9,344,940.0","9,343,136.0","9,382,506.0","9,372,158.0","9,416,694.0","9,418,954.0","9,437,443.0","9,465,285.0","9,494,091.0","9,498,165.0","9,505,142.0","9,522,317.0","9,526,144.0","9,545,842.0","9,576,789.0","9,587,615.0","9,651,575.0","9,666,211.0"
"30","10","  Market-based PCE excluding food and energy \3\","DPCXRX1","5,604,091.0","5,643,552.0","5,662,884.0","5,693,580.0","5,724,417.0","5,749,657.0","5,754,641.0","5,795,505.0","5,826,983.0","5,840,051.0","5,883,024.0","5,934,207.0","5,938,594.0","5,998,373.0","6,032,168.0","6,020,568.0","6,041,125.0","6,049,328.0","6,056,566.0","6,084,170.0","6,144,352.0","6,139,276.0","6,141,558.0","6,159,433.0","6,179,162.0","6,196,484.0","6,181,548.0","6,178,650.0","6,209,246.0","6,230,391.0","6,231,196.0","6,282,547.0","6,193,028.0","6,381,976.0","6,352,551.0","6,325,600.0","6,362,103.0","6,388,837.0","6,383,848.0","6,427,299.0","6,380,498.0","6,426,502.0","6,468,788.0","6,485,825.0","6,437,176.0","6,449,944.0","6,467,819.0","6,514,334.0","6,503,935.0","6,478,748.0","6,534,511.0","6,567,780.0","6,599,019.0","6,648,601.0","6,671,379.0","6,739,054.0","6,723,850.0","6,731,032.0","6,781,383.0","6,790,429.0","6,809,896.0","6,823,230.0","6,869,417.0","6,860,249.0","6,903,396.0","6,870,546.0","6,932,398.0","6,944,352.0","6,988,542.0","7,004,039.0","7,011,830.0","7,065,684.0","7,045,777.0","7,096,302.0","7,092,650.0","7,169,263.0","7,130,402.0","7,210,015.0","7,269,830.0","7,222,943.0","7,199,878.0","7,203,612.0","7,240,773.0","7,272,484.0","7,341,991.0","7,329,248.0","7,344,536.0","7,364,878.0","7,357,895.0","7,377,749.0","7,401,067.0","7,391,373.0","7,442,406.0","7,460,596.0","7,479,796.0","7,536,565.0","7,529,050.0","7,521,388.0","7,560,443.0","7,545,665.0","7,590,460.0","7,584,626.0","7,591,050.0","7,628,134.0","7,624,992.0","7,633,382.0","7,647,689.0","7,633,519.0","7,630,068.0","7,600,371.0","7,602,369.0","7,621,764.0","7,644,440.0","7,634,779.0","7,609,437.0","7,607,510.0","7,543,171.0","7,481,827.0","7,455,794.0","7,432,019.0","7,456,507.0","7,438,567.0","7,388,376.0","7,391,945.0","7,407,512.0","7,406,140.0","7,442,716.0","7,519,692.0","7,423,121.0","7,436,301.0","7,452,972.0","7,471,824.0","7,460,760.0","7,471,522.0","7,535,065.0","7,548,886.0","7,553,152.0","7,575,171.0","7,586,801.0","7,616,006.0","7,630,817.0","7,682,928.0","7,709,154.0","7,712,114.0","7,727,122.0","7,753,500.0","7,788,423.0","7,799,961.0","7,799,128.0","7,809,305.0","7,821,949.0","7,834,640.0","7,865,234.0","7,903,952.0","7,919,485.0","7,926,055.0","7,954,253.0","8,003,889.0","8,018,550.0","8,016,207.0","8,018,857.0","8,015,009.0","8,040,554.0","8,053,416.0","8,087,888.0","8,082,450.0","8,134,979.0","8,156,981.0","8,153,905.0","8,155,708.0","8,166,713.0","8,192,770.0","8,206,524.0","8,220,535.0","8,234,347.0","8,261,219.0","8,264,827.0","8,299,074.0","8,336,851.0","8,347,247.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
