"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"20","1","    National defense consumption expenditures and gross investment","A824RX1","503,580.0","508,852.0","522,568.0","532,780.0","500,943.0","522,790.0","512,597.0","512,668.0","519,598.0","528,369.0","534,156.0","537,845.0","549,861.0","562,836.0","572,383.0","584,128.0","583,678.0","625,318.0","617,257.0","635,479.0","640,853.0","648,000.0","668,379.0","653,383.0","659,101.0","664,630.0","679,066.0","659,280.0","672,588.0","677,967.0","674,248.0","690,474.0","676,611.0","690,992.0","706,889.0","707,974.0","719,719.0","733,619.0","764,491.0","774,458.0","757,499.0","788,445.0","804,888.0","802,272.0","798,588.0","810,997.0","825,896.0","818,621.0","787,800.0","800,822.0","805,598.0","784,178.0","770,688.0","768,775.0","791,794.0","744,964.0","723,093.0","721,999.0","721,179.0","694,454.0"
"21","2","Consumption expenditures \1\","A997RX1","420,220.0","420,714.0","431,565.0","444,955.0","412,164.0","435,069.0","422,807.0","422,965.0","430,236.0","434,368.0","437,482.0","439,299.0","449,894.0","455,597.0","459,584.0","470,757.0","468,028.0","505,251.0","494,677.0","510,582.0","513,930.0","517,528.0","531,163.0","517,139.0","523,416.0","524,622.0","536,252.0","518,566.0","529,422.0","528,319.0","527,564.0","538,571.0","526,041.0","533,487.0","548,752.0","549,607.0","559,085.0","562,120.0","588,627.0","596,975.0","587,449.0","612,113.0","626,592.0","626,998.0","625,346.0","633,674.0","647,086.0","637,927.0","620,717.0","631,676.0","638,745.0","617,421.0","613,241.0","608,448.0","631,654.0","588,096.0","573,436.0","568,803.0","566,316.0","546,564.0"
"22","3","  Gross output of general government","W085RX1","432,320.0","434,942.0","447,380.0","459,167.0","428,434.0","448,974.0","438,294.0","437,365.0","448,199.0","450,354.0","454,223.0","456,907.0","467,618.0","473,101.0","480,649.0","489,452.0","487,732.0","524,764.0","514,024.0","529,937.0","532,820.0","536,605.0","550,468.0","536,951.0","543,296.0","545,050.0","557,256.0","540,192.0","551,484.0","550,807.0","550,329.0","561,504.0","548,680.0","556,109.0","571,416.0","572,510.0","582,319.0","585,493.0","612,044.0","620,421.0","610,744.0","635,291.0","649,884.0","650,252.0","648,463.0","656,482.0","670,046.0","661,145.0","644,230.0","655,324.0","662,410.0","640,982.0","636,128.0","631,009.0","654,041.0","610,235.0","595,526.0","590,705.0","588,196.0","568,123.0"
"23","4","    Value added","W086RX1","312,947.0","311,459.0","311,389.0","310,501.0","308,168.0","308,657.0","308,161.0","307,343.0","307,963.0","308,046.0","308,242.0","307,994.0","310,495.0","312,215.0","313,273.0","312,791.0","317,609.0","320,766.0","322,039.0","322,934.0","326,109.0","326,324.0","329,340.0","331,535.0","332,803.0","332,926.0","334,081.0","335,491.0","333,337.0","333,794.0","337,169.0","338,628.0","337,724.0","338,135.0","341,815.0","343,607.0","346,650.0","350,244.0","356,847.0","362,112.0","365,656.0","371,634.0","376,830.0","379,688.0","382,394.0","384,590.0","386,470.0","388,251.0","389,292.0","390,384.0","391,329.0","392,568.0","389,476.0","387,971.0","387,188.0","385,474.0","383,498.0","382,303.0","376,030.0","376,106.0"
"24","5","      Compensation of general government employees","B237RX1","195,152.0","194,198.0","194,790.0","194,507.0","192,566.0","193,696.0","193,594.0","193,005.0","193,944.0","194,313.0","194,751.0","194,762.0","197,803.0","199,730.0","200,651.0","199,714.0","204,220.0","206,811.0","207,348.0","207,309.0","209,637.0","208,780.0","210,738.0","211,787.0","211,833.0","210,699.0","210,641.0","210,773.0","207,352.0","206,531.0","208,640.0","208,816.0","206,588.0","205,659.0","207,957.0","208,353.0","209,933.0","212,045.0","217,068.0","220,675.0","222,537.0","227,205.0","231,543.0","233,939.0","235,029.0","235,856.0","236,581.0","237,441.0","237,792.0","238,270.0","238,734.0","239,585.0","236,208.0","234,476.0","233,476.0","231,614.0","229,566.0","228,313.0","222,032.0","222,087.0"
"25","6","        Military","B4080X1","123,238.0","122,719.0","123,838.0","123,546.0","123,358.0","123,407.0","125,113.0","125,714.0","126,657.0","127,020.0","126,523.0","127,444.0","130,939.0","131,667.0","132,004.0","131,630.0","136,320.0","140,188.0","139,711.0","138,810.0","141,100.0","139,737.0","139,614.0","140,928.0","140,951.0","139,278.0","138,671.0","139,116.0","136,153.0","135,367.0","137,012.0","136,474.0","134,906.0","134,087.0","136,048.0","135,706.0","137,583.0","138,606.0","142,546.0","145,928.0","147,928.0","151,567.0","154,316.0","154,196.0","154,942.0","154,946.0","154,234.0","153,662.0","153,694.0","153,982.0","153,926.0","153,754.0","151,500.0","150,201.0","149,403.0","148,066.0","146,664.0","146,472.0","146,111.0","145,085.0"
"26","7","        Civilian","W090RX1","71,452.0","71,023.0","70,547.0","70,548.0","68,874.0","69,899.0","68,234.0","67,141.0","67,162.0","67,170.0","68,037.0","67,183.0","66,855.0","67,996.0","68,567.0","68,034.0","67,910.0","66,691.0","67,707.0","68,565.0","68,609.0","69,090.0","71,131.0","70,878.0","70,899.0","71,446.0","71,998.0","71,681.0","71,238.0","71,212.0","71,669.0","72,403.0","71,748.0","71,646.0","71,966.0","72,725.0","72,393.0","73,499.0","74,558.0","74,748.0","74,605.0","75,638.0","77,238.0","79,735.0","80,085.0","80,908.0","82,331.0","83,742.0","84,056.0","84,245.0","84,756.0","85,761.0","84,640.0","84,209.0","84,007.0","83,484.0","82,839.0","81,770.0","75,813.0","76,882.0"
"27","8","      Consumption of general government fixed capital \2\","B432RX1","116,772.0","116,238.0","115,778.0","115,263.0","114,726.0","114,336.0","114,007.0","113,756.0","113,596.0","113,399.0","113,243.0","113,027.0","112,829.0","112,802.0","112,999.0","113,340.0","113,876.0","114,521.0","115,228.0","116,087.0","116,968.0","117,944.0","119,003.0","120,110.0","121,268.0","122,460.0","123,629.0","124,865.0","126,053.0","127,313.0","128,579.0","129,837.0","131,134.0","132,477.0","133,858.0","135,249.0","136,711.0","138,194.0","139,775.0","141,440.0","143,124.0","144,429.0","145,286.0","145,745.0","147,355.0","148,731.0","149,891.0","150,816.0","151,513.0","152,133.0","152,616.0","153,003.0","153,310.0","153,548.0","153,771.0","153,930.0","154,018.0","154,089.0","154,157.0","154,179.0"
"28","9","    Intermediate goods and services purchased \3\","W087RX1","123,174.0","126,975.0","138,678.0","150,432.0","123,826.0","142,588.0","133,061.0","132,936.0","142,489.0","144,438.0","147,880.0","150,616.0","158,498.0","162,134.0","168,336.0","177,218.0","170,918.0","204,204.0","192,395.0","207,134.0","206,889.0","210,419.0","221,116.0","205,752.0","210,717.0","212,301.0","223,229.0","204,989.0","218,314.0","217,171.0","213,364.0","222,964.0","211,081.0","218,118.0","229,762.0","229,078.0","235,807.0","235,429.0","255,079.0","258,206.0","245,044.0","263,678.0","273,066.0","270,577.0","266,062.0","271,881.0","283,578.0","272,914.0","255,072.0","264,976.0","271,038.0","248,713.0","246,938.0","243,356.0","266,814.0","225,324.0","212,760.0","209,168.0","212,841.0","192,846.0"
"29","10","      Durable goods","A998RX1","21,838.0","24,822.0","26,546.0","23,948.0","24,352.0","24,213.0","24,329.0","23,299.0","22,734.0","24,652.0","26,187.0","23,296.0","23,682.0","25,022.0","26,757.0","25,395.0","24,561.0","28,198.0","28,928.0","29,106.0","29,342.0","30,462.0","32,157.0","30,597.0","29,672.0","30,515.0","31,646.0","31,670.0","32,512.0","32,702.0","33,770.0","35,470.0","34,130.0","35,805.0","38,309.0","39,422.0","40,199.0","42,461.0","44,690.0","45,266.0","41,586.0","45,602.0","48,756.0","47,284.0","43,564.0","45,842.0","48,067.0","50,313.0","41,640.0","44,017.0","45,261.0","46,925.0","42,499.0","42,903.0","44,707.0","43,677.0","39,445.0","40,760.0","40,320.0","39,808.0"
"30","11","        Aircraft","B999RX1","10,594.0","12,099.0","12,810.0","11,080.0","11,585.0","10,552.0","11,208.0","10,016.0","9,645.0","10,532.0","12,309.0","10,290.0","10,073.0","10,805.0","11,164.0","10,874.0","10,398.0","12,493.0","12,496.0","13,020.0","12,209.0","12,389.0","13,211.0","12,629.0","11,139.0","11,091.0","10,944.0","11,363.0","10,889.0","10,479.0","10,817.0","12,625.0","10,291.0","11,108.0","12,085.0","13,004.0","11,678.0","12,531.0","13,501.0","13,946.0","13,430.0","14,291.0","14,976.0","16,023.0","13,814.0","15,365.0","16,307.0","19,029.0","15,586.0","17,447.0","18,700.0","19,683.0","18,271.0","18,377.0","19,620.0","20,498.0","17,111.0","17,645.0","18,454.0","18,749.0"
"31","12","        Missiles","B277RX1","2,455.0","2,501.0","2,633.0","2,664.0","2,532.0","2,807.0","2,805.0","3,112.0","3,149.0","3,030.0","3,012.0","2,759.0","2,631.0","2,433.0","3,048.0","2,984.0","2,398.0","2,552.0","2,584.0","3,033.0","2,635.0","2,759.0","3,159.0","2,849.0","3,173.0","3,581.0","3,393.0","3,955.0","4,196.0","4,549.0","4,008.0","4,289.0","4,402.0","4,433.0","4,687.0","4,925.0","4,839.0","4,653.0","4,693.0","4,708.0","4,138.0","4,299.0","5,391.0","4,273.0","4,049.0","4,500.0","4,644.0","4,696.0","3,802.0","3,534.0","3,578.0","3,549.0","3,440.0","3,156.0","3,453.0","3,172.0","2,785.0","3,598.0","3,208.0","3,152.0"
"32","13","        Ships","B278RX1","1,200.0","1,470.0","1,581.0","1,345.0","1,551.0","1,629.0","1,547.0","1,394.0","1,366.0","1,537.0","1,507.0","1,241.0","1,412.0","1,507.0","1,680.0","1,339.0","1,409.0","1,496.0","1,515.0","1,433.0","1,415.0","1,693.0","1,818.0","1,480.0","1,470.0","1,542.0","1,705.0","1,310.0","1,720.0","1,449.0","1,398.0","1,418.0","1,519.0","1,468.0","865.0","914.0","778.0","912.0","860.0","746.0","708.0","784.0","816.0","572.0","751.0","777.0","824.0","776.0","524.0","672.0","690.0","674.0","558.0","707.0","766.0","672.0","1,910.0","2,137.0","1,989.0","2,097.0"
"33","14","        Vehicles","B288RX1","927.0","949.0","883.0","880.0","608.0","871.0","776.0","762.0","758.0","793.0","898.0","814.0","814.0","776.0","762.0","825.0","748.0","822.0","845.0","833.0","796.0","773.0","872.0","949.0","972.0","1,080.0","1,349.0","1,378.0","1,508.0","1,686.0","1,943.0","2,006.0","2,055.0","2,482.0","2,580.0","2,728.0","2,730.0","3,103.0","3,040.0","3,722.0","2,323.0","3,639.0","3,963.0","4,114.0","3,716.0","3,597.0","3,157.0","3,356.0","2,877.0","3,035.0","2,761.0","2,897.0","2,270.0","2,503.0","2,554.0","2,240.0","1,637.0","1,628.0","1,622.0","1,409.0"
"34","15","        Electronics","B388RX1","2,248.0","2,567.0","2,772.0","2,493.0","2,771.0","2,937.0","2,617.0","2,861.0","2,768.0","2,941.0","2,909.0","2,957.0","3,046.0","3,268.0","3,431.0","3,181.0","3,468.0","3,829.0","4,236.0","3,638.0","4,077.0","4,548.0","4,553.0","4,692.0","4,698.0","5,204.0","6,192.0","5,823.0","6,063.0","6,128.0","6,810.0","6,572.0","7,156.0","7,679.0","8,483.0","8,040.0","9,702.0","10,595.0","11,576.0","11,504.0","10,254.0","11,373.0","11,960.0","11,545.0","10,591.0","11,032.0","11,565.0","11,119.0","8,473.0","8,942.0","8,926.0","9,265.0","7,538.0","7,984.0","7,939.0","7,533.0","6,276.0","6,807.0","6,058.0","5,845.0"
"35","16","        Other durable goods","B389RX1","4,573.0","5,394.0","6,011.0","5,624.0","5,411.0","5,509.0","5,506.0","5,249.0","5,153.0","5,918.0","5,676.0","5,301.0","5,769.0","6,284.0","6,746.0","6,258.0","6,167.0","7,036.0","7,261.0","7,198.0","8,236.0","8,324.0","8,586.0","8,005.0","8,252.0","8,048.0","8,077.0","7,860.0","8,181.0","8,464.0","8,833.0","8,574.0","8,751.0","8,665.0","9,622.0","9,835.0","10,477.0","10,669.0","11,012.0","10,636.0","10,731.0","11,218.0","11,649.0","10,758.0","10,641.0","10,573.0","11,570.0","11,343.0","10,368.0","10,390.0","10,614.0","10,867.0","10,420.0","10,182.0","10,380.0","9,586.0","9,726.0","8,966.0","9,007.0","8,582.0"
"36","17","      Nondurable goods","A725RX1","13,166.0","14,547.0","17,552.0","14,646.0","17,427.0","16,681.0","14,491.0","14,257.0","14,921.0","16,559.0","15,696.0","17,475.0","17,447.0","18,848.0","17,821.0","19,735.0","20,332.0","21,435.0","17,541.0","20,659.0","23,293.0","22,891.0","25,152.0","19,622.0","21,063.0","23,822.0","24,159.0","22,517.0","21,924.0","21,490.0","23,373.0","22,723.0","23,060.0","22,643.0","23,119.0","21,696.0","22,760.0","23,256.0","23,225.0","24,224.0","22,840.0","24,740.0","26,365.0","23,850.0","24,032.0","24,129.0","22,955.0","23,173.0","24,017.0","23,526.0","24,607.0","25,047.0","23,857.0","22,260.0","21,690.0","22,458.0","21,061.0","18,254.0","18,041.0","16,324.0"
"37","18","        Petroleum products","B780RX1","7,640.0","8,780.0","10,874.0","6,673.0","8,749.0","7,747.0","7,654.0","7,203.0","8,625.0","8,707.0","9,017.0","10,295.0","9,931.0","10,698.0","9,512.0","12,083.0","12,793.0","11,542.0","6,629.0","9,980.0","12,013.0","10,860.0","13,054.0","7,257.0","8,250.0","11,673.0","11,539.0","10,596.0","9,579.0","9,806.0","11,456.0","10,757.0","10,308.0","10,543.0","10,318.0","9,986.0","10,036.0","10,570.0","10,324.0","10,631.0","9,692.0","10,193.0","11,288.0","10,664.0","10,677.0","10,885.0","10,455.0","10,385.0","10,962.0","10,604.0","11,232.0","11,444.0","11,167.0","9,870.0","9,140.0","10,324.0","10,030.0","7,574.0","6,993.0","6,082.0"
"38","19","        Ammunition","B781RX1","2,187.0","2,345.0","3,011.0","2,370.0","2,126.0","2,046.0","2,734.0","2,520.0","2,437.0","2,751.0","2,812.0","2,765.0","2,975.0","3,425.0","3,511.0","3,183.0","2,747.0","3,529.0","3,616.0","3,653.0","4,242.0","4,372.0","4,583.0","4,566.0","4,372.0","4,606.0","4,914.0","4,596.0","4,656.0","4,488.0","4,410.0","4,606.0","4,470.0","3,910.0","4,627.0","4,001.0","4,544.0","3,977.0","4,365.0","4,523.0","3,819.0","4,285.0","4,128.0","4,479.0","4,188.0","4,396.0","3,890.0","4,096.0","3,864.0","3,826.0","4,020.0","4,266.0","3,616.0","3,782.0","4,488.0","3,997.0","2,938.0","3,043.0","3,764.0","3,403.0"
"39","20","        Other nondurable goods","B783RX1","3,819.0","4,157.0","4,736.0","5,153.0","6,398.0","6,499.0","4,245.0","4,570.0","4,257.0","5,199.0","4,330.0","5,035.0","5,004.0","5,238.0","5,018.0","5,330.0","5,730.0","6,665.0","6,341.0","6,766.0","7,011.0","7,298.0","7,410.0","7,393.0","8,088.0","7,279.0","7,489.0","7,130.0","7,584.0","6,978.0","7,097.0","7,033.0","8,064.0","7,940.0","8,006.0","7,447.0","8,131.0","8,398.0","8,422.0","9,038.0","9,346.0","10,255.0","10,966.0","8,681.0","9,139.0","8,775.0","8,508.0","8,637.0","9,051.0","9,047.0","9,205.0","9,177.0","8,754.0","8,665.0","8,413.0","7,963.0","7,699.0","7,959.0","7,863.0","7,505.0"
"40","21","      Services","A489RX1","87,386.0","86,573.0","94,034.0","111,237.0","81,620.0","101,386.0","93,450.0","94,729.0","104,433.0","102,803.0","105,167.0","109,825.0","117,213.0","118,284.0","123,276.0","132,116.0","126,288.0","154,456.0","144,945.0","156,840.0","154,228.0","156,793.0","163,660.0","155,047.0","159,704.0","157,772.0","167,260.0","150,499.0","163,715.0","162,801.0","155,765.0","164,357.0","153,421.0","159,236.0","167,927.0","167,748.0","172,561.0","169,245.0","187,465.0","188,808.0","180,646.0","193,323.0","197,899.0","199,473.0","198,414.0","201,907.0","212,805.0","199,618.0","188,976.0","197,442.0","201,013.0","176,067.0","180,065.0","178,114.0","201,002.0","158,727.0","151,778.0","150,476.0","154,894.0","137,256.0"
"41","22","        Installation support","B911RX1","31,819.0","32,506.0","33,530.0","37,742.0","30,835.0","35,427.0","34,380.0","33,777.0","35,365.0","34,846.0","35,971.0","36,592.0","38,337.0","37,475.0","39,324.0","40,492.0","39,643.0","43,242.0","44,488.0","45,648.0","43,804.0","41,989.0","43,382.0","40,564.0","38,010.0","38,561.0","41,913.0","40,281.0","40,818.0","41,583.0","38,971.0","41,636.0","38,684.0","38,862.0","39,672.0","39,644.0","39,870.0","38,716.0","42,542.0","43,059.0","43,029.0","44,165.0","44,410.0","44,668.0","43,894.0","44,663.0","46,998.0","43,935.0","41,000.0","42,659.0","43,650.0","39,948.0","40,207.0","39,547.0","44,780.0","35,153.0","35,208.0","34,979.0","35,248.0","33,929.0"
"42","23","        Weapons support","B912RX1","11,995.0","12,088.0","13,992.0","18,907.0","9,773.0","16,239.0","14,949.0","16,175.0","18,563.0","17,970.0","16,878.0","17,628.0","19,152.0","18,628.0","22,090.0","25,989.0","21,494.0","26,878.0","27,552.0","28,013.0","26,050.0","24,854.0","28,684.0","26,235.0","27,532.0","27,240.0","32,100.0","27,442.0","28,120.0","30,425.0","26,567.0","32,268.0","28,051.0","29,744.0","31,341.0","30,498.0","30,736.0","28,187.0","34,457.0","32,592.0","29,422.0","32,125.0","33,930.0","34,996.0","33,365.0","35,815.0","40,010.0","36,012.0","31,323.0","36,387.0","38,149.0","31,436.0","32,263.0","31,685.0","40,436.0","24,075.0","24,181.0","24,069.0","23,966.0","21,675.0"
"43","24","        Personnel support","B913RX1","31,169.0","30,003.0","34,718.0","42,290.0","29,245.0","37,778.0","32,369.0","33,650.0","39,130.0","38,241.0","40,067.0","41,609.0","45,917.0","48,866.0","49,599.0","55,418.0","47,977.0","59,084.0","54,678.0","66,336.0","65,619.0","70,221.0","72,740.0","69,696.0","70,964.0","71,822.0","76,300.0","72,371.0","76,962.0","79,553.0","71,177.0","75,761.0","68,351.0","70,563.0","73,951.0","76,000.0","80,731.0","82,037.0","91,706.0","95,257.0","87,917.0","94,459.0","95,977.0","96,055.0","96,785.0","97,646.0","101,940.0","95,471.0","93,678.0","96,918.0","98,747.0","85,351.0","89,753.0","90,926.0","100,835.0","85,751.0","80,276.0","80,546.0","85,468.0","71,941.0"
"44","25","        Transportation of material","B786RX1","6,520.0","5,998.0","5,710.0","5,898.0","5,936.0","5,802.0","5,715.0","5,298.0","5,453.0","5,751.0","6,048.0","7,219.0","7,317.0","6,888.0","6,061.0","4,427.0","10,487.0","16,720.0","10,194.0","9,052.0","10,309.0","10,672.0","9,792.0","9,046.0","10,816.0","10,224.0","7,853.0","4,013.0","8,622.0","5,292.0","9,987.0","7,343.0","9,701.0","11,150.0","13,352.0","13,192.0","12,665.0","11,679.0","10,628.0","10,141.0","11,418.0","13,052.0","13,879.0","14,191.0","14,272.0","13,964.0","14,036.0","14,343.0","13,709.0","12,733.0","12,108.0","10,985.0","9,720.0","8,391.0","7,673.0","6,897.0","6,042.0","5,430.0","5,005.0","4,578.0"
