"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross saving","A929RC1","229,940.0","231,144.0","238,097.0","233,183.0","227,190.0","229,806.0","231,144.0","224,728.0","238,615.0","243,220.0","249,093.0","253,724.0","263,338.0","265,452.0","279,678.0","302,170.0","316,278.0","324,461.0","338,930.0","361,655.0","355,919.0","346,078.0","346,066.0","349,006.0","329,979.0","329,601.0","360,316.0","373,141.0","392,543.0","399,448.0","402,451.0","403,548.0","412,203.0","454,245.0","481,619.0","490,338.0","502,878.0","541,426.0","561,243.0","587,100.0","609,919.0","612,272.0","614,993.0","618,019.0","615,936.0","604,612.0","621,979.0","679,999.0","710,215.0","720,583.0","777,211.0","772,963.0","740,849.0","764,550.0","732,315.0","673,995.0","693,529.0","703,765.0","706,815.0","773,774.0","857,687.0","875,759.0","901,376.0","903,431.0","893,120.0","890,705.0","868,897.0","883,105.0","899,250.0","874,328.0","841,834.0","855,842.0","902,085.0","928,991.0","964,134.0","1,013,462.0","1,032,867.0","1,072,685.0","1,100,060.0","1,114,809.0","1,151,955.0","1,109,804.0","1,103,345.0","1,089,304.0","1,107,549.0","1,139,585.0","1,110,351.0","1,112,804.0","1,205,715.0","1,148,413.0","1,127,784.0","1,149,821.0","1,161,553.0","1,178,226.0","1,129,268.0","1,141,566.0","1,135,293.0","1,173,490.0","1,147,378.0","1,215,258.0","1,236,089.0","1,301,695.0","1,311,307.0","1,347,460.0","1,400,015.0","1,397,147.0","1,439,303.0","1,481,733.0","1,522,454.0","1,562,511.0","1,598,645.0","1,641,714.0","1,701,852.0","1,771,303.0","1,820,420.0","1,840,633.0","1,912,031.0","1,917,545.0","1,960,400.0","1,939,566.0","2,029,865.0","1,976,645.0","1,960,157.0","2,005,986.0","2,128,446.0","2,116,089.0","2,132,710.0","2,060,352.0","2,138,199.0","2,121,315.0","2,042,734.0","1,953,933.0","2,007,967.0","1,989,254.0","1,958,774.0","1,998,903.0","1,942,547.0","1,974,774.0","1,985,827.0","2,063,748.0","2,071,353.0","2,147,000.0","2,216,552.0","2,164,895.0","2,262,938.0","2,288,372.0","2,334,436.0","2,463,892.0","2,669,018.0","2,646,162.0","2,635,049.0","2,660,002.0","2,566,134.0","2,572,470.0","2,464,850.0","2,423,405.0","2,378,490.0","2,285,849.0","2,263,920.0","2,199,260.0","2,108,597.0","2,026,463.0","1,983,610.0","2,168,296.0","2,134,621.0","2,202,418.0","2,339,464.0","2,343,513.0","2,374,252.0","2,411,940.0","2,511,784.0","2,547,536.0","2,645,048.0","2,624,607.0","2,606,380.0","2,812,808.0","2,871,457.0","2,993,449.0","3,052,420.0","....."
"21","2","Net saving","W201RC1","109,483.0","107,682.0","111,809.0","103,938.0","95,008.0","94,593.0","92,851.0","83,285.0","94,046.0","95,692.0","98,780.0","100,672.0","107,211.0","106,430.0","117,290.0","136,121.0","146,036.0","149,384.0","158,500.0","175,086.0","162,293.0","144,472.0","135,719.0","129,916.0","102,299.0","94,638.0","119,221.0","126,732.0","141,772.0","143,643.0","140,732.0","135,004.0","136,027.0","170,144.0","189,433.0","189,467.0","192,953.0","221,740.0","231,260.0","246,441.0","257,725.0","247,796.0","237,655.0","227,500.0","211,720.0","186,144.0","188,794.0","231,835.0","246,896.0","242,323.0","284,815.0","266,756.0","221,298.0","233,483.0","192,322.0","127,343.0","142,221.0","147,159.0","143,435.0","202,885.0","277,672.0","286,509.0","302,403.0","294,333.0","273,044.0","259,817.0","226,762.0","229,591.0","234,297.0","197,730.0","154,016.0","156,559.0","192,269.0","207,762.0","230,437.0","266,396.0","271,284.0","297,058.0","310,698.0","311,833.0","335,549.0","280,072.0","260,555.0","233,791.0","239,305.0","258,834.0","217,079.0","207,756.0","288,479.0","220,647.0","191,185.0","206,921.0","214,124.0","223,645.0","166,253.0","167,692.0","149,510.0","175,749.0","138,081.0","193,686.0","202,920.0","254,929.0","248,875.0","267,537.0","300,494.0","281,069.0","308,044.0","337,456.0","366,441.0","394,166.0","416,308.0","444,330.0","487,612.0","539,645.0","571,954.0","575,179.0","630,084.0","617,403.0","641,057.0","599,914.0","669,668.0","591,562.0","547,383.0","560,595.0","647,275.0","607,171.0","604,570.0","521,622.0","567,389.0","522,590.0","426,781.0","323,506.0","367,799.0","336,742.0","289,498.0","312,584.0","240,583.0","258,285.0","250,822.0","308,325.0","288,098.0","333,830.0","370,471.0","280,605.0","340,913.0","329,042.0","333,508.0","418,350.0","586,805.0","527,092.0","482,297.0","469,961.0","338,695.0","318,804.0","188,380.0","123,579.0","50,746.0","-67,153.0","-115,779.0","-193,789.0","-277,040.0","-340,487.0","-371,556.0","-197,476.0","-235,207.0","-172,528.0","-42,999.0","-55,615.0","-43,630.0","-31,454.0","46,700.0","63,605.0","137,437.0","90,901.0","51,246.0","237,801.0","267,631.0","361,573.0","392,797.0","....."
"22","3","  Net private saving","W202RC1","103,568.0","105,275.0","115,887.0","112,191.0","112,961.0","123,497.0","129,397.0","127,083.0","139,594.0","147,576.0","150,286.0","152,695.0","150,502.0","146,617.0","155,385.0","176,418.0","173,643.0","180,388.0","186,373.0","200,790.0","192,214.0","178,503.0","169,085.0","185,914.0","184,950.0","232,990.0","213,484.0","221,634.0","222,677.0","218,001.0","217,882.0","210,813.0","202,917.0","229,263.0","251,721.0","255,031.0","259,232.0","262,537.0","273,666.0","282,483.0","288,683.0","279,250.0","273,209.0","274,811.0","268,364.0","271,583.0","284,889.0","317,148.0","310,307.0","313,307.0","363,105.0","380,787.0","357,958.0","376,958.0","373,740.0","344,702.0","359,937.0","348,765.0","354,555.0","387,371.0","438,312.0","451,848.0","479,507.0","476,903.0","418,219.0","455,149.0","403,343.0","413,916.0","410,195.0","402,472.0","361,683.0","337,171.0","379,939.0","329,797.0","372,263.0","419,239.0","420,723.0","439,468.0","440,669.0","451,434.0","453,348.0","424,666.0","416,880.0","411,942.0","432,077.0","463,936.0","421,726.0","434,723.0","493,466.0","489,747.0","483,514.0","525,719.0","570,257.0","591,053.0","553,296.0","537,773.0","538,092.0","522,200.0","494,513.0","498,329.0","498,938.0","521,355.0","523,749.0","552,821.0","583,966.0","567,145.0","585,203.0","580,292.0","605,353.0","590,932.0","596,244.0","592,555.0","613,140.0","644,705.0","634,201.0","640,290.0","638,767.0","615,177.0","605,154.0","556,873.0","610,039.0","524,888.0","467,546.0","463,696.0","451,027.0","438,725.0","444,435.0","383,248.0","462,902.0","483,799.0","633,614.0","465,164.0","713,367.0","727,239.0","683,126.0","750,379.0","729,421.0","797,907.0","830,896.0","799,579.0","844,743.0","859,333.0","853,715.0","747,734.0","721,256.0","710,809.0","712,042.0","765,811.0","856,860.0","794,409.0","767,367.0","717,545.0","619,663.0","627,202.0","551,845.0","528,488.0","577,515.0","836,648.0","732,205.0","728,334.0","1,030,778.0","1,262,822.0","1,255,728.0","1,350,977.0","1,377,437.0","1,430,430.0","1,498,663.0","1,454,442.0","1,411,657.0","1,470,526.0","1,501,513.0","1,496,905.0","1,472,577.0","1,493,014.0","1,430,620.0","1,570,538.0","1,350,507.0","1,212,300.0","1,468,468.0","....."
"23","4","    Domestic business","A127RC1","38,052.0","35,780.0","34,010.0","28,960.0","25,687.0","29,558.0","28,419.0","25,054.0","33,750.0","35,214.0","38,352.0","42,502.0","45,046.0","46,322.0","49,115.0","51,657.0","55,364.0","51,734.0","54,032.0","52,908.0","48,008.0","43,461.0","33,392.0","33,942.0","41,026.0","49,472.0","59,702.0","66,810.0","72,331.0","69,859.0","69,931.0","68,023.0","72,642.0","86,586.0","97,262.0","89,802.0","89,174.0","103,652.0","107,020.0","111,825.0","104,156.0","104,266.0","101,448.0","95,905.0","78,670.0","65,542.0","66,790.0","78,197.0","84,548.0","85,507.0","95,790.0","91,750.0","78,422.0","91,247.0","87,932.0","84,969.0","99,364.0","113,353.0","118,632.0","131,271.0","144,127.0","144,486.0","151,460.0","158,101.0","153,779.0","157,562.0","168,281.0","150,522.0","130,874.0","113,865.0","100,760.0","88,576.0","98,298.0","120,247.0","135,161.0","139,211.0","143,440.0","146,011.0","136,277.0","147,592.0","117,524.0","115,128.0","115,004.0","93,141.0","104,016.0","118,598.0","87,275.0","100,776.0","137,126.0","134,553.0","128,808.0","128,415.0","143,185.0","139,909.0","128,161.0","137,012.0","126,566.0","138,188.0","153,885.0","163,938.0","181,420.0","187,083.0","197,408.0","205,290.0","199,329.0","221,207.0","239,734.0","244,642.0","261,092.0","249,265.0","242,968.0","250,902.0","269,390.0","279,042.0","294,019.0","281,132.0","202,829.0","199,783.0","202,574.0","189,505.0","241,430.0","239,732.0","213,451.0","199,582.0","153,238.0","132,774.0","130,923.0","108,772.0","144,890.0","189,103.0","180,187.0","206,486.0","284,634.0","296,248.0","312,674.0","365,048.0","345,165.0","389,128.0","392,786.0","387,463.0","445,614.0","425,452.0","456,225.0","325,358.0","466,041.0","478,932.0","494,406.0","499,889.0","479,281.0","455,711.0","461,938.0","391,633.0","274,816.0","306,236.0","253,465.0","223,693.0","160,297.0","193,682.0","258,561.0","56,847.0","369,912.0","480,492.0","641,651.0","725,545.0","788,576.0","766,388.0","843,510.0","825,702.0","693,749.0","791,405.0","825,293.0","897,259.0","815,262.0","829,105.0","826,513.0","746,412.0","848,528.0","631,926.0","850,457.0","....."
"24","5","      Undistributed corporate profits","B057RC1","35,270.0","33,251.0","31,294.0","29,931.0","27,423.0","27,438.0","28,312.0","25,622.0","31,664.0","34,212.0","38,012.0","40,427.0","43,453.0","44,197.0","46,716.0","52,464.0","63,431.0","65,553.0","66,149.0","69,869.0","74,972.0","76,743.0","81,680.0","68,696.0","56,295.0","61,358.0","77,795.0","85,219.0","90,766.0","92,639.0","93,004.0","91,239.0","101,271.0","108,847.0","113,603.0","113,411.0","117,367.0","134,678.0","138,683.0","148,307.0","148,886.0","155,137.0","158,204.0","152,196.0","149,836.0","118,142.0","126,582.0","131,431.0","131,506.0","115,354.0","116,464.0","110,795.0","90,655.0","93,134.0","88,197.0","80,464.0","81,193.0","99,358.0","107,891.0","110,658.0","116,063.0","114,360.0","104,913.0","104,273.0","91,177.0","90,692.0","94,057.0","94,862.0","54,858.0","48,669.0","46,710.0","51,119.0","61,820.0","87,816.0","98,830.0","103,684.0","111,175.0","122,127.0","114,330.0","119,596.0","105,901.0","90,887.0","75,366.0","69,294.0","76,140.0","89,203.0","93,514.0","99,403.0","106,607.0","108,514.0","111,168.0","114,565.0","125,656.0","135,202.0","115,987.0","120,582.0","115,984.0","126,204.0","132,588.0","143,585.0","160,762.0","165,059.0","178,794.0","185,746.0","196,992.0","214,193.0","213,343.0","209,324.0","218,768.0","208,183.0","192,761.0","195,262.0","199,095.0","209,055.0","222,867.0","217,039.0","131,100.0","125,803.0","122,544.0","111,111.0","148,537.0","165,761.0","159,176.0","164,392.0","121,234.0","101,994.0","91,790.0","74,225.0","120,648.0","151,930.0","108,224.0","86,251.0","119,966.0","165,308.0","216,724.0","283,695.0","278,480.0","279,247.0","297,065.0","312,056.0","386,399.0","396,567.0","429,762.0","324,981.0","629,197.0","634,829.0","674,930.0","702,691.0","665,422.0","673,393.0","674,145.0","595,271.0","488,870.0","519,144.0","451,757.0","476,139.0","335,658.0","399,800.0","388,668.0","-65,210.0","370,211.0","540,530.0","736,586.0","872,593.0","925,102.0","888,393.0","916,015.0","871,742.0","730,968.0","773,171.0","764,566.0","817,501.0","997,462.0","990,670.0","1,022,730.0","928,723.0","1,021,038.0","784,156.0","1,010,443.0","....."
"25","6","      Inventory valuation adjustment, corporate","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","46,120.0","13,460.0","-14,372.0","-20,664.0","-18,252.0","6,076.0","-5,048.0","-21,008.0","-23,404.0","-45,208.0","-38,504.0","-50,696.0","-38,724.0","-18,444.0","-32,372.0","-38,988.0","-32,280.0","-53,976.0","-38,496.0","-17,948.0","-38,644.0","-32,236.0","-16,688.0","-70,524.0","-123,044.0","-149,880.0","-64,892.0","189,984.0","93,504.0","21,600.0","-20,240.0","-68,224.0","-40,092.0","-20,608.0","-18,068.0","-85,260.0","-120,100.0","-68,168.0","-27,668.0","-8,236.0","-19,544.0","9,812.0","-21,980.0","-8,436.0","-13,048.0","8,904.0","1,652.0","....."
"26","7","      Capital consumption adjustment, corporate","A059RC1","7,714.0","7,749.0","7,652.0","7,421.0","7,056.0","6,700.0","6,355.0","6,020.0","5,694.0","5,670.0","5,948.0","6,527.0","7,409.0","7,973.0","8,219.0","8,149.0","7,761.0","7,233.0","6,563.0","5,755.0","4,804.0","3,462.0","1,728.0","-398.0","-2,917.0","-4,906.0","-6,365.0","-7,293.0","-7,691.0","-7,880.0","-7,857.0","-7,624.0","-7,181.0","-6,937.0","-6,889.0","-7,041.0","-7,389.0","-7,826.0","-8,351.0","-8,962.0","-9,662.0","-10,887.0","-12,636.0","-14,911.0","-17,710.0","-18,572.0","-17,496.0","-14,482.0","-9,530.0","-5,539.0","-2,510.0","-441.0","667.0","2,857.0","6,131.0","10,485.0","15,923.0","21,059.0","25,893.0","30,425.0","34,656.0","39,934.0","46,259.0","53,632.0","62,050.0","66,526.0","67,056.0","63,640.0","56,280.0","51,272.0","48,614.0","48,309.0","50,354.0","51,603.0","52,055.0","51,711.0","50,569.0","49,364.0","48,095.0","46,760.0","45,363.0","43,133.0","40,070.0","36,175.0","31,448.0","27,375.0","23,957.0","21,193.0","19,083.0","17,439.0","16,264.0","15,554.0","15,313.0","15,303.0","15,526.0","15,982.0","16,670.0","18,308.0","20,893.0","24,429.0","28,914.0","32,200.0","34,290.0","35,180.0","34,873.0","35,222.0","36,223.0","37,878.0","40,188.0","42,734.0","45,515.0","48,532.0","51,783.0","54,287.0","56,044.0","57,053.0","57,313.0","58,608.0","60,938.0","64,302.0","68,701.0","70,195.0","68,783.0","64,466.0","57,244.0","51,828.0","48,217.0","46,411.0","42,594.0","38,257.0","55,183.0","85,403.0","118,548.0","117,480.0","110,322.0","102,017.0","84,937.0","103,805.0","100,769.0","96,415.0","82,619.0","74,093.0","64,967.0","51,073.0","-124,432.0","-137,453.0","-148,152.0","-163,814.0","-153,861.0","-163,706.0","-173,711.0","-185,690.0","-175,410.0","-180,672.0","-181,604.0","-181,922.0","-52,317.0","-56,238.0","-65,215.0","-67,927.0","-93,803.0","-81,638.0","-74,695.0","-78,824.0","-96,434.0","-101,397.0","-54,437.0","39,220.0","82,881.0","86,402.0","88,395.0","87,994.0","-162,656.0","-171,377.0","-174,237.0","-173,875.0","-159,462.0","-161,134.0","-161,638.0","-162,988.0"
"27","8","    Households and institutions","W986RC1","65,516.0","69,495.0","81,877.0","83,231.0","87,274.0","93,939.0","100,978.0","102,029.0","105,844.0","112,362.0","111,934.0","110,193.0","105,456.0","100,295.0","106,270.0","124,761.0","118,279.0","128,654.0","132,341.0","147,882.0","144,206.0","135,042.0","135,693.0","151,972.0","143,924.0","183,518.0","153,782.0","154,824.0","150,346.0","148,142.0","147,951.0","142,790.0","130,275.0","142,677.0","154,459.0","165,229.0","170,058.0","158,885.0","166,646.0","170,658.0","184,527.0","174,984.0","171,761.0","178,906.0","189,694.0","206,041.0","218,099.0","238,951.0","225,759.0","227,800.0","267,315.0","289,037.0","279,536.0","285,711.0","285,808.0","259,733.0","260,573.0","235,412.0","235,923.0","256,100.0","294,185.0","307,362.0","328,047.0","318,802.0","264,440.0","297,587.0","235,062.0","263,394.0","279,321.0","288,607.0","260,923.0","248,595.0","281,641.0","209,550.0","237,102.0","280,028.0","277,283.0","293,457.0","304,392.0","303,842.0","335,824.0","309,538.0","301,876.0","318,801.0","328,061.0","345,338.0","334,451.0","333,947.0","356,340.0","355,194.0","354,706.0","397,304.0","427,072.0","451,144.0","425,135.0","400,761.0","411,526.0","384,012.0","340,628.0","334,391.0","317,518.0","334,272.0","326,341.0","347,531.0","384,637.0","345,938.0","345,469.0","335,650.0","344,261.0","341,667.0","353,276.0","341,653.0","343,750.0","365,663.0","340,182.0","359,158.0","435,938.0","415,394.0","402,580.0","367,368.0","368,609.0","285,156.0","254,095.0","264,114.0","297,789.0","305,951.0","313,512.0","274,476.0","318,012.0","294,696.0","453,427.0","258,678.0","428,733.0","430,991.0","370,452.0","385,331.0","384,256.0","408,779.0","438,110.0","412,116.0","399,129.0","433,881.0","397,490.0","422,376.0","255,215.0","231,877.0","217,636.0","265,922.0","377,579.0","338,698.0","305,429.0","325,912.0","344,847.0","320,966.0","298,380.0","304,795.0","417,218.0","642,966.0","473,644.0","671,487.0","660,866.0","782,330.0","614,077.0","625,432.0","588,861.0","664,042.0","655,153.0","628,740.0","717,908.0","679,121.0","676,220.0","599,646.0","657,315.0","663,909.0","604,107.0","824,126.0","501,979.0","580,374.0","618,011.0","545,136.0"
"28","9","      Personal saving","A071RC1","65,516.0","69,495.0","81,877.0","83,231.0","87,274.0","93,939.0","100,978.0","102,029.0","105,844.0","112,362.0","111,934.0","110,193.0","105,456.0","100,295.0","106,270.0","124,761.0","118,279.0","128,654.0","132,341.0","147,882.0","144,206.0","135,042.0","135,693.0","151,972.0","143,924.0","183,518.0","153,782.0","154,824.0","150,346.0","148,142.0","147,951.0","142,790.0","130,275.0","142,677.0","154,459.0","165,229.0","170,058.0","158,885.0","166,646.0","170,658.0","184,527.0","174,984.0","171,761.0","178,906.0","189,694.0","206,041.0","218,099.0","238,951.0","225,759.0","227,800.0","267,315.0","289,037.0","279,536.0","285,711.0","285,808.0","259,733.0","260,573.0","235,412.0","235,923.0","256,100.0","294,185.0","307,362.0","328,047.0","318,802.0","264,440.0","297,587.0","235,062.0","263,394.0","279,321.0","288,607.0","260,923.0","248,595.0","281,641.0","209,550.0","237,102.0","280,028.0","277,283.0","293,457.0","304,392.0","303,842.0","335,824.0","309,538.0","301,876.0","318,801.0","328,061.0","345,338.0","334,451.0","333,947.0","356,340.0","355,194.0","354,706.0","397,304.0","427,072.0","451,144.0","425,135.0","400,761.0","411,526.0","384,012.0","340,628.0","334,391.0","317,518.0","334,272.0","326,341.0","347,531.0","384,637.0","345,938.0","345,469.0","335,650.0","344,261.0","341,667.0","353,276.0","341,653.0","343,750.0","365,663.0","340,182.0","359,158.0","435,938.0","415,394.0","402,580.0","367,368.0","368,609.0","285,156.0","254,095.0","264,114.0","297,789.0","305,951.0","313,512.0","274,476.0","318,012.0","294,696.0","453,427.0","258,678.0","428,733.0","430,991.0","370,452.0","385,331.0","384,256.0","408,779.0","438,110.0","412,116.0","399,129.0","433,881.0","397,490.0","422,376.0","255,215.0","231,877.0","217,636.0","265,922.0","377,579.0","338,698.0","305,429.0","325,912.0","344,847.0","320,966.0","298,380.0","304,795.0","417,218.0","642,966.0","473,644.0","671,487.0","660,866.0","782,330.0","614,077.0","625,432.0","588,861.0","664,042.0","655,153.0","628,740.0","717,908.0","679,121.0","676,220.0","599,646.0","657,315.0","663,909.0","604,107.0","824,126.0","501,979.0","580,374.0","618,011.0","545,136.0"
