"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"11","2","  Gross national product","A791RC0",4960,5027,5113,5142,5193,5260,5331,5324,5539,5629,5709,5758,5938,6097,6198,6364,6588,6752,6837,7021,7092,7259,7372,7528,7581,7735,7984,8217,8468,8603,8737,8936,9175,9461,9717,9889,10061,10596,10854,11212,11408,11682,12007,12238,12500,12471,12691,13215,13804,13921,14303,14383,14304,14541,14633,14767,15048,15471,15900,16312,16765,17166,17429,17623,17935,18180,18498,18709,18921,19016,19247,19381,19630,19955,20230,20689,20948,21374,21681,22098,22518,22873,23157,23329,23783,24053,24169,24152,24159,24390,24584,24771,25093,25442,25704,26049,26197,26406,26624,26971,27319,27730,27947,28328,28547,28700,28937,29239,29541,30052,30303,30700,31011,31500,31880,32108,32427,32709,33109,33665,34061,34385,34828,35520,35787,36587,36755,37139,37136,37535,37366,37696,37947,38149,38455,38648,38955,39401,40187,40834,41409,41889,42455,42923,43803,44212,44914,45298,46102,46494,46689,47131,47585,48181,48734,49155,48945,49324,49351,47997,47361,47127,47309,47826,48158,48745,49181,49721,49780,50405,50858,51423,51973,52297,52783,52917,53134,53471,54215
"12","3","  Personal income","A792RC0",3819,3905,4000,4064,4125,4199,4255,4283,4367,4467,4522,4595,4714,4787,4897,5104,5177,5304,5420,5586,5651,5760,5915,6037,6117,6249,6399,6548,6684,6782,6932,7077,7199,7401,7592,7842,8004,8249,8465,8688,8919,9076,9339,9588,9835,9922,10245,10689,10924,11106,11494,11617,11731,11892,12039,12202,12337,12526,12747,13080,13442,13769,14056,14252,14499,14637,14797,15031,15250,15393,15563,15701,15911,16125,16379,16732,17005,17272,17599,17904,18385,18565,18738,18981,19327,19571,19748,19767,19748,19919,20048,20291,20689,21006,21164,21377,21446,21646,21727,21957,22094,22437,22615,22956,23250,23430,23642,23849,24224,24640,24838,25093,25484,25707,26036,26447,26967,27356,27659,27919,28168,28342,28636,29178,30007,30393,30840,31033,31519,31574,31466,31476,31552,31768,31805,31970,32102,32457,32810,33208,33547,34034,34423,35057,35108,35573,36088,36611,37639,37955,38224,38643,39307,39645,39869,40220,40731,41138,40912,40488,39311,39427,39199,39361,39477,39987,40321,40782,41871,42181,42532,42514,43227,43483,43557,44654,44115,44548,44904
"13","4","  Disposable personal income","A229RC0",3311,3383,3487,3545,3612,3684,3765,3791,3892,3982,4030,4089,4142,4198,4305,4501,4578,4693,4788,4928,4981,5063,5191,5303,5382,5687,5693,5817,5938,6006,6127,6244,6340,6513,6694,6901,7049,7247,7406,7583,7788,7911,8121,8328,8582,8640,8923,9297,9483,9617,9947,10092,10210,10344,10536,10674,10837,10992,11277,11570,11911,12202,12435,12585,12682,13007,13033,13241,13475,13609,13741,13815,14051,14017,14370,14654,14953,15242,15538,15806,16148,16278,16437,16654,16995,17197,17358,17385,17454,17612,17733,17951,18394,18648,18779,18911,19074,19178,19208,19383,19535,19794,19989,20300,20537,20641,20842,20990,21257,21541,21734,21926,22185,22365,22615,22938,23366,23669,23908,24091,24308,24431,24646,25081,25724,26046,26442,26608,26953,26994,27581,27188,27840,28134,28168,28363,28587,28961,29542,29711,30097,30540,30803,31356,31149,31537,31965,32399,33220,33451,33699,33994,34460,34723,34920,35211,35692,36742,36181,35803,35407,35760,35537,35687,35768,36213,36420,36781,37449,37690,37981,37981,38560,38769,38800,39727,38955,39270,39672
"14","5","  Personal consumption expenditures","A794RC0",2911,2960,3003,3053,3100,3139,3186,3208,3290,3348,3397,3465,3539,3619,3697,3805,3913,3978,4055,4116,4193,4318,4441,4475,4588,4710,4853,4974,5118,5198,5319,5459,5608,5722,5847,6003,6124,6367,6487,6644,6785,6948,7169,7339,7526,7515,7751,8026,8251,8368,8516,8558,8705,8801,8986,9229,9380,9634,9907,10107,10283,10510,10647,10829,11124,11299,11578,11658,11818,11911,12158,12280,12389,12654,12889,12997,13304,13522,13769,14031,14226,14450,14637,14777,15082,15218,15417,15446,15422,15584,15709,15763,16111,16274,16494,16750,16864,17079,17283,17481,17696,17880,18089,18314,18401,18618,18803,18960,19196,19477,19614,19839,20083,20166,20496,20739,20898,21247,21524,21830,22059,22459,22775,23160,23650,23919,24241,24527,24722,24849,24887,25206,25278,25551,25797,25960,26219,26478,26960,27204,27638,27942,28301,28747,29067,29502,29972,30245,30658,30988,31318,31489,31897,32184,32411,32700,32841,33175,33169,32234,31881,31821,32147,32295,32510,32750,33007,33463,33828,34206,34512,34766,35157,35355,35585,35809,36048,36138,36418
"15","6","    Goods","AGDSRC0",1480,1495,1511,1526,1539,1551,1566,1561,1615,1639,1653,1682,1711,1757,1797,1858,1928,1950,1983,2002,2043,2100,2167,2133,2175,2233,2324,2366,2442,2475,2521,2581,2645,2696,2738,2822,2838,2974,3016,3094,3158,3213,3342,3398,3493,3421,3516,3618,3753,3761,3826,3779,3830,3829,3879,3952,3965,4113,4223,4320,4405,4505,4507,4580,4672,4728,4845,4834,4881,4887,5050,5052,5024,5160,5270,5238,5359,5422,5466,5580,5636,5753,5821,5811,5984,5924,5972,5963,5890,5916,5941,5879,6001,6037,6112,6187,6204,6289,6326,6420,6504,6565,6666,6781,6738,6778,6840,6885,6969,7116,7130,7225,7312,7246,7390,7458,7437,7579,7666,7860,7928,8150,8261,8406,8577,8641,8731,8793,8794,8811,8806,9002,8920,8999,9088,9089,9173,9221,9503,9560,9723,9810,9912,10111,10193,10343,10547,10542,10721,10798,10922,10873,10985,11123,11172,11289,11223,11372,11316,10430,10244,10260,10550,10586,10699,10747,10844,11132,11350,11511,11598,11723,11899,11907,12032,12140,12202,12171,12351
"16","7","      Durable goods","A795RC0",446,447,446,446,439,445,448,424,474,487,497,514,529,544,559,586,624,620,616,603,594,611,637,592,613,634,679,707,751,762,778,801,838,860,879,907,894,973,972,994,996,988,1024,1013,1023,932,988,1033,1074,1049,1094,1026,1065,1075,1084,1134,1151,1237,1289,1358,1407,1446,1445,1492,1548,1567,1660,1603,1633,1694,1850,1826,1729,1811,1894,1846,1926,1934,1917,1977,1974,1997,2041,1980,2070,1996,1970,1912,1870,1878,1907,1874,1941,1954,1990,2025,2038,2109,2135,2194,2245,2276,2309,2387,2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2683,2790,2839,2975,2948,3065,3114,3123,3274,3198,3224,3230,3261,3228,3235,3478,3398,3407,3481,3402,3363,3472,3582,3586,3635,3659,3693,3741,3765,3859,3865,3744,3874,3844,3870,3888,3903,3933,3940,3930,3797,3748,3614,3322,3305,3274,3400,3343,3367,3441,3467,3550,3583,3582,3615,3704,3779,3788,3835,3905,3943,3977,4021
"17","8","      Nondurable goods","A796RC0",1034,1048,1064,1079,1100,1107,1118,1138,1141,1152,1156,1168,1181,1213,1237,1272,1304,1329,1366,1399,1449,1489,1530,1541,1563,1599,1646,1659,1691,1713,1743,1780,1807,1835,1858,1915,1944,2001,2044,2099,2162,2225,2317,2385,2469,2489,2528,2585,2680,2712,2732,2753,2765,2754,2795,2818,2813,2876,2934,2962,2998,3060,3062,3089,3124,3161,3185,3231,3249,3193,3200,3225,3295,3349,3376,3392,3433,3488,3549,3603,3662,3756,3780,3830,3913,3928,4003,4051,4020,4038,4034,4005,4060,4084,4122,4161,4166,4181,4191,4226,4259,4289,4357,4394,4397,4422,4433,4449,4511,4604,4614,4680,4715,4690,4747,4770,4754,4789,4827,4886,4980,5085,5146,5283,5303,5443,5507,5563,5532,5583,5571,5524,5523,5592,5607,5687,5810,5748,5921,5973,6088,6151,6219,6370,6428,6485,6682,6798,6847,6955,7051,6986,7081,7190,7231,7359,7427,7624,7702,7108,6939,6986,7150,7243,7331,7306,7377,7582,7767,7929,7983,8019,8120,8119,8197,8235,8258,8194,8329
"18","9","    Services","A797RC0",1431,1465,1492,1527,1561,1587,1620,1646,1675,1709,1744,1783,1828,1862,1900,1947,1985,2029,2072,2114,2150,2218,2274,2342,2413,2478,2528,2608,2676,2723,2798,2878,2963,3026,3109,3181,3286,3393,3471,3550,3628,3735,3827,3941,4033,4095,4235,4407,4497,4607,4690,4779,4875,4972,5107,5277,5415,5520,5684,5787,5878,6005,6140,6248,6452,6572,6733,6825,6937,7024,7109,7229,7365,7494,7619,7758,7945,8100,8303,8452,8590,8697,8816,8966,9098,9294,9444,9483,9531,9668,9769,9884,10109,10237,10382,10564,10661,10789,10958,11061,11192,11315,11423,11532,11663,11840,11963,12075,12227,12361,12484,12613,12771,12920,13106,13281,13461,13668,13858,13969,14131,14309,14514,14754,15073,15278,15510,15733,15929,16038,16081,16204,16358,16553,16709,16871,17046,17257,17457,17644,17915,18132,18389,18636,18874,19159,19426,19703,19938,20190,20396,20615,20912,21062,21240,21411,21618,21803,21853,21805,21638,21562,21597,21709,21811,22003,22162,22332,22478,22695,22913,23043,23258,23448,23552,23668,23846,23967,24068
"19",NA,"Chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Gross domestic product","A939RX0",23209,23230,23310,23140,23043,23013,23137,22820,23359,23425,23535,23531,23893,24388,24549,24891,25449,25680,25477,25652,25387,25399,25090,24925,24574,24704,25038,25310,25826,25966,26031,26157,26400,26853,27252,27178,27208,28195,28387,28684,28668,28628,28747,28732,28744,28083,27956,28397,28926,28650,28900,28488,27952,28043,27871,27829,28136,28719,29210,29742,30275,30745,30972,31143,31394,31615,32024,32184,32418,32498,32744,32835,33001,33301,33520,33989,34112,34491,34600,34971,35253,35450,35616,35594,35903,35930,35812,35382,35107,35267,35311,35344,35656,35929,36145,36381,36342,36447,36500,36870,37131,37528,37628,37939,37967,37991,38194,38347,38503,39064,39297,39586,39782,40267,40645,40833,41131,41417,41828,42386,42674,42916,43325,43942,43957,44676,44612,44731,44500,44632,44380,44375,44695,44840,44941,44853,44987,45312,45963,46374,46560,46814,47108,47387,47804,47963,48231,48376,48857,48898,48815,49070,48994,49261,49465,49520,49080,49215,48852,47689,46931,46786,46826,47165,47257,47625,47858,48096,47861,48157,48227,48710,49076,49139,49383,49307,49368,49587,49996
"21","11","  Gross national product","A791RX0",23401,23416,23489,23318,23225,23198,23321,22990,23555,23629,23722,23726,24095,24588,24763,25104,25689,25934,25766,25943,25722,25717,25380,25179,24791,24922,25272,25582,26092,26240,26307,26439,26717,27164,27560,27454,27522,28462,28676,29010,29001,28996,29179,29160,29178,28484,28335,28711,29259,28964,29231,28855,28300,28428,28201,28148,28452,29053,29549,30093,30602,31073,31297,31435,31629,31860,32231,32411,32621,32651,32912,32957,33135,33459,33673,34154,34312,34675,34764,35149,35426,35616,35797,35812,36109,36145,35996,35697,35353,35447,35469,35546,35855,36123,36323,36564,36564,36633,36714,37001,37298,37671,37761,38066,38139,38175,38307,38516,38704,39224,39441,39755,39911,40431,40773,40928,41268,41539,41890,42460,42787,43052,43447,44108,44105,44837,44752,44976,44686,44854,44505,44763,44920,44987,45145,45124,45204,45583,46233,46746,47000,47153,47485,47663,48204,48317,48620,48655,49141,49162,49030,49320,49245,49585,49982,50189,49694,49833,49520,48093,47334,47176,47367,47747,47856,48230,48443,48725,48585,48876,49009,49488,49773,49867,50073,50021,50020,50264,50716
"22","12","  Disposable personal income","A229RX0",15830,15968,16260,16339,16459,16601,16804,16703,16986,17184,17222,17369,17407,17543,17835,18493,18585,18691,18726,18885,18536,18324,18295,18225,18159,18956,18626,18719,18898,18956,19047,19109,19060,19250,19491,19810,19904,20050,20135,20235,20398,20169,20204,20230,20242,19892,20075,20413,20317,20266,20625,20611,20592,20665,20723,20765,20901,21006,21271,21678,22078,22400,22653,22784,22687,23075,22938,23144,23386,23647,23756,23741,23891,23609,23978,24239,24544,24744,24918,25096,25355,25223,25325,25459,25615,25689,25608,25315,25291,25385,25387,25516,25988,26172,26189,26189,26258,26224,26150,26239,26352,26553,26625,26912,27096,27081,27235,27309,27502,27686,27816,27872,28077,28236,28478,28796,29335,29663,29872,30024,30216,30208,30314,30668,31193,31439,31721,31744,31941,31839,32506,32021,32729,32822,32696,32773,32800,33200,33661,33716,33896,34156,34250,34592,34186,34383,34473,34669,35383,35357,35367,35737,35892,35883,35883,35823,36004,36679,35754,35893,35699,35894,35448,35356,35316,35715,35813,35977,36361,36263,36336,36215,36561,36661,36538,37260,36438,36743,36943
"23","13","  Personal consumption expenditures","A794RX0",13915,13972,14001,14071,14123,14144,14220,14133,14359,14449,14520,14716,14874,15122,15316,15634,15885,15843,15860,15775,15606,15627,15651,15382,15479,15700,15878,16005,16289,16404,16536,16707,16859,16912,17025,17232,17292,17616,17638,17728,17772,17715,17836,17828,17751,17303,17437,17621,17677,17634,17657,17479,17557,17583,17674,17952,18090,18410,18687,18938,19061,19294,19395,19604,19900,20045,20377,20378,20511,20696,21019,21103,21065,21312,21506,21498,21837,21951,22081,22279,22337,22391,22551,22589,22732,22732,22743,22492,22345,22461,22490,22407,22761,22841,23003,23197,23216,23354,23531,23664,23871,23986,24094,24279,24278,24426,24571,24668,24835,25033,25102,25219,25418,25460,25810,26035,26236,26627,26893,27206,27421,27770,28013,28318,28678,28873,29081,29261,29298,29309,29331,29687,29718,29809,29944,29996,30083,30353,30718,30872,31127,31250,31469,31714,31901,32166,32324,32364,32655,32755,32868,33103,33223,33259,33305,33268,33128,33117,32777,32316,32144,31941,32066,31996,32099,32299,32457,32731,32846,32911,33017,33150,33334,33434,33510,33585,33719,33813,33914
