"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"11","3","  Goods","DGDSRC1",298.8,302.7,306.6,310.6,314.1,317.6,321.7,321.8,333.9,339.8,343.9,350.9,357.7,368.4,377.7,391.5,407.3,412.7,420.7,425.9,435.5,448.6,464,458.1,468,481.5,502.8,513.1,530.7,539,550.5,565.1,580.4,592.9,603.9,624.3,629.2,661,672.4,691.7,707.9,722.2,753.3,768.4,792,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2044.8,2089.5,2120.1,2180.5,2204.8,2272.7,2310.9,2358.6,2412.7,2436.8,2468.8,2493.1,2498.9,2509.7,2514.9,2577.5,2559.5,2587.8,2620.2,2626.8,2656.5,2676.3,2765.1,2788.3,2841.5,2873.2,2910.2,2976.1,3006.4,3057.4,3125.4,3131.9,3191.9,3222.3,3267.5,3261.4,3302.1,3351.1,3374.5,3418.6,3406.3,3458.8,3450.3,3187.5,3137,3148.4,3244.9,3263.5,3304.9,3325.6,3362.4,3458.4,3532.2,3588.2,3622.3,3668.2,3729.3,3738.4,3784.9,3826.1,3851.8,3848.5,3912.8
"12","4","    Durable goods","DDURRC1",90,90.4,90.6,90.8,89.6,91,92,87.3,98.1,101,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.3,626.9,642.5,652.2,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.2,737.7,769.2,785,825.2,819.9,854.8,871.2,876.3,920.9,901.9,911.7,915.8,926.8,919.5,923.9,995.9,974.9,979.7,1003.5,983.3,974,1007.8,1042.3,1046,1062.3,1071.7,1084.2,1101.1,1110.5,1140.6,1145.4,1112.4,1153.3,1147,1158,1166.1,1173.4,1184.9,1190.2,1190.1,1152.3,1139.8,1101.9,1015.1,1012,1004.8,1045.8,1030.7,1040.2,1064.7,1075.1,1102.8,1115.1,1116.6,1129,1158.9,1184.3,1189.3,1206.5,1230.7,1244.8,1257.5,1274
"13","5","    Nondurable goods","DNDGRC1",208.8,212.2,216,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318,327.7,330.9,336.2,344.8,356,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.1,1320.3,1335.1,1355.3,1384.8,1417.9,1439.7,1482.3,1491.8,1534.8,1557.2,1577.3,1572.1,1590.2,1591,1581.6,1584.6,1608.2,1616.6,1643.5,1682.5,1668.5,1722.9,1742.3,1779.2,1801.6,1825.9,1875,1895.9,1916.8,1980,2019.5,2038.6,2075.3,2109.5,2095.3,2128.8,2166.1,2184.3,2228.6,2253.9,2318.9,2348.4,2172.4,2124.9,2143.6,2199.1,2232.8,2264.7,2260.9,2287.3,2355.6,2417.1,2471.5,2493.3,2509.3,2545,2549.2,2578.4,2595.4,2607,2591,2638.8
"14","6","  Services","DSERRC1",289,296.5,302.9,310.9,318.5,325,332.8,339.4,346.3,354.4,362.8,372,382.4,390.2,399.4,410.4,419.2,429.4,439.8,449.7,458.3,473.7,487.1,502.8,519.1,534.3,546.8,565.5,581.6,593,610.9,630,650.2,665.6,685.8,703.6,728.5,754.3,773.9,793.7,813.1,839.4,862.7,891,914.5,931.1,965.8,1007.9,1030.6,1058.1,1080.2,1103.6,1128.1,1153.1,1187.4,1229.8,1264.7,1291.9,1333.5,1360.9,1384.9,1417.6,1453.1,1482.3,1533.5,1565.2,1607.8,1633.8,1663.9,1688.3,1713,1746,1782.4,1817.4,1852.3,1890.9,1940.2,1982.2,2037.2,2078.8,2117.1,2148.4,2183.6,2226.9,2264.9,2320.9,2366.7,2384.7,2404.4,2446.7,2480.9,2518.9,2583.8,2625.2,2672.3,2728.3,2761.5,2803.3,2856.9,2893,2935.2,2976.1,3014.2,3052.4,3095.2,3151.1,3194.2,3234,3282.8,3328.3,3372.4,3418.1,3470,3520.6,3583,3642.2,3701.2,3768.3,3832.7,3875.1,3929.9,3990.4,4060.4,4139.8,4240.1,4308.5,4385.8,4460.7,4526.4,4568.3,4592.4,4639.4,4693.7,4760.1,4817.3,4875.8,4936.6,5008.9,5079.5,5146.2,5235.3,5310.4,5399.2,5485.2,5567.1,5663.2,5756.6,5853.4,5936.2,6024.9,6102.1,6183.4,6286.4,6345.6,6415.7,6483.9,6560.9,6631.6,6662.9,6663.8,6626.3,6616.5,6642.5,6692.7,6737.4,6809.1,6871.9,6937.9,6995,7074.4,7156.3,7210.7,7289.7,7361.8,7408.7,7459.4,7527.4,7578.6,7624.8
"15","7","Gross private domestic investment","A006RC1",172.4,172.7,177.6,171.6,168.1,171.5,173.9,166.8,189.5,197.3,202.1,198.4,213,226.8,233.1,239.7,254.3,268.2,264.3,280.9,268.4,277.4,271,281.3,244.3,243.3,265.2,276.2,304.6,322.3,328.3,337.6,360.3,389.7,414.1,422.3,434.8,470.6,492.4,515.8,525.8,539.3,545.6,547.9,554.6,519.3,495.1,551.5,619.4,609.8,652.3,643.4,588.3,593.6,593,549.2,565.5,613.8,652.3,718.5,790.9,818.9,838.9,831.7,809.9,827,822.2,859.5,863.5,855.2,835.8,842.1,871.2,874.6,876.5,946.5,908.6,934.5,942,962.8,1005.4,1001,996.5,995.9,1010.8,1014.8,1000.7,947.6,924.6,926.6,947.5,978.8,956.8,1013.1,1024.2,1058,1083.9,1094.5,1095.9,1153,1202.1,1265.1,1251.6,1307.2,1327.3,1303.8,1303.2,1335.6,1355.2,1418.6,1474.4,1480,1522,1589.9,1625.3,1645.3,1712.3,1694.8,1739.8,1794.4,1850.6,1845.8,1890.9,1949.4,1945.9,2071.8,2055.8,2061.6,1967.5,1967,1937.3,1842.7,1910,1925.6,1927.9,1936.5,1960.2,1970.5,2048.3,2132.8,2155.2,2259.5,2311.3,2380.8,2475.2,2469.5,2527.2,2636.5,2699.7,2697,2684.4,2641.6,2634.2,2671.9,2658.2,2610.6,2527,2493.3,2435.9,2243.1,1972.1,1825.9,1786.4,1928,1989.5,2092.7,2164.6,2156.5,2120.4,2199.9,2222.2,2385.7,2453.6,2454,2493.3,2499.9,2555.1,2621,2738
"16","8","  Fixed investment","A007RC1",160.9,163.5,167.4,165.8,166.3,166.4,168.8,170.7,177.2,186.5,191.9,198.7,209.7,214.8,219.4,232.2,243.8,250,254.6,255.9,255.8,260,265.4,260.9,254.3,257.2,266.6,275.9,289.9,299.9,307.5,327.1,345.5,370.2,383.3,398.2,409.3,446.3,467.4,487.3,502,511.9,533.5,539.3,544.7,511.5,528.9,560.6,580.6,598.1,608.3,618.6,609.8,597.8,587.2,589.1,600.6,621.4,656.5,694.6,717.9,749.6,767.5,783.8,793.6,805.4,805.9,826.4,833.1,839.6,842.8,854.8,843.2,858.1,875.5,883.4,891.6,914.9,923.8,943.6,957.2,964.7,986.7,979.4,996.9,981.1,978.8,958.9,940.1,944.6,946.6,947.6,956.5,989.9,1003.7,1036.7,1048,1070.4,1089.3,1136.4,1156.7,1183.7,1198.4,1232,1266.1,1270.1,1291.9,1317.2,1348.3,1388,1423.4,1445.3,1472.2,1501.5,1557.4,1567.6,1607.2,1657.4,1687.4,1734.4,1767.2,1810.7,1850.4,1865.2,1929.8,1981.3,1998.5,2007.2,1998.2,1978.6,1967.5,1923.5,1910.2,1906.5,1902.6,1906.7,1929.2,1970.9,2040.1,2094.4,2106.3,2183.3,2249,2312.7,2375.7,2438.9,2509.3,2546.2,2625.2,2619.7,2607.3,2602.5,2614,2624.8,2609.6,2588.7,2547.2,2517.2,2454.7,2308.3,2117.8,2013.8,1992.3,1978.8,1977.5,2042.6,2043,2094.1,2098.9,2154.1,2235.7,2293.8,2350.7,2387.1,2411.7,2486.9,2491.7,2543.8,2593.2
"17","9","    Nonresidential","A008RC1",116,118.4,122.4,123.3,123.8,125,126.3,123.5,126.3,129.5,131.2,134.7,140.6,144,147,155,162.8,171.3,176.6,180.1,183.4,188.8,194.5,197.6,193.1,193.3,197.8,202.9,209.5,215,222.6,230.2,243.3,253.7,263.3,275.9,282.4,309.3,325.1,341.4,356.7,364.3,383,391.3,404.5,394.7,405.7,422.8,443,462.9,482.1,503.8,500.1,490.1,478.7,471.5,462.1,466.4,485.4,514.7,531.5,558.3,576.6,590.9,599.4,609.1,604.4,618.1,613.5,605,602,610.6,596.6,608.4,625.5,630.5,641.5,659.4,666.3,681.9,696.3,708.9,731.2,727.5,740.9,734.2,744.3,737.6,729.8,726.8,720.1,717.6,714.2,736.7,748.6,768.3,776.6,792.4,798.4,829.5,841.1,855.7,871.9,906.6,944.3,956.6,965.5,982.5,1003.6,1026.6,1059.1,1083.5,1106.8,1129.2,1178.4,1181.9,1212.4,1246.1,1259.8,1292.9,1319.9,1351.4,1383.8,1391.4,1445.5,1494.7,1515.5,1519.4,1501.5,1467.6,1445,1401.5,1371.9,1351.6,1343.7,1328.4,1327.8,1359.1,1388.5,1411.5,1400.3,1440.2,1485.6,1526.5,1560.5,1595.2,1633.8,1656.4,1729.4,1761,1793.6,1821.2,1864.7,1907.5,1937.9,1972.3,1981.6,1978.7,1947.3,1856.2,1712.3,1637.5,1600.3,1583.6,1594.4,1641.8,1677.4,1719.3,1721.8,1773.1,1848.9,1895.7,1932.3,1961.4,1968,2018.2,2001.4,2030.6,2060.5
"18","10","      Structures","B009RC1",35.8,36.7,38.9,39.4,39.5,40.3,40.6,40.8,41.5,42.3,43.1,43.8,45.8,46.6,47.3,49,51.3,54.1,56.8,57.7,59,61.3,61.4,63.2,61.7,60.4,61.3,62,64.1,65.1,66.7,67.8,69.7,73.6,76.4,78.5,80,90.3,98.6,105.5,107.9,112.8,121.8,128.3,132.6,132.3,135.8,144.1,150,161,169.7,188.5,186.6,182.5,172.9,168.3,158.6,149.5,152.6,156.6,165.7,175.8,182.5,185.5,194.9,195.2,192.2,195.8,191.7,174.5,169,170.9,166.9,169.6,177.6,182.7,178.6,184.2,183.5,184.9,189.5,189.6,197.7,198.1,204.1,204.6,205.5,197.4,194.9,189.9,177.5,172.2,169.9,170.6,173,176.7,175.6,174.1,176,182.9,178.5,187.1,188.1,193.4,201.2,207.4,210.3,210.2,214.3,219.8,225.3,238.9,242.7,242.6,255.7,260.1,261.4,278.2,279.8,281.2,282.5,281.4,283.2,288.6,298.2,313.5,327.9,333,328.3,335.1,343.2,312.4,298.6,285.3,274.2,273.5,274.8,282.2,283.1,287.2,287,295.2,307.9,317.1,330.8,337.9,348.3,365.6,389,410.8,425.9,436.7,458.1,485.3,512.6,531.7,540.2,553.8,559.3,556.2,508,455.2,412.7,376.9,352.4,364.5,361.1,370.1,340.8,370.1,397.5,413.9,422,431.3,438.3,457.8,429.1,452.6,470.7
"19","11","      Equipment","Y033RC1",63.7,64.7,66.1,66.2,66.4,66.7,67.7,64.8,66.6,68.7,69.3,71.6,74.9,76.9,78.9,84.8,89.8,94.9,96.9,98.7,100,102.4,107.1,107.8,104.5,105.6,108.5,111.8,115,118.3,123.1,128.5,139,144.6,150.6,160.4,164.6,179.7,185.5,192.8,203.4,204.2,212.1,212.5,219.6,209.1,215.2,221.6,232,238.3,246.6,246.5,242.8,235.4,232.3,228.9,227.1,237.6,249.8,271.4,275.6,289,297.3,305.6,302.6,309.5,306.1,313.4,310.8,317.5,318.6,323.9,312.6,320.2,327.1,323.8,335.6,344.8,349.1,357.7,363.4,371.6,381,372.6,376.4,365.7,373.6,371.8,361.3,358.2,362.6,361.4,360.1,379.5,387.6,399.6,406.6,421.5,425,447.4,461.8,465.4,476.5,501.9,525.3,525.4,524.8,537,546,556.9,577,581.4,587.5,602.3,630.5,623.1,645.8,655.9,658.4,680,695.1,712.1,728.1,719.1,749.4,774,774,767,751.7,716,692.4,686,671.4,660.7,658.9,647.5,642.2,660.7,679.6,693.4,680.6,709.6,732,754.6,765,782.6,805.2,810,851.3,852.4,857.3,863.6,876.9,888.2,887.6,890.4,878.9,856.9,822.4,742.4,659,634.4,639.1,644.8,682.7,719,751.2,774.4,798,809.9,849.8,873,895.4,907.9,902.2,925,928,934.6,935.8
"20","12","      Intellectual property products","Y001RC1",16.5,17,17.4,17.7,17.9,17.9,18,17.9,18.1,18.5,18.8,19.3,19.9,20.4,20.8,21.2,21.7,22.3,23,23.7,24.4,25.1,26,26.6,26.9,27.3,28,29,30.4,31.6,32.8,33.9,34.5,35.5,36.2,37,37.8,39.4,41.1,43.2,45.4,47.2,49.1,50.6,52.3,53.3,54.7,57.1,61.1,63.5,65.8,68.7,70.6,72.2,73.5,74.4,76.4,79.4,82.9,86.7,90.1,93.5,96.8,99.8,101.9,104.3,106.1,108.9,111.1,113,114.3,115.8,117,118.6,120.8,124,127.3,130.4,133.7,139.3,143.5,147.7,152.4,156.9,160.3,163.9,165.1,168.4,173.6,178.7,180.1,184.1,184.2,186.5,187.9,192.1,194.4,196.7,197.5,199.1,200.8,203.2,207.4,211.4,217.8,223.8,230.4,235.3,243.3,250,256.8,263.2,276.7,284.2,292.3,298.6,305.3,312.1,321.6,331.7,342.3,357.9,372.4,383.6,397.9,407.3,413.6,419.4,421.5,416.4,409.4,403.1,401.9,405.6,410.6,407.3,410.8,416.1,425.9,430.9,432.6,435.4,445.7,454.8,464.8,474.7,480.3,480.8,489.1,497.7,510.5,521,529.7,534.1,537.6,550.2,562.5,568,565.5,557.6,545.3,548,548.5,561.9,559.2,558.3,565.1,574.8,582.9,593.1,601.6,608.8,614.9,622.2,627.5,635.4,644.3,643.5,654.1
"21","13","    Residential","A011RC1",44.9,45.1,45,42.5,42.5,41.4,42.6,47.2,51,57,60.7,64,69.2,70.8,72.4,77.3,80.9,78.7,77.9,75.7,72.4,71.2,70.9,63.3,61.2,64,68.8,73,80.4,84.8,84.9,96.9,102.2,116.5,120,122.2,126.9,137,142.3,145.8,145.3,147.6,150.5,148,140.2,116.9,123.2,137.8,137.6,135.3,126.2,114.8,109.7,107.7,108.4,117.5,138.5,155,171.1,179.9,186.4,191.3,190.9,192.9,194.2,196.3,201.4,208.4,219.5,234.6,240.9,244.3,246.7,249.7,250,252.8,250.1,255.5,257.5,261.7,260.9,255.8,255.5,251.9,256,246.9,234.5,221.3,210.3,217.8,226.5,230.1,242.4,253.2,255.1,268.3,271.4,278,290.9,306.9,315.6,327.9,326.4,325.4,321.8,313.5,326.4,334.6,344.7,361.4,364.3,361.8,365.4,372.3,379,385.8,394.8,411.3,427.6,441.5,447.4,459.3,466.6,473.8,484.2,486.6,483.1,487.8,496.7,511,522.4,522.1,538.3,554.8,558.9,578.3,601.4,611.9,651.6,682.9,706,743.1,763.4,786.2,815.1,843.7,875.5,889.9,895.9,858.7,813.7,781.3,749.3,717.3,671.7,616.4,565.5,538.4,507.4,452.1,405.5,376.3,392,395.2,383.1,400.8,365.6,374.7,377.1,381,386.8,398.1,418.4,425.7,443.7,468.8,490.3,513.2,532.6
"22","14","  Change in private inventories","A014RC1",11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.4,15.7,-7,-12.8,28,16.5,1,63.1,17,19.6,18.2,19.1,48.1,36.3,9.8,16.6,14,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.3,35.9,24.1,6.6,16.6,45.4,81.4,53.2,75.1,61.2,33.8,11.3,18.4,6.9,30.5,51.1,34.7,49.8,88.4,67.9,77.7,105.1,37.3,52.4,60,83.4,35.1,40.5,84.2,16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,21.5,45.8,-13.5,91.9,102.9,66.8,81.6,13,63.4,77.2,144.8
"23","15","Net exports of goods and services","A019RC1",0.2,1.2,1,3.3,3.4,5.4,3.8,3.2,4.4,-0.2,-0.1,-1.7,-3.5,-4.3,-2.6,-3.1,-1.4,2.5,6.4,9,6.4,-2.7,-7,0,16.5,21.6,12,13.8,4.7,-0.5,-4.1,-6.6,-21.1,-21.1,-20.6,-29.6,-38.7,-22.6,-23.8,-16.4,-18.2,-22.2,-23,-26.8,-35.8,-15.2,5.5,-6.7,-14.3,-13.5,-7.6,-14.8,-16.3,-4.4,-29.7,-29.6,-24.6,-45.4,-65.2,-71.4,-95,-104.3,-103.9,-107.8,-91.3,-114.5,-116.9,-133.4,-126,-128.9,-139,-133.6,-141.2,-147,-145.5,-145.4,-124,-106.6,-99.3,-107.7,-101,-88.2,-75.1,-82.8,-88.6,-68.9,-75,-79.1,-47.2,-23.2,-21.1,-23.1,-20.6,-32.8,-38.5,-47.2,-55.7,-63.2,-68.4,-73.5,-80.6,-90.6,-96.9,-101.9,-105.4,-109.5,-74.5,-69.8,-88.8,-93.7,-114.2,-88.9,-108.9,-85.2,-96.9,-117,-135.3,-162.4,-174.7,-178.7,-210.9,-251.1,-283.8,-299.9,-357.7,-362.2,-391.6,-408.7,-392.2,-362.1,-365.8,-356,-374.3,-416.1,-433.2,-476.5,-500.5,-501.3,-495.7,-506.1,-543.6,-603.2,-633,-679.4,-674.7,-684.1,-724.3,-779.7,-770.1,-771.9,-798.9,-708.6,-723.4,-726.5,-700.9,-688.4,-745,-749.9,-760.6,-597.4,-389.6,-335.2,-402,-442.1,-495.1,-529.7,-543.8,-505.3,-554.7,-572.2,-553.7,-594.4,-590.8,-557.9,-524.4,-515.8,-523.1,-509,-500.2
"24","16","  Exports","B020RC1",44,53.9,53.3,56.5,56.9,60.6,60.3,61.1,63.1,63.1,65.4,60.3,68.6,67.2,71.5,76.1,84,91.9,97.6,107.6,116.7,126.7,126.6,136.6,141.4,136.8,134.1,142.5,143.6,146.6,151.8,156.1,155.4,161.9,162.3,157.8,164.6,186.2,191.3,205.4,211.7,220.9,234.3,253.7,268.5,277.4,284.7,292.5,305.5,308.4,302.3,304.7,293.2,294.7,279.6,265.3,270.7,272.5,278.2,286.6,293,302.2,305.7,308.6,306,304.1,297.3,305.4,313.4,315.1,320.5,335,336.4,355.4,371.8,392.1,418.7,439.5,453.6,466.6,485.2,507.2,509.3,515.4,538.2,545.9,555.1,568.2,573.2,590.7,600.6,615.2,625.3,626.1,639.3,641.4,643.6,653.1,650.9,671.6,681.2,707,736.9,758.6,781.5,798.8,831.4,839.4,847.9,859,859.5,903.8,918.3,954.4,974,968.3,963,947.3,935.2,966.3,959.2,970.9,997.2,1029.3,1053,1090.2,1120.8,1113.3,1097.9,1057.4,998.5,961.4,973.7,1007,1022.8,1015.3,1015.4,1013.8,1044.1,1100.2,1141.1,1173.6,1188.4,1229.4,1266.4,1302.9,1313.9,1358.2,1420.4,1466.9,1482.9,1543.9,1578.8,1624.4,1693.1,1766.6,1816.1,1918.9,1930.1,1707.5,1519.3,1521.5,1591.1,1703.2,1746.4,1807,1860.3,1960.4,2029.5,2095.5,2143.4,2136.2,2173.4,2197.4,2199.2,2213.7,2214.2,2238.9,2265.8
"25","17","    Goods","A253RC1",31.6,39.9,39.5,42,43,45,44.8,45.4,45.9,45.7,48.4,42.2,49.7,48.9,51.8,56.8,64.4,70.9,75.6,84.8,93.1,100.6,101.2,109,112,105.9,107.1,113.4,113.5,116.3,119,122.3,121.3,126.2,126.1,121,125,146.1,149.3,161.2,167,175.7,188,205.4,217.8,224.2,226.9,234.2,242.2,242,234.2,238,224.9,226,211.6,197.6,200.7,202.8,207.4,218.3,218.3,224.6,228.4,231.2,225.7,223.5,217.4,222.4,220.5,223,224.5,235.9,234.3,248.7,264.2,283,304.6,321.4,331.6,345.5,354.8,374.8,372.4,375.5,390.7,394.6,398.2,403.1,414.5,421.3,425.9,432.6,440.9,441.6,452.7,456.6,452.2,458.5,454.4,474.7,477.6,496.4,524,542.2,562.2,575.6,595.6,599.7,608.2,611.9,615.4,637.8,658.3,687,704.7,700.8,694.5,672.8,666.8,689.4,687.8,697,716.8,744.2,762,791.2,822.7,812.6,799.3,763.9,717.7,694,690,717.7,729.2,713.4,722.3,724.1,739,777.7,801.9,827.6,838.9,862.9,888.9,923.7,927.8,960.7,1008.6,1039.1,1055.5,1089.2,1110.4,1141.1,1181.8,1228,1279.1,1363.8,1374.7,1172.9,1012.1,1010.6,1073.6,1162.5,1205.4,1255.6,1286.3,1366.4,1423.1,1469.3,1497,1505,1520.7,1539.5,1545.6,1538.3,1531.6,1548.8,1572.1
"26","18","    Services","A646RC1",12.3,14,13.9,14.5,13.9,15.6,15.5,15.7,17.2,17.4,16.9,18.1,18.9,18.3,19.6,19.3,19.6,21,22,22.8,23.7,26.1,25.4,27.6,29.3,30.9,27,29.1,30.1,30.4,32.8,33.8,34,35.7,36.2,36.8,39.6,40.1,42,44.2,44.7,45.2,46.2,48.3,50.7,53.2,57.8,58.3,63.3,66.4,68.2,66.7,68.3,68.8,68,67.7,70,69.7,70.8,68.3,74.7,77.6,77.4,77.4,80.3,80.6,79.9,83,92.9,92.1,96,99.1,102.1,106.7,107.7,109,114.1,118,121.9,121.1,130.4,132.4,137,139.9,147.5,151.3,157,165.1,158.7,169.4,174.6,182.6,184.3,184.6,186.6,184.8,191.4,194.6,196.5,196.9,203.6,210.5,212.8,216.4,219.3,223.2,235.8,239.7,239.7,247.1,244.1,266,260.1,267.4,269.4,267.5,268.5,274.4,268.5,276.9,271.4,273.9,280.4,285.2,290.9,299,298.2,300.7,298.7,293.5,280.8,267.4,283.7,289.3,293.6,301.9,293,289.7,305.1,322.5,339.2,346,349.5,366.5,377.5,379.2,386.1,397.5,411.8,427.7,427.4,454.7,468.5,483.3,511.3,538.6,537,555.1,555.3,534.6,507.2,511,517.5,540.8,540.9,551.4,574,594,606.3,626.2,646.4,631.2,652.7,657.9,653.6,675.5,682.6,690.2,693.7
"27","19","  Imports","B021RC1",43.8,52.7,52.4,53.1,53.5,55.2,56.4,57.9,58.7,63.3,65.5,61.9,72.2,71.4,74.1,79.2,85.4,89.5,91.1,98.7,110.3,129.4,133.6,136.6,124.9,115.2,122.1,128.7,138.9,147.1,155.8,162.7,176.4,183,182.9,187.4,203.3,208.8,215.1,221.8,229.8,243.1,257.3,280.5,304.3,292.6,279.2,299.2,319.7,322,309.9,319.4,309.5,299.1,309.3,294.9,295.3,318,343.4,358,388,406.5,409.6,416.4,397.3,418.6,414.2,438.9,439.4,444,459.4,468.6,477.7,502.3,517.3,537.5,542.7,546.1,552.8,574.3,586.2,595.4,584.4,598.2,626.8,614.8,630.1,647.3,620.3,613.9,621.7,638.3,645.8,659,677.9,688.5,699.3,716.3,719.3,745,761.8,797.6,833.8,860.6,886.9,908.3,905.8,909.2,936.7,952.8,973.8,992.6,1027.2,1039.7,1070.9,1085.3,1098.2,1109.6,1109.9,1145,1170.2,1221.9,1281,1329.2,1410.7,1452.4,1512.5,1522,1490.1,1419.5,1364.3,1317.3,1348,1423.1,1456.1,1491.8,1515.9,1515.1,1539.9,1606.4,1684.7,1776.8,1821.4,1908.8,1941.1,1987.1,2038.2,2138,2190.6,2238.8,2281.8,2252.6,2302.2,2351,2394,2455,2561.2,2668.8,2690.7,2304.9,1908.9,1856.7,1993.1,2145.3,2241.4,2336.7,2404,2465.7,2584.1,2667.7,2697.1,2730.7,2764.2,2755.3,2723.5,2729.5,2737.3,2747.9,2766
