"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2013 11:33:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"          Monetary interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Monetary interest paid","A2061C1",123.4,141.8,151,168.6,213.5,267,276.1,298.2,338.1,412.8,537.9,687.8,915.4,1028.1,1015.3,1181.9,1263.8,1313.1,1374.8,1546.9,1824.8,1858.1,1755.5,1578.6,1514.6,1628.2,1891.6,1976.9,2147.5,2328.4,2430.6,2856.5,2732.1,2284.4,2142,2324.6,3002.9,3852.8,4493.4,3848.3,2860,2609.4,2601.8,2498.6
"10","2","  Domestic business \1\","A2062C1",67.3,80.1,85,95.6,127.5,167.4,167.7,174.7,196.8,241.7,325.3,426.8,585.7,646.9,604.5,697.4,738.2,754.2,792.6,913.3,1116.9,1103.5,991.7,834.2,778.2,859.8,1027,1069.9,1186.9,1327,1413.9,1741.4,1651.2,1270.1,1154.6,1296.6,1787,2421.8,2866.8,2343.4,1582,1375.9,1346.2,1267
"11","3","    Corporate business","A2063C1",54.4,65.3,68.2,76.2,104.2,139.2,136.4,140.6,158.7,197.5,270,358.5,501.9,552.9,506,582.7,611.9,617.8,659.9,766.1,949,936.9,831.5,689.2,638.6,712.3,871.3,907.3,1008.2,1126.3,1208.4,1497.9,1398.1,1051.4,937.2,1063.5,1470,2024.8,2378.1,1904.2,1244.3,1054.2,1033.5,952.4
"12","4","      Financial","A1100C1",29.4,34.6,36.5,42.1,60.9,83.6,80.4,83.6,94.5,118.7,167,226,330.9,369,331.3,380,392.6,383.1,416.7,486.8,611.8,590.6,497.3,397.1,366,422.7,540.9,557.5,623.6,726.1,774.8,988.1,901.2,612.2,522.2,646.9,989.5,1463.3,1728.9,1310.1,748.4,592,570.4,476.4
"13","5","        On deposits \2\","B1305C1",20.1,21.8,25.5,29.7,38.3,49.2,51.1,55.4,62.7,74.5,95.4,125.2,173.2,187.3,175.1,203.6,200.3,186.7,176.3,195.5,228.6,222.7,192.8,129.4,99,96.7,126.4,131.6,139.7,146.2,142,173.1,161,108,82.4,77.5,123.9,194.3,239.4,165.7,110.7,71.8,63.8,51
"14","6","        On other liabilities","B1306C1",9.2,12.8,11,12.4,22.6,34.4,29.3,28.2,31.8,44.2,71.6,100.8,157.6,181.7,156.1,176.3,192.3,196.4,240.4,291.3,383.2,368,304.6,267.6,267,326,414.5,426,483.9,579.9,632.7,815.1,740.2,504.2,439.8,569.4,865.6,1269.1,1489.4,1144.4,637.8,520.1,506.6,425.4
"15","7","      Nonfinancial","B1101C1",25,30.7,31.7,34.2,43.3,55.5,56,57,64.3,78.8,103,132.6,171.1,183.9,174.7,202.7,219.3,234.7,243.2,279.3,337.2,346.3,334.2,292.1,272.6,289.6,330.4,349.8,384.7,400.2,433.7,509.8,497,439.2,415,416.6,480.5,561.5,649.3,594.1,495.9,462.2,463.1,476
"16","8","    Sole proprietorships and partnerships","A2064C1",7.4,8.7,10,11.8,14.7,18.4,20.2,21.9,24.4,29,38.2,48.8,62,70.7,74,87.2,95.4,101.5,95.4,106.9,124.1,121.3,114.3,103.3,102.6,112.5,121.2,129.2,145.4,167.4,171.2,206.9,216.2,182.1,181.6,196.5,277.2,353.7,441,388.1,287.7,274.4,267,270
"17","9","      Farm","B1103C1",2.5,2.8,2.9,3.2,3.7,4.6,5.1,5.9,6.8,8.2,10.4,13,15.8,17.3,17,16.7,15.4,13.4,12.1,11.1,10.5,9.9,8.9,8.4,8,8.7,9,9.4,9.5,9.5,9.5,9.9,8.9,8.6,7.3,6.9,8.5,9.5,9.8,10.4,10.1,9.8,9.3,10
"18","10","      Nonfarm","B1102C1",4.9,5.9,7.1,8.6,11,13.9,15.1,16,17.6,20.8,27.7,35.9,46.2,53.4,57,70.5,79.9,88.2,83.2,95.8,113.7,111.4,105.4,94.9,94.6,103.8,112.2,119.8,135.9,157.9,161.7,197,207.2,173.5,174.3,189.6,268.7,344.2,431.3,377.7,277.7,264.6,257.7,260
"19","11","    Other private business","A2065C1",5.5,6.1,6.8,7.5,8.6,9.8,11.1,12.2,13.6,15.1,17.1,19.5,21.8,23.3,24.5,27.4,30.9,34.9,37.4,40.3,43.8,45.3,45.9,41.8,37,35,34.5,33.5,33.3,33.3,34.3,36.6,36.9,36.6,35.8,36.6,39.8,43.3,47.6,51,49.9,47.2,45.6,44.6
"20","12","      Rental income of persons","B1130C1",5.4,6,6.6,7.4,8.4,9.5,10.5,11.5,12.6,13.9,15.5,17.2,18.8,20.3,21.5,24.7,28.7,32.7,35.4,38.2,41.3,42.9,43.7,39.8,35.1,33.1,33.1,32.2,32.1,32,33.1,35.3,35.7,35.4,34.6,35.5,38.7,42.2,46.5,49.9,48.8,46.1,44.5,43.5
"21","13","      Proprietors' income","B2631C1",0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.8,1,1.2,1.7,2.3,3,3,3,2.7,2.3,2.1,2,2.1,2.5,2.4,2.2,2,1.9,1.9,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
"22","14","  Households and nonprofit institutions","W291RC1",31.7,34.3,37.5,42.3,48.8,54.5,58.5,65.7,76.8,92.9,112.2,134.4,155.8,177,193.2,221.2,248.6,271.6,282.9,301,330.6,350.8,358.6,357.3,354.7,364.8,407.6,435.3,465.8,490.4,516.8,576.1,602.7,595.3,585.6,602.3,679.3,768,848,833.1,769.3,708.2,668.2,642.9
"23","15","    Households","W292RC1",31.1,33.5,36.7,41.4,47.7,53.2,57.1,64.1,75.2,90.8,109.5,131,151.5,171.8,187.1,213.1,240.7,262.5,273.4,290.3,318.9,339,346.3,344.5,339.9,351,392.8,419.6,449.4,473.4,499.5,558.5,585.1,578.1,568.9,586.3,663.8,752.6,832.8,818.2,755.1,694.8,655.5,630.9
