"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2013 11:08:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross value added of corporate business \1\","A451RC1",590.8,612.3,661.1,733.2,820.5,889.9,966,1087.8,1233,1407.5,1565,1702.7,1935.2,2018.8,2172.9,2435.3,2605.8,2712.5,2902.9,3151.3,3329,3477.3,3564.1,3750.6,3926.9,4219.3,4483.9,4780.2,5153.6,5485.8,5815.5,6227.3,6226,6318.8,6544.3,6967.7,7484,8026.3,8189.1,8094.2,7825.9,8237.3,8636.2,9089.7
"9","2","Consumption of fixed capital","A438RC1",55.7,61.8,67.6,73.4,82,96,113.5,125,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.4,427.2,455.3,480.9,496.2,519.8,550.4,593.6,629.8,674,719.3,774.6,844.5,894.9,920.5,941.5,982.7,1051.6,1128.6,1197.5,1259.2,1260.6,1262.5,1306,1365.7
"10","3","Net value added","A439RC1",535.1,550.5,593.5,659.7,738.5,793.9,852.4,962.7,1092.5,1248.3,1381.7,1490.7,1690.3,1746.2,1887.1,2132.1,2279,2362.6,2531.6,2751.9,2901.8,3022,3083.2,3254.3,3407.1,3668.9,3890.3,4150.4,4479.6,4766.5,5040.9,5382.8,5331.1,5398.3,5602.8,5985,6432.4,6897.7,6991.6,6835,6565.3,6974.9,7330.2,7724
"11","4","  Compensation of employees","A442RC1",377.5,398,421.7,468.2,526.1,577.3,607.8,682.8,771.7,884.7,1004.4,1102,1220.6,1275.1,1353,1501.1,1615.9,1723.4,1847.6,2002.3,2119.3,2234.9,2277.8,2420.5,2515.7,2649,2787.9,2953.7,3176.6,3447.5,3684.3,4008.9,4015.6,3973.9,4042,4241.5,4444.5,4683.2,4893,4939.7,4610,4714.7,4952.7,5202.9
"12","5","    Wages and salaries","A443RC1",338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.2,855.6,935.6,1033.4,1073.1,1132.6,1256.8,1351.4,1432.3,1536.6,1666.1,1756.5,1849.3,1875.3,1977.8,2049.1,2160.3,2296.1,2448.2,2650.8,2883.2,3092.4,3363.8,3354.2,3296.7,3337,3503.6,3665.6,3886.1,4068.8,4106.4,3816.7,3903.3,4107.4,4331.4
"13","6","    Supplements to wages and salaries","A444RC1",39.4,42,45.5,53.4,61.5,68.4,79.4,91.6,109,128.5,148.8,166.4,187.1,202,220.3,244.3,264.5,291.1,311.1,336.3,362.8,385.7,402.5,442.7,466.7,488.7,491.8,505.5,525.7,564.3,591.9,645.1,661.4,677.2,705,737.9,779,797.1,824.2,833.3,793.2,811.4,845.3,871.5
"14","7","  Taxes on production and imports less subsidies","W321RC1",52.9,57,62.8,67.3,74.1,78.6,84.5,91.4,100,108.7,115,128.6,154.4,161.3,177.4,195.6,209,219.6,233.4,252,267.5,284.5,307.9,325.9,343.8,376.1,384.8,398.4,416.9,430.8,454,479.8,476.3,506.3,532.6,571.5,616.5,655.8,681.2,685,659.3,685.9,718.4,740.5
"15","8","  Net operating surplus","W322RC1",104.7,95.5,109,124.3,138.4,138,160.1,188.5,220.8,254.9,262.2,260.1,315.3,309.8,356.6,435.4,454,419.6,450.6,497.6,514.9,502.6,497.5,507.9,547.6,643.8,717.6,798.3,886.1,888.3,902.6,894.1,839.2,918.1,1028.1,1172,1371.4,1558.7,1417.4,1210.3,1296,1574.3,1659.2,1780.6
"16","9","    Net interest and miscellaneous payments","A453RC1",8.6,12.6,12.8,12.7,15.1,23.4,27.7,23.2,28.1,31.3,37,59.9,83.3,95.9,92.4,107.2,106.7,105.4,107.7,113.3,134.2,127.6,89,71.8,70.8,67.6,70.7,70.4,93.5,134.1,140.5,186.6,170.4,107.7,87.3,39.2,72.9,120.1,172.9,234.5,157.5,129.1,109.9,110.7
"17","10","    Business current transfer payments (net)","W323RC1",4.3,3.7,3.4,3.9,4.8,6.3,8.2,7.6,6,7.9,10.8,12,14.3,16.6,19.5,26.9,30.9,29.3,24.9,26.4,33.6,34,33.7,34,31.8,32.2,36.9,43.7,34.4,52.8,53.9,72.4,85.1,61.9,51,54.5,59.8,48.2,68.9,97.4,98.7,99.8,108.1,79.4
"18","11","    Corporate profits with IVA and CCAdj","A445RC1",91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1345.4,1441.2,1590.5
"19","12","      Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,374.2,434.8
"20","13","      Profits after tax with IVA and CCAdj","W273RC1",51.8,44.4,54.6,65.3,68.5,55.5,72.6,92.5,112.2,130.8,124.4,100.9,133.5,130.8,164.1,203.8,217,175.2,187.5,216.3,201,195.6,236.3,253.5,274,350.8,392.2,452.6,512.8,453,449.4,369.9,380.3,556.1,646,772.2,826.3,917,730.1,569.3,770.3,974.8,1067,1155.7
"21","14","        Net dividends","A449RC1",20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.2,161.5,184.7,197.8,226.2,263.1,292.2,314.8,306.4,355.4,329.9,352.3,401.9,501.8,319.7,648.1,678.5,628.1,456.9,442.5,545.1,613.6
"22","15","        Undistributed profits with IVA and CCAdj","W274RC1",31.4,24,34.3,43.4,45.4,32,46.2,62.4,78.5,91.2,82.9,53.6,75.2,69.4,92.7,125.3,131.3,86.9,91.9,118.2,74.7,51.6,80.1,92,89.3,153,166.1,189.5,220.6,138.2,143.1,14.5,50.4,203.8,244.1,270.4,506.6,268.9,51.6,-58.8,313.5,532.3,521.8,542.2
