"","Table 1#9#6# Real Net Value Added by Sector, Chained Dollars    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 1, 2013  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2013 11:08:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Net domestic product","A362RX1",10429,10819,10848,11008.9,11310.5,11745.9,12129.1,12424.6,12604.9,12496.1,12049.6,12396.6,12639.8,13015.8
"9","2","Business \1\","A363RX1",7779,8093.9,8081.6,8204.2,8469.8,8871,9210.8,9491.6,9667.7,9491,9021.8,9350.7,9592.3,9965.2
"10","3","  Nonfarm \2\","A364RX1",7741.8,8042.4,8037.1,8156.4,8413.1,8808.6,9143.6,9424.6,9620.3,9432.3,8946.2,9274.5,9526,9904.1
"11","4","  Farm","A365RX1",43.6,56.1,50.2,53.1,61.1,66.1,70.5,70.6,54.8,61.8,75.6,76.4,70.5,68.8
"12","5","Households and institutions","W503RX1",1308.1,1356.1,1379.8,1392.2,1409.6,1433.8,1467.5,1474.3,1462,1508.7,1510.3,1526.8,1544.1,1553.1
"13","6","  Households","W504RX1",662.5,693.3,715.7,714.1,728.6,753.9,790.5,803.2,785.8,816.1,812.7,820.7,826.2,823.9
"14","7","  Nonprofit institutions serving households \3\","W505RX1",648.1,664.5,664.5,679.4,681.8,680.1,677,671.4,676.2,692.6,697.6,706.1,717.8,729.1
"15","8","General government \4\","A194RX1",1357.9,1379.4,1403.6,1429.7,1443.6,1446.6,1452.3,1455.8,1469.2,1494.6,1517.4,1519.4,1504.2,1498.4
"16","9","  Federal","B568RX1",319.9,322.6,323.7,331.2,341.4,343.8,344.3,341.2,341.3,354.1,375.5,389.2,389.8,385.9
"17","10","  State and local","B251RX1",1038.3,1056.9,1079.6,1098.3,1102.3,1102.9,1108.1,1114.7,1128.1,1140.6,1141.9,1130.1,1114.3,1112.4
"18","11","Residual","A966RX1",-25.2,-16.8,-22.8,-23.6,-17.8,-9.5,-4.9,-1.1,-1.6,-1.4,0.1,-0.4,-4.8,-8.4
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1. Equals net domestic product excluding net value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","3. Equals gross value added of nonprofit institutions excluding consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","capital on fixed assets owned and used by nonprofit instututions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","quantity index and the 2009 current-dollar value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","100. Because the formula for the chain-type quantity indexes uses weights of more than",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","one period, the corresponding chained-dollar estimates are usually not additive. The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
