"","Table 7#8# Supplements to Wages and Salaries by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 15, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2013 11:33:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Supplements to wages and salaries","A038RC1",67.7,73.6,82.5,94.9,106.3,118,135.3,151.5,174.8,199.7,227.7,252.8,283.9,306.8,336.4,372.5,406.4,441.5,468,510.3,559.5,601.5,637.5,705.6,741.3,773.5,784.6,805.6,837.8,896.2,952.3,1030.7,1092.1,1145.5,1226.6,1317.6,1394.8,1444.9,1503.1,1546.4,1535.6,1589.8,1639.8,1684.9
"9","2","Employer contributions for government social insurance","B039RC1",22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358,366,382.5,408.7,428.1,447.4,461.7,471.3,458.1,469.4,494.4,514.3
"10","3","Employer contributions for employee pension and insurance funds","B040RC1",44.9,49.7,56,63.7,66.5,73.3,88.6,97.1,113.7,128.1,145.1,163.9,180.3,197,216.5,233.5,258.7,283.6,301.8,325.6,365.8,395,422.4,477.2,501.7,519.4,520.5,530.8,548.3,589,629,685.5,734.1,779.5,844.1,908.9,966.8,997.6,1041.4,1075.1,1077.5,1120.4,1145.4,1170.6
"11",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Pension and other employee benefit plans \1\","A2209C1",45.1,47.9,54.4,61.5,66.2,73.6,84.6,88.2,99.4,109.6,125.3,138.8,153.2,163.3,177.5,196.4,214.4,235.2,246.8,265,294.6,311.6,323.8,354.4,365.3,380.1,393.8,413.3,440.4,473.2,499.1,531.2,556.5,574,595.7,637.1,664.2,702.6,739.7,769.1,756.8,792,803,820.4
"13","5","  Old-age, survivors, and disability insurance","L306051",15.6,16.2,18.2,20.6,25.2,29.2,30.5,33.8,37.5,42.9,50.3,55.6,64.9,69.2,73.5,85.7,91.5,98.1,104.1,118.3,126.6,137.3,141,147.4,153.2,161.9,169.9,179,191.5,205.9,218.9,234.4,243.8,248.2,253.8,264.9,276.8,293.1,306.9,317.2,307.6,307.5,319.9,333.6
"14","6","  Federal civilian pension plans","B4945C1",4.8,6.1,8.2,8.7,9.3,10.1,10.9,11.7,12.6,13.7,14.7,15.9,17.1,17.6,17.6,18.6,19.9,19.3,16.2,16.8,17.5,18.4,19.5,20.2,18.8,18.9,18.7,18.7,18.9,19.2,19.9,20.6,21.6,23,24.2,25.4,26.8,27.8,29.2,31.1,32.9,37.7,38.8,39.2
"15","7","  Federal military pension plans","B1583C1",6.7,6.9,7,7.4,7.4,7.6,7.8,7.9,8.2,8.7,9.3,10.4,12.2,13.5,14.3,15.3,16.3,17.1,17.6,18,18,16.9,17.3,15.9,13.4,12.9,12.2,11.4,11.3,11.4,11.6,12.1,12.8,14.3,16,16.6,17.1,16.9,18,20.5,23.4,26.8,27.5,27.7
"16","8","  Railroad retirement","CON1701",0.5,0.5,0.5,0.6,0.8,1.1,1.1,1.3,1.4,1.5,1.7,1.7,1.9,2,1.9,2.2,2.3,2.5,2.5,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.7,2.8,2.8,2.9,2.8,2.7,2.5,2.5,2.6,2.7,2.7,2.8,2.7,2.7,2.9,3
"17","9","  Pension benefit guaranty","B1043C1",NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.6,0.7,0.8,0.9,0.9,1,1,1.1,1,1,0.9,0.8,0.9,0.8,1.1,1.6,1.2,1.6,1.3,1.6,2.4,2.6,2.2,3
"18","10","  State and local employee retirement","Y239RC1",6.8,7.5,9.1,10.9,10.5,11.8,13.6,12.7,14,15.5,17.3,18.3,19.7,21.2,23.4,25.2,27.4,29.5,31.8,34.3,43.5,48.1,52.4,66.1,69.6,73.6,78.4,82.8,88.5,94.8,101.2,109.5,117.9,123.7,133,153.5,158.2,167.6,175.2,180.5,184.6,202,197.5,195.9
"19","11","  Private pension plans","B4921C1",10.6,10.8,11.4,13.4,12.9,13.9,20.8,20.7,25.7,27.3,32,36.9,37.4,39.7,46.8,49.3,57,68.4,74.3,74.4,85.7,87.6,90.1,101.4,106.7,109.2,111,117.6,126.5,138.2,143.8,150.9,156.7,161.3,165,172.6,181.4,192.9,206.3,215.3,203.2,212.7,214.3,218
"20","12","Health insurance","A2210C1",12.4,14.7,16.3,19.2,23.9,26.8,31.4,38.6,46,55,63.5,73.1,88.1,100.1,110.9,121.7,133.6,144.5,154.9,172.8,191.5,211.9,231.3,256.1,276.2,292.1,291.4,296.7,303.7,328.3,358.4,397.9,429.4,457.7,502.3,539.7,580.7,596.5,621.8,645.6,654.7,665.5,692.4,714.4
"21","13","  Federal hospital insurance","L306061",2.3,2.3,2.4,2.7,5.3,5.4,5.6,6.2,6.9,8.6,10.5,11.6,15.9,16.8,18.7,20.6,22.7,26.1,27.7,29.5,31.6,33.5,36.8,38.6,40.3,44.7,47.5,50.3,54.1,58.5,62.5,67.5,69.1,69.3,71,75,78.9,83.9,88.6,90.5,86.3,88.1,91.5,95.8
"22","14","  Military medical insurance","B1606C1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.5,1.7,1.7,1.6,1.4,1,1,0.9,1,1,1.2,1.3,1.5,2.1,2.6,3.1,3.8,4,4.4,4.9,5,5.2,5.6
"23","15","  Temporary disability insurance","S252101",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
