"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2013 9:12:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"          Monetary interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Monetary interest paid","A2061C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,48.6,54.4,60.4,67.2,74.4,84.1,92.2,104.6,123.4
"10","2","  Domestic business \1\","A2062C1",3.9,4.4,5,5.5,6,6.9,7.9,8.7,9.5,10.7,12.3,14.5,15.9,17.9,20.4,22,25.3,28.5,31.9,36,42.1,47.3,54.4,67.3
"11","3","    Corporate business","A2063C1",2.7,3,3.3,3.7,4,4.6,5.3,5.9,6.5,7.3,8.6,10.3,11.4,13,15.1,16.2,19,21.6,24.1,27.4,32.7,37,43.1,54.4
"12","4","      Financial","A1100C1",0.9,1,1.1,1.3,1.4,1.6,2,2.4,2.7,3.2,3.9,4.9,5.4,6.3,7.6,8.2,10,11.7,13.3,15.5,18.5,20.8,24,29.4
"13","5","        On deposits \2\","B1305C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,5.5,6.2,7.8,9,10.4,12.1,14.1,16.2,18.2,20.1
"14","6","        On other liabilities","B1306C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.1,2,2.2,2.6,2.9,3.4,4.4,4.6,5.8,9.2
"15","7","      Nonfinancial","B1101C1",1.8,2,2.2,2.4,2.6,3,3.3,3.5,3.8,4.1,4.7,5.5,6,6.7,7.6,8.1,9,9.9,10.8,11.9,14.1,16.2,19.2,25
"16","8","    Sole proprietorships and partnerships","A2064C1",0.6,0.8,0.9,0.9,1.1,1.2,1.4,1.4,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,3.1,3.4,4,4.4,4.9,5.5,6.1,7.4
"17","9","      Farm","B1103C1",0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.3,1.3,1.5,1.7,1.9,2.1,2.3,2.5
"18","10","      Nonfarm","B1102C1",0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.9,4.9
"19","11","    Other private business","A2065C1",0.6,0.6,0.7,0.9,1,1.1,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.5,2.7,3,3.2,3.5,3.8,4.2,4.5,4.8,5.2,5.5
"20","12","      Rental income of persons","B1130C1",0.6,0.6,0.7,0.8,1,1.1,1.2,1.4,1.5,1.7,1.8,2,2.3,2.4,2.6,2.9,3.1,3.4,3.7,4.1,4.4,4.6,5,5.4
"21","13","      Proprietors' income","B2631C1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
"22","14","  Households and nonprofit institutions","W291RC1",1.8,2.3,2.9,3.4,4.2,4.7,5.4,6.4,7.1,8.2,9.5,10.5,11.3,12.6,14.2,15.2,16.6,18.4,20.5,22.7,24.5,25.8,28.3,31.7
"23","15","    Households","W292RC1",1.7,2.2,2.8,3.3,4.1,4.7,5.3,6.3,7,8.1,9.4,10.4,11.2,12.5,14.1,15.1,16.5,18.2,20.3,22.4,24.2,25.4,27.8,31.1
"24","16","      Owner-occupied housing","W498RC1",1,1.2,1.4,1.6,1.8,2.1,2.5,2.8,3.2,3.6,4.3,5,5.7,6.3,7.1,7.7,8.6,9.4,10.3,11.3,12.2,12.9,13.9,15.4
"25","17","      Persons \3\","W293RC1",0.7,1.1,1.4,1.8,2.3,2.5,2.9,3.6,3.8,4.4,5.1,5.5,5.6,6.1,7,7.3,7.8,8.9,10,11.1,12,12.5,13.8,15.7
"26","18","    Nonprofit institutions","W319RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6
"27","19","  Government","W500RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.7
"28","20","    Federal","Y669RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8
"29","21","    State and local","W497RC1",0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.8,2.1,2.2,2.5,2.7,2.9,3.1,3.4,3.8,4.2,4.8
"30","22","  Rest of the world","W290RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.2,1.4,1.6,1.8,2.1,2.4,2.7,3.1,3.7
"31","23","    To business and persons","B1132C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.9,1.1,1.3,1.6,1.8,2,2.3,2.7
