"","Table 6#18D# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2004 11:45:27 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Taxes on corporate income","A054RC0",248310,258634,265172,204129,183849,234909
"9","2","Domestic industries","A3102C0",248310,258634,265172,204129,183849,234909
"10","3","  Agriculture, forestry, fishing, and hunting","N3103C0",524,537,512,341,94,466
"11","4","    Farms \1\","N3104C0",425,443,431,320,NA,NA
"12","5","    Forestry, fishing, and related activities","N3105C0",99,94,81,21,NA,NA
"13","6","  Mining","N3106C0",1553,1168,2474,2300,805,1490
"14","7","    Oil and gas extraction","N3107C0",159,463,1645,1254,NA,NA
"15","8","    Mining, except oil and gas","N3108C0",710,579,605,306,NA,NA
"16","9","    Support activities for mining","N3109C0",684,126,224,740,NA,NA
"17","10","  Utilities","N3110C0",13605,15544,11110,8796,5046,7240
"18","11","  Construction","N3111C0",4327,4846,4895,4675,4142,5606
"19","12","  Manufacturing","N3112C0",67404,72802,77670,48237,36823,54286
"20","13","    Durable goods","N3113C0",35507,35242,36500,11569,9825,15970
"21","14","      Wood products","N3114C0",813,1211,637,477,NA,NA
"22","15","      Nonmetallic mineral products","N3115C0",1850,2096,1434,937,NA,NA
"23","16","      Primary metals","N3116C0",1584,1210,932,152,NA,NA
"24","17","      Fabricated metal products","N3117C0",3760,3664,3708,1906,NA,NA
"25","18","      Machinery","N3118C0",5357,3971,3208,1375,NA,NA
"26","19","      Computer and electronic products","N3119C0",8734,9097,13119,-561,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3120C0",2517,2581,3131,1406,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3121C0",5028,4885,3364,881,NA,NA
"29","22","      Other transportation equipment","N3122C0",2085,3440,3651,2616,NA,NA
"30","23","      Furniture and related products","N3123C0",1026,961,810,393,NA,NA
"31","24","      Miscellaneous manufacturing","N3124C0",2753,2126,2506,1987,NA,NA
"32","25","    Nondurable goods","N3125C0",31897,37560,41170,36668,26998,38316
"33","26","      Food and beverage and tobacco products","N3126C0",8914,13793,10635,10312,NA,NA
"34","27","      Textile mills and textile product mills","N3127C0",663,648,436,8,NA,NA
"35","28","      Apparel and leather and allied products","N3128C0",914,699,738,527,NA,NA
"36","29","      Paper products","N3129C0",1677,2150,2216,1093,NA,NA
"37","30","      Printing and related support activities","N3130C0",1187,877,813,547,NA,NA
"38","31","      Petroleum and coal products","N3131C0",4144,4329,11872,9325,NA,NA
"39","32","      Chemical products","N3132C0",13108,13669,13260,14302,NA,NA
"40","33","      Plastics and rubber products","N3133C0",1290,1395,1200,554,NA,NA
"41","34","  Wholesale trade","N3134C0",10729,12307,13369,8948,10645,13219
"42","35","    Durable goods","N3135C0",6481,6949,8042,4286,NA,NA
"43","36","    Nondurable goods","N3136C0",4248,5358,5327,4662,NA,NA
