"","Table 1#1#6D# Real Gross Domestic Product, Chained (1982) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1982) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1972 To 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 19, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2004 10:57:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
"8","1","    Gross domestic product","A191DX1",2574.8,2723.2,2709.5,2704.3,2848.4,2979.8,3145.7,3245.1,3237.7,3319.3,3255,3402.1,3646.6,3797.3,3928.9,4061.5,4229.4,4379.2,4461.4,4453.9,4601.9
"9","2","Personal consumption expenditures","A002DX1",1616.9,1696.3,1683.4,1722.1,1817,1894,1977.2,2025.3,2019.7,2048.5,2077.3,2196,2312.6,2432.7,2531.4,2615.7,2721.7,2798.4,2855.4,2860.3,2953.9
"10","3","  Durable goods","B003DX1",194,214.1,199.3,199.3,224.7,245.7,258.6,257.7,237.5,240.4,240.2,275.4,315.6,347.5,381,387.6,411,420.1,418.9,395.2,418.4
"11","4","  Nondurable goods","B004DX1",657.4,678.8,665.2,675,708,725,752.1,772.2,771,780.2,787.6,813.8,846.1,869.1,900.4,922,951.9,978.4,993.6,991.3,1011.1
"12","5","  Services","B005DX1",763.7,799.5,818.2,848.5,882.9,920.9,963.9,993.4,1010.8,1027.8,1049.4,1106.9,1151.9,1216.9,1252.8,1307.1,1359.9,1400.6,1440.9,1465.3,1516.2
"13","6","Gross private domestic investment","A006DX1",454.1,507.3,470,386.8,464.9,535.2,599.7,618.8,550.8,601.6,517.2,565.4,732.1,725.3,720.3,742.6,760,790.5,763.9,701.8,758.8
"14","7","  Fixed investment","A007DX1",440.6,480.9,450.8,402.5,442.2,505.7,566.9,598.9,559.9,572.4,532.1,571,667.4,702.6,710.7,714.7,738.2,760.4,744.6,696.3,737.7
"15","8","    Nonresidential","A008DX1",273.5,313.3,315.9,284.7,298.7,332.4,382.2,420.6,419.4,443.3,426.5,421,495.3,528.2,513.1,512.7,539.5,569.7,572.5,541.8,559.2
