"","Table 5#4#5B# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2004 11:35:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","    Private fixed investment in structures","A349RC1",593.2,654.5,700.1,752.7,784.5,768.1,825.9
"9","2","Nonresidential","B009RC1",250.3,275.2,282.2,313.2,322.6,271.6,261.6
"10","3","  Commercial and health care","W001RC1",104.3,115.4,124.3,137.6,134.9,116.7,111.6
"11","4","    Office \1\","W031RC1",37.7,46.4,51.8,60.2,57.2,40.6,35
"12","5","    Health care","W032RC1",19.6,20,20.7,21.9,22,25.3,26.6
"13","6","      Hospitals and special care","C311RC1",15.1,15.4,15.2,16.2,16.8,19.7,20.1
"14","7","        Hospitals","W033RC1",11.2,10.7,10.7,11.5,12.8,15.8,16.7
"15","8","        Special care","W034RC1",3.9,4.7,4.5,4.7,4,4,3.3
"16","9","      Medical buildings","W035RC1",4.5,4.6,5.5,5.7,5.2,5.5,6.6
"17","10","    Multimerchandise shopping","W036RC1",11.5,12.6,14.5,14.2,15.5,14.8,14.7
"18","11","    Food and beverage establishments","W037RC1",8.1,8.7,7.9,8.3,8.3,7.5,8
"19","12","    Warehouses","W038RC1",11.9,12.1,13,14.1,14.9,11.3,11.7
"20","13","    Other commercial \2\","W039RC1",15.4,15.8,16.5,18.9,17,17.3,15.6
"21","14","  Manufacturing","C307RC1",37.6,40.5,32.6,31.8,29.5,16.4,14.2
"22","15","  Power and communication","W003RC1",28.8,33.6,39.5,46.8,49.6,49.1,40.3
"23","16","    Power","W028RC1",16.4,21.1,21.1,28,30,31.1,27.9
"24","17","      Electric","C571RC1",11.3,12.4,14.6,22,23.8,23.4,19.7
"25","18","      Other power","W029RC1",5,8.7,6.6,6,6.2,7.7,8.2
"26","19","    Communication","C314RC1",12.4,12.5,18.4,18.8,19.6,18.1,12.4
"27","20","  Mining exploration, shafts, and wells","E318RC1",22.4,23.4,20.6,27.2,39.2,29.3,35.6
"28","21","    Petroleum and natural gas","C319RC1",21,22.4,19.6,25.8,37.9,28.1,34
"29","22","    Mining","C320RC1",1.4,1.1,1,1.3,1.3,1.2,1.6
"30","23","  Other structures","W004RC1",57.3,62.3,65.2,69.9,69.4,60,59.9
"31","24","    Religious","C309RC1",5.6,6.4,7.2,7.8,8.2,8.1,8.2
"32","25","    Educational and vocational","W044RC1",9.8,11,10.9,13,14.3,14.6,14.7
"33","26","    Lodging","W045RC1",16,18.3,19.8,20.2,18,13,12.3
"34","27","    Amusement and recreation","W046RC1",10.2,10.3,11.5,10.5,9.4,9,9.5
"35","28","    Transportation","W047RC1",6.1,7.1,6.3,6.6,6.9,6.6,6.3
"36","29","      Air","W048RC1",1,1.2,1.3,1.9,2.1,1.4,1.1
"37","30","      Land \3\","W049RC1",5.1,6,5,4.7,4.7,5.2,5.2
"38","31","    Farm","C316RC1",3.8,4.3,5.1,6,5.1,5.8,5.3
"39","32","    Other \4\","W050RC1",3.8,3.9,3.6,4.6,3.6,2.6,3.3
"40","33","    Brokers' commissions on sale of structures","C321RC1",2,2.2,2.3,2.4,2.4,2.1,1.9
"41","34","    Net purchases of used structures","E322RC1",-0.1,-1.2,-1.3,-1.4,1.6,-1.7,-1.6
"42","35","Residential","A012RC1",342.8,379.3,417.8,439.5,461.9,496.6,564.3
"43","36","  Permanent site","A943RC1",198.1,224,251.3,265,279.4,298.8,345.9
"44","37","    Single-family structures","A944RC1",175.2,199.4,223.8,236.8,249.1,265.9,310.6
"45","38","    Multifamily structures","C292RC1",22.9,24.6,27.4,28.3,30.3,33,35.3
"46","39","  Other structures","A863RC1",144.8,155.3,166.6,174.5,182.5,197.7,218.4
