"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2004 11:09:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","    Net domestic product","A362RC1",94.2,82,67.9,51.2,49.2,58.4,65.7,75.9,83.2,77.2,83.2,92,115.9,148.5,182.4,200.4,202,199,217.8,241.1,238.6,264.4,306.1,322.6,341.6,340.5,372.7,391.1,411.2,415.2,453.5,470.8,487.5,526.4,555.3,598.6,649.7,712.2,751.1,821.6,886.7,931.8,1012.1,1111.8,1243.4,1337.5,1450.6,1620.1,1800.9,2032.4,2263.2,2446.6,2740.4,2828.1,3092.9,3460.6,3713.5,3931.5,4177.5,4506.2,4840.1,5120.6,5270,5585.8,5881,6238.5,6519.3,6898.8,7329.9,7716.8,8167.1,8629.1,8846.5,9183.1,9650.1
"9","2","Business \1\","A363RC1",82.1,70.1,56.6,41.1,39.6,48,54.9,63.6,70.9,64.1,70,78.4,100.4,126.5,149.2,159.7,157.5,166.9,189.6,211.4,205.7,228.9,262.5,273.4,289.3,285.6,313.8,327.7,343,341.1,374.8,385.3,395.9,427.5,449.7,484.9,527.7,576.9,602.4,657.8,706.5,733.5,794.1,874.5,985.4,1056,1138.2,1280.5,1431.2,1626.4,1817.3,1944.2,2179.1,2211.1,2426.7,2730.1,2923.1,3086.3,3267.7,3522,3783.6,3976.1,4051,4308,4548.2,4851.1,5074.5,5399.1,5768.5,6079.3,6442.5,6797.4,6904.1,7111.3,7495.2
"10","3","  Nonfarm \2\","A364RC1",73.7,63.7,51.5,37.6,35.9,44.3,48.9,58.2,63.8,58.7,64.8,73.1,92.7,114.9,135.3,146,143.3,150.1,171.8,190.9,190,212.3,243.2,255.2,273.2,270.2,299.3,313.6,329.1,325.2,360.7,370.4,380.9,412.4,434.7,471.2,511.6,560.2,586.6,641.9,688.7,715.1,774.4,851,945.3,1019.6,1101.9,1247.7,1399.2,1588.6,1771.9,1909.6,2132.6,2170,2401,2685,2878.3,3045.2,3223.9,3478.4,3728.2,3918.1,4000.1,4248.1,4496.5,4788.7,5025.6,5328.3,5700.6,6021.3,6394.9,6747.2,6858.4,7068.5,7439.4
