"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"21","3","        Truck output","A716RC1","9,764.0","8,428.0","10,613.0","13,816.0","17,289.0","18,926.0","16,641.0","23,242.0","31,184.0","36,832.0","37,877.0","26,557.0","29,796.0","30,856.0","40,482.0","57,036.0","67,156.0","66,185.0","69,885.0","74,514.0","84,987.0","74,482.0","67,464.0","83,908.0","103,873.0","125,792.0","139,283.0","150,413.0","175,114.0","192,144.0","222,372.0","214,959.0","204,500.0","235,080.0","251,225.0","265,795.0","268,685.0","257,229.0","257,513.0","185,366.0","156,447.0","216,085.0","257,353.0"
"22","4","Final sales of domestic product","AB60RC1","44,233.0","38,170.0","47,967.0","55,253.0","62,254.0","55,721.0","59,138.0","76,837.0","93,058.0","104,411.0","105,814.0","89,124.0","98,639.0","99,454.0","126,143.0","155,121.0","177,351.0","185,107.0","179,839.0","199,215.0","206,374.0","198,127.0","182,224.0","204,983.0","230,592.0","267,456.0","273,137.0","293,958.0","314,972.0","340,369.0","363,633.0","358,841.0","363,154.0","374,002.0","374,384.0","394,468.0","422,568.0","416,398.0","417,691.0","332,559.0","275,132.0","316,394.0","386,077.0"
"23","5","  Personal consumption expenditures","AB61RC1","32,045.0","28,451.0","36,097.0","41,361.0","45,460.0","38,659.0","42,356.0","56,805.0","66,919.0","74,756.0","73,840.0","66,504.0","73,443.0","79,584.0","100,828.0","124,398.0","146,582.0","163,975.0","164,241.0","175,902.0","180,805.0","176,865.0","157,944.0","176,071.0","193,918.0","216,106.0","220,343.0","235,838.0","253,950.0","280,728.0","309,662.0","321,440.0","342,030.0","359,673.0","358,240.0","359,546.0","361,602.0","346,572.0","349,865.0","290,362.0","270,119.0","290,902.0","325,939.0"
"24","6","    New motor vehicles","AB67RC1","26,842.0","23,438.0","30,535.0","35,171.0","38,710.0","31,691.0","34,568.0","46,639.0","55,858.0","62,734.0","61,406.0","54,331.0","59,142.0","64,278.0","82,867.0","99,666.0","117,830.0","134,047.0","128,790.0","138,220.0","139,304.0","134,664.0","112,903.0","126,690.0","138,896.0","151,200.0","147,451.0","152,971.0","162,209.0","179,374.0","200,059.0","210,709.0","230,018.0","243,551.0","251,607.0","252,431.0","248,895.0","233,047.0","233,152.0","185,218.0","165,948.0","178,465.0","204,675.0"
"25","7","      Autos","A136RC1","25,105.0","21,945.0","28,196.0","31,617.0","33,931.0","27,005.0","29,331.0","38,167.0","44,407.0","48,521.0","49,265.0","46,395.0","50,685.0","53,336.0","66,029.0","77,144.0","86,255.0","98,970.0","91,286.0","96,675.0","92,887.0","89,675.0","72,281.0","78,016.0","82,025.0","86,421.0","82,129.0","81,764.0","82,326.0","86,873.0","95,433.0","100,252.0","98,815.0","96,054.0","91,302.0","91,909.0","97,448.0","99,982.0","95,922.0","85,733.0","72,374.0","69,773.0","81,468.0"
"26","8","      Light trucks (including utility vehicles)","B704RC1","1,737.0","1,493.0","2,339.0","3,554.0","4,779.0","4,686.0","5,237.0","8,472.0","11,451.0","14,213.0","12,141.0","7,936.0","8,457.0","10,942.0","16,838.0","22,522.0","31,575.0","35,077.0","37,504.0","41,545.0","46,417.0","44,989.0","40,622.0","48,674.0","56,871.0","64,779.0","65,322.0","71,207.0","79,883.0","92,501.0","104,626.0","110,457.0","131,203.0","147,497.0","160,305.0","160,522.0","151,447.0","133,065.0","137,230.0","99,485.0","93,574.0","108,692.0","123,207.0"
"27","9","    Net purchases of used autos and used light trucks","W240RC1","5,203.0","5,013.0","5,562.0","6,190.0","6,750.0","6,968.0","7,788.0","10,166.0","11,061.0","12,022.0","12,434.0","12,173.0","14,301.0","15,306.0","17,961.0","24,732.0","28,752.0","29,928.0","35,451.0","37,682.0","41,501.0","42,201.0","45,041.0","49,381.0","55,022.0","64,906.0","72,892.0","82,867.0","91,741.0","101,354.0","109,603.0","110,731.0","112,012.0","116,122.0","106,633.0","107,115.0","112,707.0","113,525.0","116,713.0","105,144.0","104,171.0","112,437.0","121,264.0"
"28","10","      Used autos","A137RC1","5,016.0","4,809.0","5,316.0","5,917.0","6,405.0","6,619.0","7,444.0","9,664.0","10,382.0","11,128.0","11,325.0","10,848.0","12,761.0","13,551.0","15,626.0","21,414.0","24,424.0","23,782.0","28,396.0","28,940.0","30,997.0","29,313.0","31,377.0","34,394.0","38,366.0","46,847.0","50,505.0","54,166.0","57,058.0","59,433.0","60,505.0","60,008.0","58,741.0","59,242.0","53,337.0","52,878.0","55,674.0","54,236.0","53,038.0","47,924.0","44,032.0","48,046.0","51,927.0"
"29","11","      Used light trucks (including utility vehicles)","W241RC1","187.0","204.0","246.0","273.0","345.0","349.0","344.0","502.0","679.0","894.0","1,109.0","1,325.0","1,540.0","1,755.0","2,335.0","3,318.0","4,328.0","6,146.0","7,055.0","8,742.0","10,504.0","12,888.0","13,664.0","14,987.0","16,656.0","18,059.0","22,387.0","28,701.0","34,683.0","41,921.0","49,098.0","50,723.0","53,271.0","56,880.0","53,296.0","54,237.0","57,033.0","59,289.0","63,675.0","57,220.0","60,139.0","64,391.0","69,337.0"
"30","12","  Private fixed investment","AB62RC1","13,459.0","11,444.0","14,623.0","17,258.0","20,004.0","19,806.0","17,679.0","22,850.0","30,458.0","36,551.0","37,696.0","31,355.0","34,845.0","34,371.0","42,774.0","53,791.0","58,455.0","58,245.0","55,160.0","58,611.0","54,650.0","52,860.0","53,324.0","56,807.0","70,443.0","92,138.0","95,725.0","102,569.0","111,435.0","116,494.0","132,964.0","126,507.0","108,859.0","105,668.0","104,098.0","127,623.0","147,961.0","163,779.0","146,562.0","100,504.0","41,754.0","87,144.0","118,569.0"
"31","13","    New motor vehicles","AB68RC1","15,877.0","13,764.0","16,978.0","19,624.0","22,837.0","22,989.0","21,739.0","27,602.0","35,496.0","42,153.0","44,352.0","38,214.0","42,831.0","42,964.0","52,238.0","69,218.0","77,010.0","75,597.0","75,941.0","82,339.0","79,284.0","79,176.0","82,632.0","91,483.0","108,389.0","133,839.0","141,638.0","156,911.0","167,795.0","181,953.0","205,503.0","201,512.0","181,821.0","177,212.0","169,438.0","190,730.0","212,956.0","230,124.0","219,364.0","172,822.0","117,780.0","161,813.0","193,986.0"
"32","14","      Autos","B139RC1","8,719.0","7,556.0","9,730.0","10,190.0","11,623.0","11,377.0","12,551.0","15,474.0","19,149.0","21,969.0","22,210.0","20,771.0","24,265.0","24,797.0","30,591.0","39,797.0","43,144.0","44,691.0","43,479.0","48,567.0","45,703.0","48,056.0","52,575.0","54,087.0","59,363.0","71,418.0","70,058.0","73,996.0","74,754.0","75,767.0","82,241.0","83,623.0","79,643.0","78,849.0","71,378.0","72,545.0","77,764.0","81,954.0","83,130.0","71,218.0","52,430.0","68,738.0","73,161.0"
"33","15","      Trucks","B705RC1","7,158.0","6,208.0","7,248.0","9,434.0","11,214.0","11,612.0","9,188.0","12,128.0","16,347.0","20,184.0","22,142.0","17,443.0","18,566.0","18,167.0","21,647.0","29,421.0","33,866.0","30,906.0","32,462.0","33,772.0","33,581.0","31,120.0","30,057.0","37,396.0","49,026.0","62,421.0","71,580.0","82,915.0","93,041.0","106,186.0","123,262.0","117,889.0","102,178.0","98,363.0","98,060.0","118,185.0","135,192.0","148,170.0","136,234.0","101,604.0","65,350.0","93,075.0","120,825.0"
"34","16","        Light trucks (including utility vehicles)","B196RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,390.0","16,627.0","15,819.0","17,111.0","17,903.0","21,302.0","27,089.0","37,292.0","42,611.0","57,273.0","69,256.0","76,174.0","89,075.0","88,269.0","81,136.0","77,035.0","77,073.0","88,843.0","98,785.0","107,344.0","105,363.0","77,768.0","47,647.0","71,266.0","85,678.0"
"35","17","        Other","B197RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,072.0","17,145.0","17,762.0","14,009.0","12,154.0","16,094.0","21,937.0","25,130.0","28,969.0","25,641.0","23,785.0","30,011.0","34,187.0","29,620.0","21,042.0","21,328.0","20,987.0","29,342.0","36,407.0","40,826.0","30,871.0","23,835.0","17,703.0","21,809.0","35,147.0"
"36","18","    Net purchases of used autos and used light trucks","W242RC1","-2,418.0","-2,320.0","-2,355.0","-2,366.0","-2,833.0","-3,183.0","-4,060.0","-4,752.0","-5,038.0","-5,602.0","-6,656.0","-6,859.0","-7,986.0","-8,593.0","-9,464.0","-15,427.0","-18,555.0","-17,352.0","-20,781.0","-23,728.0","-24,634.0","-26,316.0","-29,308.0","-34,676.0","-37,946.0","-41,701.0","-45,913.0","-54,342.0","-56,360.0","-65,459.0","-72,539.0","-75,005.0","-72,962.0","-71,544.0","-65,340.0","-63,107.0","-64,995.0","-66,345.0","-72,802.0","-72,318.0","-76,026.0","-74,669.0","-75,417.0"
"37","19","      Used autos","B140RC1","-2,389.0","-2,295.0","-2,326.0","-2,328.0","-2,768.0","-3,085.0","-3,944.0","-4,604.0","-4,900.0","-5,350.0","-6,340.0","-6,513.0","-7,554.0","-8,203.0","-8,648.0","-14,191.0","-16,693.0","-14,859.0","-17,082.0","-19,080.0","-19,571.0","-18,918.0","-21,276.0","-23,542.0","-26,098.0","-30,310.0","-32,957.0","-36,050.0","-36,458.0","-38,959.0","-39,405.0","-39,791.0","-36,814.0","-35,194.0","-32,233.0","-31,281.0","-32,735.0","-32,304.0","-34,019.0","-34,659.0","-34,300.0","-34,447.0","-34,929.0"
"38","20","      Used light trucks (including utility vehicles)","W243RC1","-29.0","-25.0","-29.0","-38.0","-65.0","-98.0","-116.0","-148.0","-138.0","-252.0","-316.0","-346.0","-432.0","-390.0","-816.0","-1,236.0","-1,862.0","-2,493.0","-3,699.0","-4,648.0","-5,063.0","-7,398.0","-8,032.0","-11,134.0","-11,848.0","-11,391.0","-12,956.0","-18,292.0","-19,902.0","-26,500.0","-33,134.0","-35,214.0","-36,148.0","-36,350.0","-33,107.0","-31,826.0","-32,260.0","-34,041.0","-38,783.0","-37,659.0","-41,726.0","-40,222.0","-40,488.0"
"39","21","  Gross government investment","AB64RC1","1,222.0","1,288.0","1,367.0","1,453.0","1,885.0","2,288.0","2,455.0","2,855.0","3,298.0","3,788.0","4,355.0","4,638.0","5,026.0","4,930.0","5,537.0","7,766.0","8,143.0","7,917.0","7,233.0","7,780.0","9,882.0","10,347.0","9,517.0","10,314.0","9,701.0","9,272.0","9,662.0","9,650.0","10,317.0","11,218.0","12,034.0","12,608.0","12,765.0","13,136.0","13,950.0","14,007.0","15,097.0","16,857.0","17,661.0","18,195.0","16,522.0","14,717.0","18,321.0"
"40","22","    Autos","B144RC1","479.0","508.0","570.0","603.0","585.0","681.0","724.0","818.0","1,032.0","1,237.0","1,316.0","1,382.0","1,513.0","1,574.0","1,588.0","1,877.0","1,859.0","1,875.0","1,961.0","2,408.0","2,762.0","3,224.0","2,763.0","3,316.0","3,181.0","3,340.0","3,573.0","3,437.0","3,173.0","3,369.0","3,479.0","3,409.0","3,446.0","3,311.0","3,236.0","3,155.0","3,452.0","3,833.0","3,938.0","3,771.0","3,230.0","2,816.0","2,744.0"
"41","23","    Trucks","B708RC1","743.0","780.0","797.0","850.0","1,300.0","1,607.0","1,731.0","2,037.0","2,266.0","2,551.0","3,039.0","3,256.0","3,513.0","3,356.0","3,949.0","5,889.0","6,284.0","6,042.0","5,272.0","5,372.0","7,120.0","7,123.0","6,754.0","6,998.0","6,520.0","5,932.0","6,089.0","6,213.0","7,144.0","7,849.0","8,555.0","9,199.0","9,319.0","9,825.0","10,714.0","10,852.0","11,645.0","13,024.0","13,723.0","14,424.0","13,292.0","11,901.0","15,577.0"
"42","24","  Net exports","AB63RC1","-2,493.0","-3,013.0","-4,120.0","-4,819.0","-5,095.0","-5,032.0","-3,352.0","-5,673.0","-7,617.0","-10,684.0","-10,077.0","-13,373.0","-14,675.0","-19,431.0","-22,996.0","-30,834.0","-35,829.0","-45,030.0","-46,795.0","-43,078.0","-38,963.0","-41,945.0","-38,561.0","-38,209.0","-43,470.0","-50,060.0","-52,593.0","-54,099.0","-60,730.0","-68,071.0","-91,027.0","-101,714.0","-100,500.0","-104,475.0","-101,904.0","-106,708.0","-102,092.0","-110,810.0","-96,397.0","-76,502.0","-53,263.0","-76,369.0","-76,752.0"
"43","25","    Exports","AB69RC1","1,575.0","1,416.0","1,806.0","2,034.0","2,713.0","3,728.0","5,085.0","5,336.0","5,669.0","6,724.0","8,634.0","7,744.0","8,088.0","6,143.0","6,952.0","8,084.0","9,700.0","10,615.0","11,871.0","14,323.0","15,813.0","14,240.0","16,922.0","19,393.0","19,923.0","22,696.0","23,895.0","25,192.0","26,940.0","25,884.0","25,290.0","26,125.0","25,385.0","28,916.0","32,347.0","36,538.0","43,970.0","49,082.0","60,776.0","65,322.0","39,974.0","54,973.0","66,686.0"
"44","26","      Autos","B142RC1","1,024.0","837.0","1,184.0","1,323.0","1,825.0","2,334.0","2,886.0","3,267.0","3,628.0","3,963.0","5,257.0","4,657.0","4,707.0","3,541.0","4,781.0","5,465.0","6,538.0","6,866.0","7,312.0","8,990.0","9,408.0","9,313.0","11,236.0","11,541.0","11,089.0","12,033.0","12,095.0","12,623.0","12,431.0","12,060.0","11,826.0","12,235.0","13,174.0","14,898.0","15,762.0","16,468.0","20,415.0","23,913.0","31,727.0","37,250.0","20,836.0","28,002.0","33,911.0"
"45","27","      Trucks","B706RC1","551.0","579.0","622.0","711.0","888.0","1,394.0","2,199.0","2,069.0","2,041.0","2,761.0","3,377.0","3,087.0","3,381.0","2,602.0","2,171.0","2,619.0","3,162.0","3,749.0","4,559.0","5,333.0","6,405.0","4,927.0","5,686.0","7,852.0","8,834.0","10,663.0","11,800.0","12,569.0","14,509.0","13,824.0","13,464.0","13,890.0","12,211.0","14,018.0","16,585.0","20,070.0","23,555.0","25,169.0","29,049.0","28,072.0","19,138.0","26,971.0","32,775.0"
"46","28","    Imports","AB70RC1","4,068.0","4,429.0","5,926.0","6,853.0","7,808.0","8,760.0","8,437.0","11,009.0","13,286.0","17,408.0","18,711.0","21,117.0","22,763.0","25,574.0","29,948.0","38,918.0","45,529.0","55,645.0","58,666.0","57,401.0","54,776.0","56,185.0","55,483.0","57,602.0","63,393.0","72,756.0","76,488.0","79,291.0","87,670.0","93,955.0","116,317.0","127,839.0","125,885.0","133,391.0","134,251.0","143,246.0","146,062.0","159,892.0","157,173.0","141,824.0","93,237.0","131,342.0","143,438.0"
"47","29","      Autos","B143RC1","3,356.0","3,710.0","5,091.0","5,724.0","6,526.0","7,307.0","7,135.0","8,947.0","10,651.0","13,652.0","14,879.0","16,977.0","17,823.0","20,291.0","23,939.0","30,640.0","34,874.0","42,436.0","43,479.0","41,235.0","39,423.0","37,981.0","36,064.0","35,845.0","41,006.0","43,861.0","48,421.0","45,348.0","50,828.0","53,091.0","63,605.0","69,414.0","67,918.0","72,651.0","70,572.0","71,710.0","69,558.0","77,096.0","76,559.0","77,670.0","54,983.0","73,787.0","82,959.0"
"48","30","      Trucks","B707RC1","712.0","719.0","835.0","1,129.0","1,282.0","1,453.0","1,302.0","2,062.0","2,635.0","3,756.0","3,832.0","4,140.0","4,940.0","5,283.0","6,009.0","8,278.0","10,655.0","13,209.0","15,187.0","16,166.0","15,353.0","18,204.0","19,419.0","21,757.0","22,387.0","28,895.0","28,067.0","33,943.0","36,842.0","40,864.0","52,712.0","58,425.0","57,967.0","60,740.0","63,679.0","71,536.0","76,504.0","82,796.0","80,614.0","64,154.0","38,254.0","57,555.0","60,479.0"
"49","31","Change in private inventories","AB65RC1","446.0","-981.0","1,814.0","-271.0","1,334.0","2,957.0","-1,806.0","1,969.0","3,339.0","2,116.0","359.0","-2,040.0","1,795.0","-2,893.0","2,633.0","5,692.0","4,940.0","2,240.0","9,047.0","1,731.0","4,029.0","-3,171.0","-1,565.0","589.0","2,016.0","5,348.0","4,698.0","-514.0","4,757.0","-16.0","11,648.0","10,534.0","-13,583.0","13,125.0","7,780.0","4,383.0","-3,631.0","-3,730.0","-7,784.0","-9,553.0","-26,079.0","9,836.0","-9,430.0"
"50","32","  Autos","A145RC1","317.0","-889.0","1,589.0","-432.0","1,224.0","2,128.0","-1,166.0","1,725.0","2,166.0","1,879.0","142.0","-36.0","2,084.0","-2,600.0","2,266.0","2,911.0","4,482.0","2,273.0","7,128.0","1,167.0","2,653.0","-2,208.0","303.0","-303.0","1,815.0","1,124.0","1,570.0","-1,557.0","2,159.0","2,757.0","2,435.0","4,094.0","-4,016.0","7,538.0","-1,271.0","-908.0","-2,208.0","921.0","-4,783.0","4,073.0","-11,013.0","1,004.0","-6,029.0"
"51","33","    New","B146RC1","270.0","-770.0","1,408.0","-131.0","1,097.0","2,413.0","-1,414.0","1,595.0","1,853.0","1,950.0","41.0","758.0","1,978.0","-2,737.0","1,822.0","2,363.0","3,731.0","1,080.0","6,401.0","-258.0","1,658.0","-2,058.0","-244.0","79.0","918.0","519.0","515.0","-3,666.0","962.0","2,031.0","1,170.0","1,199.0","-6,541.0","7,811.0","-1,299.0","-1,389.0","-1,167.0","2,577.0","-3,713.0","6,438.0","-12,843.0","2,856.0","-604.0"
"52","34","      Domestic","AB71RC1","163.0","-863.0","834.0","-233.0","1,451.0","1,218.0","-883.0","722.0","2,121.0","226.0","1,083.0","191.0","2,200.0","-2,779.0","2,922.0","1,701.0","2,896.0","-565.0","4,056.0","-567.0","2,214.0","-2,667.0","-683.0","535.0","804.0","1,973.0","1,204.0","-2,030.0","787.0","1,052.0","-70.0","683.0","-7,171.0","6,596.0","-1,074.0","-393.0","-713.0","1,380.0","-2,858.0","4,316.0","-9,532.0","1,972.0","701.0"
"53","35","      Foreign","AB72RC1","107.0","93.0","574.0","102.0","-354.0","1,195.0","-531.0","873.0","-268.0","1,724.0","-1,042.0","567.0","-221.0","42.0","-1,100.0","662.0","836.0","1,645.0","2,345.0","309.0","-556.0","608.0","439.0","-456.0","114.0","-1,454.0","-689.0","-1,636.0","175.0","979.0","1,241.0","516.0","630.0","1,215.0","-225.0","-996.0","-454.0","1,197.0","-855.0","2,122.0","-3,311.0","884.0","-1,305.0"
"54","36","    Used","B147RC1","47.0","-119.0","181.0","-301.0","127.0","-285.0","248.0","130.0","313.0","-71.0","101.0","-794.0","106.0","137.0","444.0","548.0","751.0","1,193.0","727.0","1,425.0","995.0","-150.0","547.0","-382.0","897.0","605.0","1,055.0","2,109.0","1,197.0","726.0","1,265.0","2,895.0","2,525.0","-273.0","28.0","481.0","-1,041.0","-1,656.0","-1,070.0","-2,365.0","1,830.0","-1,852.0","-5,425.0"
"55","37","  Trucks","B709RC1","129.0","-92.0","225.0","161.0","110.0","829.0","-640.0","244.0","1,173.0","237.0","217.0","-2,004.0","-289.0","-293.0","367.0","2,781.0","458.0","-33.0","1,919.0","564.0","1,376.0","-963.0","-1,868.0","892.0","201.0","4,224.0","3,128.0","1,043.0","2,598.0","-2,773.0","9,213.0","6,440.0","-9,567.0","5,587.0","9,051.0","5,291.0","-1,423.0","-4,651.0","-3,001.0","-13,626.0","-15,066.0","8,832.0","-3,401.0"
"56","38","    New","W244RC1",".....",".....",".....",".....","110.0","829.0","-640.0","244.0","1,173.0","237.0","217.0","-2,004.0","-289.0","-293.0","230.0","2,716.0","236.0","398.0","1,631.0","362.0","1,311.0","-1,194.0","-1,734.0","678.0","-491.0","3,245.0","2,971.0","-646.0","3,269.0","-2,412.0","8,381.0","4,510.0","-11,260.0","5,799.0","8,966.0","4,834.0","40.0","-2,669.0","-2,735.0","-13,143.0","-16,443.0","10,295.0","2,747.0"
"57","39","      Domestic","AB73RC1",".....",".....",".....",".....","51.0","873.0","-604.0","169.0","1,204.0","106.0","271.0","-2,069.0","-240.0","-232.0","434.0","2,530.0","221.0","-220.0","1,778.0","433.0","1,383.0","-838.0","-1,459.0","661.0","25.0","2,964.0","3,245.0","-770.0","2,742.0","-2,314.0","7,943.0","3,623.0","-10,728.0","4,369.0","8,912.0","4,905.0","-605.0","-3,443.0","-2,045.0","-14,179.0","-12,767.0","9,010.0","3,041.0"
"58","40","      Foreign","AB74RC1",".....",".....",".....",".....","59.0","-44.0","-36.0","75.0","-31.0","131.0","-54.0","65.0","-49.0","-61.0","-204.0","186.0","15.0","618.0","-147.0","-71.0","-72.0","-356.0","-275.0","17.0","-515.0","281.0","-274.0","124.0","527.0","-98.0","438.0","887.0","-532.0","1,429.0","54.0","-71.0","645.0","774.0","-691.0","1,036.0","-3,676.0","1,285.0","-295.0"
