"","Table 2#2A# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Wage and salary disbursements","A576RC1","119,655.0","121,471.0","123,387.0","127,807.0","131,279.0","133,075.0","138,255.0","139,451.0","136,823.0","134,955.0","133,899.0","133,439.0","137,072.0","142,865.0","150,802.0","158,176.0","165,334.0","170,931.0","173,053.0","176,812.0","181,047.0","182,257.0","186,035.0","193,293.0","196,959.0","200,163.0","200,378.0","198,761.0","196,401.0","195,957.0","196,334.0","200,360.0","204,056.0","209,851.0","215,246.0","219,451.0","223,282.0","227,501.0","229,953.0","235,367.0","238,266.0","239,617.0","241,829.0","240,092.0","236,724.0","236,276.0","243,837.0","248,432.0","254,012.0","260,557.0","260,900.0","263,903.0","270,751.0","273,400.0","273,966.0","273,310.0","273,790.0","277,634.0","282,253.0","288,404.0","293,277.0","298,748.0","301,176.0","304,235.0","307,963.0","312,357.0","316,846.0","322,241.0","328,223.0","334,834.0","341,294.0","346,804.0","352,816.0","358,879.0","366,217.0","377,123.0","385,765.0","395,905.0","406,134.0","413,487.0","418,842.0","423,605.0","432,010.0","441,584.0","454,212.0","465,925.0","478,332.0","489,425.0","499,069.0","511,383.0","526,432.0","536,452.0"
"21","2","Private industries","A132RC1","101,723.0","103,899.0","106,375.0","110,279.0","113,336.0","114,712.0","118,768.0","119,164.0","116,438.0","114,362.0","112,950.0","112,058.0","115,621.0","121,214.0","128,043.0","133,505.0","138,597.0","142,454.0","143,280.0","145,059.0","148,621.0","149,039.0","152,245.0","159,343.0","162,748.0","165,672.0","165,859.0","164,326.0","162,004.0","161,240.0","161,205.0","164,983.0","168,574.0","173,617.0","177,848.0","182,181.0","185,446.0","188,969.0","190,769.0","195,711.0","198,037.0","198,884.0","200,328.0","198,503.0","194,689.0","193,185.0","197,730.0","203,177.0","208,556.0","214,713.0","214,664.0","217,223.0","223,039.0","224,764.0","224,094.0","222,802.0","222,686.0","225,834.0","229,461.0","234,216.0","237,977.0","242,772.0","244,688.0","246,611.0","249,343.0","252,977.0","256,666.0","260,317.0","265,099.0","270,674.0","275,750.0","279,932.0","285,364.0","290,331.0","295,729.0","303,971.0","310,837.0","319,029.0","326,334.0","331,535.0","335,390.0","338,609.0","344,942.0","351,168.0","361,452.0","370,721.0","379,592.0","389,373.0","397,785.0","408,271.0","418,268.0","426,612.0"
"22","3","  Goods-producing industries","A206RC1","52,310.0","53,418.0","54,290.0","56,958.0","59,379.0","59,846.0","62,419.0","62,648.0","60,307.0","57,769.0","57,149.0","56,043.0","58,389.0","62,574.0","67,157.0","71,183.0","74,087.0","76,695.0","77,023.0","77,714.0","79,979.0","79,759.0","81,545.0","87,285.0","89,680.0","90,789.0","90,285.0","88,246.0","86,295.0","85,419.0","84,567.0","87,047.0","89,519.0","92,566.0","94,285.0","96,753.0","98,006.0","99,999.0","100,876.0","104,270.0","105,049.0","104,753.0","104,853.0","102,869.0","99,175.0","97,415.0","100,514.0","103,960.0","107,467.0","111,285.0","109,994.0","110,735.0","114,786.0","114,532.0","113,022.0","111,240.0","110,584.0","112,762.0","114,793.0","117,830.0","119,638.0","122,292.0","123,067.0","123,718.0","124,659.0","126,407.0","128,348.0","130,048.0","131,958.0","135,032.0","137,586.0","139,232.0","142,930.0","144,860.0","147,129.0","151,367.0","155,903.0","160,608.0","163,854.0","166,071.0","166,629.0","166,727.0","169,778.0","172,720.0","178,017.0","182,307.0","185,608.0","190,515.0","194,097.0","198,888.0","203,264.0","205,394.0"
"23","4","    Manufacturing","A552RC1","41,213.0","41,957.0","42,321.0","44,353.0","46,128.0","46,428.0","47,992.0","48,032.0","46,392.0","44,472.0","44,364.0","43,324.0","45,371.0","48,405.0","52,018.0","55,470.0","57,711.0","59,768.0","59,750.0","60,198.0","62,039.0","62,188.0","63,517.0","68,985.0","71,136.0","72,399.0","71,750.0","69,726.0","67,926.0","67,135.0","66,529.0","68,705.0","70,754.0","73,147.0","74,592.0","77,062.0","77,549.0","78,595.0","79,308.0","82,504.0","83,243.0","82,832.0","82,897.0","81,088.0","77,861.0","76,331.0","79,036.0","81,648.0","84,843.0","88,145.0","87,204.0","87,556.0","91,449.0","90,769.0","89,281.0","87,605.0","86,969.0","88,949.0","90,559.0","93,172.0","94,911.0","96,932.0","97,422.0","97,906.0","98,799.0","100,009.0","101,248.0","102,903.0","104,310.0","106,519.0","108,734.0","109,629.0","112,802.0","114,229.0","116,292.0","119,390.0","123,207.0","127,179.0","130,089.0","132,348.0","132,622.0","132,643.0","134,751.0","137,234.0","141,544.0","144,738.0","147,049.0","150,858.0","153,259.0","156,382.0","160,050.0","161,181.0"
"24","5","  Distributive industries","A212RC1","33,818.0","34,326.0","35,770.0","36,898.0","36,587.0","37,091.0","38,187.0","38,283.0","37,900.0","38,200.0","37,380.0","37,140.0","37,986.0","39,064.0","40,882.0","41,697.0","43,424.0","44,398.0","44,513.0","45,116.0","45,938.0","46,298.0","47,351.0","48,326.0","48,803.0","49,937.0","50,317.0","50,556.0","50,213.0","49,994.0","50,211.0","50,758.0","51,498.0","52,795.0","54,399.0","55,560.0","56,921.0","57,757.0","58,133.0","59,009.0","59,846.0","60,532.0","61,341.0","61,273.0","60,578.0","60,138.0","61,137.0","62,461.0","63,716.0","65,093.0","65,551.0","66,226.0","67,616.0","68,825.0","68,983.0","68,898.0","68,673.0","69,021.0","70,019.0","70,838.0","71,952.0","73,062.0","73,691.0","74,367.0","75,126.0","76,320.0","77,277.0","78,349.0","79,784.0","81,235.0","82,829.0","84,279.0","85,466.0","86,935.0","88,425.0","90,585.0","92,088.0","94,184.0","96,152.0","97,795.0","99,505.0","100,772.0","102,262.0","103,888.0","106,503.0","109,276.0","112,441.0","114,939.0","117,091.0","120,390.0","123,193.0","126,152.0"
"25","6","  Service industries","A218RC1","15,595.0","16,155.0","16,315.0","16,423.0","17,370.0","17,775.0","18,162.0","18,233.0","18,231.0","18,393.0","18,421.0","18,875.0","19,246.0","19,576.0","20,004.0","20,625.0","21,086.0","21,361.0","21,744.0","22,229.0","22,704.0","22,982.0","23,349.0","23,732.0","24,265.0","24,946.0","25,257.0","25,524.0","25,496.0","25,827.0","26,427.0","27,178.0","27,557.0","28,256.0","29,164.0","29,868.0","30,519.0","31,213.0","31,760.0","32,432.0","33,142.0","33,599.0","34,134.0","34,361.0","34,936.0","35,632.0","36,079.0","36,756.0","37,373.0","38,335.0","39,119.0","40,262.0","40,637.0","41,407.0","42,089.0","42,664.0","43,429.0","44,051.0","44,649.0","45,548.0","46,387.0","47,418.0","47,930.0","48,526.0","49,558.0","50,250.0","51,041.0","51,920.0","53,357.0","54,407.0","55,335.0","56,421.0","56,968.0","58,536.0","60,175.0","62,019.0","62,846.0","64,237.0","66,328.0","67,669.0","69,256.0","71,110.0","72,902.0","74,560.0","76,932.0","79,138.0","81,543.0","83,919.0","86,597.0","88,993.0","91,811.0","95,066.0"
"26","7","Government","B202RC1","17,932.0","17,572.0","17,012.0","17,528.0","17,943.0","18,363.0","19,487.0","20,287.0","20,385.0","20,593.0","20,949.0","21,381.0","21,451.0","21,651.0","22,759.0","24,671.0","26,737.0","28,477.0","29,773.0","31,753.0","32,426.0","33,218.0","33,790.0","33,950.0","34,211.0","34,491.0","34,519.0","34,435.0","34,397.0","34,717.0","35,129.0","35,377.0","35,482.0","36,234.0","37,398.0","37,270.0","37,836.0","38,532.0","39,184.0","39,656.0","40,229.0","40,733.0","41,501.0","41,589.0","42,035.0","43,091.0","46,107.0","45,255.0","45,456.0","45,844.0","46,236.0","46,680.0","47,712.0","48,636.0","49,872.0","50,508.0","51,104.0","51,800.0","52,792.0","54,188.0","55,300.0","55,976.0","56,488.0","57,624.0","58,620.0","59,380.0","60,180.0","61,924.0","63,124.0","64,160.0","65,544.0","66,872.0","67,452.0","68,548.0","70,488.0","73,152.0","74,928.0","76,876.0","79,800.0","81,952.0","83,452.0","84,996.0","87,068.0","90,416.0","92,760.0","95,204.0","98,740.0","100,052.0","101,284.0","103,112.0","108,164.0","109,840.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
