"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 31, 2012      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2012 10:44:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","      Motor vehicle output","A953RX1","279,094.0","284,031.0","307,784.0","333,129.0","365,080.0","359,692.0","343,753.0","383,283.0","387,335.0","402,987.0","418,937.0","413,974.0","413,903.0","336,949.0","254,507.0","324,211.0","364,468.0"
"20","2","        Auto output","A133RX1","138,885.0","135,679.0","136,971.0","143,451.0","148,780.0","150,472.0","142,312.0","148,569.0","133,182.0","134,955.0","150,252.0","153,853.0","151,602.0","140,998.0","92,692.0","108,007.0","113,580.0"
"21","3","        Truck output","A716RX1","139,528.0","147,759.0","170,408.0","189,347.0","216,022.0","208,955.0","201,186.0","234,577.0","254,151.0","268,009.0","268,685.0","260,063.0","262,291.0","195,487.0","161,896.0","216,584.0","251,617.0"
"22","4","Final sales of domestic product","AB60RX1","271,741.0","285,658.0","302,972.0","331,960.0","353,156.0","349,057.0","356,719.0","369,792.0","379,319.0","398,503.0","422,568.0","417,813.0","421,898.0","346,885.0","281,421.0","314,640.0","373,521.0"
"23","5","  Personal consumption expenditures","AB61RX1","218,855.0","228,853.0","245,150.0","274,084.0","301,103.0","311,399.0","330,893.0","350,732.0","360,736.0","365,067.0","361,601.0","347,993.0","354,928.0","303,224.0","282,787.0","288,643.0","314,361.0"
"24","6","    New motor vehicles","AB67RX1","144,650.0","147,195.0","155,059.0","172,343.0","192,341.0","202,823.0","222,621.0","239,623.0","251,164.0","253,675.0","248,894.0","234,558.0","237,290.0","191,278.0","169,637.0","178,726.0","199,326.0"
"25","7","      Autos","A136RX1","79,620.0","78,057.0","78,518.0","83,493.0","92,480.0","97,140.0","96,186.0","94,602.0","91,652.0","92,785.0","97,448.0","99,083.0","95,589.0","85,578.0","71,574.0","68,307.0","77,480.0"
"26","8","      Light trucks (including utility vehicles)","B704RX1","65,027.0","69,201.0","76,653.0","88,987.0","100,009.0","105,835.0","126,493.0","145,034.0","159,487.0","160,866.0","151,447.0","135,379.0","141,750.0","105,326.0","97,991.0","110,694.0","122,172.0"
"27","9","    Net purchases of used autos and used light trucks","W240RX1","74,115.0","81,686.0","90,188.0","101,888.0","108,805.0","108,522.0","108,159.0","111,054.0","109,516.0","111,351.0","112,707.0","113,416.0","117,602.0","112,035.0","113,654.0","110,311.0","115,633.0"
"28","10","      Used autos","A137RX1","51,767.0","53,724.0","56,252.0","60,139.0","60,506.0","59,440.0","57,491.0","56,985.0","55,216.0","54,941.0","55,674.0","54,246.0","53,382.0","51,463.0","48,274.0","47,493.0","49,214.0"
"29","11","      Used light trucks (including utility vehicles)","W241RX1","22,544.0","28,128.0","34,095.0","41,904.0","48,416.0","49,182.0","50,726.0","54,092.0","54,309.0","56,410.0","57,033.0","59,168.0","64,217.0","60,573.0","65,335.0","62,783.0","66,405.0"
"30","12","  Private fixed investment","AB62RX1","102,774.0","108,202.0","115,526.0","121,887.0","137,922.0","132,714.0","117,386.0","113,128.0","108,398.0","126,828.0","147,961.0","163,695.0","145,053.0","100,035.0","37,354.0","88,651.0","118,462.0"
"31","13","    New motor vehicles","AB68RX1","139,242.0","152,560.0","163,747.0","179,527.0","201,419.0","197,159.0","179,562.0","178,080.0","171,610.0","192,720.0","212,956.0","229,756.0","219,728.0","174,290.0","117,237.0","158,162.0","184,611.0"
"32","14","      Autos","B139RX1","67,924.0","70,632.0","71,287.0","72,824.0","79,692.0","81,030.0","77,519.0","77,671.0","71,656.0","73,236.0","77,764.0","81,229.0","82,855.0","71,089.0","51,798.0","67,295.0","69,540.0"
"33","15","      Trucks","B705RX1","70,883.0","81,551.0","92,210.0","106,655.0","121,738.0","116,085.0","101,927.0","100,270.0","99,899.0","119,482.0","135,192.0","148,542.0","136,842.0","103,112.0","65,321.0","90,717.0","114,889.0"
"34","16","        Light trucks (including utility vehicles)","B196RX1","40,428.0","53,893.0","65,762.0","74,051.0","85,285.0","84,516.0","78,955.0","77,268.0","77,447.0","89,041.0","98,785.0","109,065.0","108,702.0","82,055.0","49,772.0","72,489.0","84,835.0"
"35","17","        Other","B197RX1","32,821.0","28,927.0","26,949.0","33,526.0","37,395.0","32,034.0","22,802.0","22,872.0","22,294.0","30,411.0","36,407.0","39,490.0","28,758.0","21,540.0","15,519.0","18,720.0","29,610.0"
"36","18","    Net purchases of used autos and used light trucks","W242RX1","-39,081.0","-46,341.0","-50,250.0","-59,207.0","-65,411.0","-65,984.0","-62,947.0","-65,140.0","-63,324.0","-66,071.0","-64,995.0","-66,068.0","-74,886.0","-75,028.0","-83,456.0","-72,771.0","-70,248.0"
"37","19","      Used autos","B140RX1","-28,420.0","-31,079.0","-32,715.0","-35,532.0","-35,819.0","-35,306.0","-32,037.0","-32,183.0","-31,370.0","-32,732.0","-32,735.0","-32,179.0","-34,920.0","-36,010.0","-37,539.0","-33,585.0","-32,691.0"
"38","20","      Used light trucks (including utility vehicles)","W243RX1","-10,828.0","-15,388.0","-17,654.0","-23,774.0","-29,646.0","-30,719.0","-30,922.0","-32,956.0","-31,954.0","-33,339.0","-32,260.0","-33,889.0","-39,969.0","-39,020.0","-45,924.0","-39,190.0","-37,558.0"
"39","21","  Gross government investment","AB64RX1","10,667.0","10,553.0","11,122.0","12,002.0","12,607.0","13,156.0","13,495.0","13,776.0","14,492.0","14,258.0","15,097.0","16,558.0","17,035.0","17,311.0","15,179.0","13,494.0","16,519.0"
"40","22","    Autos","B144RX1","3,837.0","3,628.0","3,263.0","3,406.0","3,498.0","3,392.0","3,523.0","3,291.0","3,235.0","3,171.0","3,452.0","3,749.0","3,805.0","3,571.0","2,887.0","2,623.0","2,536.0"
"41","23","    Trucks","B708RX1","6,749.0","6,851.0","7,811.0","8,552.0","9,068.0","9,736.0","9,941.0","10,472.0","11,257.0","11,087.0","11,645.0","12,809.0","13,230.0","13,740.0","12,297.0","10,874.0","13,966.0"
"42","24","  Net exports","AB63RX1","-56,390.0","-57,457.0","-64,379.0","-71,732.0","-95,026.0","-105,898.0","-104,048.0","-107,587.0","-104,235.0","-107,499.0","-102,091.0","-110,462.0","-95,180.0","-73,488.0","-51,146.0","-73,023.0","-72,545.0"
"43","25","    Exports","AB69RX1","27,376.0","28,576.0","30,147.0","28,652.0","27,606.0","28,023.0","27,068.0","30,409.0","33,458.0","37,070.0","43,970.0","48,760.0","59,852.0","63,664.0","38,736.0","52,784.0","62,800.0"
"44","26","      Autos","B142RX1","13,329.0","13,690.0","13,394.0","12,937.0","12,562.0","12,822.0","13,761.0","15,414.0","16,110.0","16,597.0","20,415.0","23,761.0","31,340.0","36,568.0","20,400.0","27,234.0","32,600.0"
"45","27","      Trucks","B706RX1","14,000.0","14,856.0","16,807.0","15,753.0","15,075.0","15,229.0","13,273.0","14,959.0","17,332.0","20,477.0","23,555.0","24,999.0","28,519.0","27,139.0","18,327.0","25,524.0","30,168.0"
"46","28","    Imports","AB70RX1","83,766.0","86,033.0","94,526.0","100,384.0","122,632.0","133,921.0","131,116.0","137,995.0","137,694.0","144,569.0","146,061.0","159,222.0","155,032.0","137,152.0","89,883.0","125,807.0","135,344.0"
"47","29","      Autos","B143RX1","51,908.0","48,209.0","53,537.0","55,692.0","65,999.0","71,970.0","70,200.0","74,572.0","71,973.0","72,128.0","69,558.0","76,990.0","75,772.0","75,325.0","53,362.0","71,726.0","78,460.0"
