"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"1","[Millions of chained (2005) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 31, 2012      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2012 10:41:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      Government consumption expenditures \1\","A955RX1","1,610,400.0","1,613,646.0","1,616,031.0","1,594,654.0","1,601,071.0","1,621,063.0","1,614,716.0","1,626,573.0","1,625,145.0","1,644,477.0","1,645,764.0","1,657,753.0","1,647,701.0","1,674,952.0","1,675,786.0","1,695,465.0","1,703,241.0","1,704,615.0","1,725,569.0","1,747,342.0","1,728,223.0","1,762,579.0","1,752,970.0","1,758,575.0","1,784,865.0","1,808,610.0","1,824,999.0","1,845,353.0","1,872,413.0","1,892,392.0","1,904,873.0","1,919,119.0","1,916,217.0","1,947,841.0","1,943,815.0","1,947,392.0","1,960,651.0","1,964,027.0","1,974,847.0","1,968,038.0","1,974,155.0","1,972,130.0","1,990,455.0","1,974,731.0","1,997,579.0","1,989,679.0","1,998,033.0","2,003,698.0","2,001,186.0","2,014,533.0","2,034,533.0","2,040,114.0","2,055,466.0","2,051,601.0","2,072,718.0","2,087,486.0","2,084,027.0","2,110,380.0","2,116,363.0","2,120,728.0","2,120,134.0","2,131,528.0","2,133,719.0","2,119,701.0","2,106,789.0","2,109,260.0","2,105,422.0","2,082,774.0","2,070,750.0"
"21","2","        Gross output of general government","W101RX1","1,867,637.0","1,870,179.0","1,874,038.0","1,856,299.0","1,861,035.0","1,882,679.0","1,879,958.0","1,891,664.0","1,892,058.0","1,912,996.0","1,914,873.0","1,929,774.0","1,922,066.0","1,949,297.0","1,964,594.0","1,971,462.0","1,979,682.0","1,987,376.0","2,010,404.0","2,033,661.0","2,020,679.0","2,056,129.0","2,051,237.0","2,063,433.0","2,093,087.0","2,119,347.0","2,137,447.0","2,161,088.0","2,187,892.0","2,206,112.0","2,221,799.0","2,233,516.0","2,229,748.0","2,263,482.0","2,259,391.0","2,262,322.0","2,276,217.0","2,281,018.0","2,294,529.0","2,286,973.0","2,295,410.0","2,291,745.0","2,312,780.0","2,297,791.0","2,318,871.0","2,313,479.0","2,322,373.0","2,327,520.0","2,326,572.0","2,342,466.0","2,364,238.0","2,371,664.0","2,385,556.0","2,380,917.0","2,404,580.0","2,417,901.0","2,417,363.0","2,446,481.0","2,454,667.0","2,460,671.0","2,462,389.0","2,477,458.0","2,481,662.0","2,465,305.0","2,452,459.0","2,457,684.0","2,467,532.0","2,436,120.0","2,424,508.0"
"22","3","          Value added","W102RX1","1,288,962.0","1,290,739.0","1,290,660.0","1,280,570.0","1,279,987.0","1,293,591.0","1,293,103.0","1,292,568.0","1,295,308.0","1,297,905.0","1,302,159.0","1,303,064.0","1,308,034.0","1,312,728.0","1,317,289.0","1,319,316.0","1,322,078.0","1,322,579.0","1,327,201.0","1,333,360.0","1,341,314.0","1,353,677.0","1,350,302.0","1,352,192.0","1,361,549.0","1,370,814.0","1,378,756.0","1,383,695.0","1,392,308.0","1,399,908.0","1,405,798.0","1,407,668.0","1,415,304.0","1,419,204.0","1,419,166.0","1,419,311.0","1,422,801.0","1,424,674.0","1,427,339.0","1,432,459.0","1,434,940.0","1,434,741.0","1,437,466.0","1,438,757.0","1,437,603.0","1,440,093.0","1,448,661.0","1,453,545.0","1,454,664.0","1,458,014.0","1,464,546.0","1,472,758.0","1,479,646.0","1,486,053.0","1,497,991.0","1,505,374.0","1,511,505.0","1,521,205.0","1,522,914.0","1,524,915.0","1,526,718.0","1,533,053.0","1,526,700.0","1,525,107.0","1,524,632.0","1,522,458.0","1,520,858.0","1,522,075.0","1,520,554.0"
"23","4","            Compensation of general government employees","A194RX1","1,127,379.0","1,128,542.0","1,127,712.0","1,116,470.0","1,115,044.0","1,128,372.0","1,126,965.0","1,125,526.0","1,127,463.0","1,129,141.0","1,132,497.0","1,132,376.0","1,136,415.0","1,140,005.0","1,143,385.0","1,144,045.0","1,145,370.0","1,144,364.0","1,147,620.0","1,152,440.0","1,159,072.0","1,170,293.0","1,165,455.0","1,166,111.0","1,174,540.0","1,182,707.0","1,189,565.0","1,193,369.0","1,200,858.0","1,207,335.0","1,212,113.0","1,212,849.0","1,219,409.0","1,222,140.0","1,220,967.0","1,219,884.0","1,221,735.0","1,222,080.0","1,223,291.0","1,227,079.0","1,228,322.0","1,226,813.0","1,228,112.0","1,227,898.0","1,225,165.0","1,226,039.0","1,232,971.0","1,236,255.0","1,235,657.0","1,237,234.0","1,241,936.0","1,248,178.0","1,254,179.0","1,258,559.0","1,268,552.0","1,274,053.0","1,278,389.0","1,286,297.0","1,286,263.0","1,286,538.0","1,286,646.0","1,291,275.0","1,283,302.0","1,280,101.0","1,277,988.0","1,274,066.0","1,270,524.0","1,269,646.0","1,265,864.0"
"24","5","            Consumption of general government fixed capital \2\","A265RX1","164,546.0","165,075.0","165,655.0","166,247.0","166,897.0","167,508.0","168,223.0","168,926.0","169,641.0","170,449.0","171,285.0","172,140.0","173,025.0","174,046.0","175,130.0","176,310.0","177,574.0","178,859.0","180,115.0","181,383.0","182,673.0","183,894.0","185,096.0","186,208.0","187,187.0","188,311.0","189,397.0","190,488.0","191,614.0","192,728.0","193,816.0","194,893.0","195,965.0","197,112.0","198,221.0","199,429.0","201,062.0","202,594.0","204,049.0","205,376.0","206,615.0","207,931.0","209,358.0","210,855.0","212,436.0","214,055.0","215,691.0","217,289.0","219,006.0","220,781.0","222,611.0","224,579.0","225,464.0","227,497.0","229,442.0","231,325.0","233,122.0","234,918.0","236,680.0","238,431.0","240,159.0","241,884.0","243,597.0","245,278.0","246,983.0","248,810.0","250,830.0","252,984.0","255,322.0"
"25","6","          Intermediate goods and services purchased \3\","W104RX1","583,965.0","584,743.0","588,424.0","580,917.0","585,911.0","593,889.0","591,773.0","603,263.0","601,149.0","618,540.0","616,404.0","629,680.0","617,737.0","639,379.0","649,765.0","654,458.0","659,787.0","666,785.0","684,745.0","701,431.0","681,274.0","703,802.0","702,289.0","712,312.0","732,156.0","748,830.0","758,864.0","777,345.0","795,452.0","806,032.0","815,785.0","825,611.0","814,212.0","844,185.0","840,087.0","842,896.0","853,390.0","856,330.0","867,264.0","854,487.0","860,456.0","856,962.0","875,289.0","859,116.0","881,225.0","873,377.0","873,724.0","873,980.0","871,854.0","884,442.0","899,701.0","898,929.0","905,846.0","895,045.0","906,600.0","912,470.0","905,620.0","925,308.0","931,869.0","935,900.0","935,800.0","944,571.0","955,256.0","940,398.0","928,060.0","935,361.0","946,650.0","914,384.0","904,397.0"
"26","7","            Durable goods","W105RX1","37,352.0","35,436.0","39,536.0","35,209.0","35,822.0","38,458.0","38,531.0","36,695.0","37,780.0","39,544.0","38,267.0","38,994.0","38,832.0","39,899.0","42,139.0","41,869.0","40,973.0","44,139.0","46,064.0","44,105.0","44,847.0","45,037.0","45,647.0","45,041.0","45,024.0","47,354.0","49,115.0","46,616.0","47,311.0","48,501.0","50,119.0","48,767.0","47,794.0","51,278.0","51,538.0","51,636.0","52,195.0","54,292.0","54,843.0","53,916.0","53,159.0","54,155.0","55,459.0","55,616.0","56,599.0","56,597.0","57,893.0","59,395.0","58,373.0","60,495.0","63,056.0","64,062.0","65,034.0","67,040.0","69,082.0","69,860.0","66,442.0","70,447.0","73,695.0","71,189.0","69,604.0","71,025.0","73,195.0","75,249.0","67,602.0","69,014.0","70,158.0","70,214.0","65,661.0"
"27","8","            Nondurable goods","W106RX1","148,019.0","147,360.0","149,401.0","148,935.0","149,955.0","151,126.0","152,264.0","152,533.0","157,174.0","158,207.0","160,997.0","163,215.0","167,239.0","169,773.0","173,916.0","175,812.0","174,216.0","177,823.0","181,779.0","180,745.0","185,317.0","186,271.0","187,829.0","191,065.0","196,431.0","203,853.0","203,413.0","208,115.0","209,398.0","212,968.0","211,495.0","212,446.0","210,981.0","212,392.0","209,175.0","211,820.0","215,876.0","215,418.0","216,226.0","213,811.0","218,369.0","215,441.0","218,390.0","218,035.0","217,960.0","216,351.0","219,042.0","216,266.0","220,300.0","222,045.0","224,474.0","221,733.0","222,501.0","219,653.0","217,180.0","219,604.0","220,702.0","223,609.0","221,235.0","222,184.0","221,352.0","223,082.0","223,187.0","223,080.0","222,671.0","223,289.0","224,490.0","221,638.0","219,828.0"
"28","9","            Services","W107RX1","398,644.0","402,589.0","398,919.0","397,701.0","400,917.0","404,287.0","401,071.0","414,677.0","406,995.0","421,033.0","418,160.0","428,366.0","413,479.0","431,085.0","434,971.0","438,295.0","445,794.0","445,780.0","457,610.0","477,128.0","452,519.0","473,657.0","470,065.0","477,726.0","492,438.0","499,555.0","507,794.0","524,538.0","540,180.0","546,121.0","555,018.0","565,172.0","556,363.0","580,611.0","579,119.0","579,434.0","585,484.0","586,593.0","596,014.0","586,653.0","588,983.0","587,367.0","601,453.0","585,397.0","606,779.0","600,537.0","596,793.0","598,405.0","593,154.0","601,933.0","612,324.0","613,529.0","618,776.0","608,990.0","622,257.0","624,741.0","619,918.0","632,747.0","638,512.0","643,868.0","646,122.0","651,888.0","660,558.0","643,923.0","638,594.0","644,165.0","653,423.0","623,391.0","619,199.0"
"29","10","        Less: Own-account investment \4\","W108RX1","20,433.0","20,319.0","20,413.0","19,703.0","19,760.0","20,062.0","20,249.0","20,139.0","22,350.0","21,694.0","20,681.0","19,982.0","20,847.0","22,167.0","22,208.0","20,809.0","20,012.0","22,284.0","21,899.0","22,109.0","21,684.0","21,215.0","21,954.0","21,790.0","23,502.0","24,709.0","24,040.0","24,166.0","24,483.0","24,221.0","24,316.0","24,070.0","23,412.0","23,266.0","23,530.0","23,745.0","23,267.0","23,792.0","23,818.0","23,647.0","23,414.0","23,799.0","23,818.0","24,101.0","23,763.0","24,400.0","24,460.0","24,471.0","24,310.0","24,325.0","24,400.0","24,555.0","24,683.0","24,949.0","25,110.0","25,265.0","25,459.0","25,354.0","24,873.0","23,900.0","23,124.0","23,607.0","24,020.0","23,346.0","22,545.0","22,195.0","22,314.0","22,485.0","22,114.0"
