"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 31, 2016      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2016 7:29:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8","1","      Personal consumption expenditures","DPCERX0",7775909,8170682,8382636,8598775,8867559,9208180,9531811,9821691,10041554,10007182,9846969,10036322,10263452,10413244,10590418,10875734,11213320
"9","2","Goods","DGDSRX0",2460874,2588250,2666644,2770177,2904451,3051921,3177160,3292529,3381763,3297792,3198444,3308651,3411777,3504263,3612775,3731170,3869641
"10","3","  Durable goods","DDURRX0",698312,758332,798016,856587,917639,992924,1046946,1091545,1141662,1083235,1023318,1085658,1151531,1236206,1307562,1384101,1466458
"11","4","    Motor vehicles and parts","DMOTRX0",335750,346435,364142,383313,394574,405492,399996,385132,392789,340814,317058,323406,333773,359113,375780,396728,411258
"12","5","      New motor vehicles (55)","DNMVRX0",188192,198449,217821,234467,245747,248207,243507,229474,232036,187157,165623,178589,198494,222548,232060,244876,252563
"13","6","        New autos","DNEARX0",92821,97410,96329,94835,91924,92926,97693,99448,95805,86003,71177,68758,77037,90017,90445,88926,81052
"14","7","          New domestic autos","DNDCRX0",60053,63526,63856,63157,60622,59563,63059,62229,59736,52943,45431,44115,50998,59692,61917,62938,57930
"15","8","          New foreign autos","DNFCRX0",32768,33885,32473,31677,31302,33363,34634,37219,36069,33060,25746,24643,26039,30325,28527,25987,23121
"16","9","        New light trucks","DNWTRX0",96221,101904,121752,139375,153103,154558,145490,130041,136124,101151,94446,109759,121388,132520,141514,155591,170593
"17","10","      Net purchases of used motor vehicles (56)","DNPVRX0",95114,94866,94549,97085,95320,100568,97730,96229,100059,96913,99660,91035,81094,82352,87981,94432,100175
"18","11","        Used autos","DNPURX0",54456,53497,51743,51294,50451,53483,51218,48440,46793,45690,42660,39391,36865,36482,39270,42849,45280
"19","12","          Net transactions in used autos","DNETRX0",31940,30555,27939,30262,29438,32325,29588,26925,25618,25341,25499,22672,18536,16625,18831,21974,23327
"20","13","          Used auto margin","DMARRX0",24707,25284,26671,23257,23291,23465,23844,23609,23182,22296,18896,18476,20001,21528,22082,22473,23555
"21","14","          Employee reimbursement","DREERX0",-2114,-2053,-2137,-2025,-2048,-2106,-2075,-2005,-1947,-1881,-1735,-1787,-1787,-1796,-1764,-1735,-1735
"22","15","        Used light trucks","DUTRRX0",40926,41574,42880,45723,44809,47033,46447,47722,53268,51217,57000,51641,44211,45852,48693,51570,54880
"23","16","          Net transactions in used trucks","DUTNRX0",29393,29611,30356,33661,31557,33322,32837,34072,39236,38627,44806,39028,32622,33134,34917,36215,38193
"24","17","          Used truck margin","DUTMRX0",11572,12003,12568,12185,13231,13713,13602,13673,14145,12686,12193,12591,11545,12655,13706,15280,16609
"25","18","      Motor vehicle parts and accessories (58)","DMVPRX0",52582,53314,51378,50987,53448,56805,59609,60480,61543,56969,51775,54414,56458,57276,58788,60525,61568
"26","19","        Tires","DTATRX0",19516,19479,19227,19252,20319,21713,23072,23363,23948,22931,21267,22364,22671,22709,23767,24755,24746
"27","20","        Accessories and parts","DPAARX0",33112,33897,32187,31761,33151,35113,36550,37132,37606,34039,30508,32050,33799,34593,35036,35791,36822
"28","21","    Furnishings and durable household equipment","DFDHRX0",171234,187747,197294,211699,226793,248326,264837,278298,280443,267670,244311,261502,276600,288743,304260,323940,344306
