"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211"
"11","2","Goods","DGDSRX0",2369201,2399548,2412047,2427792,2453985,2467724,2459916,2480677,2495732,2490095,2503677,2570088,2528971,2566911,2581423,2566064,2579480,2572203,2571646,2594638,2631878,2623213,2612685,2629894,2624110,2640699,2619326,2620534,2641765,2642915,2651446,2679263,2631050,2785258,2750567,2712794,2731686,2751104,2744998,2768177,2728201,2764362,2793172,2809415,2762357,2768228,2789782,2830641,2820264,2790180,2824719,2853924,2860546,2902217,2921941,2982866,2955578,2956983,2998474,2985721,2998652,2998327,3041439,3021715,3059029,3007607,3048403,3054728,3094987,3088651,3086427,3123087,3127815,3143156,3138635,3196919,3134746,3201847,3242415,3194072,3149992,3174542,3199826,3221957,3265021,3262105,3259515,3272576,3259374,3271583,3298403,3275815,3309217,3328299,3334828,3373609,3366502,3357200,3366741,3367738,3388349,3372856,3385700,3387472,3403822,3394492,3399089,3391195,3367450,3324681,3354042,3360111,3367240,3353809,3315532,3325801,3248352,3205289,3191107,3160097,3205496,3193396,3167502,3155866,3176485,3168314,3197943,3285658,3185068,3198321,3215146,3232136,3221965,3234702,3284267,3280939,3285169,3297996,3296706,3326101,3334582,3371228,3385158,3385000,3401414,3402439,3410725,3409470,3387970,3397303,3406218,3394944,3415321,3446210,3436238,3433068,3465716,3486073,3488573,3493610,3492810,3483016,3501366,3508759,3530431,3512596,3530940,3557270,3585642,3591503,3580946,3579388,3602787,3608184,3622027,3604717,3633946,3634809,3652537,3656809,3607797,3664196,3703033,3711556,3708388,3734037,3737345,3772762,3755361,3772724,3804803,3802035,3798418,3783067,3829655,3827819,3872230,3864853,3887744,3909005,3909137,3902609,3927575,3923574,3912589,3919706,3933734,3981893
"12","3","  Durable goods","DDURRX0",652136,667397,672542,683048,696223,708063,706477,713106,717779,712188,716470,734309,750167,770528,762972,745330,750525,745607,746182,756897,776453,768985,762792,763541,766484,787856,778730,765680,775155,790205,782020,800710,775070,883465,852501,818309,832465,847389,843049,866468,832442,848748,875313,893013,854027,846183,854640,885309,872515,850219,871323,894406,902457,916248,929156,962725,942204,944719,965506,960197,959188,972866,985983,976205,1003355,966941,995519,991204,1017312,1007943,1007346,1031230,1017577,1024756,1036424,1068753,1022937,1074405,1114046,1057632,1030313,1020980,1039806,1055726,1088159,1074275,1081611,1083180,1071430,1085845,1100524,1082333,1102369,1102976,1105431,1120410,1122935,1120423,1122752,1129165,1149478,1136113,1136559,1151167,1164971,1162431,1157406,1146544,1134878,1117176,1115413,1117316,1124644,1115023,1087315,1105086,1061708,1015289,1010609,994364,1025200,1006324,994305,986129,1006815,1014754,1034005,1110451,1007209,1015754,1037807,1041066,1028349,1030803,1076336,1072172,1075582,1081146,1088500,1094575,1098209,1127157,1126191,1128880,1136604,1136173,1152547,1144046,1131670,1126945,1144254,1139864,1161733,1181203,1177462,1185867,1203634,1216845,1221019,1224598,1220840,1220873,1230123,1236642,1259951,1242364,1268298,1289291,1293105,1300002,1287784,1294240,1300374,1307781,1310864,1311776,1311041,1319398,1333353,1321029,1299175,1331509,1368990,1367767,1375285,1388663,1390265,1413899,1403223,1410496,1432423,1427511,1427176,1418464,1445685,1449289,1470132,1455347,1473920,1484057,1487025,1483210,1503752,1499439,1483099,1493098,1496199,1529446
"13","4","    Motor vehicles and parts","DMOTRX0",316480,321900,323611,336417,343437,350603,344566,345857,343127,330320,333162,339520,356693,373030,358444,336444,340191,333341,332538,340479,355043,348353,341495,341171,339416,364952,355313,335374,344717,361887,346167,361462,346751,452697,403397,357566,369605,380703,377022,396629,359846,377113,406564,420985,377559,366398,369757,397578,385858,369806,376545,395310,391727,394366,399223,422732,397790,394457,407574,399501,398980,402571,405677,399020,423431,383466,402848,397368,421635,408179,405001,417733,402428,394805,406354,427428,388264,427478,471138,403675,375056,350320,368875,384127,387523,376589,382108,385384,374301,386072,400819,380558,384165,387635,386091,390343,388362,396062,387006,391872,403817,392947,383976,391138,404774,400868,389047,383596,378867,371538,365350,359152,356973,349415,324669,353093,334345,298909,299734,297728,314065,301288,307439,295944,313554,317334,334156,398584,293737,304981,312349,311261,298503,291186,328931,317707,321192,320237,325273,325393,326582,346357,337260,342252,345436,339701,343023,333438,322997,316141,325605,316795,333111,342452,339447,347135,351196,356213,351686,361131,351723,351709,352776,357239,370885,358961,372124,373713,377845,380826,371611,373552,376179,377812,377878,375260,369479,371893,384790,372237,367311,375199,397859,391885,395845,400065,397329,412608,399580,402262,414058,406739,403947,399586,408805,411916,421622,407209,413977,417641,418483,409217,416568,406124,401635,399140,393927,415218
"14","5","    Furnishings and durable household equipment","DFDHRX0",161013,164895,166621,165071,168535,170588,170323,173908,176615,177313,178418,181505,181541,183822,185375,185881,188016,187433,188027,190119,190630,191830,191206,189086,195334,192727,192613,194222,195545,196120,197684,199499,194343,199290,203555,206591,208028,210081,210679,211654,211728,210796,210427,211991,210876,212534,215192,216399,215487,209327,217098,217985,224502,227692,230082,233222,234367,234934,238423,238402,238983,239898,246737,245019,245486,246900,251570,251135,251317,251707,252993,258170,257140,258767,257350,262113,258748,264903,263552,266810,269930,273710,273415,271605,280337,279698,280906,278365,275283,277209,277110,278116,279595,277743,276241,278978,283197,279344,281428,279712,281172,277978,280305,281125,280587,279796,281291,279384,276717,272063,271033,276133,277037,276589,274150,268270,259205,256977,253623,250240,248702,247261,239588,240236,241608,240777,241755,244766,244206,245837,247398,249593,249758,253648,258517,262540,261191,260463,260325,263690,264053,264597,269707,269529,267156,269746,275331,275841,273674,274397,275767,276540,280439,281479,283926,284904,288321,289101,289734,285583,287337,285388,286897,287413,289687,286511,291138,297810,297191,297100,297974,298229,300555,303018,306028,307500,310012,311404,311713,310397,305580,314157,318493,322299,322470,323944,324860,328703,329255,329326,333256,334935,336471,333660,340047,336683,342223,342528,346780,347862,348375,349603,352445,354993,353251,356842,356756,359260
"15","6","    Recreational goods and vehicles","DREQRX0",102343,106421,107186,108487,110440,112073,113665,115598,117903,119723,119673,123642,126696,128044,130816,130937,129307,130262,131174,132824,136082,135226,136079,137107,138222,137702,138560,141298,141727,142672,145377,146465,142821,148090,153015,154483,156353,157966,157016,159593,158663,159815,160171,161056,162964,162833,164853,166534,166725,165555,170160,172535,175508,179786,183203,189221,190434,193112,195771,197007,195966,201977,204440,203938,207498,207257,211904,212180,213611,215408,216177,221565,221414,229430,232324,236730,233550,238287,238747,241375,240168,245333,246837,247442,264050,259350,260126,262662,263327,264821,265442,265922,276761,277006,280302,285692,288004,282436,287758,289613,295192,295720,301061,306811,306297,309656,313112,312001,307671,307297,309494,314187,321052,319085,317871,315019,305411,297956,297618,292244,303926,298888,292941,293343,293930,296948,300522,306172,310583,307866,319661,320522,320990,325810,325420,329899,332196,339390,338350,341152,343409,345360,349556,350112,354131,357348,362070,362510,365242,367089,372036,374482,374722,385489,383237,383581,392811,396300,408340,404673,408396,410920,414399,418322,421552,422240,426829,434321,440383,441797,439494,443433,446211,451127,450526,453589,456527,457982,457552,458503,450029,463028,468586,471644,473743,480930,487380,488010,494918,497921,498952,504403,506454,504484,513523,515594,520043,520221,527478,531417,535375,542792,546067,555058,552469,561182,567475,575244
"16","7","    Other durable goods","DODGRX0",101004,101968,103124,101960,103275,104974,106652,105765,107105,109714,110830,115393,110924,113635,113092,114073,117061,117315,116563,115888,117988,116106,115090,117029,113555,116000,113931,113111,112319,109805,110674,112892,109397,111377,114539,117417,116792,117840,117483,119045,119566,119502,119014,121318,120386,121590,121901,124133,122349,121902,123920,126305,127972,131411,133585,135127,134903,136827,139303,139971,140297,142545,143380,141739,141361,140838,141341,142309,144159,144814,145021,145475,147679,151325,149626,152573,150696,153779,152362,154175,152390,157821,157400,160082,161770,164896,164849,162466,163800,163203,162947,162840,166065,164673,166597,169018,166571,166426,169985,171378,172572,172389,173707,174328,175823,174176,175797,173204,173429,167595,170749,168724,170119,170395,170533,169261,163052,161065,159235,153802,158198,158384,154182,156230,157600,159466,157175,160325,159228,157568,159132,160605,160650,162366,163602,163105,161938,162424,165431,165480,165342,170367,170400,167406,170081,170412,173273,174331,173200,173752,174745,177207,176788,175434,174740,173343,175113,178625,177122,177146,179097,178941,182323,180100,182612,181357,183578,189473,184498,186650,186196,186847,185502,184661,185159,185217,186365,189084,187973,190766,186672,190522,192212,192023,192872,193935,192915,193900,192999,194437,197237,195489,195458,196199,198720,200010,200168,202387,202898,204297,202815,203385,209056,208272,201848,204502,208755,207572
"17","8","  Nondurable goods","DNDGRX0",1770183,1781910,1788561,1790631,1800935,1798731,1792125,1806307,1816809,1818784,1828179,1878538,1807265,1820944,1848894,1857208,1865054,1863885,1862358,1873117,1887440,1888285,1885130,1903602,1892673,1880935,1869510,1889302,1899958,1880206,1901488,1906552,1887682,1910033,1914161,1919782,1921277,1922337,1921595,1915274,1917342,1935504,1931319,1925236,1925736,1942860,1955374,1959435,1965083,1961242,1971576,1973303,1969881,1997705,2002554,2025910,2022444,2020793,2039559,2032453,2047827,2030334,2060706,2051687,2058263,2047902,2056649,2068790,2080126,2084784,2083165,2093566,2115176,2122887,2103987,2127341,2116059,2126206,2122733,2137906,2123087,2159219,2164212,2169160,2177193,2190068,2178996,2190822,2190256,2186833,2198369,2195018,2207436,2226525,2230499,2253993,2243753,2236847,2244104,2238141,2237395,2235861,2248542,2234902,2237124,2230539,2240648,2244052,2232257,2207413,2238798,2243065,2243001,2239183,2228140,2221451,2186907,2189502,2180293,2165903,2179904,2187177,2173394,2169997,2169632,2153500,2164038,2176088,2177366,2182174,2177294,2190945,2193176,2203368,2208339,2209059,2209931,2217236,2208887,2232078,2236995,2245609,2260205,2257543,2266404,2267824,2261002,2267562,2257954,2271223,2264307,2257330,2257555,2270047,2263740,2253283,2268986,2276924,2275671,2277370,2279844,2270428,2279921,2281334,2282040,2280023,2275447,2282587,2306338,2306061,2306411,2299450,2316478,2315304,2325823,2308661,2336928,2330733,2335768,2350056,2321938,2348208,2353712,2362758,2353596,2366703,2368475,2382377,2374761,2385090,2397252,2398681,2395542,2388333,2409571,2404852,2429416,2434710,2440903,2452519,2450179,2447201,2453715,2453523,2456779,2455125,2465795,2483508
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",654415,657963,659725,663509,665482,663489,666269,669486,674689,669808,673466,699180,665947,674106,683163,683957,681326,688943,685348,684856,687843,692778,691940,694375,695263,689985,687482,695728,698163,693635,692293,692801,696288,693913,693126,699018,691983,692444,694558,689485,696202,697641,699919,697066,694957,699753,705116,705251,708977,709066,708722,710009,704624,709150,716251,720065,719890,718451,719394,714480,726371,721097,726061,726891,724619,723853,725842,729222,737406,736119,737473,742240,747528,751599,750818,751826,750061,756552,754690,759981,763340,768756,767249,768952,766794,775931,772185,777110,781547,778650,780529,782743,779148,788362,788506,798347,795725,792733,790996,788104,789258,790003,793353,787181,788830,788844,792842,797505,789846,786050,791941,790214,791483,796373,787652,782776,776291,768404,763668,757699,760385,761258,762701,764033,769049,768486,769836,770043,775808,776441,777065,784394,781452,791799,785138,780280,781341,780086,775953,787834,787705,789569,796737,799755,799039,800270,793257,799125,795127,797092,795445,796129,790124,794618,796095,785415,794777,794184,794730,796064,797269,792210,796134,794539,797015,800898,795299,794818,799042,804579,804832,793508,802924,801675,803255,801777,806386,802315,805144,815833,810014,808280,808202,809787,804964,810741,807499,806065,807804,806238,806459,804342,805028,799093,808113,806271,811077,811182,809800,811177,809248,805262,811130,811880,815572,811428,814743,819551
"19","10","    Clothing and footwear","DCLORX0",237755,240614,243634,241208,243109,243916,243026,245013,245036,244413,244674,245880,244484,248795,253664,253136,255975,254011,253887,256919,260648,258456,260097,259424,259798,256077,249619,257881,257483,255125,257512,261336,250736,258854,260804,263201,264369,263780,263549,264818,261382,265728,264213,262565,260483,271440,268473,271941,270940,265452,272683,273358,277646,279733,282133,283138,283737,280233,283813,286945,287675,289960,294751,286671,289661,285797,288246,290208,292533,295264,294370,298812,297695,304950,297867,306428,304021,309019,305650,307609,303745,315245,314149,314864,317081,318468,314338,316862,312314,314076,317807,314417,320886,321302,317041,324751,324601,318200,326462,319296,324782,324602,325962,325686,324653,323791,326140,322643,322305,321032,321512,328143,330675,334520,332111,326549,314070,311483,314508,310830,313699,311764,300030,302383,304992,300803,304808,308008,304977,309684,308141,308694,312822,314492,320263,322555,320802,319770,318257,323693,323454,327814,335328,332722,331807,335936,336777,338703,337034,338406,334402,328153,336008,334429,335914,335951,335916,344130,342865,334348,334795,337548,339017,342257,341817,336921,338353,338435,345533,338890,343266,345158,345057,344147,344743,340570,342774,347611,341803,341985,338258,341227,344334,349716,345624,346120,347934,351157,349297,350878,359340,357040,355325,353679,355433,355686,364085,361750,362020,361173,361863,360859,361668,362684,363662,358644,360458,365211
"20","11","    Gasoline and other energy goods","DGOERX0",297710,301041,299714,303302,305922,308048,307492,299528,297676,305293,294302,307826,292542,290444,289963,294887,299539,293424,294862,298394,296524,293097,288833,300717,296489,294258,294153,296155,291954,283775,300399,291493,294301,293424,299538,293882,290658,297435,293731,292241,297109,299841,295267,299877,297427,293286,299132,301312,295699,295478,293354,293442,292749,295727,290603,302670,298861,300524,302429,299557,301391,296779,301194,299590,302467,298756,296326,301205,297561,300643,299216,296354,312803,301598,298206,301403,297696,291188,294675,297087,285227,295789,301189,299099,298357,297476,292922,295068,294375,292725,296021,291914,300369,302260,305342,302319,300758,305828,298308,305201,295875,291901,297412,291243,297733,291380,289321,297098,291801,280367,298324,293356,285969,277952,274228,280406,272949,284556,281179,279747,288198,292121,295267,288885,286904,278436,278546,286282,282063,280387,278278,278629,280527,278555,278895,280181,283668,283780,282215,284444,285914,284568,282077,281821,281976,280997,277492,274083,271985,273142,275232,270651,272194,275437,269309,269644,268191,266880,266083,272259,272879,273443,271404,274253,271456,271918,265289,266090,270926,272428,273230,274477,273039,275527,276309,270621,280319,274025,279134,276686,268515,282630,277678,276650,273756,274282,274709,278233,272439,279058,281428,281813,282618,285303,286499,281733,286741,284972,284662,289952,289783,286185,286642,286212,288198,291141,292616,293822
"21","12","    Other nondurable goods","DONGRX0",594093,596328,597630,597452,601429,598809,591261,604036,610499,613044,625452,639873,613608,615018,627946,632404,635468,634291,635190,639615,647409,649057,647844,655557,646674,646579,646113,645568,657397,651607,658498,664319,653840,668292,666753,666922,675509,673011,672800,670988,667641,676614,675272,671046,677588,679235,685603,683666,690775,693485,697074,696514,693791,711726,710440,719476,718508,720984,732712,729088,730362,719459,735391,736368,739240,737356,743369,745622,749405,749399,748838,752321,754587,760514,753673,763449,760160,764443,762973,768464,768903,775147,776795,781812,790582,794386,796460,798604,799599,798936,800804,804268,803080,811147,816549,825695,819718,816980,825640,821772,825350,828181,829666,829666,823261,825389,832269,823923,826860,821716,822614,829011,835736,835141,840617,833882,828402,825433,822032,818363,818333,822473,816108,814545,808358,805300,810499,811044,814251,815564,813925,819630,818594,819480,825010,826815,824483,833951,832855,836702,840306,844475,847972,845047,855495,852994,856841,860861,859389,868365,863514,868300,864591,870090,869398,868659,877929,880822,881447,881178,881308,873017,880400,876280,879108,877061,886366,893110,899894,898389,892930,893519,903990,901460,909273,904815,914048,915740,916754,924219,915679,922276,932019,936084,939487,946228,949009,957095,957011,959072,960225,965657,962442,960278,969446,971035,977732,987129,994870,1000427,999537,1005173,1004573,1003097,999741,1004650,1008783,1015747
"22","13","Services","DSERRX0",5235992,5239490,5260685,5288391,5292342,5311618,5335849,5355600,5377137,5401970,5425153,5455167,5476464,5512358,5543467,5552481,5576102,5603277,5608843,5627046,5651794,5658544,5678385,5702735,5709132,5701750,5717844,5717744,5727089,5726403,5733904,5747575,5719627,5749574,5745997,5774883,5781159,5795758,5798882,5818258,5827954,5829282,5848540,5842687,5853250,5881887,5885205,5895192,5915187,5904896,5908113,5931656,5943758,5951520,5976898,5992729,5990989,6011930,6026912,6048136,6073698,6092485,6085768,6114982,6124440,6140865,6159501,6172023,6199736,6220960,6237281,6257037,6250725,6267519,6296224,6310167,6328749,6356527,6374330,6390683,6400335,6398802,6424901,6442032,6432673,6468963,6491575,6496067,6521148,6516619,6534891,6536194,6552541,6579948,6589594,6598961,6613740,6629959,6627761,6647940,6638189,6648553,6657985,6690064,6672206,6669311,6690618,6690802,6704939,6719602,6707021,6717437,6714598,6714435,6712578,6699093,6712514,6711774,6706505,6682633,6679488,6653260,6654779,6650744,6634951,6632769,6635137,6647238,6645742,6651047,6632737,6664411,6659623,6676577,6675631,6691671,6716146,6723190,6730656,6748765,6752517,6765600,6789980,6801348,6799525,6807269,6829167,6825333,6841479,6850909,6870856,6876688,6882374,6880003,6876595,6876618,6887897,6911105,6895138,6904950,6906514,6906436,6919959,6896303,6912872,6913424,6922443,6920395,6918537,6927030,6948761,6949923,6952856,6967708,6962218,6976598,6995609,7015625,7049372,7060129,7052807,7067380,7076828,7093362,7105093,7127127,7131939,7166450,7193144,7223224,7238785,7259149,7269168,7286892,7276120,7307665,7326601,7341711,7344257,7359703,7386168,7400432,7407881,7436755,7448273,7478152,7462364,7490193
"23","14","  Household consumption expenditures (for services)","DHCERX0",5098694,5102436,5123073,5150809,5153748,5172480,5196669,5215999,5237718,5262453,5283472,5312720,5330429,5365327,5395748,5405758,5428597,5455563,5456017,5472380,5495509,5498993,5517530,5541657,5548829,5540537,5554901,5552437,5560869,5559418,5565750,5577768,5547180,5575726,5571281,5598790,5603427,5617613,5617853,5635137,5642263,5641388,5656617,5647021,5655551,5683357,5683578,5692645,5713169,5704370,5707709,5729196,5738955,5745791,5770774,5787687,5786802,5806007,5821435,5843783,5865677,5883722,5876025,5907050,5916830,5933101,5952575,5964834,5993423,6013318,6029768,6053190,6052003,6069179,6098358,6107984,6124740,6151003,6170894,6186790,6192652,6185521,6206987,6221928,6208845,6242710,6261852,6264239,6285059,6278850,6295250,6296321,6313084,6343017,6351672,6360574,6374441,6391254,6389669,6412127,6403053,6413400,6420632,6451655,6430125,6420262,6438212,6437887,6449809,6460572,6444790,6450970,6445799,6441926,6437579,6421020,6431845,6423380,6416772,6396715,6396520,6375827,6377942,6377546,6361799,6360453,6363556,6373154,6371855,6372820,6353177,6385453,6381209,6397838,6395350,6409888,6434575,6441731,6452287,6471371,6475841,6490113,6514681,6527238,6526292,6535259,6556475,6552897,6569513,6574862,6592580,6595981,6601062,6603021,6602830,6600545,6612197,6629328,6609141,6613801,6610892,6610319,6626038,6602285,6615741,6611141,6616542,6614421,6618620,6630687,6652226,6656415,6656414,6670975,6664480,6678148,6695236,6711258,6743888,6756614,6749726,6764650,6773543,6789910,6800933,6821895,6825545,6858974,6884024,6917524,6933840,6953367,6967371,6987697,6977744,7006909,7025001,7041001,7036975,7048864,7071286,7084740,7088401,7115716,7126557,7155765,7135438,7163445
"24","15","    Housing and utilities","DHUTRX0",1530763,1524128,1538700,1541465,1543629,1553125,1561019,1561871,1563737,1565068,1556014,1565962,1571622,1573192,1566720,1581544,1592615,1602145,1598169,1608443,1613356,1613824,1629134,1655539,1634234,1639730,1650001,1635837,1641530,1641532,1646515,1645676,1646691,1653979,1636048,1644688,1642211,1642784,1649122,1648771,1656125,1649956,1655134,1653288,1654843,1668123,1663992,1661516,1673447,1670738,1659960,1681364,1674425,1663245,1674866,1677946,1673132,1681090,1687904,1693673,1699031,1704962,1691013,1708387,1710401,1712959,1716116,1715426,1729473,1734756,1742441,1749903,1752665,1752791,1777115,1770315,1783073,1793389,1799177,1803116,1804076,1802089,1805350,1817234,1778959,1811297,1821056,1816392,1831435,1825798,1846050,1831739,1830093,1841313,1828119,1815989,1837728,1847292,1827479,1853721,1830862,1835791,1836687,1854171,1845457,1832802,1847440,1839903,1847102,1859261,1857508,1859282,1859988,1861413,1858626,1847680,1857924,1865139,1875531,1871779,1877169,1861409,1883553,1880892,1876097,1876875,1873828,1884397,1886025,1894774,1874048,1902846,1898867,1903025,1889579,1884060,1901297,1904226,1905760,1908118,1905606,1904535,1918607,1927383,1920023,1909852,1925042,1918685,1926926,1927609,1941571,1935701,1934829,1938684,1932148,1924895,1913150,1922843,1911982,1932211,1934038,1934442,1948470,1935304,1934755,1929869,1929767,1922958,1927898,1938623,1949002,1945077,1933791,1937645,1927285,1932696,1939111,1933238,1947517,1954096,1972632,1962108,1964685,1963300,1959497,1957148,1942620,1956875,1964870,1954459,1973657,1962251,1974684,1993719,1973225,1975054,1974079,1980988,1971293,1981911,1988822,1978546,1973102,1967701,1984631,1988478,1976202,1993893
"25","16","    Health care","DHLCRX0",1165494,1167557,1168816,1170377,1171516,1173868,1177940,1181396,1184948,1189500,1193257,1195083,1195380,1198894,1204431,1209927,1215157,1221154,1219615,1223711,1227720,1231164,1236680,1241912,1249691,1253955,1259612,1263213,1268349,1274346,1281724,1287841,1292476,1299207,1307365,1317156,1326443,1334624,1340519,1347502,1353026,1359251,1360720,1364367,1366550,1371229,1371322,1371377,1375172,1379335,1384404,1385648,1385837,1388569,1392438,1397447,1401727,1401871,1405868,1411944,1412741,1416736,1419117,1425454,1432494,1440410,1446817,1452534,1459762,1464576,1467001,1469553,1471606,1473329,1476470,1479032,1483129,1487724,1497614,1502205,1504871,1501368,1502486,1505491,1509074,1512187,1514613,1517178,1518986,1523251,1524721,1528239,1530920,1537017,1541697,1545058,1547074,1548634,1552752,1553423,1556060,1559337,1564857,1571473,1574874,1573844,1575417,1581047,1589915,1594447,1596677,1596262,1596858,1597135,1598172,1599771,1602297,1602108,1604007,1608254,1611612,1616930,1619533,1625357,1628248,1632061,1634967,1633524,1636208,1633588,1630614,1625923,1623693,1625224,1629160,1635355,1640983,1646361,1651722,1657802,1661691,1667765,1672810,1677707,1678191,1679634,1682282,1686053,1689616,1688911,1687076,1685685,1688774,1697580,1706474,1713795,1725177,1729207,1730592,1723923,1722384,1724026,1727180,1728343,1729070,1729089,1729039,1725640,1722284,1722144,1724648,1736779,1739690,1742918,1743839,1749004,1754124,1761472,1766181,1763375,1754205,1751849,1755809,1768808,1778949,1787795,1794230,1800090,1808727,1823760,1833330,1841677,1849720,1853990,1857573,1862100,1866789,1873714,1878449,1883877,1889812,1895350,1895528,1897708,1901201,1907113,1911657,1916673
"26","17","    Transportation services","DTRSRX0",309938,311336,310311,313463,313464,316167,319333,320361,322269,323207,324911,324810,325501,329208,331198,329589,333068,334158,333260,334024,336216,334272,337744,335146,337607,336054,334879,335463,334556,334131,333915,336515,314958,322353,323648,322310,324011,323440,322521,320764,320798,319338,319663,321116,318577,319768,316756,323088,323765,321778,319436,319423,321156,321103,322427,323933,325073,325968,323374,327941,327433,330279,329372,331893,330936,332583,331911,332383,331034,332734,334293,333427,333773,333010,334933,333900,334791,336256,336191,336192,335418,333809,334068,334084,333641,332608,333486,334999,335378,335281,334812,334214,336164,337187,338627,339947,340299,339813,340806,339553,342011,339442,338895,339975,337972,338385,337496,333455,333327,333595,329431,327746,326911,324874,323671,320425,314598,310703,304962,305149,300334,297054,292232,292782,290455,289984,289886,286025,284946,284625,283623,284392,284958,283409,285411,286145,285410,286959,286670,287964,289484,289758,289707,289436,289259,290211,291070,291982,293903,294605,295071,295459,297419,295925,297766,296881,293440,294170,294149,297314,300933,301905,302095,303033,300809,300694,301571,300243,304002,304015,305371,306477,308726,308925,310868,311701,310891,310547,308446,314415,315704,318074,318482,319385,320185,322100,324485,325738,328233,330551,329495,333790,332641,333878,335489,338258,340011,341032,342627,342030,343939,347013,348863,350559,352626,355253,354232,356851
"27","18","    Recreation services","DRCARX0",306601,308672,311374,313757,312742,314818,317209,319720,324669,323643,325095,323611,320820,323941,326728,327409,326587,325793,329821,326055,325354,326165,327565,325233,331558,327404,327823,325625,326377,324598,325955,326816,318392,321323,324097,325106,325965,325513,325174,327792,326970,323417,325173,326622,329035,329624,329429,332888,331329,328855,331197,332819,336498,337625,338951,342100,342274,345046,345833,347703,348306,352410,354013,355174,354357,356130,356299,358494,358589,359472,358904,357293,358499,362801,366007,363238,364894,365279,366188,365066,362289,366511,368868,366458,373447,370994,372132,375400,374575,373097,375723,377148,378392,381973,388047,388194,386561,387728,392164,389085,392068,390390,396079,394346,393285,395099,391164,396917,392541,394980,391944,391135,392358,394023,391568,388059,383408,383696,383082,380864,383197,378959,374707,376627,376166,373202,373056,374085,373716,373836,377208,377242,379273,379223,378686,378467,375983,376682,379314,383755,384096,386900,385707,383382,383132,382996,385836,388425,388664,392181,392680,390634,393106,393022,392088,392316,393353,394220,390902,394740,396883,400657,400560,394363,399650,399563,400120,403781,401226,404185,402877,398818,400246,400179,404161,407831,405693,404764,411458,413011,409617,413919,415288,411563,411615,412550,411929,422497,416521,423027,421861,423463,426048,419117,416926,422933,426002,420360,422614,420987,426065,431647,436273,444508,442394,444446,437741,439711
"28","19","    Food services and accommodations","DFSARX0",502851,507146,505176,507965,508124,508215,507977,508335,514100,520815,523033,522594,525994,529117,536903,534848,534910,536240,536330,534046,541197,539290,537758,529166,543800,538255,535987,532535,534769,534752,533860,538759,520521,525749,527047,537800,537555,540292,536156,543523,540142,542408,542467,543234,543302,540676,544171,546678,546841,545010,551435,552142,559501,562368,565049,571527,565745,573253,575244,571088,576713,579081,582462,579858,580005,580885,585885,582701,588040,589325,589019,596511,593507,599532,591967,603348,601814,605625,605815,606841,610731,609198,616657,616186,629295,619048,620906,620421,619615,618902,617022,623489,629269,627445,629278,641307,630870,624809,633746,628083,632083,633593,629803,633945,631886,635866,634047,642368,634128,627028,625818,632884,633734,630703,627857,627820,623144,620647,615357,614186,610983,607431,598993,601014,600284,598282,600021,599180,595463,594347,596681,601323,596868,605357,607027,608236,606673,608184,609857,612224,611887,614939,617569,616450,616838,624898,624631,620406,624032,625317,622462,625284,631508,630733,629760,627255,635028,636736,637177,639945,638698,639840,642420,641376,644330,642646,647687,651620,653654,650386,652062,646650,647090,645922,647608,647652,650068,656384,662065,658062,651831,656932,662443,665504,668109,670027,671519,674474,677762,682701,681026,690603,687493,687383,693078,697690,702068,704460,703950,702572,707178,708869,709190,718504,709475,718819,718425,719361
