"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 28, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2013 7:34:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","  Gross domestic purchases","A712RV1",4.9,5.4,5.1,4.4,5.8,10.3,9.3,5.7,6.8,7.1,8.8,10.5,9.2,5.7,3.5,3.5,2.8,2.3,3.1,3.4,3.8,4.1,3.3,2.4,2.1,2.1,2.1,1.8,1.5,0.7,1.6,2.5,1.9,1.4,2.3,3,3.7,3.4,2.9,3.2,-0.2,1.6,2.5,1.7
"9","2","Personal consumption expenditures","DPCERV1",4.5,4.7,4.3,3.4,5.4,10.4,8.4,5.5,6.5,7,8.9,10.7,8.9,5.5,4.3,3.8,3.3,2.4,3.6,4,4.3,4.6,3.6,2.9,2.2,2.1,2.2,2.2,1.9,1,1.6,2.5,1.9,1.4,2,2.6,3,2.7,2.7,3.3,0.1,1.9,2.4,1.8
"10","3","  Goods","DGDSRV1",3.9,3.8,3,2.6,6,12.5,8.1,3.9,5.3,6.1,9.5,11.2,7.4,2.7,1.8,1.9,1.6,-0.5,3.2,2.6,3.8,4.1,2.4,1.2,0.9,1,0.9,1.1,-0.1,-1.5,0.5,2,-0.1,-1,-0.1,1.5,2.1,1.4,1.3,3.1,-2.7,1.7,3.8,1.3
