"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","  Goods","DGDSRG3",33.338,33.738,34.117,34.435,34.767,35.051,35.295,35.688,35.877,36.218,36.416,36.52,36.891,37.008,37.293,37.553,38.152,39.032,39.774,40.659,42.261,43.666,45.023,46.338,47.019,47.379,48.28,48.934,49.174,49.337,49.945,50.655,51.456,52.184,52.727,53.372,54.1,55.246,56.149,57.115,58.495,60.179,61.741,63.247,65.512,67.101,68.47,69.865,71.592,72.482,73.195,73.809,74.228,74.386,75.152,75.244,75.248,75.995,76.521,76.643,77.258,77.444,77.613,77.85,78.347,78.73,78.791,79.272,79.013,77.887,78.248,78.519,79.884,80.675,81.375,81.822,81.942,82.634,83.548,84.164,85.06,86.538,86.558,86.918,88.514,88.85,90.105,91.737,91.682,91.862,92.03,92.411,92.518,92.91,93.385,93.613,93.782,93.863,93.757,94.259,94.159,94.487,95.357,95.478,95.591,95.787,95.813,95.836,96.474,96.899,96.716,97.146,97.259,96.733,96.46,96.331,95.581,95.199,95.171,94.999,94.898,95.587,96.062,96.393,97.154,97.614,97.875,97.977,97.965,98.133,97.619,96.537,96.089,96.742,96.718,96.702,97.317,95.904,96.397,96.351,97.193,97.721,97.812,98.99,98.874,99.096,100.84,101.19,101.09,101.705,102.242,100.727,101.51,102.642,102.787,104.119,105.356,106.609,108.437,103.248,101.386,102.455,103.89,104.687,105.025,104.283,104.54,105.561,107.266,108.82,109.633,109.569,110.256,109.743,110.261,110.55
"12","4","    Durable goods","DDURRG3",54.391,54.798,55.06,55.399,55.495,55.713,56.122,57.056,57.864,58.276,58.146,57.847,58.346,58.645,58.944,58.755,58.999,59.463,59.757,59.948,60.612,62.146,64.514,66.532,67.574,68.789,69.543,70.612,71.566,72.361,73.237,74.476,75.241,75.624,76.41,77.433,78.543,79.74,81.032,82.45,83.789,85.263,86.242,87.796,90.37,92.503,94.189,95.804,97.021,98.85,100.311,101.616,102.47,103.267,103.638,103.941,104.675,105.067,105.643,106.301,106.33,106.99,107.202,107.399,107.946,108.197,108.013,108.293,108.317,108.816,109.725,110.346,111.276,112.148,112.95,113.41,113.213,113.84,114.65,115.502,116.087,116.181,116.443,116.825,117.446,117.458,117.509,117.747,118.754,119.053,119.494,119.751,119.746,120.072,120.171,120.359,120.298,120.932,121.521,122.324,122.606,123.338,124.207,124.419,124.916,124.78,124.378,124.101,124.195,123.376,123.054,122.521,122.048,120.872,120.061,119.391,118.513,117.628,116.727,115.856,114.877,114.301,113.765,113.078,112.544,112.308,111.621,111.339,110.829,110.04,109.308,108.754,107.786,107.228,106.702,105.964,104.679,103.586,102.556,101.629,101.573,101.471,100.716,100.737,100.593,100.363,99.615,99.429,99.103,98.62,98.122,97.599,97.134,96.722,96.108,95.756,95.448,94.805,94.552,93.708,93.129,93.059,92.447,92.684,92.341,91.883,91.353,90.868,90.751,91.104,90.96,90.381,90.157,89.888,89.358,88.9
"13","5","    Nondurable goods","DNDGRG3",25.723,26.082,26.446,26.727,27.072,27.338,27.522,27.768,27.813,28.103,28.349,28.53,28.841,28.909,29.164,29.5,30.13,31.038,31.827,32.805,34.497,35.757,36.764,37.807,38.345,38.484,39.341,39.847,39.897,39.895,40.391,40.915,41.663,42.427,42.868,43.37,43.947,45.002,45.742,46.524,47.823,49.445,51.047,52.431,54.448,55.778,56.96,58.191,59.911,60.505,60.981,61.384,61.669,61.665,62.461,62.496,62.322,63.102,63.578,63.549,64.289,64.329,64.475,64.709,65.161,65.561,65.693,66.212,65.879,64.307,64.473,64.614,66.055,66.781,67.417,67.838,68.058,68.743,69.651,70.162,71.123,72.999,72.937,73.276,75.129,75.558,77.146,79.145,78.753,78.882,78.955,79.353,79.49,79.886,80.461,80.695,80.935,80.831,80.496,80.875,80.645,80.819,81.656,81.74,81.715,82.02,82.195,82.325,83.138,84.007,83.882,84.661,84.997,84.738,84.683,84.773,84.093,83.925,84.263,84.394,84.678,85.915,86.844,87.635,88.997,89.786,90.496,90.786,91.024,91.659,91.255,89.908,89.722,90.994,91.233,91.602,93.208,91.635,92.955,93.39,94.723,95.595,96.156,97.982,97.879,98.357,101.553,102.211,102.239,103.496,104.64,102.545,104.07,106.121,106.715,109.055,111.2,113.56,116.589,108.922,106.335,108.027,110.614,111.733,112.464,111.562,112.277,114.184,116.974,119.24,120.626,120.879,122.136,121.472,122.659,123.439
"14","6","  Services","DSERRG3",16.976,17.207,17.437,17.679,17.918,18.167,18.393,18.664,18.916,19.166,19.435,19.618,19.833,19.997,20.194,20.383,20.553,20.877,21.24,21.639,22.084,22.607,23.132,23.642,24.181,24.583,25.039,25.533,25.956,26.292,26.758,27.218,27.756,28.305,28.852,29.318,29.884,30.484,31.055,31.687,32.133,32.965,33.747,34.556,35.416,36.289,37.225,38.278,39.31,40.104,40.978,41.828,42.581,43.235,44.098,44.921,45.598,45.997,46.819,47.304,47.908,48.634,49.211,49.633,50.314,50.784,51.312,51.786,52.551,53.141,53.635,54.171,54.615,55.054,55.684,56.284,57.037,57.758,58.521,59.176,59.942,60.568,61.108,61.742,62.547,63.504,64.261,64.919,65.62,66.182,66.92,67.603,68.4,68.982,69.492,70.068,70.528,71.125,71.567,71.956,72.451,72.915,73.466,73.967,74.548,75.145,75.632,76.136,76.548,77.138,77.779,78.428,79.013,79.588,80.066,80.58,80.992,81.468,81.908,82.388,82.844,83.245,83.694,84.252,85.052,85.411,86.057,86.75,87.703,88.27,88.548,89.167,89.713,90.461,91.179,91.85,92.551,93.386,94.057,94.75,95.509,96.314,97.178,97.752,98.706,99.521,100.304,101.469,102.173,103.001,103.849,104.635,105.758,106.52,107.34,108.307,109.211,110.386,111.204,111.536,111.614,111.724,112.224,113.065,113.647,114.282,114.687,115.057,115.503,116.193,116.772,117.27,117.989,118.576,118.997,119.553
"15","7","Gross private domestic investment","B006RG3",30.414,30.737,30.985,31.396,31.628,32.316,32.218,32.598,33.171,33.655,34.029,34.32,34.721,34.951,35.32,35.832,36.144,36.783,37.547,37.954,38.714,39.881,41.497,43.095,44.63,45.665,46.204,46.835,47.251,48.045,48.716,49.453,50.501,51.459,52.48,53.537,54.559,55.683,56.768,57.93,59.123,60.627,62.137,63.405,64.878,66.409,67.786,69.248,71.298,72.903,74.085,75.401,76.334,77.159,77.583,77.643,77.316,76.93,76.761,76.939,77.094,77.492,77.718,77.848,78.018,78.085,78.365,78.86,79.173,79.683,80.323,80.938,81.245,81.383,81.517,82.097,82.719,83.185,83.473,84.321,84.754,85.256,85.624,86.039,86.506,86.743,87.299,87.709,88.407,88.337,88.378,88.089,87.856,87.884,88.011,88.22,88.645,88.938,89.151,89.254,89.771,90.017,90.307,90.532,90.923,91.214,91.307,91.246,90.881,90.595,90.881,90.788,90.632,90.477,90.426,90.262,89.714,89.429,89.326,89.27,89.384,89.344,89.207,89.323,89.846,90.113,90.514,90.66,90.656,90.944,91.354,91.365,91.356,91.334,91.256,91.859,92.326,92.128,92.372,93.107,94.055,95.175,96.198,97.104,98.227,99.269,100.569,101.935,103.064,103.935,104.588,105.621,106.24,106.32,106.295,106.396,106.487,106.815,107.447,109.254,108.487,106.695,105.13,104.784,104.474,104.573,104.916,105.453,105.786,106.272,106.686,107.013,107.292,107.647,107.818,108.231
"16","8","  Fixed investment","B007RG3",29.414,29.733,29.984,30.377,30.602,31.294,31.195,31.559,32.113,32.576,32.967,33.269,33.681,33.897,34.234,34.727,35.072,35.686,36.436,36.887,37.58,38.668,40.193,41.831,43.321,44.354,44.877,45.551,46,46.792,47.445,48.185,49.244,50.188,51.333,52.446,53.448,54.572,55.622,56.734,57.931,59.428,60.884,62.109,63.544,65.015,66.418,67.863,69.688,71.259,72.458,73.86,74.867,75.731,76.14,76.249,75.889,75.58,75.471,75.571,75.646,75.982,76.221,76.431,76.66,76.768,77.091,77.591,77.948,78.543,79.225,79.763,80.018,80.119,80.265,80.926,81.65,82.15,82.529,83.33,83.745,84.252,84.601,85.043,85.514,85.789,86.331,86.866,87.501,87.49,87.457,87.168,87.009,87.045,87.172,87.382,87.84,88.093,88.295,88.422,88.919,89.2,89.545,89.745,90.111,90.407,90.528,90.528,90.236,89.961,90.226,90.173,90.028,89.918,89.94,89.797,89.328,89.073,88.999,88.939,89.068,89.056,88.933,89.056,89.615,89.914,90.321,90.48,90.443,90.767,91.174,91.169,91.127,91.124,91.084,91.707,92.221,92.01,92.258,93.009,93.953,95.082,96.117,97.019,98.167,99.249,100.603,101.981,103.113,103.991,104.633,105.651,106.267,106.369,106.353,106.449,106.687,107.048,107.912,108.699,108.076,106.579,105.414,105.203,104.784,104.762,105.061,105.487,105.866,106.509,106.992,107.352,107.661,107.977,108.324,108.739
"17","9","    Nonresidential","B008RG3",38.153,38.506,38.91,39.391,39.805,40.494,40.722,41.263,41.846,42.352,42.729,42.991,43.474,43.793,44.07,44.321,44.681,45.304,45.981,46.454,47.269,48.761,50.834,53.166,55.25,56.691,57.413,58.217,58.892,59.614,60.398,61.288,62.581,63.547,64.678,65.822,66.763,67.891,68.992,70.168,71.69,73.282,74.844,76.234,77.918,79.721,81.413,83.109,85.485,87.6,89.176,91.004,92.212,93.198,93.629,93.686,92.987,92.411,92.069,91.933,91.852,92.14,92.211,92.304,92.513,92.618,92.92,93.348,93.513,94.15,94.799,95.245,95.248,95.103,94.998,95.753,96.607,97.079,97.46,98.422,98.82,99.18,99.624,100.116,100.572,100.865,101.565,102.353,103.25,103.082,102.812,102.481,102.354,102.054,101.981,101.805,102.088,102.122,102.083,102.107,102.433,102.649,102.752,102.534,102.631,102.917,102.952,102.744,102.144,101.535,101.518,101.251,100.842,100.499,100.222,99.741,98.931,98.307,97.843,97.419,97.264,96.865,96.388,96.298,96.522,96.629,96.953,96.895,96.374,96.407,96.381,96.106,96.127,95.896,95.667,95.867,95.625,95.276,95.358,95.625,95.923,96.593,97.117,97.715,98.811,99.59,100.245,101.353,102.156,102.965,103.757,104.823,105.429,105.698,105.681,105.774,106.261,106.846,108.183,109.578,108.975,107.494,106.224,105.714,105.188,105.304,105.589,105.973,106.483,107.174,107.687,108.092,108.562,108.878,109.104,109.428
"18","10","      Structures","B009RG3",14.174,14.408,14.607,14.885,15.034,15.504,15.547,15.805,16.132,16.499,16.865,17.161,17.497,17.714,17.946,18.294,18.566,18.963,19.49,19.966,20.504,21.399,22.397,23.341,24.025,24.461,24.68,24.971,25.124,25.576,25.951,26.311,27.145,27.634,28.259,28.854,29.474,30.297,31.041,31.887,32.776,33.781,34.827,35.567,36.182,36.917,37.704,38.883,40.552,41.961,43.149,44.609,45.576,46.028,46.155,45.95,45.162,44.708,44.613,44.546,44.598,45.047,45.338,45.606,45.953,46.059,46.299,46.566,46.76,47,47.21,47.455,47.467,47.668,47.925,48.392,49.151,49.64,50.127,50.663,51.095,51.697,52.099,52.501,52.942,53.312,53.753,54.08,54.562,54.654,54.64,54.109,54.108,54.323,54.584,54.994,55.392,55.869,56.326,56.824,57.267,57.618,58.325,59.147,59.853,60.243,60.899,61.406,61.466,61.697,62.486,62.916,63.525,64.106,64.827,65.605,66.531,67.246,67.796,68.346,68.829,69.276,69.763,70.369,71.213,71.866,72.626,73.485,74.521,75.648,76.854,77.323,78.054,78.912,79.628,80.572,81.545,81.599,82.214,83.339,85.083,87.025,89.449,92.209,95.042,97.673,101.447,105.838,108.823,111.791,113.962,117.111,118.548,119.067,120.038,121.466,123.025,124.22,126.538,129.041,127.259,123.208,120.038,119.605,119.968,120.67,121.442,122.552,124.097,126.118,127.882,129.302,130.167,131.198,131.54,131.982
"19","11","      Equipment and software","B010RG3",57.808,58.111,58.611,59.112,59.75,60.308,60.748,61.436,62.062,62.423,62.493,62.46,62.862,63.139,63.289,63.157,63.428,64.049,64.551,64.708,65.51,67.134,69.836,73.188,76.465,78.796,79.963,81.175,82.353,83.112,84.138,85.414,86.772,88.001,89.359,90.79,91.779,92.844,93.961,95.065,96.822,98.547,100.134,101.837,104.363,106.942,109.196,110.773,112.961,115.053,116.374,117.708,118.551,119.883,120.596,121.09,120.967,120.496,119.928,119.744,119.501,119.409,119.118,118.906,118.801,118.855,119.112,119.59,119.651,120.585,121.565,122.105,122.086,121.551,121.028,121.883,122.567,122.87,123.007,124.174,124.413,124.395,124.76,125.212,125.554,125.672,126.465,127.551,128.666,128.262,127.794,127.728,127.501,126.772,126.407,125.739,125.88,125.543,125.11,124.754,124.953,125.045,124.683,123.734,123.396,123.585,123.178,122.492,121.492,120.367,119.822,119.117,118.069,117.16,116.278,115.048,113.24,111.862,110.831,109.881,109.395,108.572,107.625,107.19,107.097,106.931,107.03,106.515,105.238,104.727,104.066,103.426,103.116,102.402,101.775,101.666,100.923,100.409,100.272,100.194,99.92,100.093,99.894,99.694,100.157,100.259,99.809,99.775,99.809,99.843,100.124,100.419,100.713,100.885,100.475,100.026,100.07,100.396,101.313,102.222,102.166,101.799,101.266,100.678,99.799,99.69,99.797,99.939,100.134,100.43,100.562,100.656,101.001,101.094,101.282,101.567
"20","12","    Residential","B011RG3",15.879,16.112,16.172,16.415,16.399,17.011,16.558,16.694,17.138,17.487,17.815,18.088,18.345,18.427,18.733,19.308,19.565,20.048,20.73,21.093,21.569,22.073,22.788,23.411,24.004,24.427,24.657,25.098,25.244,25.984,26.4,26.867,27.51,28.258,29.194,30.074,30.96,31.885,32.707,33.571,34.231,35.405,36.544,37.43,38.412,39.318,40.219,41.207,42.108,42.77,43.313,43.951,44.599,45.261,45.643,45.858,46.079,46.193,46.419,46.83,47.111,47.487,47.945,48.311,48.557,48.662,48.994,49.562,50.157,50.639,51.291,51.89,52.436,52.834,53.286,53.762,54.246,54.737,55.077,55.591,55.991,56.669,56.858,57.202,57.675,57.909,58.18,58.278,58.444,58.706,59.07,58.864,58.671,59.215,59.636,60.421,61.114,61.685,62.244,62.517,63.24,63.604,64.292,65.138,65.942,66.254,66.526,66.89,67.138,67.447,68.194,68.532,68.879,69.21,69.807,70.33,70.53,71.011,71.718,72.387,73.096,73.889,74.516,75.102,76.397,77.133,77.738,78.391,79.446,80.421,81.772,82.338,82.164,82.601,82.916,84.326,86.229,86.279,86.84,88.464,90.544,92.464,94.378,95.802,97.026,98.639,101.224,103.11,104.892,105.941,106.295,107.197,107.791,107.478,107.499,107.68,107.25,106.941,106.196,104.799,104.065,102.494,101.716,102.576,102.573,102.064,102.421,103.02,102.861,103.3,103.65,103.812,103.439,103.754,104.593,105.364
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RG3",32.345,32.4,32.844,33.595,33.566,34.222,34.15,34.276,35.272,35.359,35.196,35.414,36.462,36.748,36.889,37.725,38.793,40.533,42.88,45.057,48.2,49.854,52.664,55.351,56.904,56.738,56.568,56.914,57.739,58.37,58.711,59.759,60.441,61.336,61.032,61.323,62.524,64.083,65.133,67.269,69.249,72.068,73.755,75.109,77.321,78.381,80.596,83.316,85.392,85.768,85.901,86.178,86.691,86.625,86,85.499,85.859,86.17,86.651,87.497,87.607,88.167,87.273,86.34,85.397,85.07,84.181,84.048,83.608,83.297,82.988,83.731,84.099,85.304,85.608,87.052,88.059,89.893,91.007,90.82,91.702,91.836,91.255,90.977,91.086,91.34,92.224,93.602,93.896,93.404,92.824,93.01,92.9,92.987,92.97,92.758,92.799,92.998,92.892,92.825,93.252,93.609,94.095,94.7,95.734,96.487,96.252,95.805,95.62,95.3,94.615,93.66,93.422,93.377,93.14,92.756,91.829,91.365,90.646,90.328,90.168,90.313,90.507,90.919,91.487,92.035,92.31,92.446,92.442,92.037,91.577,90.729,90.528,91.071,91.753,91.936,92.832,93.048,93.26,93.987,95.157,96.323,96.805,97.871,98.931,99.621,100.341,101.106,101.834,103.127,104.389,104.412,105.305,106.462,107.158,108.676,110.731,113.584,115.264,108.32,104.936,104.898,106.187,107.674,108.972,110.303,110.562,113.117,116.123,118.485,118.992,117.839,118.652,118.802,118.792,119.237
"24","16","    Goods","B253RG3",37.056,36.95,37.466,38.507,38.733,39.555,39.212,39.242,40.425,40.371,39.939,40.194,40.75,41.048,41.129,42.277,43.975,46.219,49.306,52.247,56.253,58.382,62.142,65.883,68.016,67.475,66.951,67.261,68.126,68.868,69.157,70.451,71.282,72.267,71.535,71.589,73.038,74.974,76.145,79.042,81.805,85.443,87.343,88.639,91.083,92.06,94.81,98.28,100.748,100.834,100.603,100.603,100.999,100.353,98.94,97.887,97.965,98.318,98.852,100.143,100.587,101.098,99.451,97.573,96.06,95.412,93.961,93.333,92.296,91.597,90.773,91.686,92.074,93.751,93.967,96.032,97.382,99.982,101.567,101.094,102.054,101.96,100.955,100.263,99.826,99.956,100.372,101.236,101.344,100.704,99.464,99.457,99.05,98.891,98.497,98.1,98.129,98.241,98.07,97.867,98.45,98.81,99.238,99.999,101.322,102.015,101.642,100.932,100.24,99.792,98.534,96.864,96.648,96.396,96.064,95.399,94.277,93.552,92.541,92.008,91.688,91.613,91.774,92.259,92.549,93.038,93.132,93.277,93.25,92.826,92.254,91.359,91.105,91.484,92.263,92.425,93.243,93.506,93.398,94.317,95.578,96.897,97.203,98.153,99.149,99.772,100.195,100.884,101.554,102.921,104.297,104.503,105.215,106.398,106.981,108.577,110.907,114.426,116.031,107.209,103.134,103.66,104.966,106.351,107.777,109.23,109.509,112.795,116.379,119.036,119.393,117.92,118.617,118.511,118.549,118.892
"25","17","    Services","B646RG3",23.25,23.581,23.89,24.112,23.623,23.971,24.383,24.677,25.309,25.627,25.951,26.115,27.944,28.231,28.503,28.763,28.57,29.292,30.133,30.729,32.061,32.72,33.56,34.1,34.533,35.097,35.638,36.068,36.807,37.206,37.651,38.208,38.597,39.305,39.836,40.577,41.291,42.099,42.899,43.495,43.89,45.034,46.28,47.792,49.552,50.853,51.966,53.152,54.474,55.46,56.312,57.136,57.876,58.917,59.804,60.333,61.192,61.422,61.8,61.798,61.292,61.925,62.421,63.287,63.43,63.704,63.889,64.689,65.335,65.7,66.289,66.703,67.021,67.382,67.831,68.115,68.473,68.833,69.039,69.403,70.105,70.669,70.919,71.438,72.596,73.083,74.835,77.142,77.789,77.598,78.292,78.846,79.308,79.87,80.589,80.751,80.809,81.17,81.193,81.394,81.506,81.856,82.457,82.738,83.159,84.035,84.094,84.2,85.093,85.049,85.608,86.213,85.945,86.38,86.369,86.644,86.168,86.298,86.246,86.428,86.639,87.278,87.546,87.792,89.014,89.704,90.423,90.538,90.594,90.235,90.037,89.301,89.226,90.145,90.602,90.834,91.907,92.015,92.96,93.25,94.212,95.039,95.911,97.231,98.432,99.274,100.674,101.62,102.485,103.606,104.596,104.186,105.499,106.598,107.567,108.921,110.355,111.628,113.464,110.847,108.892,107.646,108.881,110.589,111.619,112.685,112.905,113.754,115.397,117.059,117.91,117.52,118.609,119.385,119.255,119.945
"26","18","  Imports","B021RG3",21.975,22.07,22.23,22.803,23.044,23.308,23.878,24.118,24.725,24.811,25.115,25.49,25.922,26.593,27.021,27.62,28.432,30.671,32.132,34.548,40.027,44.616,46.905,48.406,49.168,49.296,48.198,48.272,49.061,49.812,50.706,51.225,53.022,54.49,55.211,55.775,56.709,58.083,59.05,60.085,62.431,65.677,70.576,75.248,81.523,84.478,86.846,88.357,90.621,91.165,88.786,88.973,88.708,87.151,86.112,85.451,83.654,83.655,83.814,83.279,83.528,83.992,82.501,81.493,79.544,79.888,79.818,81.376,81.527,79.002,79.549,80.538,82.616,84.783,85.649,86.984,88.216,89.783,88.789,89.509,90.94,91.94,90.367,90.836,92.241,90.614,93.244,98.421,95.408,92.781,91.389,91.815,92.25,92.613,93.791,93.035,92.471,92.792,91.971,91.605,91.56,92.425,93.978,94.336,95.117,96.484,95.88,95.018,94.814,94.321,93.367,93.327,92.615,90.686,90.089,89.376,87.17,86.109,84.998,84.959,84.73,85.743,86.777,87.994,89.605,89.586,90.218,90.698,90.289,88.573,87.189,85.245,85.073,86.905,87.429,87.976,90.473,89.181,89.602,90.145,92.152,93.436,94.4,96.667,97.475,98.832,100.861,102.832,103.235,104.307,105.104,103.88,104.558,106.234,108.008,112.339,116.791,122.49,125.623,112.045,102.932,104.547,107.855,111.058,113.2,112.595,111.726,114.434,119.417,123.057,122.466,122.463,124.156,122.942,120.907,122.465
"27","19","    Goods","B255RG3",22.364,22.451,22.579,23.341,23.61,23.847,24.581,24.863,25.305,25.24,25.514,25.808,26.454,27.262,27.687,28.269,29.132,31.488,32.924,35.725,42.332,47.957,50.737,52.413,53.291,53.238,51.621,51.495,52.496,53.451,54.406,54.896,57.012,58.692,59.402,59.862,60.899,62.364,63.153,64.225,66.939,70.634,76.299,81.678,88.863,92.385,94.94,96.749,99.596,100.189,96.983,96.931,96.496,94.72,93.696,92.885,90.565,90.587,90.768,90.085,90.324,90.937,89.587,88.665,86.338,86.313,85.63,87.085,86.492,83.016,83.47,84.653,87.653,90.264,91.115,92.676,93.749,95.574,94.389,95.227,97.326,98.68,96.607,96.929,98.224,95.762,98.484,104.227,100.259,97.448,95.546,95.944,96.274,96.553,97.442,96.798,96.123,96.315,95.43,94.874,94.785,95.821,97.322,97.604,98.798,99.891,99.073,98.047,97.685,96.969,95.664,95.457,94.699,92.338,91.79,91.013,88.728,87.275,85.898,85.6,85.341,86.296,87.371,88.785,90.659,90.739,91.417,92.007,91.454,89.483,87.749,85.542,85.271,87.139,87.468,88.139,90.772,88.671,89.042,89.677,91.855,93.174,94.058,96.492,97.298,98.671,100.835,103.197,103.391,104.406,105.216,103.756,104.427,106.095,107.889,112.754,117.816,123.986,127.444,111.77,101.068,103.112,106.934,110.401,112.93,112.14,111.047,113.964,119.69,123.769,123.143,123.328,125.262,123.743,121.346,123.074
"28","20","    Services","B656RG3",19.588,19.697,19.925,20.009,20.173,20.48,20.636,20.755,21.705,22.159,22.524,23.084,22.923,23.186,23.603,24.218,24.832,26.601,28.073,29.146,30.818,32.028,32.722,33.643,34.059,34.688,35.13,35.809,35.942,36.037,36.709,37.31,37.973,38.676,39.412,40.315,40.876,41.904,43.461,44.339,45.347,46.959,49.103,51.232,54.212,55.164,56.844,57.347,57.658,58.011,58.345,59.259,59.515,58.699,57.693,57.533,57.402,57.361,57.446,57.406,57.651,57.617,55.793,54.615,53.941,55.356,57.155,58.948,61.429,62.136,62.97,63.263,62.267,62.933,63.799,64.355,65.997,66.684,66.347,66.668,65.936,65.778,65.841,66.731,68.379,69.384,71.572,74.74,74.775,72.878,73.146,73.649,74.408,75.041,77.186,76.058,75.912,76.697,76.142,76.502,76.633,76.825,78.551,79.215,78.237,80.739,81.056,80.907,81.388,81.878,82.478,83.194,82.695,82.771,81.942,81.523,79.685,80.454,80.593,81.783,81.722,83.029,83.877,84.114,84.411,83.892,84.3,84.233,84.562,84.111,84.421,83.784,84.117,85.772,87.283,87.181,88.966,91.839,92.507,92.566,93.702,94.813,96.188,97.589,98.408,99.679,101.007,100.906,102.446,103.817,104.505,104.455,105.189,106.933,108.655,110.223,111.601,114.96,116.498,112.966,110.937,110.675,111.749,113.715,113.998,114.239,114.464,116.154,117.443,118.914,118.532,117.614,118.117,118.399,118.133,118.855
"29","21","Government consumption expenditures and gross investment","B822RG3",17.025,17.32,17.727,17.998,18.491,18.797,19.111,19.382,19.927,20.296,20.578,20.882,21.582,21.798,22.067,22.511,22.965,23.384,23.78,24.249,24.793,25.499,26.372,27.246,27.814,28.318,28.797,29.414,29.825,30.236,30.609,31.207,31.83,32.325,32.7,33.478,33.902,34.377,34.874,35.525,36.231,36.954,38.002,39.111,40.044,41.085,42.012,43.536,44.625,45.43,45.971,47.046,47.787,48.472,49.06,49.781,50.103,50.534,50.968,51.263,52.645,53.157,53.585,53.889,54.577,54.814,54.995,55.512,55.591,55.741,56.046,56.532,57.007,57.351,57.805,58.001,58.502,58.984,59.242,59.568,60.326,60.753,61.13,61.488,62.384,62.979,63.622,64.636,65.131,65.332,65.802,66.161,66.621,67.149,67.563,67.773,68.312,68.773,69.175,69.536,70.069,70.624,71.014,71.57,72.158,72.53,72.817,73.508,74.323,74.132,74.505,74.993,75.509,75.663,75.875,76.371,76.444,76.634,77.013,77.427,78.185,78.993,79.722,80.448,81.576,81.986,82.864,83.625,84.268,84.656,84.98,85.15,86.064,86.647,87.153,88.147,90.122,90.361,90.844,91.272,92.767,93.889,95.041,96.425,98.167,99.248,100.686,101.898,103.232,104.644,105.437,106.055,108.223,109.453,110.245,111.529,113.673,115.506,116.698,115.103,114.342,114.186,114.62,115.22,116.555,116.916,117.406,118.461,119.964,121.168,121.898,121.903,122.979,123.157,123.574,124.063
