"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2013 7:47:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate profits before tax","A053RC0",91371,80992,92879,108224,134972,147776,145542,179739,210510,246136,272134,253542,243742,198612,233999,268608,257464,245961,323099
"9","2","Domestic industries","E561RC0",84776,73892,85024,98688,120073,130307,130911,163190,191395,223267,237522,218071,214063,166029,198940,232042,219358,206487,275087
"10","3","  Agriculture, forestry, and fishing","A3003C0",232,77,213,496,914,469,828,732,632,1252,1246,636,329,40,-129,192,-112,1553,1898
"11","4","    Farms","B3004C0",128,0,94,305,759,290,684,473,381,933,872,413,79,-80,-192,-60,-306,928,890
"12","5","    Agricultural services, forestry, and fishing","B3005C0",104,77,119,191,155,179,144,259,251,319,374,223,250,120,63,252,194,625,1008
