"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:27:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross saving","A929RC1",19.3,15,8.3,3.3,3.3,6.4,9.6,11.5,16.2,11.7,13.6,18.5,29.9,39.8,44.9,39.9,29.8,38.4,46.6,58,45.6,60.6,75.1,74.2,75.1,73.4,88,99.4,99.6,90.8,106.1,111.3,114.3,124.9,133.2,143.4,158.5,168.7,170.6,182,198.4
"9","2","Net saving","W201RC1",9.7,5.6,-0.5,-4.4,-4.1,-1.4,1.8,3.4,7.2,2.5,4.3,8.8,18.8,26.1,28.4,20.4,8.7,15.3,19.9,29.6,16.4,30.7,41.3,37.9,36.5,32.8,45.2,52.3,48.8,37.5,50.7,54.7,56.1,64.3,69.8,77,87.7,92.3,87.6,91.6,99.3
"10","3","  Net private saving","W202RC1",7.1,4,0.7,-3.7,-3.6,-0.4,2.6,4.3,5,1.9,4.4,7.1,14.7,33.3,41,45.6,36,18.8,13.2,24.7,20.6,23.8,29,31.2,31.2,31.2,36,40.4,41.3,40.1,43.6,43.3,49.3,56.7,58.8,69.7,78,82.3,89.9,86.6,82.7
