"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"1","[Billions of chained (2005) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 28, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2013 9:23:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Personal consumption expenditures (PCE)","DPCERX1",6001.6,6050.8,6104.9,6147.8,6204,6274.2,6311.8,6363.2,6427.3,6453.3,6563,6638.1,6704.1,6819.5,6909.9,7015.9,7085.1,7196.6,7283.1,7385.8,7497.8,7568.3,7642.4,7710,7740.8,7770,7804.2,7926.4,7953.7,7994.1,8048.3,8076.9,8117.7,8198.1,8308.5,8353.7,8427.6,8465.1,8539.1,8631.3,8700.1,8786.2,8852.9,8874.9,8965.8,9019.8,9073.9,9158.3,9209.2,9244.5,9285.2,9312.6,9289.1,9285.8,9196,9076,9039.5,8999.3,9046.2,9045.4,9100.8,9159.4,9216,9308.5,9380.9,9403.2,9441.9,9489.3,9546.8,9582.5,9620.1,9663.9
"10","2","Goods","DGDSRX1",1870.6,1883.2,1906,1924,1939.5,1977.3,1991.3,2015.5,2042.7,2041.1,2094.5,2123.1,2139.6,2195.8,2229.3,2297.4,2325.9,2381,2409.6,2451.5,2489,2502.6,2529.3,2551.9,2558.6,2565.9,2585.2,2679.4,2674.1,2686.8,2721.4,2729.1,2747.5,2798.2,2872.7,2890.4,2920.6,2927.1,2963,3002.4,3035.4,3077.2,3100.9,3093.4,3146.8,3157.7,3184.5,3226.7,3247.6,3263,3287.3,3295.8,3249,3252.7,3187.9,3082,3083.2,3067,3123.1,3119.5,3159.5,3185.4,3215.1,3276.5,3320.3,3312.2,3323.5,3367.9,3406.6,3409.4,3439.7,3476.1
"11","3","  Durable goods","DDURRX1",497.3,502.4,516.6,525.5,531.2,548.1,552,562.8,578.1,576.2,601.9,617.2,622.4,654.1,673,713,714.7,749.1,767.4,776.9,820.6,805.8,819.8,825.8,839.8,839.4,849.5,920.9,910.4,919.9,946.9,934.4,937.2,975.9,1016.9,1026.5,1040.9,1047.5,1068.2,1087.2,1098.7,1130.6,1146.6,1117.5,1160.9,1161.8,1179,1195.2,1210.1,1227,1242.7,1249.9,1218.7,1209.8,1170.8,1088,1091.4,1085.8,1138.6,1120.7,1135.9,1164.5,1184.9,1227.7,1249.4,1242.3,1258.6,1300.1,1336.1,1335.3,1364,1408.3
"12","4","    Motor vehicles and parts","DMOTRX1",251.5,251.3,257.6,261.9,264.6,268.8,268.1,270.4,282.5,272.8,290.7,298.5,289.8,312.1,316.4,345.8,329.6,353.1,354.1,343.7,372.9,346.1,352.2,353.2,363.1,357,361.2,415.9,386.3,388.4,412.9,388.4,388.5,404.9,417,408.7,408.5,406.5,411.5,415.2,407.6,422.4,426.3,376.4,391,391.1,398.2,397.3,399.4,405.1,401.8,399.3,381.9,360.7,340.8,303.8,312.8,313.7,347.7,316.3,312.4,324.2,331,350.3,355,336.6,338.1,360.1,371.2,361.8,370.5,389.8
