"","Table 5#6#5BM2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117"
"11","3","D Manufacturing industries","X300",8352,6312,1872,24780,14112,6348,10344,21828,12264,27864,1308,24996,17904,26676,15336,9132,10140,7740,-576,-36,-3492,11352,3156,-32352,-30252,1788,24960,-6648,20844,-8268,23184,1500,29532,15780,46164,49020,228,34704,8160,33612,-36,45264,22656,14808,1236,25428,26760,-5088,35460,-9612,-42504,-3024,-27684,-47700,-33336,-41748,-46776,-29664,-46428,-49644,-38244,-29136,-9540,-8520,-18768,-4548,3888,4200,10704,984,-11052,21756,-8736,61920,-12264,2472,-8496,-23232,-22956,-2136,-13524,16560,-1572,10812,468,27864,24588,20388,37584,45528,37920,34824,3000,43572,48900,2604,67368,28428,26112,4320,-11172,-1404,29268,-16080,-5172,39660,10308,27096,51252,-24000,42708,52416,33552,48984
"12","4","D   Durable goods industries","X30D0",11148,10236,-4728,21072,9768,2952,16596,10644,2580,14412,-7908,19764,22944,24252,16464,16056,12828,11388,-3144,10152,4116,12216,-4152,-10512,-32412,8304,21948,-14484,8160,-7956,19392,-7584,15852,-960,26280,31512,-12276,21660,636,22572,-7380,28176,7308,18120,-4800,20340,23436,948,27840,-3984,-42348,-1248,-21588,-32940,-27816,-30720,-40164,-19020,-33288,-43236,-24156,-18216,-27012,-10236,-12528,-8724,-5184,-4464,-3120,-2424,-8928,27972,-19500,30996,-14664,-4464,-7872,-31068,-20112,-9024,-10332,16932,-9396,29508,-3840,11076,16212,14568,17028,27816,24144,22560,9564,25032,29460,7080,38208,21228,12240,912,7356,-18360,23700,-11112,-1896,16092,19680,-2100,16428,-14256,29340,38232,20988,28056
"13","5","D   Nondurable goods industries","X30N0",-2796,-3924,6600,3708,4344,3396,-6252,11184,9684,13452,9216,5232,-5040,2424,-1128,-6924,-2688,-3648,2568,-10188,-7608,-864,7308,-21840,2160,-6516,3012,7836,12684,-312,3792,9084,13680,16740,19884,17508,12504,13044,7524,11040,7344,17088,15348,-3312,6036,5088,3324,-6036,7620,-5628,-156,-1776,-6096,-14760,-5520,-11028,-6612,-10644,-13140,-6408,-14088,-10920,17472,1716,-6240,4176,9072,8664,13824,3408,-2124,-6216,10764,30924,2400,6936,-624,7836,-2844,6888,-3192,-372,7824,-18696,4308,16788,8376,5820,20556,17712,13776,12264,-6564,18540,19440,-4476,29160,7200,13872,3408,-18528,16956,5568,-4968,-3276,23568,-9372,29196,34824,-9744,13368,14184,12564,20928
"14","6","D Wholesale trade industries","XWT0",38700,3444,10944,12876,15732,51972,-11388,12108,24444,18900,25176,26640,4680,35784,18624,-7176,21984,-6396,2892,30012,22080,12324,21984,6564,1812,27300,14280,4776,7896,7140,32748,21432,20568,35832,40680,14112,38844,26136,26628,34428,15936,34344,14328,16764,5748,24756,24552,-5748,4056,-1872,-5712,13068,12000,-29136,-38700,-7368,-24504,-34596,-48228,-31512,-22776,-38076,8544,-15516,3984,12456,32724,9276,19812,-7728,2148,36048,-7188,16248,7080,8832,-20748,-4548,1776,-1284,13500,29580,12540,24864,3684,49128,19044,1212,59628,40908,59052,49344,19560,48060,55644,-3012,60660,29436,17832,46056,7068,26064,11340,21192,27480,20892,23100,35508,18240,48024,14424,53088,42084,41244
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","D     Durable goods industries","XWTD0",21204,5232,9876,15792,16968,40104,-19284,2796,21912,876,6216,25188,14172,25752,18264,-1680,10104,-11256,1020,25260,14376,14784,5064,14556,1032,14220,8184,-8292,16332,12084,12540,5016,15756,20292,30096,10728,16956,18708,13056,26004,10428,30324,6972,11400,-6528,11016,9912,-12036,11328,-11892,-16824,-7632,-9156,-41328,-25656,-20112,-26172,-10560,-49776,-29856,-26340,-28800,-2040,-6672,-1848,540,19536,9024,6240,-5832,7368,10788,-7428,16512,-228,7560,-13704,-7032,-10692,-6420,-24,9516,5748,33996,13140,27840,20496,9228,40740,33720,34452,49560,28788,25032,30084,6168,36468,21072,5928,17820,9444,17304,12576,6528,3876,36336,25104,11364,19200,21744,3312,40680,22908,20640
"17","8","D     Nondurable goods industries","XWTN0",17496,-1788,1068,-2916,-1236,11868,7896,9312,2532,18024,18960,1452,-9492,10032,360,-5496,11880,4860,1872,4752,7704,-2460,16920,-7992,780,13080,6096,13068,-8436,-4944,20208,16416,4812,15540,10584,3384,21888,7428,13572,8424,5508,4020,7356,5364,12276,13740,14640,6288,-7272,10020,11112,20700,21156,12192,-13044,12744,1668,-24036,1548,-1656,3564,-9276,10584,-8844,5832,11916,13188,252,13572,-1896,-5220,25260,240,-264,7308,1272,-7044,2484,12468,5136,13524,20064,6792,-9132,-9456,21288,-1452,-8016,18888,7188,24600,-216,-9228,23028,25560,-9180,24192,8364,11904,28236,-2376,8760,-1236,14664,23604,-15444,-2004,24144,-960,26280,11112,12408,19176,20604
"18",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","D     Merchant wholesale industries","X42W0",28956,2256,16296,5808,13512,54000,-9396,11760,25608,14064,24360,26220,5196,32928,17136,-5592,22008,-5400,3780,30108,19956,7752,16104,11352,4140,26280,10356,1452,5988,4068,33612,11352,20892,32592,40956,11520,33384,21108,24792,28668,21396,26040,6912,10812,5124,17724,22044,-5556,-3540,-2088,192,9948,16056,-26820,-31140,-4452,-14472,-29676,-40680,-29196,-10020,-33600,2616,-15840,4740,15516,26520,13080,15000,-9660,4500,31572,-3936,13572,11988,7224,-19632,-7860,1164,-5940,18672,27816,12624,17808,-1416,51336,18552,2448,45120,34404,61584,39912,11088,48996,47628,24,47664,25512,10584,39228,9612,23892,5880,19464,32136,14412,20064,40728,5004,43248,19872,52524,38520,34104
"20","10","D       Durable goods industries","X42WD0",10992,3180,16452,8376,14484,43812,-17940,4248,23484,-2976,7872,24696,11424,22524,17400,456,9876,-10872,1464,24900,11160,11796,-300,17232,3360,11280,6096,-11868,15864,9396,15528,-1800,17160,19116,31668,9108,13224,16332,12072,21504,16812,24696,1500,5652,-5160,5160,7968,-10260,4980,-12492,-10920,-9768,-5940,-40344,-20580,-17796,-18516,-6828,-44496,-27792,-15528,-26316,-6024,-7152,-2400,4632,15312,12684,3984,-5820,7368,11004,-7740,17784,5748,7812,-13128,-8064,-11364,-8676,5148,8184,5736,28452,8712,30792,20352,10200,38940,28800,37608,43992,19536,28332,27384,6120,32964,16236,-144,15324,8856,21576,10932,1296,9792,34284,18420,18840,10116,20472,12024,42276,23184,15720
"21","11","D       Nondurable goods industries","X42WN0",17964,-924,-156,-2568,-972,10188,8544,7512,2124,17040,16488,1524,-6228,10404,-264,-6048,12132,5472,2316,5208,8796,-4044,16404,-5880,780,15000,4260,13320,-9876,-5328,18084,13152,3732,13476,9288,2412,20160,4776,12720,7164,4584,1344,5412,5160,10284,12564,14076,4704,-8520,10404,11112,19716,21996,13524,-10560,13344,4044,-22848,3816,-1404,5508,-7284,8640,-8688,7140,10884,11208,396,11016,-3840,-2868,20568,3804,-4212,6240,-588,-6504,204,12528,2736,13524,19632,6888,-10644,-10128,20544,-1800,-7752,6180,5604,23976,-4080,-8448,20664,20244,-6096,14700,9276,10728,23904,756,2316,-5052,18168,22344,-19872,1644,21888,-5112,22776,7848,10248,15336,18384
"22","12","D     Nonmerchant wholesale industries","X42N0",9744,1188,-5352,7068,2220,-2028,-1992,348,-1164,4836,816,420,-516,2856,1488,-1584,-24,-996,-888,-96,2124,4572,5880,-4788,-2328,1020,3924,3324,1908,3072,-864,10080,-324,3240,-276,2592,5460,5028,1836,5760,-5460,8304,7416,5952,624,7032,2508,-192,7596,216,-5904,3120,-4056,-2316,-7560,-2916,-10032,-4920,-7548,-2316,-12756,-4476,5928,324,-756,-3060,6204,-3804,4812,1932,-2352,4476,-3252,2676,-4908,1608,-1116,3312,612,4656,-5172,1764,-84,7056,5100,-2208,492,-1236,14508,6504,-2532,9432,8472,-936,8016,-3036,12996,3924,7248,6828,-2544,2172,5460,1728,-4656,6480,3036,-5220,13236,4776,-5448,564,3564,7140
"23","13","D       Durable goods industries","X42ND0",10212,2052,-6576,7416,2484,-3708,-1344,-1452,-1572,3852,-1656,492,2748,3228,864,-2136,228,-384,-444,360,3216,2988,5364,-2676,-2328,2940,2088,3576,468,2688,-2988,6816,-1404,1176,-1572,1620,3732,2376,984,4500,-6384,5628,5472,5748,-1368,5856,1944,-1776,6348,600,-5904,2136,-3216,-984,-5076,-2316,-7656,-3732,-5280,-2064,-10812,-2484,3984,480,552,-4092,4224,-3660,2256,-12,0,-216,312,-1272,-5976,-252,-576,1032,672,2256,-5172,1332,12,5544,4428,-2952,144,-972,1800,4920,-3156,5568,9252,-3300,2700,48,3504,4836,6072,2496,588,-4272,1644,5232,-5916,2052,6684,-7476,9084,1272,-8712,-1596,-276,4920
"24","14","D       Nondurable goods industries","X42NN0",-468,-864,1224,-348,-264,1680,-648,1800,408,984,2472,-72,-3264,-372,624,552,-252,-612,-444,-456,-1092,1584,516,-2112,0,-1920,1836,-252,1440,384,2124,3264,1080,2064,1296,972,1728,2652,852,1260,924,2676,1944,204,1992,1176,564,1584,1248,-384,0,984,-840,-1332,-2484,-600,-2376,-1188,-2268,-252,-1944,-1992,1944,-156,-1308,1032,1980,-144,2556,1944,-2352,4692,-3564,3948,1068,1860,-540,2280,-60,2400,0,432,-96,1512,672,744,348,-264,12708,1584,624,3864,-780,2364,5316,-3084,9492,-912,1176,4332,-3132,6444,3816,-3504,1260,4428,-3648,2256,4152,3504,3264,2160,3840,2220
"25","15","D Retail trade industries","X440",-12252,23856,-30552,42792,13788,-4440,28584,-14844,28536,19428,18840,11064,19668,31440,47928,44280,-18492,312,13356,-8100,14736,-108,20772,1368,45000,15576,32904,11628,5304,20256,19596,15936,29736,45180,47232,63156,-9636,10788,27612,26040,49728,40500,29352,34812,6588,36516,21420,5460,-6768,-33576,-8640,20100,14832,-9624,-2964,17628,-4224,-115416,-61764,49440,34488,14220,8040,8880,39240,30144,14880,-11196,52920,20064,54276,14160,21228,28584,30648,17100,-7452,16716,26016,-29628,60816,9432,28356,-6924,14928,24000,40212,62556,25056,31740,7740,34332,-372,50232,39000,17532,13116,48948,10392,-26520,11844,-1956,-88584,23304,60180,60288,27216,3648,3240,-4020,49368,-27900,53112,33132
"26","16","D   Motor vehicle dealers","X4410",-7812,7812,-12780,23436,-2484,-9588,18012,-1428,-1416,20304,16824,-2280,6312,13728,20016,32388,-48,-35160,-5316,-15420,9672,3312,4992,-11988,27036,12384,19380,-4224,264,5508,13596,1452,14964,29748,20904,27108,4992,-6444,12960,27420,20124,29964,28584,12456,10248,13824,4476,2256,-13500,-32496,-14148,18072,14220,-876,14316,-3852,6888,-120996,-35268,58200,31500,17868,12408,5904,22092,25176,-5964,-11340,25980,32136,48120,-624,23136,11388,20952,20628,12132,13164,5760,-20316,30288,-3816,18204,-4140,16860,7992,14664,38376,3084,11928,-264,11700,-12348,26592,3936,-16116,-10872,31932,-1080,-32820,-8652,-20892,-84840,1236,50484,63168,14448,-22536,-11460,-3228,25188,-29292,24372,12852
"27","17","D   Food and beverage stores","X4450",-1128,60,1008,-960,1176,-144,0,3576,1224,-1728,1512,-1968,2856,0,3012,3672,-96,2508,2532,-1056,-1116,180,3204,-816,4692,996,780,-1920,3060,1500,2208,3216,4248,2448,1236,2844,-984,240,300,540,2100,-6516,-1080,432,2220,192,-1788,2568,3132,3240,1476,2628,144,1944,120,708,-912,4044,1368,-1284,-2184,-348,-1908,-696,-732,-432,-1956,2160,3024,-6816,1644,4416,-1668,1716,1260,-1176,-1188,-1236,2604,-648,3864,-5244,-1896,-996,1080,-1416,1128,2388,3972,1560,576,-552,1056,540,2196,-1524,1392,-420,-780,1236,1440,1404,-2016,1188,-4536,4236,1836,204,1476,924,384,360,2544,1536
"28","18","D   General merchandise stores","X4520",-7368,3060,-4584,7344,900,1176,-1848,-4200,2292,-3540,744,7392,3708,720,1152,804,-9480,10368,4944,36,3120,-1284,-1860,-1716,-552,1404,5520,4080,-420,-1308,1596,4188,1584,-1620,12576,5400,3516,2676,-5052,-1212,2508,4068,-4524,828,-216,5628,-732,1944,5184,1428,12996,-4224,5244,1092,-9408,10848,-6432,-876,-7848,-6924,-4584,120,-5940,-1512,7392,-4032,10608,660,1608,708,10524,768,-2184,-2436,2328,10080,-10164,72,3912,-8664,11496,8544,-4992,3144,3612,4404,5364,1248,744,8424,-1584,3336,2892,3036,13056,7740,6324,1476,10560,468,2448,2052,-2136,10344,2076,-2112,1752,4872,-4392,-6492,-2748,-10656,6588,2448
"29","19","D   Other retail stores","X44Y0",4056,12924,-14196,12972,14196,4116,12420,-12792,26436,4392,-240,7920,6792,16992,23748,7416,-8868,22596,11196,8340,3060,-2316,14436,15888,13824,792,7224,13692,2400,14556,2196,7080,8940,14604,12516,27804,-17160,14316,19404,-708,24996,12984,6372,21096,-5664,16872,19464,-1308,-1584,-5748,-8964,3624,-4776,-11784,-7992,9924,-3768,2412,-20016,-552,9756,-3420,3480,5184,10488,9432,12192,-2676,22308,-5964,-6012,9600,1944,17916,6108,-12432,-8232,4716,13740,0,15168,9948,17040,-4932,-6624,13020,19056,20544,17256,9828,9012,19848,8028,20064,19812,27432,16272,15960,1692,4596,16608,15480,408,10536,12156,-5004,9180,21108,17616,4776,26544,11688,19608,16296
"30","20","D Other industries","XOTH0",7544,7544,7544,3364,3364,3364,3068,3068,3068,5468,5468,5468,1916,1916,1916,4716,4716,4716,4840,4840,4840,7924,7924,7924,6504,6504,6504,9512,9512,9512,8136,8136,8136,6228,6228,6228,14948,14948,14948,14700,14700,14700,17876,17876,17876,6076,6076,6076,3024,3024,3024,192,192,192,-1868,-1868,-1868,-4332,-4332,-4332,-4316,-4316,-4316,1208,1208,1208,-1676,-1676,-1676,-1656,-1656,-1656,584,584,584,3084,3084,3084,1740,1740,1740,1376,1376,1376,7508,7508,7508,7192,7192,7192,8532,8532,8532,9680,9680,9680,2656,2656,2656,2096,2096,2096,2288,2288,2288,1940,1940,1940,5696,5696,5696,11424,11424,11424
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","E=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","  monthly data are underlying detail to the published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
