"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202"
"11","2","Q1TDG1 A Durable goods","Q1TDG10",492251,461111,459350,462087,451934,451848,453332,446529,451537,441298,439373,431568,407956,419542,446417,425775,424463,430368,434305,429643,436895,423461,425775,430169,442998,447410,439027,436731,446970,456233,451856,455948,461292,465514,456769,475080,479120,467059,464927,481770,490110,486700,494807,487512,493935,500824,505054,509483,510148,521423,520258,532733,514128,523115,523288,531325,532543,546831,550629,546382,538931,530471,542419,529297,541970,559280,548816,561948,568310,557329,569035,583703,563225,579516,585706,596524,598967,589988,594124,602420,603689,608930,614593,613255,628596,625946,635244,627439,622199,634078,648349,666729,654988,659253,677176,683236,671590,677944,679101,692577,717044,712788,709283,726981,745223,763016,762351,785575,754288,770967,777011,789020,804456,817397,815929,821601,824658,816689,820030,842537,860891,883899,873617,851248,854563,848140,848986,859812,882621,869801,862644,863689,864578,891393,882621,863404,876958,896296,882259,901632,872805,1002580,957877,915747,937667,959233,948415,977354,936027,957342,987662,1003435,959077,949175,960390,1001683,983069,957092,974099,999947,1009124,1020460,1034929,1070611,1043338,1040696,1061321,1052144,1055520,1066294,1079158,1064446,1099601,1050279,1090821,1078622,1112370,1099946,1102830,1128004,1107466,1114079,1128816,1165352,1116375,1170679,1237371,1161122,1129239,1109590,1142198,1161786,1195249,1180961,1195206,1192106,1185778,1197528,1216314
"12","3","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",297951,258882,258488,264173,253931,256694,256814,250866,256134,244654,240128,234203,207433,218031,247221,222020,218997,226673,232208,226673,237059,221687,227265,233805,238872,245288,236379,232170,244148,251167,243700,245060,248593,252597,243278,257978,255465,245091,243448,258828,262260,258627,263424,255724,259462,267969,268924,271745,276198,282862,275069,287794,264645,269770,270338,274122,271877,280256,284613,277373,267339,262608,273087,258774,264773,281200,265924,278328,279854,268483,276364,290418,274068,285254,284960,291380,288064,278080,282054,288312,287384,288323,291701,284732,304352,295829,302110,291222,287569,293541,303486,320941,303768,307382,320280,325367,308198,310405,312260,323403,344569,333747,325580,338941,355403,369349,364131,381578,350023,356961,358298,372719,380148,387867,383012,383078,381335,367753,369944,378100,396077,414892,398848,375788,379043,373519,372128,380399,396973,387739,380782,382027,378158,404762,395025,375854,385695,404193,387422,403022,387732,499002,448210,400962,415677,430454,420029,441516,402647,423345,452327,463261,421185,409605,417702,450235,435099,416400,423001,442250,441798,442841,450232,470566,443549,440464,454479,444136,444241,449783,452856,441404,467749,425015,450522,439633,463698,452740,451121,465588,445276,441543,456281,475668,437067,476132,535385,459446,429120,403390,428490,446946,445624,440383,449316,448044,438018,446448,460946
"13","4","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122012,122375,122115,120491,120551,119596,118842,118833,119277,118298,118113,117825,117281,118532,120494,121599,122237,121790,122669,122929,122231,121467,120663,121176,125031,124643,124146,124396,125138,127137,127622,128824,130132,130833,130983,134246,137169,136133,135279,138102,140217,141062,142182,142104,144037,144231,145780,146747,144945,148875,152320,153159,153606,155918,156065,159342,161034,163966,164893,167077,167474,165109,165922,165703,169743,172975,174211,176079,177938,178445,182957,183232,178754,183723,187128,190589,193608,193796,194259,194731,197917,199560,201853,204522,202717,207163,209282,211459,211988,214601,217993,219989,222530,223560,226025,227953,231683,234543,234155,234777,238479,242409,245601,249797,251699,253965,258067,260780,260736,267091,270589,269838,276090,279291,280762,285218,290969,292634,294414,301148,303129,306630,310254,313004,310376,310460,313486,315589,318621,319081,318011,316243,323962,322363,325067,324625,328324,331491,333362,336325,327025,336807,343027,349220,353094,357869,359705,362972,363729,363664,364039,365876,365782,369568,371480,373893,373314,369124,377375,379074,389610,397495,402655,412562,414843,415287,419414,422593,426308,428004,436562,436812,440936,442419,450883,451678,456356,454601,460705,466995,467618,473719,472314,478632,478607,488729,490857,497794,504469,509738,513083,511731,541273,535396,538848,539158,543357,547982,551495
"14","5","Q1TOD1 B   Other","Q1TOD10",95359,94835,93658,94115,91821,90773,93389,91172,91413,91662,93724,90839,89310,90818,91740,89669,89939,90298,88493,87925,87717,87699,86532,84866,88669,88397,87836,88672,88205,89182,90287,91760,92553,92588,91229,93325,95777,93520,93874,94356,97269,95741,98541,97765,98644,98095,99642,100494,99578,100293,101474,102102,102677,104508,103992,104777,105895,109538,108357,107749,108658,107129,109011,108740,111438,110264,111949,111872,114829,113285,112608,114464,113811,114242,116860,117879,119939,119812,119800,121946,120336,122947,122888,125078,124242,124537,125669,125588,123065,126602,127864,127700,129329,129080,132273,131431,131929,133134,132965,135272,135764,137521,138395,138883,139332,141325,141324,144843,144013,147308,148366,147129,148832,150892,152620,153623,152487,156268,155608,163236,161741,162541,164543,162375,165089,164111,163334,163786,166987,162978,163891,165435,162795,164198,162757,163490,163439,160872,162246,162736,158532,164263,165919,166753,169751,171439,169777,173165,171604,171413,171063,173571,173433,172265,173173,177816,175736,173350,175749,179555,179622,182563,184456,189371,188775,188955,190912,189930,189932,193084,194934,192353,195536,190895,196306,195160,198671,199510,198838,202557,203434,208459,208279,217487,211231,213837,213678,214740,210900,214892,216838,217110,226339,223094,224390,222607,223848,222502,222222
"15","6","Q1TND1 A Nondurable goods","Q1TND10",1477139,1483058,1489445,1483993,1483311,1491840,1492619,1493164,1487225,1475055,1482260,1468454,1464618,1471978,1485531,1481890,1490243,1484830,1492307,1488725,1478521,1476087,1477216,1474412,1505587,1502744,1493495,1498655,1503815,1493729,1501148,1510358,1514291,1529460,1531076,1537191,1535010,1531038,1525430,1536879,1548971,1547453,1554833,1554794,1569281,1562563,1568190,1569748,1564569,1586416,1595081,1594478,1593056,1603435,1603980,1613794,1613969,1624348,1620921,1632819,1637687,1618078,1628165,1628359,1637492,1642671,1641133,1637122,1648494,1635934,1648961,1659262,1648026,1657314,1667187,1673613,1673885,1683582,1684167,1687730,1687730,1698595,1699900,1703541,1700718,1711389,1720424,1708020,1705508,1720696,1733529,1736741,1738202,1737267,1746361,1745231,1756681,1762250,1777321,1782228,1782267,1796988,1796093,1801525,1801584,1813442,1829507,1833421,1836673,1851958,1859027,1862434,1875033,1866134,1862337,1876571,1882082,1893064,1904903,1949222,1900580,1909304,1941666,1944431,1946632,1940946,1949864,1952454,1962599,1969005,1967136,1981974,1984077,1978079,1963495,1975509,1981292,1967175,1990542,1998817,1970174,2002186,2002692,2026156,2027071,2028746,2024462,2032231,2025669,2042318,2039826,2033108,2032037,2045706,2054293,2059415,2068800,2066639,2082100,2074155,2075810,2102506,2110023,2134636,2124315,2122193,2143223,2131948,2155977,2141295,2168576,2156834,2172470,2163591,2176248,2177416,2198329,2205689,2209798,2223974,2237955,2250729,2235871,2264982,2263327,2276958,2281202,2289381,2292224,2312864,2305348,2310450,2343260,2346415,2338587,2347641,2352510,2357066,2366763
"16","7","Q1TFD1 B   Food","Q1TFD10",771985,776490,784215,786870,785399,790062,788082,789008,792532,781976,786371,779488,776481,776879,785733,781671,789951,787971,788406,788064,782800,781153,783808,777017,794744,789202,784521,782828,784502,774566,781153,784937,783198,795595,800193,799628,795363,797084,793226,798324,799666,800942,802247,803708,812535,806826,807909,808047,797778,814755,819917,820093,819779,825737,823202,824608,827883,829669,829224,829484,833369,821259,825283,824395,828188,826828,826329,828272,827272,825811,825589,832518,829021,830113,832999,835146,835904,834886,835664,833082,833730,836644,839818,839503,843565,843722,846775,843389,839836,842427,848866,848681,848718,846285,845378,845341,848838,851826,857960,858682,861439,867980,866351,869996,872365,873540,877685,879970,872319,880451,882514,886455,892200,888398,889601,894606,899213,901258,906568,929327,906753,913766,927893,925358,921991,929401,928217,925081,929966,935035,930974,927532,941105,937709,932602,936766,940512,937487,939023,944158,938570,942243,938560,954196,950680,949773,950014,953816,953900,955787,956731,953715,952715,955324,960737,962448,968822,966260,972986,968499,967851,974568,982247,990259,983348,984661,989879,982737,999001,996022,1003729,1000556,1005968,1004552,1007827,1006079,1018966,1023093,1028459,1037248,1039172,1046175,1045870,1055908,1055908,1063615,1066122,1074023,1084662,1088548,1083006,1085449,1104137,1104387,1101667,1105904,1110400,1112260,1109151
"17","8","Q1TCS1 B   Clothing and shoes","Q1TCS10",193614,189500,189982,186121,188014,190024,189619,187136,186493,186016,186514,184817,184293,188523,190723,193227,190613,188577,191709,191649,186707,186683,186939,185385,191875,197380,193304,196091,196978,198925,198389,202245,203623,203635,202968,205287,209110,200905,199184,204525,207892,208229,209470,206850,209536,211218,210899,210762,211429,215713,219217,216696,213370,214966,216115,220843,218925,224070,224397,226240,226339,221376,224499,223513,225416,228074,230242,226008,233067,225856,231471,232739,228360,234800,233237,237006,237012,239480,238366,243067,243493,244413,241888,243216,241623,243391,243740,239414,239411,243665,246577,250132,248697,250462,252254,252245,253853,259647,261284,263737,262412,263466,263960,260638,261799,267351,268786,270218,275744,279352,281609,279855,283327,283603,283181,285065,285774,284383,284622,285610,287048,290210,296557,294324,298784,296042,298772,299924,304613,300677,302898,302699,305756,301606,294235,301788,302201,301273,303931,308787,295899,307551,307924,314018,316093,317307,314232,318793,313000,319198,318335,316688,312100,325533,322348,325393,324583,320600,326477,327748,333542,335164,339124,341675,341729,336751,340258,343324,347162,349826,352530,343935,348007,344620,349231,349547,354429,356174,355498,359973,360092,368490,359794,369874,368282,375171,374233,373373,374010,383143,383105,383093,392108,393242,387937,386561,386719,389640,392471
"18","9","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",154197,163604,160900,158943,158145,159123,161320,164406,155725,155347,155912,153745,154434,154541,154168,154980,156919,158204,160092,157335,158421,157733,154700,159177,160046,156027,162354,163545,164948,161140,163102,162764,165626,163514,164286,166229,160560,165542,166245,163966,169157,165126,166691,170254,170302,166417,169889,168443,174413,171095,165982,167629,170147,170710,171719,170398,168424,169027,164835,171650,171055,174404,172765,172947,174180,175493,172941,172280,171711,170695,174116,173088,174802,172238,178777,175823,175620,178551,177640,177768,174364,177008,176663,174888,173598,177986,179907,178823,178335,182115,182245,179382,179805,178450,183534,181730,183606,182664,188455,188797,185123,182678,184493,188079,183009,186496,190362,191815,191758,193234,194548,195882,193833,190904,193002,189738,183936,193573,191088,200516,192332,191172,191149,194126,191999,184365,188841,191626,186720,190324,192715,202414,196554,197351,195379,196516,186115,182486,196798,189732,186691,191392,201615,200064,194345,198111,195338,194327,198396,200125,198695,199645,197680,194770,197925,199936,196602,197992,196903,195501,196196,198555,195731,202305,199827,200530,202220,200150,202668,199392,200911,199647,202982,199993,199467,200671,199838,201349,200646,198841,207339,201832,199842,200193,202389,199630,201330,199427,192577,197271,196133,196432,196034,196591,195310,197487,196650,196158,202079
"19","10","Q1GAO1 B     Gasoline and oil","Q1GAO10",140569,147646,143817,141329,141073,141312,143095,144301,138649,141421,140500,138403,138125,139348,138438,139209,140857,141589,142243,139745,141480,141087,138062,143216,144340,140339,145605,144864,146160,143850,146806,146488,149320,146520,147730,149480,144054,148784,148979,147470,152754,148154,149100,152473,152684,148939,151774,150824,153074,152397,148327,151661,152731,152738,153685,152266,149922,151310,147535,154245,154584,155956,154971,154568,154911,156552,154061,153690,153739,153539,154300,152692,155568,152362,159508,157228,157660,160834,159598,159940,155594,159255,159503,157681,156555,162587,163887,162027,161077,164953,165090,161939,162724,161503,166051,164881,168814,167564,171553,171916,169004,165775,167801,172102,167472,170587,174279,176522,176162,178310,176673,178972,176411,174193,176137,173192,167565,177615,175477,184560,175974,176627,177557,179420,176104,167744,172824,175252,170852,174542,176770,184203,180636,181230,179373,180683,171598,168264,182387,174381,171388,176374,186761,186018,180116,183752,180119,178904,182438,184664,183019,184086,182380,178846,181667,183178,180492,181581,182705,181161,181302,183248,179970,186988,184679,184607,187156,183956,186928,183496,187671,184662,188370,185291,184379,185976,185479,187492,186469,185210,193276,187404,185361,186722,188488,185010,187831,185429,179457,185082,183611,182955,185572,183785,182356,184948,183778,183164,189218
"20","11","Q1FUL1 B     Fuel oil and coal","Q1FUL10",14048,16099,17128,17774,17201,17957,18365,20344,17187,14000,15460,15393,16404,15297,15831,15871,16170,16758,18062,17803,17107,16808,16805,16094,15799,15794,16881,18938,19046,17463,16382,16364,16381,17134,16657,16852,16640,16871,17418,16609,16486,17099,17739,17927,17756,17631,18287,17752,21680,18894,17821,16046,17557,18137,18201,18324,18765,17874,17458,17482,16423,18632,17911,18565,19553,19164,19117,18801,18131,17251,20124,20756,19484,20171,19483,18780,18086,17791,18162,17920,18941,17851,17239,17279,17116,15416,16049,16848,17319,17214,17208,17525,17132,16997,17551,16904,14765,15106,16927,16894,16141,16918,16712,16011,15571,15945,16115,15314,15592,14915,17898,16910,17508,16766,16907,16585,16453,15935,15570,15860,16290,14534,13585,14672,15876,16685,16027,16396,15893,15828,15985,18141,15967,16139,16009,15856,14529,14241,14467,15325,15271,14984,14908,14185,14290,14429,15232,15444,15987,15482,15694,15574,15312,15936,16264,16750,16089,16374,14291,14416,14934,15336,15764,15361,15188,15957,15114,16180,15795,15933,13286,15053,14637,14740,15133,14735,14408,13938,14239,13731,14170,14471,14520,13573,13998,14642,13580,14070,13210,12365,12682,13490,10759,12913,13046,12679,13018,13141,13005
"21","12","Q1TON1 B   Other","Q1TON10",362999,361352,362024,360766,359642,360153,361358,361427,361176,360047,361981,358891,357761,359317,361944,358075,360052,357889,359381,358539,358827,358597,359509,361374,366606,365551,360441,362711,363953,364294,364326,365365,366793,371951,369239,371317,373480,373741,373379,375271,377439,377684,380977,379805,382352,382390,384457,387329,386338,389141,392834,393766,394667,396787,397549,401461,402484,404445,404727,408302,409826,405020,408937,411047,413194,415512,414095,413679,418310,416439,420334,423164,418976,421992,425162,427800,427475,432851,434780,435563,437450,442155,443460,447691,443642,448293,452279,449023,450547,455231,458279,460235,462963,463752,467444,467945,472597,469464,471984,473268,474776,483622,482434,485093,485258,487213,494551,493496,498574,500530,502059,502224,506801,503785,497540,507313,512380,514458,522798,534723,514735,514235,526117,530679,533817,531190,533998,535789,541373,542892,540419,549052,540435,541112,540814,539972,552254,545892,551002,555952,548279,560641,555947,558606,565655,564302,564995,565410,560695,567840,566487,563604,569401,570675,573590,572258,578902,581433,585936,582776,579233,594995,593854,601330,600622,600797,611556,607037,608321,597867,613304,613719,616533,615494,621483,622778,627291,627163,627206,630808,632545,637602,632737,643208,639893,643458,643453,647113,649591,651739,651541,653881,661469,662721,663739,666440,668129,669387,670378
"22","13","Q1TSS1 A Services","Q1TSS10",2802321,2813086,2825108,2838938,2851078,2858542,2865300,2876576,2875240,2875633,2866007,2872215,2860585,2867697,2876654,2894138,2899127,2897202,2906396,2908282,2911857,2913114,2931580,2932758,2951381,2951263,2979079,2980494,2986112,2997113,3010628,3007878,3029761,3025243,3043394,3047362,3036597,3065553,3059542,3060524,3054788,3081072,3088065,3102366,3109399,3117689,3120792,3131950,3151005,3156309,3148530,3154895,3169353,3179371,3174539,3189036,3193908,3198348,3199408,3204948,3207423,3226832,3229778,3236222,3250483,3266788,3265177,3281128,3274528,3279124,3296490,3304623,3313816,3327135,3337782,3340100,3343557,3352476,3359744,3366855,3373063,3374006,3382296,3401311,3408697,3424727,3419973,3438910,3451875,3449911,3479731,3483974,3492932,3516583,3513362,3534931,3537603,3567697,3580741,3579680,3600228,3626001,3632484,3641560,3652128,3644545,3652403,3664307,3687527,3689648,3711886,3729094,3737187,3749170,3772783,3783862,3790070,3799106,3815371,3830537,3845191,3874579,3893437,3892966,3907502,3924043,3936379,3949580,3961995,3972092,3983447,4004780,3995194,3993387,4005213,4010949,4020299,4016724,4027843,4033147,4022460,4045208,4045680,4062652,4059863,4072356,4075971,4086775,4099190,4101076,4115220,4105555,4106184,4123628,4126064,4132703,4143783,4145393,4140640,4149204,4165863,4168849,4182835,4195918,4193247,4203737,4220238,4236425,4265419,4271391,4267659,4293511,4316573,4315198,4332013,4344153,4348239,4365448,4377784,4389021,4387763,4393303,4404972,4396485,4425402,4438092,4445989,4458365,4459111,4461704,4476909,4491563,4465358,4505314,4512818,4515451,4538513,4544720,4561143
"23","14","Q1HOS1 B   Housing","Q1HOS10",794567,796338,797214,798170,800193,801803,802608,804239,806252,807097,808406,809181,809664,811888,813186,816830,817625,819185,822144,823623,825223,825777,828223,827337,829259,828967,830880,830538,830930,832712,833758,833597,833617,835469,836305,836808,837764,836989,836184,837311,837251,839223,841055,843390,844869,846550,848392,852196,855447,860771,863268,864274,864797,867313,869860,872839,876835,877791,879270,879492,881786,882430,884131,884715,885772,887090,887704,888721,890492,891327,893129,893169,893803,894468,897215,897628,898262,899842,901322,902912,904140,906374,907823,909484,912111,914124,915482,917324,919237,921451,923121,926040,927117,928727,931123,933840,937423,939839,940845,943029,945495,948766,950890,952651,953728,955892,957784,959777,966248,969459,972398,973042,975427,977027,979976,981697,983690,985834,988159,989668,992778,995174,999280,1000840,1003749,1005329,1007342,1009526,1012817,1014498,1017306,1018835,1022167,1024401,1026756,1028950,1031396,1033349,1035925,1038300,1035200,1039760,1042618,1046000,1044721,1044711,1043755,1044611,1043514,1042950,1042467,1041330,1039136,1039719,1038270,1039870,1040122,1042286,1043695,1044782,1045859,1048315,1051887,1055682,1056406,1060503,1064730,1068564,1072469,1076515,1081517,1083983,1087435,1090686,1093987,1097258,1099463,1102573,1105189,1108088,1111148,1112798,1114308,1117539,1120286,1122289,1123758,1126224,1129224,1127925,1132515,1133159,1135947,1136933,1140073,1142328,1144512,1146665,1149564
"24","15","Q1HOP1 B   Household operation","Q1HOP10",253938,259462,262770,266894,268704,267417,267580,272804,272699,271782,263578,268782,267619,258112,265052,268060,279171,272937,274126,270756,272804,267725,276771,265099,266824,264530,278468,279338,275164,275554,277797,274403,285108,280442,289290,281948,272808,293897,289540,284808,280583,293117,291646,296292,298836,297724,291334,302249,301824,301906,297888,297943,303143,315412,302324,305546,303580,305359,302242,302620,301411,307629,298836,308834,311948,312057,319219,324314,314511,311889,321966,321969,323183,329460,328266,326772,329889,327486,320733,327404,322718,328812,332194,330333,335202,331968,326308,339501,336954,332659,341011,338772,343578,357871,345399,355102,341444,352312,356923,350358,359365,365896,362096,363341,365030,356401,353046,358819,363325,357657,367378,368623,369286,375364,380576,379729,379487,377537,368685,374884,376456,378481,374084,380291,389107,396289,388713,394109,394807,394077,399375,415530,395692,396040,401060,388167,391206,389010,391405,389696,389654,394050,379199,386439,384469,389104,390313,392279,398345,394737,394101,392232,390902,398997,397124,395833,400881,403756,387773,397292,401119,393929,398911,401774,393211,399258,403046,404556,412811,408851,393473,405293,412963,404380,408773,410521,407844,413521,417351,415959,413770,414519,419423,405067,422173,423433,419774,423086,415315,416123,415315,427810,386408,415479,410907,402910,413119,414270,419793
"25","16","Q1GEL1 B     Electricity and gas","Q1GEL10",105953,113388,114540,118287,119223,118046,116887,120591,123965,121288,115468,121176,120353,112403,119044,121030,131247,124164,124591,120745,122496,117257,126060,113625,114409,111367,124449,124314,119036,118311,119624,115521,125708,120704,129568,122066,112971,133703,128483,122832,117678,129000,126431,130155,131949,130700,123848,133649,132257,131253,126131,125893,130330,141552,127378,129453,126405,127550,123699,123363,123075,128709,119021,128407,130959,130038,136050,140344,129206,125998,135401,134632,135632,141195,138948,136396,138178,134865,127404,133756,128301,133394,135956,132822,136152,131724,124856,137403,133497,127524,133603,129605,132836,145623,131714,140218,125647,135939,139881,132763,141108,146857,140785,140851,141662,132684,128428,133536,137885,130106,138435,137706,136542,141300,144892,142849,141758,140183,130380,135685,135460,136227,130042,134827,142383,148667,140404,145150,145749,144689,149867,166135,146609,147259,151656,138620,140288,137612,139834,138249,138729,143995,130274,137594,136212,140828,142225,143111,148430,145931,145445,143717,143022,151312,149773,148350,152345,154645,138796,147153,149981,142876,147155,149505,141046,146166,149516,150789,158812,154307,137961,147845,153874,144723,147428,148187,145389,150898,154722,154019,151639,152010,156224,142598,157822,159097,154667,157098,150133,151484,151057,161592,126710,151032,147321,140754,149357,150105,154791
"26","17","Q1HLU1 B     Other household operation","Q1HLU10",148535,146513,148685,149026,149902,149796,151138,152644,149115,150914,148552,147992,147653,146175,146424,147439,148298,149164,149941,150418,150724,150889,151129,151904,152836,153577,154475,155475,156568,157689,158627,159335,159853,160209,160149,160342,160290,160648,161495,162447,163422,164550,165688,166589,167334,167480,167983,169081,170076,171165,172263,172537,173319,174437,175429,176592,177641,178285,178966,179665,178734,179386,180141,180881,181479,182478,183720,184581,185711,186237,187061,187817,188049,188836,189848,190857,192210,193064,193669,194061,194772,195818,196657,197887,199422,200614,201803,202531,203835,205427,207766,209467,211066,212665,214023,215272,215904,216693,217456,217816,218702,219645,221691,222861,223760,223755,224465,225317,225618,227363,229049,230964,232714,234192,235920,237030,237840,237423,238092,239183,241031,242337,243951,245503,246886,247858,248435,249035,249097,249549,249445,248579,249107,248547,248727,249946,251195,251869,251802,251738,251133,250010,249302,248996,248423,248352,248122,249176,249805,248717,248561,248423,247779,247483,247135,247248,248124,248621,249243,249985,250854,251239,251669,252049,252468,253110,253362,253525,253263,254105,256170,257543,258841,260095,261657,262632,262977,262721,262400,261736,262146,262516,262854,263516,263861,263701,264940,265599,265742,265070,264752,264801,264843,264875,264678,264451,264634,264947,265070
"27","18","Q1TOT1 B   Transportation","Q1TOT10",195429,197138,196311,196387,197135,196547,196125,195740,195755,195143,193946,192624,189435,188141,186260,187040,186807,185686,185890,184975,184422,184940,184597,187923,188243,189353,190087,190410,191211,194575,197948,196824,197718,196212,197761,200054,198027,198213,198612,200039,200502,201487,201915,203450,205314,205500,207530,208916,210160,211605,214028,214794,216568,217619,219317,220319,221909,223476,225052,225690,226963,226767,227050,227979,229197,230490,231282,233851,235097,235954,237631,239023,240395,242836,243576,244581,246651,245655,247749,248874,250400,251772,250877,256641,257824,259199,261266,261048,261747,262833,264729,264668,266031,265105,265929,267977,267493,268428,269375,270980,271804,272555,273150,272963,273677,273942,274090,275573,277920,279388,280443,280839,281855,282918,284328,285915,286131,287637,287648,285840,287765,289518,292407,291111,292238,292209,291662,290896,292128,291560,292812,290744,293526,292978,292250,292291,291440,290721,290147,289192,278334,282033,282027,280696,281646,281876,282237,281165,280670,281048,279828,279254,278238,278343,277696,280824,280580,281086,280347,279633,279959,280044,280644,280882,280536,280781,280408,282362,281101,283128,283425,284293,284182,283964,284107,284191,283920,284762,285435,285502,285720,285438,286119,284980,284995,284459,284214,283259,283361,282837,283830,283772,285845,286469,286576,287558,287575,286839,287185
"28","19","Q1TMD1 B   Medical care","Q1TMD10",778601,779772,783961,788531,793418,799877,804323,805165,805997,808841,810535,812363,811542,814519,813133,818976,815392,821399,824254,827745,830281,834922,837931,844143,847942,849626,856937,859288,861671,864269,866219,868735,871775,870933,871395,874742,874454,878274,874444,875317,874937,876108,879301,878141,876837,878736,880482,879311,881293,882844,883532,884178,888173,884189,887351,887639,889887,890185,892465,893471,897856,899601,902825,901901,905290,905392,906306,909305,909951,912488,911399,914439,914973,909120,916636,919716,918731,924234,921606,923125,925908,929594,930077,936197,929040,934513,934390,937922,938579,940684,946362,945869,949597,948293,953252,955162,963315,968932,967063,966683,969445,968716,971755,972310,973193,974066,975791,976694,977269,977937,978666,981582,983533,985905,990022,992733,994612,998648,1002241,1004511,1007160,1010548,1014481,1018835,1021730,1025386,1028887,1031998,1035377,1039453,1042318,1045593,1049095,1053757,1057771,1060811,1065483,1070668,1078215,1082097,1087765,1092714,1098854,1105683,1107449,1113928,1119185,1124514,1129967,1135121,1139208,1144784,1149055,1155144,1159282,1162003,1167589,1170023,1173760,1175177,1176892,1180044,1180640,1185384,1186565,1187930,1191524,1193680,1196709,1199626,1200991,1206218,1210767,1215305,1220111,1224166,1228315,1232073,1233777,1239425,1240965,1243152,1246017,1250145,1253646,1257610,1263853,1266954,1271574,1275127,1278834,1283116,1288055,1292871,1296947,1300849,1303015,1306445,1308570
"29","20","Q1REC1 B   Recreation","Q1REC10",165866,167169,169417,170372,170018,170944,170992,172178,171585,171955,173543,173125,168513,171137,171384,169849,170209,171475,171928,170681,172009,172237,173015,176915,179496,180250,180937,180864,183351,183204,183960,184722,185672,186935,188783,189417,191673,191249,191388,193690,193017,194589,197239,198226,198468,198905,197502,198701,199592,200322,201387,202154,202948,205030,207527,206526,206280,206950,209102,209727,210730,212608,215629,215240,218832,220259,219181,221788,222054,222912,225605,225415,224044,224763,227102,226472,226909,229316,233385,229404,229350,230378,230515,231982,232106,235910,234971,235899,236773,235231,235448,236084,234582,236830,236202,237790,242356,240714,241567,242190,242391,243577,245634,247263,246289,248443,248953,250028,249873,251743,253819,255777,255192,256909,258299,260048,263560,262398,263766,262436,260727,264313,267656,267621,267734,267565,271487,269523,269311,271259,272246,269740,275701,273802,274693,273673,274988,273716,275776,276965,270862,273523,276879,278161,279028,278424,277928,280522,281045,278835,279688,280750,283006,283680,283950,287540,285713,284361,286732,287357,290231,290037,290907,292723,293074,295239,295709,297763,297949,300749,303714,303834,304103,304494,306047,306184,307134,307365,307888,308100,309141,311209,312869,311034,312998,313516,314954,313934,312794,314978,315673,314543,319249,316824,316287,317379,316346,313875,317282
"30","21","Q1OSR1 B   Other","Q1OSR10",617368,615750,617746,620574,623611,624595,626543,628643,625181,623346,619799,619364,617169,628804,631481,637091,631850,629627,631169,634253,630753,632039,634470,636580,644724,643996,645812,644072,648357,651393,655319,654468,659490,659472,663000,668411,666973,669688,672488,673036,672639,679280,679951,685419,687292,692721,698747,692598,704943,701244,691255,694386,696070,690915,690773,698501,698047,697101,694188,696808,691719,700346,704744,700137,701869,713958,703354,704669,704725,707062,708623,712463,719132,727702,726463,726520,724477,727598,737133,736802,742535,728837,732347,738353,743698,750632,749591,748494,759911,758691,770118,773788,773032,779956,782387,785527,786842,798184,805440,807190,812146,826666,829325,833364,840458,836324,843277,843883,853172,853891,859462,869451,872090,871249,879762,883924,882827,887244,905019,913305,920362,936462,945325,934248,933009,937370,948314,953564,957622,961359,959420,964225,959126,952353,952410,967347,965947,959316,956279,956771,960394,962920,965701,965256,962049,963866,962134,963222,965332,967990,979474,966684,965284,967309,969257,966155,968463,963440,967725,964329,971216,975784,979218,978811,982642,979284,984090,988810,1003803,1001883,1003529,1009110,1016422,1015381,1018030,1020840,1020423,1024112,1027206,1030876,1025891,1025049,1025210,1026260,1030091,1035530,1037961,1043410,1045226,1043107,1049208,1047288,1049170,1055111,1060484,1063085,1072478,1075089,1077236
