"","Table 5#6#5# Private Fixed Investment in Intellectual Property P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","      Private fixed investment in intellectual property products","Y001RC1","17,151.0","17,947.0","18,680.0","20,581.0","22,685.0","25,516.0","27,811.0","32,187.0","35,816.0","40,358.0","48,068.0","54,353.0","64,773.0","72,671.0","81,340.0","95,053.0","105,326.0","113,541.0","120,117.0","132,677.0","150,117.0","164,429.0","179,131.0","187,674.0","196,913.0","205,704.0","226,838.0","253,305.0","287,957.0","317,661.0","364,042.0","409,545.0","412,612.0","406,350.0","420,916.0","442,149.0","475,130.0","504,568.0","537,913.0","563,418.0","550,924.0","564,348.0","596,592.0","624,991.0"
"20","2","Software","B985RC1","1,790.0","2,321.0","2,410.0","2,778.0","3,220.0","3,912.0","4,780.0","5,204.0","5,476.0","6,345.0","8,135.0","9,836.0","11,845.0","14,040.0","16,384.0","20,362.0","23,762.0","25,614.0","28,995.0","34,178.0","41,869.0","47,632.0","53,720.0","57,855.0","64,274.0","68,262.0","74,635.0","85,474.0","107,483.0","125,993.0","157,332.0","184,455.0","186,590.0","183,043.0","191,015.0","205,075.0","217,168.0","228,908.0","244,183.0","258,542.0","256,776.0","251,965.0","267,563.0","281,635.0"
"21","3","  Prepackaged \1\","Y003RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,888.0","5,264.0","5,853.0","7,609.0","10,457.0","13,337.0","14,270.0","16,649.0","18,466.0","19,856.0","22,208.0","26,397.0","34,881.0","42,862.0","49,662.0","54,684.0","55,882.0","60,263.0","63,283.0","66,974.0","69,175.0","69,073.0","70,324.0","72,849.0","71,285.0","62,002.0","66,897.0","72,080.0"
"22","4","  Custom","Y004RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,686.0","8,607.0","9,526.0","11,447.0","12,971.0","14,199.0","15,677.0","16,843.0","18,554.0","21,365.0","24,664.0","30,735.0","37,805.0","45,184.0","53,613.0","63,923.0","63,437.0","56,490.0","56,072.0","58,517.0","65,455.0","72,776.0","81,706.0","88,490.0","86,490.0","93,681.0","100,111.0","105,853.0"
"23","5","  Own account","Y005RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,188.0","11,743.0","13,616.0","15,122.0","18,441.0","20,096.0","23,773.0","24,363.0","27,254.0","27,041.0","27,763.0","28,342.0","34,797.0","37,947.0","54,057.0","65,848.0","67,271.0","66,290.0","71,660.0","79,584.0","82,537.0","87,059.0","92,152.0","97,203.0","99,001.0","96,282.0","100,556.0","103,702.0"
"24","6","Research and development \2,3\","Y006RC1","10,981.0","11,477.0","11,913.0","12,901.0","14,604.0","16,389.0","17,514.0","19,596.0","21,754.0","24,940.0","29,054.0","34,176.0","39,681.0","44,772.0","49,611.0","56,892.0","63,002.0","66,546.0","69,243.0","75,506.0","82,838.0","89,253.0","96,013.0","98,620.0","99,243.0","101,337.0","112,020.0","123,557.0","134,375.0","143,325.0","155,701.0","169,537.0","171,334.0","165,698.0","167,238.0","172,961.0","188,126.0","204,463.0","223,321.0","237,726.0","229,020.0","240,166.0","255,249.0","269,054.0"
"25","7","  Business","Y007RC1","10,393.0","10,846.0","11,232.0","12,165.0","13,819.0","15,463.0","16,428.0","18,364.0","20,352.0","23,252.0","27,093.0","31,985.0","37,146.0","42,009.0","46,665.0","53,753.0","59,587.0","62,545.0","64,740.0","70,217.0","77,217.0","83,419.0","89,714.0","92,003.0","92,427.0","94,404.0","104,803.0","115,797.0","126,175.0","134,229.0","146,214.0","159,729.0","161,302.0","154,964.0","156,206.0","161,660.0","176,493.0","192,455.0","210,804.0","224,520.0","213,951.0","223,546.0","235,326.0","248,683.0"
"26","8","    Manufacturing","Y027RC1","10,162.0","10,589.0","10,945.0","11,850.0","13,478.0","15,119.0","15,938.0","17,604.0","19,273.0","21,749.0","25,025.0","29,171.0","33,445.0","37,331.0","40,921.0","46,504.0","50,849.0","52,637.0","54,586.0","57,583.0","61,650.0","64,147.0","67,211.0","69,493.0","67,974.0","72,425.0","82,407.0","92,513.0","100,525.0","107,679.0","114,182.0","126,211.0","131,700.0","124,176.0","127,171.0","134,157.0","144,720.0","159,580.0","175,423.0","183,958.0","177,465.0","184,976.0","193,593.0","202,221.0"
"27","9","      Pharmaceutical and medicine manufacturing","Y009RC1","449.0","496.0","561.0","628.0","722.0","836.0","1,021.0","1,138.0","1,167.0","1,375.0","1,598.0","1,850.0","2,176.0","2,608.0","3,054.0","3,490.0","3,670.0","3,856.0","5,149.0","5,957.0","6,830.0","7,660.0","8,975.0","10,012.0","11,161.0","11,989.0","14,272.0","16,163.0","18,272.0","21,562.0","24,236.0","28,057.0","29,453.0","32,380.0","33,543.0","37,375.0","40,509.0","45,550.0","56,757.0","61,235.0","56,903.0","63,561.0","61,537.0","63,146.0"
"28","10","      Chemical manufacturing, excluding pharmaceutical and medicine","Y010RC1","1,336.0","1,437.0","1,442.0","1,516.0","1,663.0","1,929.0","2,024.0","2,179.0","2,323.0","2,548.0","2,847.0","3,215.0","3,564.0","3,839.0","4,050.0","4,420.0","4,626.0","4,569.0","4,681.0","5,169.0","5,507.0","6,194.0","6,486.0","6,319.0","6,552.0","6,119.0","6,241.0","6,867.0","6,343.0","7,825.0","7,950.0","8,246.0","8,096.0","6,751.0","7,392.0","7,559.0","8,038.0","8,477.0","8,922.0","11,293.0","10,411.0","11,479.0","11,035.0","12,641.0"
"29","11","      Semiconductor and other electronic component manufacturing","Y012RC1","130.0","146.0","153.0","216.0","274.0","322.0","296.0","350.0","383.0","506.0","762.0","1,228.0","1,277.0","1,414.0","1,909.0","2,482.0","2,979.0","3,539.0","4,504.0","4,646.0","4,665.0","4,832.0","4,888.0","5,184.0","5,172.0","5,794.0","6,776.0","8,062.0","9,905.0","10,803.0","11,423.0","12,609.0","14,780.0","14,458.0","15,051.0","17,012.0","18,280.0","18,030.0","18,910.0","22,430.0","20,941.0","22,937.0","25,432.0","28,820.0"
"30","12","      Other computer and electronic product manufacturing","Y013RC1","2,029.0","2,213.0","2,365.0","2,547.0","2,893.0","3,247.0","3,337.0","3,621.0","3,895.0","4,315.0","4,870.0","5,563.0","6,245.0","6,817.0","7,296.0","8,092.0","8,618.0","8,675.0","8,891.0","9,174.0","9,244.0","9,498.0","9,551.0","10,066.0","10,062.0","11,192.0","13,007.0","15,441.0","18,834.0","20,533.0","20,879.0","26,995.0","31,533.0","23,132.0","21,213.0","20,707.0","21,743.0","27,033.0","27,892.0","30,633.0","27,879.0","28,215.0","30,047.0","31,425.0"
"31","13","      Motor vehicles, bodies and trailers, and parts manufacturing","Y014RC1","1,411.0","1,414.0","1,618.0","1,883.0","2,274.0","2,361.0","2,291.0","2,722.0","3,239.0","3,782.0","4,206.0","4,731.0","4,686.0","4,750.0","5,260.0","5,936.0","6,732.0","7,823.0","7,802.0","8,391.0","9,331.0","9,112.0","9,644.0","9,871.0","11,304.0","12,614.0","14,263.0","15,499.0","15,044.0","14,915.0","16,375.0","16,365.0","15,693.0","15,551.0","16,305.0","16,562.0","16,992.0","17,455.0","16,914.0","13,965.0","12,153.0","12,277.0","14,133.0","14,359.0"
"32","14","      Aerospace products and parts manufacturing","Y015RC1","1,427.0","1,280.0","1,072.0","1,032.0","1,217.0","1,348.0","1,354.0","1,575.0","1,813.0","2,148.0","2,592.0","3,167.0","3,802.0","4,439.0","5,087.0","6,039.0","6,894.0","7,447.0","7,630.0","7,483.0","7,194.0","6,772.0","6,702.0","7,270.0","6,698.0","6,334.0","6,261.0","6,562.0","6,483.0","6,472.0","6,919.0","6,713.0","7,149.0","6,701.0","6,458.0","7,648.0","8,482.0","9,766.0","10,743.0","11,121.0","11,741.0","9,196.0","7,792.0","7,438.0"
"33","15","      Other manufacturing","Y016RC1","3,380.0","3,603.0","3,734.0","4,028.0","4,435.0","5,076.0","5,615.0","6,019.0","6,453.0","7,075.0","8,150.0","9,417.0","11,695.0","13,464.0","14,265.0","16,045.0","17,330.0","16,728.0","15,929.0","16,763.0","18,879.0","20,079.0","20,965.0","20,771.0","17,025.0","18,383.0","21,587.0","23,919.0","25,644.0","25,569.0","26,400.0","27,226.0","24,996.0","25,203.0","27,209.0","27,294.0","30,676.0","33,269.0","35,285.0","33,281.0","37,437.0","37,311.0","43,617.0","44,392.0"
"34","16","    Nonmanufacturing","Y028RC1","231.0","257.0","287.0","315.0","341.0","344.0","490.0","760.0","1,079.0","1,503.0","2,068.0","2,814.0","3,701.0","4,678.0","5,744.0","7,249.0","8,738.0","9,908.0","10,154.0","12,634.0","15,567.0","19,272.0","22,503.0","22,510.0","24,453.0","21,979.0","22,396.0","23,284.0","25,650.0","26,550.0","32,032.0","33,518.0","29,602.0","30,788.0","29,035.0","27,503.0","31,773.0","32,875.0","35,381.0","40,562.0","36,486.0","38,570.0","41,733.0","46,462.0"
"35","17","      Scientific research and development services","Y029RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","475.0","463.0","719.0","1,247.0","1,732.0","1,769.0","1,791.0","1,856.0","1,955.0","2,241.0","2,711.0","3,561.0","4,035.0","5,118.0","5,284.0","4,687.0","4,328.0","5,274.0","5,693.0","6,266.0","7,255.0","9,200.0","9,068.0","7,693.0","8,512.0","9,053.0"
"36","18","      All other nonmanufacturing","Y008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,679.0","12,171.0","14,848.0","18,025.0","20,771.0","20,741.0","22,662.0","20,123.0","20,441.0","21,043.0","22,939.0","22,989.0","27,997.0","28,400.0","24,318.0","26,101.0","24,707.0","22,229.0","26,080.0","26,609.0","28,126.0","31,362.0","27,418.0","30,877.0","33,221.0","37,409.0"
"37","19","  Nonprofit institutions serving households","Y017RC1","588.0","631.0","681.0","736.0","785.0","926.0","1,086.0","1,232.0","1,402.0","1,688.0","1,961.0","2,191.0","2,535.0","2,763.0","2,946.0","3,139.0","3,415.0","4,001.0","4,503.0","5,289.0","5,621.0","5,834.0","6,299.0","6,617.0","6,816.0","6,933.0","7,217.0","7,760.0","8,200.0","9,096.0","9,487.0","9,808.0","10,032.0","10,734.0","11,032.0","11,301.0","11,633.0","12,008.0","12,517.0","13,206.0","15,069.0","16,620.0","19,923.0","20,371.0"
"38","20","    Universities and colleges \4\","Y018RC1","67.0","71.0","78.0","78.0","77.0","82.0","91.0","101.0","119.0","146.0","172.0","193.0","224.0","255.0","268.0","298.0","337.0","374.0","419.0","464.0","515.0","584.0","660.0","678.0","680.0","710.0","766.0","847.0","867.0","877.0","949.0","1,050.0","1,146.0","1,282.0","1,394.0","1,481.0","1,668.0","1,886.0","2,083.0","2,256.0","2,534.0","2,786.0","2,834.0","2,957.0"
"39","21","    Other nonprofit institutions","Y019RC1","521.0","560.0","603.0","658.0","708.0","844.0","995.0","1,131.0","1,283.0","1,542.0","1,789.0","1,998.0","2,311.0","2,508.0","2,678.0","2,841.0","3,078.0","3,627.0","4,084.0","4,825.0","5,106.0","5,250.0","5,639.0","5,939.0","6,136.0","6,223.0","6,451.0","6,913.0","7,333.0","8,219.0","8,538.0","8,758.0","8,886.0","9,452.0","9,638.0","9,820.0","9,965.0","10,122.0","10,434.0","10,950.0","12,535.0","13,834.0","17,089.0","17,414.0"
"40","22","Entertainment, literary, and artistic originals","Y020RC1","4,380.0","4,149.0","4,357.0","4,902.0","4,861.0","5,215.0","5,517.0","7,387.0","8,586.0","9,073.0","10,879.0","10,341.0","13,247.0","13,859.0","15,345.0","17,799.0","18,562.0","21,381.0","21,879.0","22,993.0","25,410.0","27,544.0","29,398.0","31,199.0","33,396.0","36,105.0","40,183.0","44,274.0","46,099.0","48,343.0","51,009.0","55,553.0","54,688.0","57,609.0","62,663.0","64,113.0","69,836.0","71,197.0","70,409.0","67,150.0","65,128.0","72,217.0","73,780.0","74,302.0"
"41","23","  Theatrical movies","Y021RC1","1,110.0","762.0","885.0","990.0","838.0","801.0","822.0","1,675.0","1,600.0","1,354.0","2,348.0","1,997.0","2,919.0","3,044.0","3,424.0","3,962.0","3,764.0","4,811.0","4,932.0","5,118.0","6,228.0","6,056.0","7,315.0","6,703.0","8,306.0","8,598.0","10,548.0","13,064.0","12,634.0","13,506.0","12,831.0","16,068.0","15,433.0","15,887.0","17,710.0","17,978.0","18,944.0","20,060.0","19,958.0","18,262.0","17,037.0","21,325.0","21,451.0","21,637.0"
"42","24","  Long-lived television programs","Y022RC1","1,485.0","1,535.0","1,546.0","1,819.0","1,761.0","2,053.0","2,127.0","2,870.0","3,437.0","3,841.0","4,477.0","4,039.0","5,546.0","6,000.0","7,042.0","8,048.0","8,769.0","9,777.0","9,265.0","9,800.0","10,362.0","11,608.0","11,643.0","13,248.0","12,844.0","13,830.0","15,601.0","17,457.0","18,233.0","19,147.0","20,372.0","21,100.0","21,077.0","23,473.0","25,878.0","26,148.0","30,506.0","31,110.0","30,414.0","28,553.0","28,352.0","30,507.0","32,167.0","32,488.0"
"43","25","  Books","Y023RC1","729.0","770.0","803.0","830.0","895.0","960.0","1,061.0","1,158.0","1,397.0","1,555.0","1,620.0","1,780.0","1,961.0","2,171.0","2,335.0","2,608.0","2,827.0","3,020.0","3,299.0","3,583.0","3,999.0","4,235.0","4,412.0","4,681.0","5,010.0","5,253.0","5,511.0","5,503.0","6,059.0","6,485.0","6,930.0","7,178.0","7,270.0","7,592.0","7,813.0","8,151.0","8,720.0","8,643.0","9,051.0","9,199.0","8,878.0","10,289.0","10,276.0","9,958.0"
"44","26","  Music","Y024RC1","777.0","790.0","794.0","932.0","1,015.0","1,005.0","1,071.0","1,205.0","1,619.0","1,729.0","1,771.0","1,774.0","1,977.0","1,750.0","1,553.0","2,100.0","2,015.0","2,436.0","2,965.0","3,001.0","3,343.0","3,906.0","4,208.0","4,641.0","5,011.0","6,097.0","6,058.0","5,666.0","6,488.0","6,488.0","8,081.0","8,242.0","7,870.0","7,660.0","8,210.0","8,666.0","8,393.0","8,126.0","7,805.0","7,873.0","7,865.0","7,604.0","7,252.0","7,528.0"
"45","27","  Other","Y025RC1","279.0","292.0","329.0","331.0","352.0","396.0","436.0","479.0","533.0","594.0","663.0","751.0","844.0","894.0","991.0","1,081.0","1,187.0","1,337.0","1,418.0","1,491.0","1,478.0","1,739.0","1,820.0","1,926.0","2,225.0","2,327.0","2,465.0","2,584.0","2,685.0","2,717.0","2,795.0","2,965.0","3,038.0","2,997.0","3,052.0","3,170.0","3,273.0","3,258.0","3,181.0","3,263.0","2,996.0","2,492.0","2,634.0","2,691.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Research and development (R&D) asset types are defined by the type of funder.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. R&D investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","expenditures are included in software investment on line 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4. Includes R&D investment by private universities and colleges. R&D investment by public universities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and colleges is included in state and local government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
