"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 14, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 3:09:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","      Government","A822RX1","2,451,696.0","2,498,199.0","2,592,406.0","2,705,762.0","2,764,268.0","2,808,188.0","2,826,176.0","2,869,282.0","2,914,409.0","2,994,753.0","3,089,091.0","3,091,387.0","2,992,339.0","2,963,077.0"
"20","2","General public service","W575RX1","214,615.0","214,357.0","227,031.0","242,944.0","239,340.0","245,066.0","246,322.0","247,004.0","247,531.0","250,996.0","263,998.0","260,400.0","249,214.0","250,940.0"
"21","3","National defense","A824RX1","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","794,600.0","769,055.0"
"22","4","Public order and safety","W579RX1","283,899.0","291,188.0","302,374.0","315,278.0","313,260.0","315,524.0","318,385.0","324,865.0","334,740.0","344,417.0","351,449.0","344,833.0","340,138.0","341,280.0"
"23","5","Economic affairs","W584RX1","422,499.0","434,567.0","446,268.0","451,137.0","454,184.0","445,119.0","432,408.0","432,335.0","434,251.0","434,408.0","448,986.0","457,068.0","431,517.0","427,662.0"
"24","6","  Transportation","W589RX1","261,001.0","268,524.0","282,036.0","293,195.0","297,986.0","291,146.0","280,861.0","277,941.0","270,576.0","270,301.0","277,206.0","276,294.0","267,462.0","266,792.0"
"25","7","  Space","W595RX1","28,123.0","27,493.0","27,862.0","29,389.0","29,644.0","30,128.0","29,826.0","29,011.0","30,556.0","31,697.0","32,142.0","31,274.0","29,184.0","26,451.0"
"26","8","  Other economic affairs","W596RX1","132,028.0","137,411.0","136,226.0","129,471.0","127,909.0","124,938.0","122,480.0","125,899.0","133,138.0","132,415.0","139,638.0","149,454.0","134,842.0","134,313.0"
"27","9","Housing and community services","W597RX1","52,316.0","47,871.0","52,953.0","57,454.0","58,403.0","56,950.0","56,245.0","61,237.0","60,331.0","59,871.0","60,540.0","61,839.0","54,255.0","50,089.0"
"28","10","Health","W598RX1","134,169.0","138,119.0","142,281.0","158,055.0","170,470.0","173,010.0","179,321.0","179,282.0","189,726.0","198,736.0","209,480.0","212,651.0","212,742.0","223,050.0"
"29","11","Recreation and culture","W599RX1","36,705.0","39,222.0","41,322.0","43,573.0","41,979.0","41,414.0","41,373.0","40,607.0","41,870.0","41,971.0","43,286.0","42,299.0","39,727.0","38,994.0"
"30","12","Education","W600RX1","716,319.0","744,063.0","768,408.0","777,720.0","777,181.0","785,688.0","789,343.0","801,182.0","816,033.0","823,017.0","828,378.0","804,702.0","780,875.0","773,741.0"
"31","13","Income security","W605RX1","83,014.0","86,300.0","91,760.0","100,227.0","99,389.0","95,676.0","98,614.0","104,948.0","95,047.0","93,447.0","94,697.0","94,158.0","89,448.0","88,445.0"
"32","14","      Federal","A823RX1","815,349.0","817,722.0","849,843.0","910,844.0","972,960.0","1,017,116.0","1,034,809.0","1,060,889.0","1,078,696.0","1,152,313.0","1,217,685.0","1,270,652.0","1,237,899.0","1,220,262.0"
"33","15","General public service","W611RX1","35,417.0","32,081.0","38,344.0","43,721.0","44,260.0","52,513.0","52,652.0","53,709.0","55,481.0","59,791.0","64,400.0","67,011.0","64,999.0","67,825.0"
"34","16","National defense","A824RX1","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","794,600.0","769,055.0"
"35","17","Public order and safety","W615RX1","30,463.0","33,206.0","34,900.0","40,848.0","42,621.0","44,643.0","45,453.0","47,506.0","49,132.0","54,909.0","58,143.0","58,185.0","58,180.0","58,780.0"
"36","18","Economic affairs","W620RX1","130,787.0","133,019.0","131,184.0","130,751.0","133,250.0","130,751.0","128,389.0","130,328.0","133,823.0","137,890.0","144,931.0","160,388.0","147,069.0","143,414.0"
"37","19","  Transportation","W625RX1","25,331.0","25,101.0","26,692.0","33,230.0","37,251.0","35,525.0","35,519.0","36,385.0","35,133.0","37,854.0","38,545.0","40,322.0","41,079.0","41,873.0"
"38","20","  Space","W631RX1","28,123.0","27,493.0","27,862.0","29,389.0","29,644.0","30,128.0","29,826.0","29,011.0","30,556.0","31,697.0","32,142.0","31,274.0","29,184.0","26,451.0"
"39","21","  Other economic affairs","W632RX1","77,196.0","80,382.0","76,575.0","68,103.0","66,434.0","65,094.0","63,045.0","64,967.0","68,132.0","68,351.0","74,244.0","88,737.0","76,798.0","75,050.0"
"40","22","Housing and community services","W633RX1","1,942.0","-183.0","999.0","1,403.0","1,621.0","1,010.0","1,749.0","1,279.0","1,573.0","1,940.0","1,779.0","2,059.0","2,251.0","2,167.0"
"41","23","Health","W634RX1","78,135.0","84,063.0","90,460.0","97,880.0","106,174.0","106,414.0","107,146.0","108,464.0","111,726.0","119,271.0","128,568.0","135,038.0","139,699.0","147,921.0"
"42","24","Recreation and culture","W635RX1","3,909.0","4,355.0","4,415.0","5,143.0","5,160.0","5,163.0","5,093.0","4,805.0","4,718.0","4,961.0","5,230.0","5,949.0","5,431.0","5,280.0"
"43","25","Education","W636RX1","6,932.0","7,251.0","8,117.0","9,100.0","8,918.0","8,869.0","9,189.0","8,288.0","7,898.0","7,967.0","8,336.0","8,341.0","8,670.0","8,720.0"
"44","26","Income security","W640RX1","10,591.0","10,959.0","11,031.0","14,493.0","15,386.0","15,154.0","19,711.0","27,744.0","18,752.0","17,492.0","18,022.0","20,101.0","16,969.0","17,048.0"
"45","27","      State and local","A829RX1","1,643,634.0","1,689,147.0","1,751,460.0","1,802,393.0","1,795,291.0","1,792,764.0","1,792,327.0","1,808,844.0","1,836,138.0","1,842,436.0","1,871,406.0","1,820,750.0","1,754,471.0","1,742,805.0"
