"","Table 2#7A# Wages and Salaries by Industry, Monthly             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","    Wages and salaries","A576RC1","495,599.0","498,220.0","503,385.0","507,272.0","511,310.0","515,564.0","521,931.0","526,928.0","530,434.0","533,954.0","536,432.0","538,968.0","542,465.0","544,794.0","548,035.0","548,394.0","549,838.0","548,966.0","553,953.0","555,962.0","557,251.0","554,350.0","555,167.0","559,544.0","567,783.0","570,473.0","573,283.0","576,777.0","581,511.0","583,059.0","584,963.0","590,546.0","590,861.0","592,767.0","596,253.0","606,306.0","612,756.0","619,633.0","623,024.0","627,484.0","630,115.0","633,520.0","635,928.0","642,598.0","648,449.0","657,979.0","663,763.0","670,168.0","676,215.0","684,403.0","689,435.0","695,301.0","699,804.0","705,459.0","711,498.0","715,213.0","721,781.0","728,569.0","736,722.0","740,739.0","744,175.0","748,440.0","751,928.0","756,182.0","765,555.0","774,153.0","779,616.0","782,021.0","787,755.0","795,348.0","790,822.0","791,387.0","792,575.0","790,280.0","792,905.0","793,727.0","800,870.0","806,504.0","811,187.0","823,343.0","829,348.0","838,036.0","846,387.0","852,893.0","865,183.0","871,979.0","876,491.0","883,569.0","891,005.0","893,572.0","900,887.0","909,634.0","914,835.0","920,353.0","931,200.0","938,231.0","939,572.0","950,756.0","959,801.0","970,048.0","981,767.0","990,910.0","999,733.0","1,005,682.0","1,017,104.0","1,030,749.0","1,038,768.0","1,045,008.0","1,051,831.0","1,062,554.0","1,078,250.0","1,096,330.0","1,103,752.0","1,117,774.0","1,128,073.0","1,136,128.0","1,147,179.0","1,164,236.0","1,174,183.0","1,186,546.0","1,196,621.0","1,207,027.0","1,221,415.0","1,222,208.0","1,232,853.0","1,247,027.0","1,258,659.0","1,266,783.0","1,279,120.0","1,289,917.0","1,302,420.0","1,315,718.0","1,323,094.0","1,334,516.0","1,347,014.0","1,346,074.0","1,349,622.0","1,357,403.0","1,360,265.0","1,377,437.0","1,390,474.0","1,415,427.0","1,433,841.0","1,445,895.0","1,460,224.0","1,467,782.0","1,479,184.0","1,487,838.0","1,494,776.0","1,505,980.0","1,516,566.0","1,531,611.0","1,538,013.0","1,547,825.0","1,554,025.0","1,552,651.0","1,561,221.0","1,569,735.0","1,570,643.0","1,571,557.0","1,584,118.0","1,587,143.0","1,594,640.0","1,597,809.0","1,595,743.0","1,600,326.0","1,603,483.0","1,613,788.0","1,622,387.0","1,618,021.0","1,628,743.0","1,639,758.0","1,658,429.0","1,667,103.0","1,683,288.0","1,689,539.0","1,702,549.0","1,730,728.0","1,737,513.0","1,752,097.0","1,773,155.0","1,785,074.0","1,797,350.0","1,819,365.0","1,823,573.0","1,841,663.0","1,856,234.0","1,863,395.0","1,880,551.0","1,883,200.0","1,899,071.0","1,916,343.0","1,920,815.0","1,929,903.0","1,950,650.0","1,950,824.0","1,960,403.0","1,978,482.0","1,981,151.0","1,995,446.0","2,011,719.0","2,022,891.0","2,032,061.0","2,056,255.0"
"21","2","Private industries","A132RC1","394,739.0","396,928.0","401,685.0","404,816.0","408,206.0","411,788.0","414,819.0","418,592.0","421,390.0","424,526.0","426,620.0","428,688.0","428,869.0","430,466.0","432,879.0","431,066.0","432,114.0","434,470.0","437,057.0","438,262.0","436,851.0","435,058.0","435,443.0","439,400.0","444,675.0","446,501.0","448,735.0","451,617.0","455,895.0","457,011.0","457,935.0","460,986.0","463,377.0","464,991.0","466,953.0","474,546.0","478,844.0","485,205.0","488,908.0","492,272.0","494,399.0","497,444.0","498,772.0","504,074.0","508,845.0","515,811.0","520,203.0","525,996.0","531,935.0","539,259.0","543,727.0","548,701.0","552,640.0","557,671.0","562,818.0","565,513.0","571,433.0","576,049.0","583,242.0","586,563.0","589,291.0","592,812.0","595,520.0","599,578.0","607,919.0","613,865.0","616,764.0","621,725.0","627,003.0","629,896.0","623,774.0","623,091.0","623,527.0","619,816.0","620,893.0","620,347.0","626,338.0","631,036.0","634,495.0","645,715.0","650,256.0","656,724.0","664,019.0","670,009.0","681,351.0","687,175.0","690,787.0","697,097.0","703,609.0","705,612.0","712,087.0","720,150.0","724,667.0","727,425.0","736,892.0","743,215.0","743,668.0","754,024.0","762,193.0","771,480.0","782,083.0","790,170.0","797,529.0","801,942.0","812,056.0","822,017.0","828,248.0","833,432.0","838,862.0","848,470.0","863,423.0","880,386.0","886,608.0","899,274.0","907,649.0","914,624.0","924,571.0","938,156.0","946,723.0","957,874.0","965,953.0","976,311.0","989,439.0","989,292.0","1,000,237.0","1,013,127.0","1,021,887.0","1,028,331.0","1,039,768.0","1,045,529.0","1,056,088.0","1,068,174.0","1,073,490.0","1,083,232.0","1,094,086.0","1,090,838.0","1,091,410.0","1,097,655.0","1,098,717.0","1,114,281.0","1,126,178.0","1,143,338.0","1,159,905.0","1,170,400.0","1,182,838.0","1,189,005.0","1,199,183.0","1,206,852.0","1,212,637.0","1,222,687.0","1,231,759.0","1,245,650.0","1,248,366.0","1,253,469.0","1,258,293.0","1,255,549.0","1,262,020.0","1,269,491.0","1,268,824.0","1,268,287.0","1,279,574.0","1,281,174.0","1,285,271.0","1,289,352.0","1,286,078.0","1,286,189.0","1,287,477.0","1,296,026.0","1,304,051.0","1,298,720.0","1,308,475.0","1,319,373.0","1,332,869.0","1,344,025.0","1,358,476.0","1,360,002.0","1,375,503.0","1,402,347.0","1,407,814.0","1,420,960.0","1,436,511.0","1,445,991.0","1,456,080.0","1,476,283.0","1,478,744.0","1,495,091.0","1,507,310.0","1,511,620.0","1,526,587.0","1,527,532.0","1,541,952.0","1,557,617.0","1,557,385.0","1,564,101.0","1,583,212.0","1,580,122.0","1,591,431.0","1,608,033.0","1,606,979.0","1,618,600.0","1,632,295.0","1,642,568.0","1,648,550.0","1,670,968.0"
"22","3","  Goods-producing industries","A206RC1","192,824.0","193,394.0","196,099.0","197,560.0","198,917.0","200,210.0","201,984.0","203,368.0","204,439.0","205,274.0","204,922.0","205,941.0","204,845.0","205,223.0","206,312.0","204,941.0","203,412.0","204,477.0","205,402.0","205,056.0","202,817.0","199,695.0","199,214.0","203,317.0","205,365.0","204,995.0","205,593.0","207,092.0","209,168.0","209,521.0","209,699.0","209,905.0","210,340.0","211,129.0","212,012.0","215,831.0","218,302.0","221,046.0","223,348.0","224,574.0","225,698.0","226,225.0","225,907.0","229,129.0","231,600.0","234,685.0","237,222.0","239,272.0","243,024.0","246,909.0","248,172.0","250,385.0","252,403.0","254,857.0","257,499.0","257,876.0","260,508.0","263,395.0","266,646.0","268,609.0","268,929.0","270,626.0","271,118.0","272,203.0","275,938.0","278,121.0","278,554.0","281,421.0","282,791.0","284,167.0","277,546.0","275,998.0","274,549.0","269,740.0","269,131.0","268,630.0","270,921.0","272,502.0","273,728.0","278,802.0","282,342.0","285,078.0","287,750.0","292,172.0","298,046.0","300,097.0","302,152.0","304,409.0","306,820.0","307,261.0","310,376.0","313,386.0","314,571.0","315,435.0","320,784.0","323,098.0","322,698.0","328,344.0","333,278.0","338,079.0","342,588.0","347,585.0","349,917.0","351,524.0","355,999.0","359,165.0","361,701.0","361,759.0","361,802.0","366,590.0","374,291.0","384,660.0","387,139.0","392,249.0","396,128.0","398,616.0","403,042.0","408,059.0","414,058.0","418,744.0","421,078.0","425,072.0","431,695.0","430,911.0","437,495.0","441,608.0","444,898.0","445,697.0","450,523.0","452,523.0","454,366.0","460,743.0","461,936.0","465,331.0","467,563.0","464,547.0","461,987.0","461,641.0","459,022.0","468,506.0","474,549.0","481,937.0","489,787.0","496,022.0","499,198.0","497,216.0","503,046.0","505,778.0","508,434.0","514,028.0","518,103.0","522,235.0","521,596.0","523,791.0","522,446.0","519,516.0","519,571.0","521,714.0","520,143.0","516,653.0","518,390.0","516,912.0","514,639.0","512,004.0","508,578.0","505,055.0","503,039.0","504,284.0","508,538.0","506,917.0","508,286.0","512,314.0","516,274.0","521,045.0","526,702.0","530,046.0","538,511.0","544,607.0","549,883.0","554,125.0","560,889.0","567,594.0","570,428.0","576,834.0","579,410.0","585,337.0","588,228.0","592,083.0","593,127.0","594,534.0","598,323.0","602,526.0","605,656.0","604,817.0","617,028.0","610,094.0","612,602.0","615,092.0","615,311.0","618,843.0","620,379.0","626,567.0","625,983.0","630,392.0"
"23","4","    Manufacturing","A552RC1","152,331.0","152,663.0","154,804.0","155,452.0","156,195.0","157,517.0","158,963.0","160,285.0","160,902.0","161,461.0","160,722.0","161,322.0","160,836.0","160,254.0","161,196.0","160,030.0","159,169.0","159,469.0","160,085.0","159,003.0","157,154.0","153,671.0","152,831.0","157,007.0","158,736.0","158,791.0","158,787.0","159,115.0","160,886.0","160,955.0","160,788.0","160,508.0","160,562.0","161,679.0","162,088.0","165,085.0","166,527.0","169,483.0","171,569.0","172,744.0","173,500.0","174,474.0","174,121.0","176,344.0","178,271.0","180,568.0","183,053.0","185,202.0","186,949.0","190,319.0","191,411.0","193,445.0","194,487.0","195,650.0","197,593.0","197,846.0","199,532.0","202,013.0","204,289.0","205,341.0","205,420.0","205,724.0","206,670.0","207,720.0","211,097.0","213,156.0","214,735.0","215,888.0","217,130.0","218,309.0","214,958.0","211,320.0","207,784.0","204,830.0","204,755.0","205,255.0","206,556.0","207,982.0","209,157.0","213,831.0","216,597.0","218,614.0","220,232.0","223,691.0","227,860.0","230,235.0","232,140.0","233,745.0","235,872.0","236,720.0","238,833.0","241,347.0","242,163.0","242,225.0","246,777.0","248,636.0","249,413.0","253,358.0","256,509.0","259,709.0","263,829.0","267,546.0","269,502.0","271,293.0","273,879.0","276,264.0","277,992.0","281,189.0","281,078.0","285,095.0","290,057.0","293,488.0","295,227.0","298,260.0","301,263.0","303,021.0","306,627.0","310,579.0","315,461.0","319,786.0","322,167.0","324,875.0","328,738.0","327,210.0","332,273.0","335,340.0","337,713.0","337,246.0","340,885.0","342,567.0","343,184.0","348,053.0","348,975.0","351,274.0","354,050.0","351,354.0","348,792.0","347,789.0","346,611.0","353,887.0","358,406.0","364,371.0","370,796.0","375,526.0","377,121.0","375,458.0","380,109.0","384,847.0","388,167.0","389,929.0","391,101.0","393,985.0","393,084.0","394,101.0","391,683.0","388,937.0","389,106.0","391,139.0","389,508.0","387,082.0","388,270.0","388,096.0","386,510.0","384,906.0","382,840.0","379,760.0","379,054.0","379,764.0","382,427.0","383,415.0","385,927.0","389,514.0","393,413.0","396,786.0","401,267.0","403,335.0","410,345.0","415,075.0","419,621.0","422,704.0","427,775.0","432,399.0","435,099.0","439,769.0","440,719.0","443,922.0","447,449.0","450,358.0","451,816.0","453,860.0","456,344.0","459,375.0","461,365.0","458,733.0","470,259.0","462,168.0","464,026.0","466,320.0","466,940.0","469,162.0","469,434.0","475,751.0","474,787.0","477,678.0"
"24","5","  Distributive industries","A212RC1","115,554.0","116,595.0","118,056.0","119,343.0","120,526.0","121,599.0","122,083.0","123,362.0","124,125.0","125,312.0","126,603.0","127,326.0","127,933.0","128,598.0","129,277.0","128,171.0","129,954.0","130,702.0","132,055.0","133,024.0","133,188.0","133,723.0","134,038.0","133,939.0","135,924.0","137,162.0","137,604.0","138,547.0","139,859.0","140,427.0","140,438.0","142,345.0","143,389.0","142,690.0","142,723.0","146,176.0","147,433.0","150,429.0","150,306.0","150,409.0","150,427.0","152,006.0","152,418.0","153,695.0","154,628.0","157,012.0","158,421.0","160,725.0","161,885.0","163,988.0","165,871.0","167,090.0","168,486.0","169,931.0","170,702.0","172,115.0","173,622.0","174,699.0","177,062.0","177,488.0","179,515.0","180,072.0","180,989.0","182,705.0","184,824.0","186,409.0","188,503.0","189,296.0","191,679.0","192,606.0","192,491.0","191,970.0","192,636.0","192,055.0","192,257.0","192,151.0","194,263.0","196,019.0","197,447.0","201,202.0","201,886.0","204,075.0","206,179.0","207,305.0","210,580.0","212,307.0","213,329.0","215,491.0","217,514.0","218,146.0","219,996.0","222,226.0","224,382.0","224,532.0","226,828.0","228,887.0","228,398.0","232,294.0","234,158.0","236,753.0","240,193.0","242,194.0","245,248.0","245,779.0","248,467.0","251,052.0","252,849.0","255,458.0","257,264.0","260,605.0","264,870.0","268,270.0","270,302.0","273,323.0","273,878.0","276,159.0","278,775.0","284,329.0","286,681.0","291,263.0","293,858.0","296,096.0","299,306.0","296,332.0","299,734.0","304,768.0","306,903.0","310,636.0","314,292.0","316,601.0","321,424.0","323,174.0","324,599.0","326,797.0","330,268.0","328,678.0","329,363.0","330,123.0","332,565.0","334,984.0","338,151.0","344,077.0","347,343.0","349,057.0","354,279.0","357,935.0","359,855.0","363,014.0","363,282.0","365,396.0","366,666.0","370,287.0","372,958.0","371,674.0","373,938.0","373,293.0","376,441.0","379,344.0","378,895.0","379,060.0","383,356.0","384,082.0","385,173.0","387,487.0","385,794.0","386,475.0","387,178.0","390,431.0","388,947.0","386,189.0","390,559.0","393,155.0","397,327.0","402,292.0","409,244.0","407,698.0","408,870.0","417,872.0","416,700.0","421,194.0","425,984.0","427,302.0","430,387.0","436,621.0","436,340.0","441,897.0","445,824.0","445,489.0","450,428.0","450,216.0","455,916.0","458,773.0","458,122.0","461,691.0","464,926.0","465,490.0","469,867.0","473,911.0","472,840.0","475,284.0","479,697.0","480,927.0","483,749.0","490,161.0"
"25","6","  Service industries","A218RC1","86,361.0","86,938.0","87,531.0","87,914.0","88,763.0","89,979.0","90,752.0","91,861.0","92,826.0","93,939.0","95,095.0","95,421.0","96,090.0","96,645.0","97,290.0","97,953.0","98,748.0","99,291.0","99,600.0","100,182.0","100,846.0","101,640.0","102,191.0","102,144.0","103,386.0","104,344.0","105,537.0","105,978.0","106,868.0","107,063.0","107,798.0","108,735.0","109,648.0","111,172.0","112,219.0","112,538.0","113,109.0","113,730.0","115,255.0","117,290.0","118,273.0","119,214.0","120,447.0","121,251.0","122,618.0","124,113.0","124,560.0","125,999.0","127,025.0","128,362.0","129,684.0","131,226.0","131,751.0","132,883.0","134,617.0","135,522.0","137,303.0","137,955.0","139,534.0","140,465.0","140,847.0","142,114.0","143,414.0","144,670.0","147,157.0","149,335.0","149,707.0","151,008.0","152,534.0","153,122.0","153,737.0","155,123.0","156,342.0","158,021.0","159,504.0","159,567.0","161,154.0","162,516.0","163,320.0","165,711.0","166,028.0","167,570.0","170,090.0","170,533.0","172,725.0","174,771.0","175,306.0","177,198.0","179,275.0","180,205.0","181,715.0","184,538.0","185,715.0","187,459.0","189,279.0","191,230.0","192,572.0","193,386.0","194,757.0","196,648.0","199,302.0","200,390.0","202,364.0","204,639.0","207,589.0","211,800.0","213,697.0","216,215.0","219,796.0","221,276.0","224,261.0","227,457.0","229,167.0","233,702.0","237,642.0","239,849.0","242,755.0","245,768.0","245,984.0","247,868.0","251,017.0","255,143.0","258,438.0","262,049.0","263,008.0","266,752.0","270,086.0","271,998.0","274,952.0","276,406.0","280,298.0","284,257.0","286,955.0","291,104.0","296,256.0","297,614.0","300,060.0","305,891.0","307,130.0","310,791.0","313,478.0","317,325.0","322,775.0","325,320.0","329,361.0","333,854.0","336,282.0","338,059.0","340,921.0","343,264.0","346,991.0","353,128.0","353,812.0","358,004.0","361,909.0","362,740.0","366,008.0","368,433.0","369,787.0","372,574.0","377,828.0","380,180.0","385,459.0","389,861.0","391,706.0","394,659.0","397,259.0","401,312.0","406,566.0","405,614.0","409,629.0","413,904.0","419,268.0","420,688.0","422,529.0","422,258.0","428,123.0","439,868.0","441,231.0","445,640.0","449,638.0","451,094.0","455,265.0","462,828.0","462,993.0","467,857.0","473,258.0","474,049.0","483,032.0","482,782.0","487,713.0","496,319.0","493,607.0","497,594.0","501,257.0","504,538.0","508,962.0","519,030.0","518,828.0","524,473.0","532,219.0","535,075.0","538,818.0","550,416.0"
