"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Gross domestic product","A191RC1","1,019,879.0","1,075,884.0","1,167,769.0","1,282,449.0","1,428,548.0","1,548,824.0","1,688,922.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,949.0","3,344,985.0","3,638,129.0","4,040,686.0","4,346,725.0","4,590,145.0","4,870,205.0","5,252,616.0","5,657,676.0","5,979,568.0","6,174,020.0","6,539,273.0","6,878,690.0","7,308,727.0","7,664,028.0","8,100,165.0","8,608,478.0","9,089,133.0","9,665,696.0","10,289,748.0","10,625,252.0","10,980,187.0","11,512,237.0","12,277,037.0","13,095,426.0","13,857,893.0","14,480,312.0","14,720,254.0","14,417,942.0","14,958,261.0","15,533,839.0","16,244,586.0","16,799,735.0"
"20","2","       Final sales of domestic product","A190RC1","1,010,706.0","1,073,883.0","1,159,513.0","1,273,342.0","1,412,670.0","1,534,834.0","1,695,178.0","1,860,471.0","2,063,627.0","2,330,780.0","2,614,159.0","2,868,836.0","3,181,140.0","3,359,899.0","3,643,880.0","3,975,281.0","4,324,901.0","4,583,574.0","4,843,056.0","5,234,134.0","5,629,983.0","5,965,021.0","6,174,414.0","6,522,945.0","6,857,876.0","7,244,943.0","7,632,855.0","8,069,365.0","8,537,538.0","9,025,414.0","9,604,880.0","10,235,203.0","10,663,535.0","10,961,686.0","11,492,951.0","12,213,177.0","13,035,847.0","13,790,921.0","14,445,860.0","14,752,250.0","14,565,512.0","14,896,733.0","15,497,411.0","16,178,493.0","16,693,675.0"
"21","3","       Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","36,428.0","66,093.0","106,060.0"
"22","4","Goods","A353RC1","429,205.0","440,584.0","465,666.0","507,870.0","585,365.0","629,548.0","672,920.0","756,873.0","829,479.0","935,150.0","1,048,757.0","1,115,429.0","1,260,692.0","1,252,026.0","1,340,121.0","1,530,733.0","1,595,420.0","1,644,027.0","1,732,196.0","1,874,402.0","2,032,946.0","2,114,488.0","2,142,721.0","2,234,288.0","2,329,268.0","2,501,387.0","2,606,761.0","2,759,869.0","2,958,804.0","3,088,137.0","3,286,335.0","3,437,996.0","3,394,948.0","3,427,221.0","3,522,014.0","3,711,132.0","3,891,304.0","4,108,999.0","4,294,320.0","4,217,135.0","4,059,902.0","4,394,746.0","4,652,784.0","4,951,618.0","5,192,160.0"
"23","5","    Final sales","A325RC1","420,032.0","438,583.0","457,410.0","498,763.0","569,487.0","615,558.0","679,176.0","739,757.0","807,155.0","909,359.0","1,030,773.0","1,121,760.0","1,230,883.0","1,266,940.0","1,345,872.0","1,465,328.0","1,573,596.0","1,637,456.0","1,705,047.0","1,855,920.0","2,005,253.0","2,099,941.0","2,143,115.0","2,217,960.0","2,308,454.0","2,437,603.0","2,575,588.0","2,729,069.0","2,887,864.0","3,024,418.0","3,225,519.0","3,383,451.0","3,433,231.0","3,408,720.0","3,502,728.0","3,647,272.0","3,831,725.0","4,042,027.0","4,259,868.0","4,249,131.0","4,207,472.0","4,333,218.0","4,616,356.0","4,885,525.0","5,086,100.0"
"24","6","    Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","36,428.0","66,093.0","106,060.0"
"25","7","  Durable goods","A354RC1","213,282.0","210,201.0","222,593.0","250,641.0","294,871.0","314,740.0","330,074.0","391,970.0","440,040.0","505,602.0","568,305.0","590,196.0","655,558.0","639,732.0","708,022.0","835,845.0","874,878.0","909,232.0","969,695.0","1,056,749.0","1,140,769.0","1,172,299.0","1,153,170.0","1,210,607.0","1,295,152.0","1,396,246.0","1,486,782.0","1,583,634.0","1,728,377.0","1,833,020.0","1,963,770.0","2,083,008.0","2,005,060.0","2,018,304.0","2,063,324.0","2,171,731.0","2,317,092.0","2,430,682.0","2,542,061.0","2,467,056.0","2,216,820.0","2,445,807.0","2,613,651.0","2,763,675.0","2,843,399.0"
"26","8","    Final sales","A326RC1","207,317.0","210,430.0","219,680.0","244,282.0","281,856.0","303,875.0","337,545.0","381,168.0","430,560.0","487,387.0","555,492.0","592,542.0","648,234.0","655,766.0","705,567.0","794,412.0","870,487.0","911,095.0","946,748.0","1,034,006.0","1,120,738.0","1,164,601.0","1,166,777.0","1,213,562.0","1,278,040.0","1,360,541.0","1,453,227.0","1,564,557.0","1,688,384.0","1,793,715.0","1,926,369.0","2,047,430.0","2,049,509.0","2,000,150.0","2,048,656.0","2,133,361.0","2,275,186.0","2,396,066.0","2,526,455.0","2,491,932.0","2,333,820.0","2,406,770.0","2,567,455.0","2,699,067.0","2,795,347.0"
"27","9","    Change in private inventories \1\","A355RC1","5,965.0","-229.0","2,913.0","6,359.0","13,015.0","10,865.0","-7,471.0","10,802.0","9,480.0","18,215.0","12,813.0","-2,346.0","7,324.0","-16,034.0","2,455.0","41,433.0","4,391.0","-1,863.0","22,947.0","22,743.0","20,031.0","7,698.0","-13,607.0","-2,955.0","17,112.0","35,705.0","33,555.0","19,077.0","39,993.0","39,305.0","37,401.0","35,578.0","-44,449.0","18,154.0","14,668.0","38,370.0","41,906.0","34,616.0","15,606.0","-24,876.0","-117,000.0","39,037.0","46,196.0","64,608.0","48,052.0"
"28","10","  Nondurable goods","A356RC1","215,923.0","230,383.0","243,073.0","257,229.0","290,494.0","314,808.0","342,846.0","364,903.0","389,439.0","429,548.0","480,452.0","525,233.0","605,134.0","612,294.0","632,099.0","694,888.0","720,542.0","734,795.0","762,501.0","817,653.0","892,177.0","942,188.0","989,551.0","1,023,681.0","1,034,116.0","1,105,141.0","1,119,979.0","1,176,235.0","1,230,427.0","1,255,117.0","1,322,565.0","1,354,988.0","1,389,887.0","1,408,918.0","1,458,690.0","1,539,400.0","1,574,212.0","1,678,317.0","1,752,258.0","1,750,080.0","1,843,083.0","1,948,940.0","2,039,133.0","2,187,943.0","2,348,761.0"
"29","11","    Final sales","A334RC1","212,715.0","228,153.0","237,730.0","254,481.0","287,631.0","311,683.0","341,631.0","358,589.0","376,595.0","421,972.0","475,281.0","529,218.0","582,649.0","611,174.0","640,305.0","670,916.0","703,109.0","726,361.0","758,299.0","821,914.0","884,515.0","935,340.0","976,338.0","1,004,398.0","1,030,414.0","1,077,062.0","1,122,361.0","1,164,512.0","1,199,480.0","1,230,703.0","1,299,150.0","1,336,021.0","1,383,722.0","1,408,570.0","1,454,072.0","1,513,911.0","1,556,539.0","1,645,961.0","1,733,413.0","1,757,199.0","1,873,652.0","1,926,448.0","2,048,901.0","2,186,458.0","2,290,753.0"
"30","12","    Change in private inventories \1\","A357RC1","3,208.0","2,230.0","5,343.0","2,748.0","2,863.0","3,125.0","1,215.0","6,314.0","12,844.0","7,576.0","5,171.0","-3,985.0","22,485.0","1,120.0","-8,206.0","23,972.0","17,433.0","8,434.0","4,202.0","-4,261.0","7,662.0","6,848.0","13,213.0","19,283.0","3,702.0","28,079.0","-2,382.0","11,723.0","30,947.0","24,414.0","23,415.0","18,967.0","6,165.0","348.0","4,618.0","25,489.0","17,673.0","32,356.0","18,845.0","-7,119.0","-30,569.0","22,492.0","-9,768.0","1,485.0","58,008.0"
"31","13","Services \2\","A341RC1","480,653.0","523,556.0","571,310.0","624,937.0","677,260.0","750,135.0","845,309.0","925,282.0","1,024,776.0","1,141,070.0","1,263,196.0","1,419,453.0","1,591,719.0","1,743,253.0","1,921,052.0","2,074,404.0","2,280,651.0","2,451,292.0","2,624,313.0","2,846,288.0","3,079,180.0","3,315,881.0","3,515,307.0","3,763,849.0","3,970,457.0","4,178,267.0","4,397,507.0","4,619,602.0","4,874,538.0","5,153,574.0","5,465,113.0","5,866,143.0","6,189,577.0","6,498,557.0","6,851,180.0","7,287,716.0","7,765,264.0","8,237,477.0","8,717,740.0","9,133,876.0","9,216,981.0","9,515,597.0","9,827,464.0","10,140,117.0","10,366,559.0"
"32","14","Structures","A755RC1","110,022.0","111,744.0","130,793.0","149,641.0","165,922.0","169,141.0","170,693.0","195,432.0","231,697.0","280,351.0","320,189.0","327,623.0","358,538.0","349,706.0","376,956.0","435,550.0","470,654.0","494,826.0","513,696.0","531,927.0","545,550.0","549,198.0","515,991.0","541,136.0","578,965.0","629,074.0","659,760.0","720,694.0","775,138.0","847,423.0","914,247.0","985,609.0","1,040,727.0","1,054,408.0","1,139,043.0","1,278,190.0","1,438,857.0","1,511,416.0","1,468,251.0","1,369,243.0","1,141,059.0","1,047,917.0","1,053,590.0","1,152,851.0","1,241,016.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Motor vehicle output","A953RC1","44,679.0","37,189.0","49,781.0","54,982.0","63,588.0","58,678.0","57,332.0","78,806.0","96,397.0","106,527.0","106,173.0","87,084.0","100,434.0","96,561.0","128,776.0","160,813.0","182,291.0","187,347.0","188,886.0","200,946.0","210,403.0","194,956.0","180,659.0","205,572.0","232,608.0","272,804.0","279,838.0","291,636.0","319,237.0","340,783.0","374,926.0","368,984.0","349,101.0","386,849.0","381,262.0","396,770.0","415,546.0","408,263.0","405,969.0","320,418.0","246,823.0","334,269.0","377,651.0","436,087.0","458,330.0"
"35","16","  Gross domestic product excluding motor vehicle output","A962RC1","975,200.0","1,038,695.0","1,117,988.0","1,227,467.0","1,364,960.0","1,490,146.0","1,631,590.0","1,798,781.0","1,989,554.0","2,250,044.0","2,525,970.0","2,775,421.0","3,110,515.0","3,248,424.0","3,509,353.0","3,879,873.0","4,164,434.0","4,402,798.0","4,681,319.0","5,051,670.0","5,447,273.0","5,784,612.0","5,993,361.0","6,333,701.0","6,646,082.0","7,035,923.0","7,384,190.0","7,808,529.0","8,289,241.0","8,748,350.0","9,290,770.0","9,920,764.0","10,276,151.0","10,593,338.0","11,130,975.0","11,880,267.0","12,679,880.0","13,449,630.0","14,074,343.0","14,399,836.0","14,171,119.0","14,623,992.0","15,156,188.0","15,808,499.0","16,341,405.0"
"36","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,753.0","15,726.0","20,171.0","25,725.0","28,228.0","33,789.0","42,689.0","45,479.0","45,626.0","48,539.0","53,989.0","56,397.0","52,348.0","52,601.0","55,253.0","56,331.0","60,373.0","74,882.0","84,759.0","94,116.0","96,737.0","101,816.0","109,862.0","98,818.0","83,141.0","83,079.0","80,417.0","79,113.0","83,120.0","82,155.0","81,089.0","72,488.0","63,197.0","63,658.0","66,948.0","67,992.0"
"37","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,344,818.0","2,616,417.0","2,842,334.0","3,185,224.0","3,316,757.0","3,604,340.0","3,997,997.0","4,301,246.0","4,544,519.0","4,821,666.0","5,198,627.0","5,601,279.0","5,927,220.0","6,121,419.0","6,484,020.0","6,822,359.0","7,248,354.0","7,589,146.0","8,015,406.0","8,514,362.0","8,992,396.0","9,563,880.0","10,179,886.0","10,526,434.0","10,897,046.0","11,429,158.0","12,196,620.0","13,016,313.0","13,774,773.0","14,398,157.0","14,639,165.0","14,345,454.0","14,895,064.0","15,470,181.0","16,177,638.0","16,731,743.0"
"38","19","  Research and development","Y694RC1","28,164.0","28,309.0","29,141.0","31,262.0","33,780.0","36,415.0","38,979.0","43,145.0","47,525.0","53,453.0","60,897.0","69,836.0","79,937.0","88,980.0","98,442.0","111,449.0","125,070.0","132,003.0","140,165.0","148,203.0","155,913.0","164,227.0","170,035.0","171,857.0","172,042.0","174,978.0","187,506.0","199,836.0","212,039.0","222,374.0","237,191.0","255,574.0","263,179.0","265,664.0","277,579.0","291,227.0","313,147.0","334,611.0","359,955.0","380,460.0","374,809.0","392,080.0","408,488.0","417,709.0","429,194.0"
"39","20","  Gross domestic product excluding research and development","Y695RC1","991,715.0","1,047,575.0","1,138,628.0","1,251,187.0","1,394,768.0","1,512,409.0","1,649,943.0","1,834,442.0","2,038,426.0","2,303,118.0","2,571,246.0","2,792,669.0","3,131,012.0","3,256,005.0","3,539,687.0","3,929,237.0","4,221,655.0","4,458,142.0","4,730,040.0","5,104,413.0","5,501,763.0","5,815,341.0","6,003,985.0","6,367,416.0","6,706,648.0","7,133,749.0","7,476,522.0","7,900,329.0","8,396,439.0","8,866,759.0","9,428,505.0","10,034,174.0","10,362,073.0","10,714,523.0","11,234,658.0","11,985,810.0","12,782,279.0","13,523,282.0","14,120,357.0","14,339,794.0","14,043,133.0","14,566,181.0","15,125,351.0","15,826,877.0","16,370,541.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
