"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Millions of dollars; quarterly totals not seasonally adjusted]; Quarterly totals not seasonally adjusted                                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1968 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 10, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/12/2014 4:03:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4"
"20",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA
"21","1","Budget receipts","M318011","36,142.0","50,348.0","43,647.0","39,234.0","44,162.0","60,749.0","47,956.0","42,877.0"
"22","2","Less: Coverage differences","M318021","1,109.0","1,388.0","1,064.0","1,065.0","1,450.0","1,476.0","1,187.0","1,210.0"
"23","3","  Contributions received by federal employee pension and insurance funds \1\","M318041","321.0","379.0","359.0","371.0","372.0","348.0","432.0","392.0"
"24","4","  Capital transfers received \2\","M318051","669.0","1,046.0","688.0","725.0","813.0","1,258.0","731.0","761.0"
"25","5","  Financial transactions","M318061","1.0","13.0","3.0","4.0","5.0","4.0","0.0","0.0"
"26","6","  Other \3\","M318071","118.0","-50.0","14.0","-35.0","260.0","-134.0","24.0","57.0"
"27","7","Less: Netting and grossing differences","M318081","-1,010.0","-891.0","-875.0","-1,089.0","-1,188.0","-745.0","-663.0","-1,064.0"
"28","8","  Supplementary medical insurance premiums","M318091",".....",".....",".....",".....",".....",".....",".....","....."
"29","9","  Interest receipts","W704MC1","-607.0","-638.0","-667.0","-703.0","-514.0","-574.0","-554.0","-688.0"
"30","10","  Current surplus of government enterprises","W705MC1","260.0","261.0","356.0","152.0","311.0","330.0","426.0","196.0"
"31","11","  Other \4\","M318111","-663.0","-514.0","-564.0","-538.0","-985.0","-501.0","-535.0","-572.0"
"32","12","Plus: Timing differences","M318121","3,395.0","-3,096.0","95.0","1,570.0","2,507.0","-5,415.0","95.0","567.0"
"33","13","  Taxes on corporate income","M318131","1,956.0","-3,401.0","517.0","2,027.0","886.0","-5,856.0","719.0","1,285.0"
"34","14","  Federal and state unemployment insurance taxes","M318141","325.0","-69.0","-194.0","-59.0","334.0","-65.0","-181.0","-53.0"
"35","15","  Withheld personal income tax and social security contributions","M318151","1,129.0","258.0","-82.0","-367.0","1,160.0","371.0","-351.0","-463.0"
"36","16","  Excise taxes","M318161","-40.0","112.0","-172.0","-35.0","110.0","119.0","-108.0","-209.0"
"37","17","  Other","M318171","25.0","4.0","26.0","4.0","17.0","16.0","16.0","7.0"
"38","18","Equals: Federal government current receipts, NIPAs","M318181","39,438.0","46,755.0","43,553.0","40,828.0","46,407.0","54,603.0","47,527.0","43,298.0"
"39",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA
"40","19","Budget outlays","M318191","44,867.0","47,438.0","46,832.0","46,354.0","46,131.0","45,231.0","50,417.0","48,501.0"
"41","20","Less: Coverage differences","M318201","1,412.0","2,150.0","523.0","469.0","301.0","-3,182.0","-1,285.0","-639.0"
"42","21","  Federal employee pension and insurance fund transactions \1\","M318221","-3,518.0","-3,656.0","-3,703.0","-3,771.0","-3,743.0","-3,867.0","-4,208.0","-4,281.0"
"43","22","    Interest accrued","M318231","-2,546.0","-2,700.0","-2,726.0","-2,731.0","-2,806.0","-3,061.0","-3,222.0","-3,441.0"
"44","23","    Contributions accrued (employer)","M318241","-2,049.0","-2,089.0","-2,152.0","-2,252.0","-2,176.0","-2,105.0","-2,312.0","-2,239.0"
"45","24","    Benefits paid","M318251","1,076.0","1,132.0","1,174.0","1,211.0","1,238.0","1,298.0","1,325.0","1,397.0"
"46","25","    Administrative expenses","M318261","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0"
