"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"20","1","    Government consumption expenditures and gross investment","A822RX1","2,418,145.0","2,431,652.0","2,460,252.0","2,496,734.0","2,476,222.0","2,506,392.0","2,501,218.0","2,508,965.0","2,546,270.0","2,596,404.0","2,594,584.0","2,632,367.0","2,671,272.0","2,696,875.0","2,717,759.0","2,737,143.0","2,728,291.0","2,771,221.0","2,771,238.0","2,786,323.0","2,793,935.0","2,809,923.0","2,820,664.0","2,808,229.0","2,814,091.0","2,818,942.0","2,840,970.0","2,830,703.0","2,853,496.0","2,864,122.0","2,870,426.0","2,889,085.0","2,882,744.0","2,907,034.0","2,928,048.0","2,939,810.0","2,951,988.0","2,974,981.0","3,016,161.0","3,035,882.0","3,040,542.0","3,096,001.0","3,112,999.0","3,106,822.0","3,084,280.0","3,106,209.0","3,103,533.0","3,071,524.0","3,012,042.0","3,002,425.0","2,983,236.0","2,971,654.0","2,961,293.0","2,963,452.0","2,988,760.0","2,938,804.0","2,907,367.0","2,904,477.0","2,907,373.0","2,868,492.0"
"21","2","      Consumption expenditures \1\","A955RX1","1,947,499.0","1,952,697.0","1,974,138.0","1,998,284.0","1,974,164.0","2,011,598.0","2,001,646.0","2,006,317.0","2,037,337.0","2,062,062.0","2,080,845.0","2,096,310.0","2,124,053.0","2,145,065.0","2,156,509.0","2,171,039.0","2,161,845.0","2,199,110.0","2,186,831.0","2,203,537.0","2,210,717.0","2,219,052.0","2,231,181.0","2,225,826.0","2,234,088.0","2,233,062.0","2,251,963.0","2,238,749.0","2,257,062.0","2,254,353.0","2,264,080.0","2,281,007.0","2,274,236.0","2,287,339.0","2,306,366.0","2,314,988.0","2,326,328.0","2,332,156.0","2,366,512.0","2,390,540.0","2,402,406.0","2,444,763.0","2,458,383.0","2,462,694.0","2,449,111.0","2,454,903.0","2,449,547.0","2,425,885.0","2,391,949.0","2,387,219.0","2,373,795.0","2,364,805.0","2,371,151.0","2,368,803.0","2,399,724.0","2,357,778.0","2,341,489.0","2,335,316.0","2,330,671.0","2,301,174.0"
"22","3","      Gross investment \2\","A782RX1","472,602.0","480,372.0","487,420.0","499,352.0","502,351.0","496,137.0","500,481.0","503,449.0","509,808.0","534,341.0","514,818.0","536,395.0","547,417.0","552,042.0","561,292.0","566,120.0","566,421.0","572,114.0","584,326.0","582,724.0","583,156.0","590,873.0","589,445.0","582,335.0","579,899.0","585,821.0","588,924.0","591,901.0","596,359.0","609,866.0","606,378.0","608,103.0","608,549.0","619,767.0","621,737.0","624,867.0","625,662.0","643,059.0","649,813.0","645,384.0","638,204.0","651,271.0","654,620.0","644,023.0","634,962.0","651,325.0","654,077.0","645,701.0","619,829.0","614,874.0","609,063.0","606,464.0","589,411.0","593,992.0","588,183.0","580,216.0","564,910.0","568,255.0","575,893.0","566,492.0"
"23","4","        Structures","A760RX1","294,036.0","290,715.0","292,728.0","304,206.0","311,754.0","301,019.0","303,359.0","305,042.0","309,985.0","334,140.0","306,539.0","329,407.0","336,820.0","332,333.0","334,846.0","339,477.0","336,217.0","334,210.0","344,124.0","336,763.0","335,161.0","337,838.0","327,811.0","317,037.0","314,899.0","314,449.0","312,136.0","314,601.0","312,330.0","320,558.0","316,063.0","311,373.0","313,029.0","316,578.0","314,714.0","313,671.0","311,118.0","318,064.0","320,360.0","317,053.0","316,510.0","322,497.0","323,351.0","313,327.0","304,203.0","318,227.0","319,413.0","307,189.0","294,704.0","286,745.0","281,310.0","278,517.0","270,205.0","269,414.0","262,513.0","259,183.0","250,271.0","249,851.0","255,251.0","251,444.0"
"24","5","        Equipment","Y054RX1","72,016.0","76,486.0","79,623.0","81,251.0","78,920.0","79,325.0","80,510.0","80,275.0","80,041.0","82,839.0","84,112.0","85,387.0","87,499.0","92,274.0","95,791.0","94,631.0","94,321.0","98,082.0","99,136.0","100,657.0","101,105.0","104,142.0","107,972.0","108,457.0","106,770.0","110,747.0","113,923.0","113,972.0","119,067.0","123,180.0","121,958.0","125,947.0","123,692.0","130,464.0","133,377.0","136,426.0","138,054.0","147,955.0","152,053.0","150,641.0","143,330.0","149,348.0","150,686.0","149,690.0","148,408.0","150,951.0","150,577.0","154,058.0","141,538.0","145,518.0","145,458.0","146,495.0","140,354.0","146,359.0","147,570.0","143,787.0","136,842.0","140,955.0","142,828.0","138,381.0"
"25","6","        Intellectual property products","Y055RX1","120,133.0","123,626.0","124,716.0","124,647.0","125,353.0","126,793.0","127,490.0","129,242.0","131,663.0","132,977.0","134,262.0","135,169.0","136,871.0","139,163.0","141,676.0","143,798.0","146,842.0","149,308.0","151,584.0","154,014.0","155,103.0","156,674.0","159,307.0","160,706.0","161,989.0","163,704.0","165,105.0","165,533.0","166,157.0","167,717.0","169,462.0","171,351.0","172,509.0","173,158.0","173,891.0","174,856.0","176,478.0","177,036.0","177,405.0","177,706.0","178,358.0","179,432.0","180,596.0","180,993.0","182,274.0","182,138.0","184,043.0","184,364.0","183,437.0","182,474.0","182,184.0","181,352.0","178,789.0","178,324.0","178,376.0","177,519.0","178,014.0","177,871.0","178,156.0","176,895.0"
"26","7","          Software","Y056RX1","23,950.0","26,876.0","27,103.0","26,990.0","27,037.0","27,667.0","27,496.0","28,126.0","28,964.0","28,543.0","27,945.0","26,955.0","26,670.0","26,592.0","26,721.0","25,957.0","26,104.0","26,501.0","27,137.0","28,069.0","27,711.0","27,733.0","28,709.0","29,111.0","28,989.0","29,828.0","30,245.0","30,283.0","30,401.0","30,711.0","31,211.0","32,102.0","32,609.0","32,628.0","32,758.0","32,791.0","34,211.0","34,442.0","34,544.0","33,972.0","33,527.0","33,728.0","34,145.0","34,823.0","35,403.0","35,066.0","35,867.0","36,272.0","36,611.0","36,901.0","37,271.0","37,953.0","37,745.0","38,229.0","38,317.0","39,040.0","39,496.0","38,834.0","39,464.0","39,497.0"
"27","8","          Research and development","Y057RX1","95,952.0","96,222.0","97,082.0","97,139.0","97,808.0","98,571.0","99,478.0","100,559.0","102,090.0","103,913.0","105,907.0","107,956.0","110,020.0","112,451.0","114,871.0","117,884.0","120,818.0","122,886.0","124,504.0","125,967.0","127,452.0","129,021.0","130,652.0","131,641.0","133,063.0","133,915.0","134,894.0","135,284.0","135,790.0","137,040.0","138,280.0","139,261.0","139,905.0","140,540.0","141,144.0","142,078.0","142,267.0","142,592.0","142,859.0","143,732.0","144,829.0","145,703.0","146,450.0","146,173.0","146,881.0","147,077.0","148,194.0","148,121.0","146,875.0","145,642.0","145,003.0","143,534.0","141,196.0","140,280.0","140,249.0","138,725.0","138,786.0","139,265.0","138,957.0","137,682.0"
"28","9","Federal","A823RX1","801,193.0","805,218.0","819,401.0","835,584.0","804,604.0","832,821.0","818,908.0","814,556.0","832,288.0","848,671.0","855,856.0","862,556.0","883,959.0","904,735.0","919,012.0","935,669.0","935,924.0","982,796.0","977,097.0","996,024.0","1,002,952.0","1,012,990.0","1,030,687.0","1,021,834.0","1,027,610.0","1,029,834.0","1,048,615.0","1,033,177.0","1,058,893.0","1,057,705.0","1,057,992.0","1,068,966.0","1,054,526.0","1,071,183.0","1,091,579.0","1,097,497.0","1,115,180.0","1,135,676.0","1,169,055.0","1,189,341.0","1,180,123.0","1,218,865.0","1,235,558.0","1,236,194.0","1,247,792.0","1,273,420.0","1,285,035.0","1,276,361.0","1,241,565.0","1,246,993.0","1,236,366.0","1,226,671.0","1,219,087.0","1,218,473.0","1,244,615.0","1,198,872.0","1,172,812.0","1,168,166.0","1,163,872.0","1,124,833.0"
"29","10","    Consumption expenditures","A957RX1","636,679.0","632,880.0","644,058.0","658,965.0","632,349.0","662,656.0","646,114.0","642,291.0","659,628.0","670,492.0","674,582.0","678,438.0","695,024.0","707,979.0","715,420.0","730,827.0","728,359.0","768,333.0","760,237.0","777,976.0","782,926.0","787,932.0","799,299.0","791,103.0","797,790.0","795,865.0","809,527.0","795,732.0","815,439.0","809,376.0","811,815.0","817,256.0","804,508.0","813,282.0","831,967.0","837,283.0","852,491.0","860,309.0","887,913.0","905,180.0","903,140.0","935,185.0","947,421.0","949,063.0","959,564.0","977,769.0","987,188.0","976,330.0","954,501.0","959,352.0","952,260.0","944,750.0","947,265.0","943,626.0","969,951.0","928,227.0","911,456.0","903,879.0","897,797.0","866,911.0"
"30","11","    Gross investment","A787RX1","167,105.0","173,479.0","176,506.0","178,252.0","173,410.0","172,930.0","174,476.0","173,866.0","174,890.0","180,075.0","182,908.0","185,526.0","190,335.0","197,734.0","204,099.0","205,681.0","208,146.0","215,408.0","217,461.0","218,933.0","220,852.0","225,667.0","231,828.0","231,070.0","230,297.0","234,273.0","239,358.0","237,627.0","243,630.0","248,385.0","246,284.0","251,751.0","250,042.0","257,902.0","259,632.0","260,233.0","262,694.0","275,411.0","281,155.0","284,161.0","276,988.0","283,685.0","288,136.0","287,123.0","288,200.0","295,640.0","297,827.0","300,067.0","287,031.0","287,596.0","284,037.0","281,856.0","271,554.0","274,655.0","274,322.0","270,476.0","261,086.0","264,144.0","266,023.0","257,901.0"
"31","12","      Structures","A801RX1","26,478.0","25,474.0","24,748.0","24,478.0","22,461.0","20,769.0","20,650.0","19,119.0","18,736.0","19,686.0","19,757.0","20,063.0","22,206.0","22,491.0","23,149.0","23,521.0","23,780.0","25,056.0","24,740.0","22,582.0","22,756.0","22,505.0","22,026.0","19,349.0","19,295.0","18,025.0","18,814.0","16,677.0","17,782.0","18,739.0","18,355.0","20,945.0","20,349.0","23,333.0","22,971.0","21,781.0","21,221.0","24,188.0","26,134.0","27,878.0","27,783.0","27,840.0","30,008.0","30,952.0","30,620.0","34,040.0","33,852.0","32,754.0","33,084.0","31,266.0","28,341.0","24,931.0","23,277.0","21,723.0","19,777.0","21,336.0","17,367.0","17,011.0","17,254.0","15,886.0"
"32","13","      Equipment","Y058RX1","42,443.0","45,926.0","48,360.0","50,290.0","47,112.0","46,875.0","47,795.0","47,232.0","46,605.0","49,439.0","50,819.0","51,964.0","53,474.0","58,324.0","61,762.0","60,795.0","60,383.0","64,052.0","64,723.0","65,821.0","66,528.0","69,828.0","73,854.0","74,224.0","72,363.0","75,926.0","79,056.0","79,141.0","83,841.0","86,573.0","83,735.0","85,299.0","83,478.0","87,750.0","89,256.0","90,348.0","92,421.0","101,975.0","105,669.0","106,668.0","99,127.0","105,020.0","106,410.0","104,316.0","104,468.0","108,691.0","109,417.0","112,615.0","100,228.0","103,707.0","103,483.0","105,764.0","99,485.0","104,743.0","106,394.0","102,002.0","96,491.0","100,073.0","101,853.0","96,531.0"
"33","14","      Intellectual property products","Y059RX1","102,731.0","105,840.0","106,567.0","106,262.0","106,580.0","107,652.0","108,268.0","109,454.0","111,510.0","112,856.0","114,130.0","115,271.0","116,799.0","118,726.0","120,872.0","123,248.0","126,001.0","128,326.0","129,928.0","131,956.0","132,991.0","134,506.0","136,814.0","137,929.0","139,179.0","140,528.0","141,665.0","141,792.0","141,940.0","143,007.0","144,221.0","145,603.0","146,327.0","146,904.0","147,459.0","148,134.0","149,071.0","149,269.0","149,371.0","149,616.0","150,072.0","150,825.0","151,717.0","151,861.0","153,100.0","152,985.0","154,614.0","154,766.0","153,654.0","152,580.0","152,132.0","151,113.0","148,683.0","148,179.0","148,192.0","147,090.0","147,148.0","147,070.0","146,960.0","145,462.0"
"34","15","        Software","Y060RX1","15,655.0","18,421.0","18,462.0","18,267.0","18,102.0","18,541.0","18,422.0","18,665.0","19,302.0","19,037.0","18,567.0","17,936.0","17,662.0","17,393.0","17,301.0","16,851.0","16,789.0","17,113.0","17,176.0","17,791.0","17,442.0","17,477.0","18,213.0","18,404.0","18,317.0","18,943.0","19,320.0","19,347.0","19,359.0","19,530.0","19,816.0","20,475.0","20,771.0","20,937.0","21,117.0","21,104.0","22,057.0","22,163.0","22,234.0","21,873.0","21,522.0","21,611.0","21,885.0","22,310.0","23,075.0","22,921.0","23,624.0","23,908.0","24,082.0","24,218.0","24,386.0","24,814.0","24,573.0","24,866.0","24,832.0","25,265.0","25,402.0","24,965.0","25,292.0","25,163.0"
"35","16","        Research and development","Y061RX1","86,920.0","87,040.0","87,734.0","87,638.0","88,139.0","88,744.0","89,498.0","90,432.0","91,816.0","93,473.0","95,285.0","97,135.0","98,987.0","101,234.0","103,507.0","106,399.0","109,249.0","111,246.0","112,796.0","114,189.0","115,599.0","117,090.0","118,642.0","119,565.0","120,911.0","121,619.0","122,371.0","122,471.0","122,607.0","123,503.0","124,428.0","125,138.0","125,563.0","125,973.0","126,348.0","127,036.0","127,015.0","127,106.0","127,137.0","127,741.0","128,549.0","129,214.0","129,832.0","129,553.0","130,037.0","130,073.0","131,014.0","130,892.0","129,620.0","128,424.0","127,819.0","126,402.0","124,221.0","123,445.0","123,491.0","121,991.0","121,920.0","122,253.0","121,838.0","120,475.0"
"36","17","  National defense","A824RX1","503,580.0","508,852.0","522,568.0","532,780.0","500,943.0","522,790.0","512,597.0","512,668.0","519,598.0","528,369.0","534,156.0","537,845.0","549,861.0","562,836.0","572,383.0","584,128.0","583,678.0","625,318.0","617,257.0","635,479.0","640,853.0","648,000.0","668,379.0","653,383.0","659,101.0","664,630.0","679,066.0","659,280.0","672,588.0","677,967.0","674,248.0","690,474.0","676,611.0","690,992.0","706,889.0","707,974.0","719,719.0","733,619.0","764,491.0","774,458.0","757,499.0","788,445.0","804,888.0","802,272.0","798,588.0","810,997.0","825,896.0","818,621.0","787,800.0","800,822.0","805,598.0","784,178.0","770,688.0","768,775.0","791,794.0","744,964.0","723,093.0","721,999.0","721,179.0","693,646.0"
"37","18","    Consumption expenditures","A997RX1","420,220.0","420,714.0","431,565.0","444,955.0","412,164.0","435,069.0","422,807.0","422,965.0","430,236.0","434,368.0","437,482.0","439,299.0","449,894.0","455,597.0","459,584.0","470,757.0","468,028.0","505,251.0","494,677.0","510,582.0","513,930.0","517,528.0","531,163.0","517,139.0","523,416.0","524,622.0","536,252.0","518,566.0","529,422.0","528,319.0","527,564.0","538,571.0","526,041.0","533,487.0","548,752.0","549,607.0","559,085.0","562,120.0","588,627.0","596,975.0","587,449.0","612,113.0","626,592.0","626,998.0","625,346.0","633,674.0","647,086.0","637,927.0","620,717.0","631,676.0","638,745.0","617,421.0","613,241.0","608,448.0","631,654.0","588,096.0","573,436.0","568,803.0","566,316.0","545,577.0"
"38","19","    Gross investment","A788RX1","86,676.0","90,613.0","93,435.0","91,389.0","90,812.0","90,855.0","92,098.0","92,025.0","92,002.0","96,102.0","98,496.0","100,167.0","101,735.0","108,349.0","113,411.0","114,240.0","116,300.0","121,140.0","123,264.0","125,718.0","127,648.0","131,031.0","137,596.0","136,469.0","136,024.0","140,208.0","143,027.0","140,834.0","143,289.0","149,669.0","146,742.0","151,932.0","150,589.0","157,513.0","158,152.0","158,372.0","160,621.0","171,580.0","175,890.0","177,496.0","170,056.0","176,335.0","178,295.0","175,265.0","173,215.0","177,309.0","178,760.0","180,693.0","166,977.0","169,023.0","166,649.0","166,660.0","157,197.0","160,154.0","159,845.0","156,755.0","149,462.0","153,130.0","154,858.0","148,031.0"
"39","20","      Structures","A808RX1","9,116.0","8,884.0","8,401.0","7,723.0","7,824.0","7,993.0","8,818.0","8,129.0","7,451.0","8,191.0","7,589.0","7,894.0","8,191.0","8,534.0","9,101.0","9,065.0","9,737.0","9,867.0","10,025.0","9,468.0","9,623.0","9,044.0","9,350.0","8,181.0","8,807.0","8,471.0","8,744.0","8,113.0","8,145.0","8,552.0","8,197.0","9,143.0","9,165.0","11,685.0","10,532.0","9,643.0","10,517.0","13,073.0","14,434.0","15,816.0","16,270.0","16,891.0","17,878.0","17,473.0","16,078.0","16,872.0","17,335.0","16,662.0","15,237.0","14,180.0","12,341.0","10,564.0","9,102.0","8,015.0","6,808.0","8,209.0","6,282.0","6,292.0","6,239.0","5,124.0"
"40","21","      Equipment","Y050RX1","33,548.0","36,641.0","39,424.0","38,446.0","38,282.0","38,033.0","38,505.0","38,459.0","38,461.0","41,163.0","42,833.0","43,037.0","43,365.0","47,984.0","50,908.0","49,936.0","49,725.0","52,729.0","53,325.0","54,735.0","55,225.0","57,549.0","62,170.0","61,188.0","59,426.0","63,072.0","64,950.0","63,315.0","65,683.0","70,833.0","67,366.0","70,599.0","68,480.0","72,399.0","73,847.0","74,561.0","75,871.0","84,594.0","88,134.0","88,819.0","81,387.0","87,398.0","88,615.0","86,716.0","85,679.0","89,496.0","90,118.0","93,393.0","81,532.0","85,453.0","85,317.0","87,241.0","80,449.0","85,557.0","86,958.0","82,457.0","77,242.0","81,015.0","82,993.0","77,900.0"
"41","22","      Intellectual property products","Y052RX1","45,521.0","46,222.0","46,312.0","45,807.0","45,331.0","45,541.0","45,686.0","46,177.0","46,656.0","47,337.0","48,431.0","49,679.0","50,694.0","52,213.0","53,788.0","55,702.0","57,485.0","59,100.0","60,494.0","61,939.0","63,250.0","64,705.0","66,252.0","67,146.0","67,995.0","68,726.0","69,388.0","69,437.0","69,459.0","70,239.0","71,177.0","72,181.0","72,956.0","73,443.0","73,784.0","74,178.0","74,236.0","73,936.0","73,355.0","72,878.0","72,400.0","72,044.0","71,804.0","71,076.0","71,437.0","70,951.0","71,325.0","70,667.0","70,146.0","69,343.0","68,926.0","68,806.0","67,547.0","66,566.0","66,103.0","66,026.0","65,825.0","65,782.0","65,629.0","64,952.0"
"42","23","        Software","Y053RX1","5,622.0","6,544.0","6,567.0","6,521.0","6,147.0","6,291.0","6,210.0","6,303.0","6,061.0","5,819.0","5,823.0","5,913.0","5,757.0","5,791.0","5,816.0","5,739.0","5,521.0","5,588.0","5,660.0","5,804.0","5,722.0","5,802.0","6,016.0","6,094.0","5,934.0","6,107.0","6,212.0","6,217.0","6,177.0","6,234.0","6,334.0","6,531.0","6,608.0","6,586.0","6,589.0","6,569.0","6,881.0","6,924.0","6,919.0","6,797.0","6,715.0","6,760.0","6,868.0","7,000.0","7,233.0","7,214.0","7,413.0","7,506.0","7,567.0","7,617.0","7,640.0","7,716.0","7,626.0","7,688.0","7,673.0","7,785.0","7,834.0","7,665.0","7,760.0","7,732.0"
"43","24","        Research and development","Y076RX1","39,747.0","39,432.0","39,497.0","39,038.0","38,972.0","39,024.0","39,261.0","39,654.0","40,407.0","41,365.0","42,466.0","43,627.0","44,826.0","46,323.0","47,885.0","49,901.0","51,939.0","53,493.0","54,819.0","56,119.0","57,525.0","58,903.0","60,232.0","61,049.0","62,069.0","62,622.0","63,176.0","63,221.0","63,284.0","64,008.0","64,845.0","65,650.0","66,348.0","66,858.0","67,197.0","67,611.0","67,355.0","67,012.0","66,435.0","66,081.0","65,684.0","65,284.0","64,935.0","64,077.0","64,208.0","63,743.0","63,922.0","63,176.0","62,598.0","61,752.0","61,316.0","61,124.0","59,958.0","58,926.0","58,480.0","58,299.0","58,054.0","58,169.0","57,929.0","57,284.0"
