"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RC1","995,419.0","1,011,361.0","1,032,016.0","1,040,741.0","1,053,528.0","1,070,110.0","1,088,461.0","1,091,462.0","1,137,812.0","1,159,355.0","1,180,313.0","1,193,585.0","1,233,807.0","1,270,122.0","1,293,837.0","1,332,023.0","1,380,680.0","1,417,595.0","1,436,813.0","1,479,069.0","1,494,654.0","1,534,220.0","1,563,396.0","1,603,004.0","1,619,553.0","1,656,448.0","1,713,812.0","1,765,867.0","1,824,509.0","1,856,944.0","1,890,500.0","1,938,413.0","1,992,534.0","2,060,165.0","2,122,387.0","2,168,716.0","2,208,688.0","2,336,563.0","2,398,866.0","2,482,159.0","2,531,556.0","2,595,910.0","2,670,389.0","2,730,706.0","2,796,523.0","2,799,938.0","2,860,043.0","2,993,525.0","3,131,792.0","3,167,245.0","3,261,197.0","3,283,529.0","3,273,802.0","3,331,275.0","3,367,066.0","3,407,803.0","3,480,315.0","3,583,838.0","3,692,250.0","3,796,116.0","3,912,766.0","4,014,991.0","4,087,369.0","4,147,599.0","4,237,001.0","4,302,288.0","4,394,554.0","4,453,096.0","4,516,334.0","4,555,235.0","4,619,614.0","4,669,386.0","4,736,221.0","4,821,449.0","4,900,497.0","5,022,658.0","5,090,601.0","5,207,693.0","5,299,471.0","5,412,698.0","5,527,335.0","5,628,412.0","5,711,538.0","5,763,425.0","5,890,813.0","5,974,644.0","6,029,483.0","6,023,309.0","6,054,846.0","6,143,588.0","6,218,400.0","6,279,270.0","6,380,773.0","6,492,272.0","6,586,521.0","6,697,525.0","6,748,155.0","6,829,565.0","6,904,193.0","7,032,815.0","7,136,231.0","7,269,818.0","7,352,226.0","7,476,630.0","7,545,265.0","7,604,893.0","7,706,499.0","7,799,459.0","7,893,113.0","8,061,498.0","8,159,007.0","8,287,041.0","8,402,024.0","8,551,904.0","8,691,719.0","8,788,282.0","8,889,697.0","8,994,702.0","9,146,487.0","9,325,613.0","9,450,346.0","9,561,466.0","9,718,715.0","9,932,252.0","10,036,134.0","10,283,702.0","10,363,809.0","10,475,334.0","10,512,501.0","10,641,559.0","10,644,302.0","10,702,657.0","10,837,277.0","10,937,998.0","11,039,816.0","11,105,681.0","11,230,755.0","11,371,373.0","11,628,376.0","11,818,457.0","11,991,431.0","12,183,504.0","12,369,402.0","12,563,814.0","12,816,151.0","12,975,665.0","13,206,544.0","13,383,327.0","13,649,839.0","13,802,903.0","13,910,475.0","14,068,369.0","14,234,951.0","14,424,492.0","14,571,856.0","14,689,954.0","14,672,906.0","14,817,102.0","14,844,312.0","14,546,719.0","14,381,223.0","14,342,067.0","14,384,368.0","14,564,119.0","14,672,488.0","14,879,163.0","15,049,755.0","15,231,682.0","15,242,905.0","15,461,935.0","15,611,839.0","15,818,699.0","16,041,581.0","16,160,441.0","16,356,035.0","16,420,302.0","16,535,321.0","16,661,020.0","16,912,936.0","17,089,586.0"
"21","2","Personal consumption expenditures","DPCERC1","587,812.0","599,170.0","609,487.0","621,488.0","632,576.0","642,533.0","654,479.0","661,178.0","680,203.0","694,251.0","706,654.0","722,854.0","740,119.0","758,615.0","777,120.0","801,878.0","826,451.0","842,043.0","860,476.0","875,580.0","893,757.0","922,287.0","951,062.0","960,868.0","987,077.0","1,015,822.0","1,049,589.0","1,078,524.0","1,112,300.0","1,131,964.0","1,161,344.0","1,195,080.0","1,230,568.0","1,258,543.0","1,289,707.0","1,327,873.0","1,357,760.0","1,415,292.0","1,446,246.0","1,485,397.0","1,520,983.0","1,561,548.0","1,615,985.0","1,659,463.0","1,706,520.0","1,708,916.0","1,767,679.0","1,835,354.0","1,890,711.0","1,921,924.0","1,961,244.0","1,976,139.0","2,014,394.0","2,041,093.0","2,089,226.0","2,150,927.0","2,190,562.0","2,254,512.0","2,324,306.0","2,376,696.0","2,422,755.0","2,481,222.0","2,519,712.0","2,568,936.0","2,643,896.0","2,691,201.0","2,764,744.0","2,790,877.0","2,834,731.0","2,863,039.0","2,929,733.0","2,966,130.0","2,998,253.0","3,068,803.0","3,133,528.0","3,167,620.0","3,248,998.0","3,308,970.0","3,378,332.0","3,451,266.0","3,506,077.0","3,569,519.0","3,625,560.0","3,670,109.0","3,754,497.0","3,800,161.0","3,863,399.0","3,884,449.0","3,890,218.0","3,943,691.0","3,989,638.0","4,017,069.0","4,117,664.0","4,173,359.0","4,245,410.0","4,326,188.0","4,368,484.0","4,437,456.0","4,506,030.0","4,572,021.0","4,640,857.0","4,702,884.0","4,773,113.0","4,847,226.0","4,883,349.0","4,954,959.0","5,020,462.0","5,077,937.0","5,153,790.0","5,244,132.0","5,298,287.0","5,376,067.0","5,456,730.0","5,495,080.0","5,603,459.0","5,687,614.0","5,745,924.0","5,857,832.0","5,952,816.0","6,055,545.0","6,134,668.0","6,263,083.0","6,371,370.0","6,498,466.0","6,652,789.0","6,745,261.0","6,854,655.0","6,953,788.0","7,025,271.0","7,078,015.0","7,107,325.0","7,216,857.0","7,253,199.0","7,347,905.0","7,437,481.0","7,502,595.0","7,593,114.0","7,685,237.0","7,844,606.0","7,934,470.0","8,076,784.0","8,183,603.0","8,309,354.0","8,461,281.0","8,573,471.0","8,720,573.0","8,882,034.0","8,985,286.0","9,128,127.0","9,247,207.0","9,369,647.0","9,444,864.0","9,588,461.0","9,696,671.0","9,790,184.0","9,902,473.0","9,967,119.0","10,090,386.0","10,113,168.0","9,851,330.0","9,763,255.0","9,764,885.0","9,887,425.0","9,956,190.0","10,042,296.0","10,134,691.0","10,234,256.0","10,396,295.0","10,527,118.0","10,662,551.0","10,778,612.0","10,878,897.0","11,019,081.0","11,100,201.0","11,193,631.0","11,285,502.0","11,379,178.0","11,427,133.0","11,537,652.0","11,662,176.0"
"22","3","  Goods","DGDSRC1","298,845.0","302,664.0","306,617.0","310,588.0","314,093.0","317,558.0","321,724.0","321,802.0","333,881.0","339,822.0","343,865.0","350,898.0","357,742.0","368,369.0","377,676.0","391,474.0","407,267.0","412,682.0","420,716.0","425,878.0","435,503.0","448,598.0","463,992.0","458,056.0","467,992.0","481,542.0","502,751.0","513,052.0","530,733.0","538,969.0","550,451.0","565,061.0","580,396.0","592,927.0","603,898.0","624,307.0","629,245.0","661,000.0","672,364.0","691,665.0","707,868.0","722,167.0","753,280.0","768,437.0","792,001.0","777,829.0","801,864.0","827,481.0","860,091.0","863,785.0","881,052.0","872,542.0","886,290.0","887,949.0","901,827.0","921,095.0","925,912.0","962,633.0","990,799.0","1,015,791.0","1,037,897.0","1,063,642.0","1,066,643.0","1,086,621.0","1,110,395.0","1,126,011.0","1,156,935.0","1,157,099.0","1,170,880.0","1,174,747.0","1,216,749.0","1,220,140.0","1,215,880.0","1,251,383.0","1,281,198.0","1,276,730.0","1,308,828.0","1,326,763.0","1,341,167.0","1,372,484.0","1,388,977.0","1,421,091.0","1,441,929.0","1,443,225.0","1,489,564.0","1,479,261.0","1,496,676.0","1,499,702.0","1,485,838.0","1,497,013.0","1,508,728.0","1,498,153.0","1,533,847.0","1,548,207.0","1,573,142.0","1,597,875.0","1,606,982.0","1,634,170.0","1,649,165.0","1,679,070.0","1,705,669.0","1,726,816.0","1,758,889.0","1,794,840.0","1,788,104.0","1,803,898.0","1,826,231.0","1,843,894.0","1,870,998.0","1,915,873.0","1,925,887.0","1,957,926.0","1,986,695.0","1,974,527.0","2,020,469.0","2,045,370.0","2,044,769.0","2,089,508.0","2,120,129.0","2,180,462.0","2,204,797.0","2,272,709.0","2,310,925.0","2,358,640.0","2,412,722.0","2,436,779.0","2,468,822.0","2,493,089.0","2,498,883.0","2,509,685.0","2,514,890.0","2,577,490.0","2,559,548.0","2,587,830.0","2,620,153.0","2,626,789.0","2,656,515.0","2,676,312.0","2,765,141.0","2,788,257.0","2,841,494.0","2,873,246.0","2,910,191.0","2,976,084.0","3,006,393.0","3,057,385.0","3,125,445.0","3,131,896.0","3,191,923.0","3,222,316.0","3,267,512.0","3,261,437.0","3,302,105.0","3,351,082.0","3,374,494.0","3,418,618.0","3,406,263.0","3,458,756.0","3,450,259.0","3,187,522.0","3,136,958.0","3,148,385.0","3,244,924.0","3,263,510.0","3,304,859.0","3,325,626.0","3,362,406.0","3,458,365.0","3,532,166.0","3,588,167.0","3,622,313.0","3,668,217.0","3,729,345.0","3,738,449.0","3,784,935.0","3,826,126.0","3,851,783.0","3,848,496.0","3,912,805.0","3,930,318.0"
"23","4","    Durable goods","DDURRC1","90,010.0","90,448.0","90,629.0","90,844.0","89,611.0","91,009.0","92,010.0","87,326.0","98,053.0","100,989.0","103,442.0","107,303.0","110,704.0","114,065.0","117,591.0","123,418.0","131,813.0","131,296.0","130,799.0","128,203.0","126,650.0","130,582.0","136,325.0","127,148.0","131,786.0","136,693.0","146,787.0","153,393.0","163,297.0","165,898.0","169,845.0","175,455.0","183,930.0","189,223.0","193,990.0","200,704.0","198,170.0","216,187.0","216,742.0","222,300.0","223,277.0","222,101.0","230,932.0","229,049.0","232,055.0","211,916.0","225,364.0","236,230.0","246,046.0","240,936.0","251,926.0","236,842.0","246,437.0","249,227.0","252,108.0","264,356.0","268,909.0","289,584.0","302,363.0","319,270.0","331,440.0","341,270.0","342,075.0","353,839.0","368,010.0","373,251.0","396,451.0","383,753.0","391,628.0","407,293.0","445,708.0","441,133.0","418,497.0","439,101.0","460,541.0","449,949.0","470,441.0","473,223.0","470,389.0","486,162.0","486,449.0","493,343.0","505,640.0","491,885.0","515,394.0","498,408.0","493,569.0","480,946.0","471,690.0","475,248.0","484,335.0","477,454.0","496,179.0","500,989.0","512,092.0","523,065.0","527,853.0","547,844.0","556,638.0","573,796.0","588,823.0","598,720.0","609,310.0","631,828.0","621,251.0","626,914.0","642,542.0","652,243.0","659,826.0","676,331.0","679,383.0","689,641.0","705,590.0","696,587.0","722,779.0","737,162.0","737,701.0","769,239.0","785,044.0","825,189.0","819,948.0","854,806.0","871,191.0","876,329.0","920,876.0","901,930.0","911,657.0","915,824.0","926,811.0","919,478.0","923,888.0","995,881.0","974,943.0","979,662.0","1,003,535.0","983,333.0","974,014.0","1,007,844.0","1,042,259.0","1,045,995.0","1,062,284.0","1,071,657.0","1,084,242.0","1,101,102.0","1,110,514.0","1,140,593.0","1,145,409.0","1,112,412.0","1,153,328.0","1,147,013.0","1,157,970.0","1,166,147.0","1,173,351.0","1,184,942.0","1,190,188.0","1,190,051.0","1,152,314.0","1,139,845.0","1,101,850.0","1,015,118.0","1,012,020.0","1,004,758.0","1,045,826.0","1,030,669.0","1,040,196.0","1,064,689.0","1,075,093.0","1,102,797.0","1,115,080.0","1,116,628.0","1,129,017.0","1,158,928.0","1,184,306.0","1,189,289.0","1,206,496.0","1,230,684.0","1,244,831.0","1,257,467.0","1,273,975.0","1,275,659.0"
"24","5","    Nondurable goods","DNDGRC1","208,835.0","212,216.0","215,988.0","219,744.0","224,482.0","226,549.0","229,714.0","234,476.0","235,828.0","238,833.0","240,423.0","243,595.0","247,038.0","254,304.0","260,085.0","268,056.0","275,454.0","281,386.0","289,917.0","297,675.0","308,853.0","318,016.0","327,667.0","330,908.0","336,206.0","344,849.0","355,964.0","359,659.0","367,436.0","373,071.0","380,606.0","389,606.0","396,466.0","403,704.0","409,908.0","423,603.0","431,075.0","444,813.0","455,622.0","469,365.0","484,591.0","500,066.0","522,348.0","539,388.0","559,946.0","565,913.0","576,500.0","591,251.0","614,045.0","622,849.0","629,126.0","635,700.0","639,853.0","638,722.0","649,719.0","656,739.0","657,003.0","673,049.0","688,436.0","696,521.0","706,457.0","722,372.0","724,568.0","732,782.0","742,385.0","752,760.0","760,484.0","773,346.0","779,252.0","767,454.0","771,041.0","779,007.0","797,383.0","812,282.0","820,657.0","826,781.0","838,387.0","853,540.0","870,778.0","886,322.0","902,528.0","927,748.0","936,289.0","951,340.0","974,170.0","980,853.0","1,003,107.0","1,018,756.0","1,014,148.0","1,021,765.0","1,024,393.0","1,020,699.0","1,037,668.0","1,047,218.0","1,061,050.0","1,074,810.0","1,079,129.0","1,086,326.0","1,092,527.0","1,105,274.0","1,116,846.0","1,128,096.0","1,149,579.0","1,163,012.0","1,166,853.0","1,176,984.0","1,183,689.0","1,191,651.0","1,211,172.0","1,239,542.0","1,246,504.0","1,268,285.0","1,281,105.0","1,277,940.0","1,297,690.0","1,308,208.0","1,307,068.0","1,320,269.0","1,335,085.0","1,355,273.0","1,384,849.0","1,417,903.0","1,439,734.0","1,482,311.0","1,491,846.0","1,534,849.0","1,557,165.0","1,577,265.0","1,572,072.0","1,590,207.0","1,591,002.0","1,581,609.0","1,584,605.0","1,608,168.0","1,616,618.0","1,643,456.0","1,682,501.0","1,668,468.0","1,722,882.0","1,742,262.0","1,779,210.0","1,801,589.0","1,825,949.0","1,874,982.0","1,895,879.0","1,916,792.0","1,980,036.0","2,019,484.0","2,038,595.0","2,075,303.0","2,109,542.0","2,095,290.0","2,128,754.0","2,166,140.0","2,184,306.0","2,228,567.0","2,253,949.0","2,318,911.0","2,348,409.0","2,172,404.0","2,124,938.0","2,143,627.0","2,199,098.0","2,232,841.0","2,264,663.0","2,260,937.0","2,287,313.0","2,355,568.0","2,417,086.0","2,471,539.0","2,493,296.0","2,509,289.0","2,545,039.0","2,549,160.0","2,578,439.0","2,595,442.0","2,606,952.0","2,591,029.0","2,638,830.0","2,654,659.0"
"25","6","  Services","DSERRC1","288,967.0","296,506.0","302,870.0","310,900.0","318,483.0","324,975.0","332,755.0","339,376.0","346,322.0","354,429.0","362,789.0","371,956.0","382,377.0","390,246.0","399,444.0","410,404.0","419,184.0","429,361.0","439,760.0","449,702.0","458,254.0","473,689.0","487,070.0","502,812.0","519,085.0","534,280.0","546,838.0","565,472.0","581,567.0","592,995.0","610,893.0","630,019.0","650,172.0","665,616.0","685,809.0","703,566.0","728,515.0","754,292.0","773,882.0","793,732.0","813,115.0","839,381.0","862,705.0","891,026.0","914,519.0","931,087.0","965,815.0","1,007,873.0","1,030,620.0","1,058,139.0","1,080,192.0","1,103,597.0","1,128,104.0","1,153,144.0","1,187,399.0","1,229,832.0","1,264,650.0","1,291,879.0","1,333,507.0","1,360,905.0","1,384,858.0","1,417,580.0","1,453,069.0","1,482,315.0","1,533,501.0","1,565,190.0","1,607,809.0","1,633,778.0","1,663,851.0","1,688,292.0","1,712,984.0","1,745,990.0","1,782,373.0","1,817,420.0","1,852,330.0","1,890,890.0","1,940,170.0","1,982,207.0","2,037,165.0","2,078,782.0","2,117,100.0","2,148,428.0","2,183,631.0","2,226,884.0","2,264,933.0","2,320,900.0","2,366,723.0","2,384,747.0","2,404,380.0","2,446,678.0","2,480,910.0","2,518,916.0","2,583,817.0","2,625,152.0","2,672,268.0","2,728,313.0","2,761,502.0","2,803,286.0","2,856,865.0","2,892,951.0","2,935,188.0","2,976,068.0","3,014,224.0","3,052,386.0","3,095,245.0","3,151,061.0","3,194,231.0","3,234,043.0","3,282,792.0","3,328,259.0","3,372,400.0","3,418,141.0","3,470,035.0","3,520,553.0","3,582,990.0","3,642,244.0","3,701,155.0","3,768,324.0","3,832,687.0","3,875,083.0","3,929,871.0","3,990,374.0","4,060,445.0","4,139,826.0","4,240,067.0","4,308,482.0","4,385,833.0","4,460,699.0","4,526,388.0","4,568,330.0","4,592,435.0","4,639,367.0","4,693,651.0","4,760,075.0","4,817,328.0","4,875,806.0","4,936,599.0","5,008,925.0","5,079,465.0","5,146,213.0","5,235,290.0","5,310,357.0","5,399,163.0","5,485,197.0","5,567,078.0","5,663,188.0","5,756,589.0","5,853,390.0","5,936,204.0","6,024,891.0","6,102,135.0","6,183,427.0","6,286,356.0","6,345,589.0","6,415,690.0","6,483,855.0","6,560,856.0","6,631,630.0","6,662,909.0","6,663,808.0","6,626,297.0","6,616,500.0","6,642,501.0","6,692,680.0","6,737,437.0","6,809,065.0","6,871,850.0","6,937,930.0","6,994,952.0","7,074,384.0","7,156,299.0","7,210,680.0","7,289,736.0","7,361,752.0","7,408,696.0","7,459,376.0","7,527,395.0","7,578,637.0","7,624,847.0","7,731,858.0"
"26","7","Gross private domestic investment","A006RC1","172,388.0","172,720.0","177,566.0","171,577.0","168,113.0","171,453.0","173,902.0","166,752.0","189,496.0","197,330.0","202,055.0","198,414.0","212,966.0","226,799.0","233,090.0","239,713.0","254,314.0","268,198.0","264,337.0","280,857.0","268,363.0","277,393.0","271,012.0","281,337.0","244,307.0","243,281.0","265,191.0","276,235.0","304,640.0","322,304.0","328,309.0","337,649.0","360,312.0","389,703.0","414,134.0","422,301.0","434,794.0","470,583.0","492,365.0","515,758.0","525,811.0","539,294.0","545,625.0","547,879.0","554,562.0","519,290.0","495,073.0","551,474.0","619,383.0","609,839.0","652,296.0","643,395.0","588,317.0","593,622.0","592,959.0","549,246.0","565,519.0","613,777.0","652,267.0","718,497.0","790,872.0","818,897.0","838,850.0","831,742.0","809,868.0","827,040.0","822,153.0","859,549.0","863,454.0","855,234.0","835,830.0","842,063.0","871,198.0","874,587.0","876,468.0","946,454.0","908,571.0","934,526.0","942,003.0","962,751.0","1,005,364.0","1,000,990.0","996,504.0","995,948.0","1,010,840.0","1,014,752.0","1,000,658.0","947,550.0","924,608.0","926,552.0","947,472.0","978,757.0","956,774.0","1,013,062.0","1,024,205.0","1,058,008.0","1,083,901.0","1,094,466.0","1,095,941.0","1,152,995.0","1,202,059.0","1,265,089.0","1,251,594.0","1,307,188.0","1,327,265.0","1,303,825.0","1,303,220.0","1,335,619.0","1,355,230.0","1,418,560.0","1,474,446.0","1,479,995.0","1,521,951.0","1,589,852.0","1,625,338.0","1,645,296.0","1,712,314.0","1,694,789.0","1,739,786.0","1,794,417.0","1,850,634.0","1,845,773.0","1,890,917.0","1,949,443.0","1,945,917.0","2,071,760.0","2,055,769.0","2,061,573.0","1,967,535.0","1,966,993.0","1,937,338.0","1,842,681.0","1,910,026.0","1,925,596.0","1,927,858.0","1,936,499.0","1,960,189.0","1,970,549.0","2,048,269.0","2,132,792.0","2,155,154.0","2,259,525.0","2,311,281.0","2,380,750.0","2,475,169.0","2,469,547.0","2,527,238.0","2,636,478.0","2,699,654.0","2,696,951.0","2,684,405.0","2,641,582.0","2,634,210.0","2,671,911.0","2,658,237.0","2,610,614.0","2,527,014.0","2,493,261.0","2,435,872.0","2,243,111.0","1,972,146.0","1,825,890.0","1,786,398.0","1,928,031.0","1,989,539.0","2,092,716.0","2,164,566.0","2,156,457.0","2,120,428.0","2,199,900.0","2,222,240.0","2,385,745.0","2,453,635.0","2,453,971.0","2,493,280.0","2,499,927.0","2,555,123.0","2,621,015.0","2,737,982.0","2,765,988.0"
"27","8","  Fixed investment","A007RC1","160,899.0","163,498.0","167,372.0","165,790.0","166,290.0","166,372.0","168,819.0","170,736.0","177,242.0","186,455.0","191,867.0","198,709.0","209,739.0","214,801.0","219,375.0","232,222.0","243,764.0","249,992.0","254,576.0","255,864.0","255,844.0","259,977.0","265,434.0","260,891.0","254,335.0","257,235.0","266,579.0","275,887.0","289,947.0","299,856.0","307,502.0","327,131.0","345,490.0","370,234.0","383,250.0","398,180.0","409,341.0","446,326.0","467,399.0","487,271.0","501,959.0","511,893.0","533,494.0","539,326.0","544,663.0","511,540.0","528,928.0","560,592.0","580,628.0","598,126.0","608,336.0","618,588.0","609,783.0","597,788.0","587,161.0","589,066.0","600,579.0","621,449.0","656,471.0","694,565.0","717,890.0","749,576.0","767,512.0","783,763.0","793,638.0","805,394.0","805,850.0","826,430.0","833,057.0","839,571.0","842,849.0","854,822.0","843,225.0","858,063.0","875,451.0","883,372.0","891,615.0","914,878.0","923,822.0","943,607.0","957,227.0","964,733.0","986,678.0","979,395.0","996,886.0","981,052.0","978,792.0","958,885.0","940,128.0","944,585.0","946,629.0","947,624.0","956,528.0","989,853.0","1,003,693.0","1,036,664.0","1,047,961.0","1,070,362.0","1,089,343.0","1,136,383.0","1,156,697.0","1,183,678.0","1,198,371.0","1,232,046.0","1,266,086.0","1,270,066.0","1,291,894.0","1,317,188.0","1,348,349.0","1,388,039.0","1,423,376.0","1,445,270.0","1,472,193.0","1,501,464.0","1,557,390.0","1,567,632.0","1,607,214.0","1,657,449.0","1,687,367.0","1,734,400.0","1,767,240.0","1,810,661.0","1,850,400.0","1,865,202.0","1,929,760.0","1,981,317.0","1,998,536.0","2,007,230.0","1,998,166.0","1,978,553.0","1,967,453.0","1,923,510.0","1,910,240.0","1,906,476.0","1,902,565.0","1,906,696.0","1,929,185.0","1,970,937.0","2,040,142.0","2,094,391.0","2,106,284.0","2,183,290.0","2,248,997.0","2,312,701.0","2,375,665.0","2,438,921.0","2,509,298.0","2,546,229.0","2,625,230.0","2,619,666.0","2,607,314.0","2,602,493.0","2,614,049.0","2,624,847.0","2,609,591.0","2,588,679.0","2,547,150.0","2,517,180.0","2,454,651.0","2,308,259.0","2,117,767.0","2,013,811.0","1,992,330.0","1,978,836.0","1,977,479.0","2,042,601.0","2,043,022.0","2,094,059.0","2,098,949.0","2,154,131.0","2,235,700.0","2,293,822.0","2,350,723.0","2,387,123.0","2,411,664.0","2,486,932.0","2,491,705.0","2,543,788.0","2,593,192.0","2,627,184.0"
