"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"21","3","       Change in private inventories","A014RX1","33,346.0","6,156.0","27,501.0","28,250.0","42,933.0","32,024.0","-14,075.0","37,707.0","47,461.0","50,150.0","30,822.0","-10,324.0","42,885.0","-21,729.0","-8,612.0","85,716.0","27,591.0","9,026.0","36,287.0","23,810.0","33,251.0","17,937.0","-1,963.0","19,452.0","24,077.0","75,388.0","34,560.0","33,834.0","84,806.0","78,988.0","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","33,617.0","57,632.0","81,547.0"
"22","4","       Residual","A958RX1","-18,500.0","-24,600.0","-20,500.0","-19,900.0","-11,200.0","-14,300.0","-35,000.0","-14,100.0","-11,300.0","-8,500.0","-14,900.0","-31,300.0","-12,100.0","-33,600.0","-29,900.0","3,000.0","-15,400.0","-21,000.0","-16,800.0","-16,200.0","-12,300.0","-15,500.0","-18,100.0","-15,300.0","-14,000.0","-7,700.0","-11,100.0","-9,300.0","-5,900.0","-5,400.0","-4,400.0","-1,400.0","-1,100.0","-2,700.0","-500.0","-100.0","1,200.0","0.0","2,100.0","-1,600.0","0.0","3,500.0","4,400.0","9,900.0","10,100.0"
"23","5","Goods","A353RX1","1,053,242.0","1,041,772.0","1,069,597.0","1,141,065.0","1,254,577.0","1,242,174.0","1,211,923.0","1,307,011.0","1,370,820.0","1,461,384.0","1,524,120.0","1,514,516.0","1,585,639.0","1,510,217.0","1,576,009.0","1,766,700.0","1,817,637.0","1,874,463.0","1,948,926.0","2,061,330.0","2,172,239.0","2,197,909.0","2,165,328.0","2,245,212.0","2,323,130.0","2,473,026.0","2,562,437.0","2,701,726.0","2,900,169.0","3,060,089.0","3,277,647.0","3,431,770.0","3,382,820.0","3,443,827.0","3,578,391.0","3,768,092.0","3,954,718.0","4,166,858.0","4,333,664.0","4,302,281.0","4,059,902.0","4,407,738.0","4,597,703.0","4,833,079.0","5,038,639.0"
"24","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,213,583.0","3,372,424.0","3,415,953.0","3,420,200.0","3,552,548.0","3,698,104.0","3,889,848.0","4,096,003.0","4,295,723.0","4,337,077.0","4,207,472.0","4,344,381.0","4,558,439.0","4,763,546.0","4,943,648.0"
"25","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","33,617.0","57,632.0","81,547.0"
"26","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,781,990.0","1,904,003.0","1,857,208.0","1,899,098.0","1,987,914.0","2,120,365.0","2,261,957.0","2,380,772.0","2,509,347.0","2,469,459.0","2,216,819.0","2,466,064.0","2,628,017.0","2,767,670.0","2,846,976.0"
"27","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,744,107.0","1,867,065.0","1,893,874.0","1,878,142.0","1,969,305.0","2,078,526.0","2,217,478.0","2,344,674.0","2,491,784.0","2,491,380.0","2,333,819.0","2,423,663.0","2,579,722.0","2,700,915.0","2,796,981.0"
"28","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","41,969.0","39,718.0","-49,881.0","19,970.0","16,377.0","42,166.0","44,675.0","35,557.0","16,055.0","-24,265.0","-116,999.0","37,732.0","42,906.0","59,797.0","44,617.0"
"29","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,508,730.0","1,532,020.0","1,533,992.0","1,551,731.0","1,595,485.0","1,649,843.0","1,691,342.0","1,784,819.0","1,820,634.0","1,830,267.0","1,843,083.0","1,942,081.0","1,971,534.0","2,067,599.0","2,191,486.0"
"30","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,483,931.0","1,511,310.0","1,527,475.0","1,550,780.0","1,589,418.0","1,622,608.0","1,672,405.0","1,750,430.0","1,800,675.0","1,843,684.0","1,873,653.0","1,920,780.0","1,979,637.0","2,063,835.0","2,147,643.0"
"31","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","31,583.0","24,746.0","7,995.0","1,236.0","5,648.0","28,567.0","19,055.0","35,959.0","19,470.0","-9,655.0","-30,570.0","21,051.0","-6,523.0","2,292.0","38,169.0"
"32","14","Services \2\","A341RX1","3,031,426.0","3,101,686.0","3,179,799.0","3,294,162.0","3,393,438.0","3,470,879.0","3,597,331.0","3,694,353.0","3,819,680.0","3,963,542.0","4,058,233.0","4,135,301.0","4,214,660.0","4,291,635.0","4,471,253.0","4,593,204.0","4,821,661.0","5,020,503.0","5,207,607.0","5,417,394.0","5,602,276.0","5,776,697.0","5,894,178.0","6,094,041.0","6,229,516.0","6,385,140.0","6,542,676.0","6,700,258.0","6,888,501.0","7,136,815.0","7,395,197.0","7,680,180.0","7,859,615.0","8,044,107.0","8,208,291.0","8,442,062.0","8,657,690.0","8,860,494.0","9,062,041.0","9,183,314.0","9,216,981.0","9,320,708.0","9,423,790.0","9,536,211.0","9,584,651.0"
"33","15","Structures","A755RX1","807,022.0","774,433.0","846,549.0","909,527.0","928,558.0","835,081.0","761,665.0","831,251.0","908,452.0","996,779.0","1,023,355.0","947,176.0","932,454.0","851,493.0","919,076.0","1,043,170.0","1,099,882.0","1,119,964.0","1,125,248.0","1,123,703.0","1,114,019.0","1,090,362.0","1,008,804.0","1,050,452.0","1,086,309.0","1,140,048.0","1,149,853.0","1,226,094.0","1,280,433.0","1,354,003.0","1,410,268.0","1,457,435.0","1,470,000.0","1,444,999.0","1,500,658.0","1,574,344.0","1,626,771.0","1,583,579.0","1,476,469.0","1,346,747.0","1,141,059.0","1,052,404.0","1,034,332.0","1,109,542.0","1,151,877.0"
"34","16","Residual","A959RX1","-183,700.0","-200,200.0","-222,900.0","-216,000.0","-158,400.0","-158,000.0","-191,400.0","-163,400.0","-168,400.0","-161,300.0","-146,500.0","-153,600.0","-122,200.0","-169,000.0","-181,700.0","-125,900.0","-153,500.0","-162,900.0","-157,800.0","-137,000.0","-111,500.0","-119,600.0","-129,400.0","-133,000.0","-128,100.0","-103,400.0","-91,300.0","-78,600.0","-46,200.0","-37,500.0","-35,700.0","-15,200.0","-24,700.0","-29,500.0","-19,700.0","-14,300.0","-2,600.0","4,400.0","10,200.0","2,500.0","-100.0","3,000.0","-1,400.0","-1,800.0","-2,700.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","350,040.0","345,347.0","329,252.0","366,777.0","371,416.0","386,709.0","401,549.0","396,375.0","397,449.0","326,258.0","246,824.0","321,485.0","354,014.0","400,793.0","415,526.0"
"37","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,714,204.0","12,218,750.0","12,359,838.0","12,539,396.0","12,896,218.0","13,384,576.0","13,830,950.0","14,217,416.0","14,478,329.0","14,507,729.0","14,171,119.0","14,456,766.0","14,696,397.0","15,066,559.0","15,342,161.0"
"38","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,726.0","24,459.0","27,635.0","28,488.0","33,389.0","35,000.0","41,097.0","51,268.0","59,626.0","69,919.0","72,489.0","69,260.0","76,300.0","86,158.0","96,146.0"
"39","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,117,533.0","12,582,346.0","12,687,066.0","12,910,868.0","13,258,078.0","13,760,612.0","14,210,121.0","14,571,620.0","14,820,702.0","14,764,022.0","14,345,454.0","14,709,841.0","14,976,667.0","15,386,901.0","15,670,000.0"
"40","21","  Research and development","Y694RX1","123,664.0","118,414.0","116,339.0","120,600.0","123,024.0","119,789.0","118,413.0","124,784.0","130,462.0","138,165.0","145,791.0","152,129.0","159,587.0","165,701.0","175,000.0","190,181.0","208,806.0","217,251.0","226,341.0","228,959.0","233,291.0","239,784.0","240,874.0","238,027.0","234,430.0","233,303.0","238,728.0","251,171.0","259,680.0","268,627.0","280,368.0","292,033.0","300,417.0","304,171.0","312,595.0","320,706.0","336,557.0","352,572.0","368,797.0","378,404.0","374,807.0","381,969.0","387,083.0","385,843.0","389,639.0"
"41","22","  Gross domestic product excluding research and development","Y695RX1","4,583,998.0","4,599,264.0","4,756,969.0","5,008,565.0","5,295,768.0","5,271,114.0","5,261,891.0","5,545,310.0","5,800,949.0","6,123,118.0","6,314,256.0","6,291,918.0","6,451,592.0","6,318,796.0","6,609,822.0","7,087,042.0","7,376,344.0","7,634,203.0","7,896,900.0","8,236,031.0","8,543,380.0","8,705,279.0","8,697,604.0","9,018,469.0","9,276,362.0","9,661,578.0","9,925,170.0","10,298,399.0","10,763,397.0","11,245,121.0","11,791,400.0","12,273,548.0","12,384,102.0","12,605,700.0","12,957,609.0","13,453,529.0","13,899,178.0","14,262,766.0","14,508,117.0","14,455,191.0","14,043,136.0","14,397,397.0","14,665,341.0","15,085,248.0","15,372,176.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","chained-dollar estimates are usually not additive. The residual line following change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","is the difference between gross domestic product and the sum of final sales of domestic product and of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","change in private inventories; the residual line following structures is the difference between gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","domestic product and the sum of the detailed lines of goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
